# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-CPM
UniRef50_B7UXY9: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	3533.06
UniRef50_B7IFM5: Ribose-phosphate pyrophosphokinase	3513.21
UniRef50_B7IFM5: Ribose-phosphate pyrophosphokinase|unclassified	3513.21
UniRef50_C3MD65: Phosphoribosylaminoimidazole-succinocarboxamide synthase	3500.7
UniRef50_C3MD65: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	3500.7
UniRef50_Q7NM67: Ribose-phosphate pyrophosphokinase	3465.78
UniRef50_Q7NM67: Ribose-phosphate pyrophosphokinase|unclassified	3465.78
UniRef50_A7GKI0: Phosphoribosylformylglycinamidine cyclo-ligase	3431.34
UniRef50_A7GKI0: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	3431.34
UniRef50_P46702: N5-carboxyaminoimidazole ribonucleotide mutase	3354.77
UniRef50_P46702: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	3354.77
UniRef50_Q8EJM1: Bifunctional purine biosynthesis protein PurH	3340.69
UniRef50_Q8EJM1: Bifunctional purine biosynthesis protein PurH|unclassified	3340.69
UniRef50_Q55498: N5-carboxyaminoimidazole ribonucleotide mutase	3340.24
UniRef50_Q55498: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	3340.24
UniRef50_O58058: N5-carboxyaminoimidazole ribonucleotide mutase	3269
UniRef50_O58058: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	3269
UniRef50_Q9UY68: N5-carboxyaminoimidazole ribonucleotide mutase	3223.95
UniRef50_Q9UY68: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	3223.95
UniRef50_UPI00035E2AA0: hypothetical protein, partial	3222.21
UniRef50_UPI00035E2AA0: hypothetical protein, partial|unclassified	3222.21
UniRef50_Q470L8: Phosphoribosylglycinamide formyltransferase 2	3215.56
UniRef50_Q470L8: Phosphoribosylglycinamide formyltransferase 2|unclassified	3215.56
UniRef50_F9Q5W3: Conserved domain protein	3208.73
UniRef50_F9Q5W3: Conserved domain protein|unclassified	3208.73
UniRef50_P77935: Amidophosphoribosyltransferase	3161.1
UniRef50_P77935: Amidophosphoribosyltransferase|unclassified	3161.1
UniRef50_Q7MN70: Phosphoribosylformylglycinamidine synthase	3155.69
UniRef50_Q7MN70: Phosphoribosylformylglycinamidine synthase|unclassified	3155.69
UniRef50_P12045: N5-carboxyaminoimidazole ribonucleotide synthase	3136.48
UniRef50_P12045: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	3136.48
UniRef50_Q55848: Ribose-phosphate pyrophosphokinase	3103.29
UniRef50_Q55848: Ribose-phosphate pyrophosphokinase|unclassified	3103.29
UniRef50_UPI00022CAACE: PREDICTED: ribose-phosphate pyrophosphokinase-like	3085.84
UniRef50_UPI00022CAACE: PREDICTED: ribose-phosphate pyrophosphokinase-like|unclassified	3085.84
UniRef50_Q5F973: Phosphoribosylformylglycinamidine cyclo-ligase	3042.09
UniRef50_Q5F973: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	3042.09
UniRef50_A0A011P7W7	3025.1
UniRef50_A0A011P7W7|unclassified	3025.1
UniRef50_P40178: Putative phosphoribosylformylglycinamidine cyclo-ligase (Fragment)	3024.24
UniRef50_P40178: Putative phosphoribosylformylglycinamidine cyclo-ligase (Fragment)|unclassified	3024.24
UniRef50_Q46482: Phosphoribosylamine--glycine ligase	3020.11
UniRef50_Q46482: Phosphoribosylamine--glycine ligase|unclassified	3020.11
UniRef50_UPI00046EDAEC: purine operon repressor	2981.07
UniRef50_UPI00046EDAEC: purine operon repressor|unclassified	2981.07
UniRef50_P12046: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2975.29
UniRef50_P12046: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2975.29
UniRef50_W5XA72: Transcriptional regulator	2969.88
UniRef50_W5XA72: Transcriptional regulator|unclassified	2969.88
UniRef50_P08179: Phosphoribosylglycinamide formyltransferase	2938.74
UniRef50_P08179: Phosphoribosylglycinamide formyltransferase|unclassified	2938.74
UniRef50_Q6LU24: Phosphoribosylformylglycinamidine synthase	2915.82
UniRef50_Q6LU24: Phosphoribosylformylglycinamidine synthase|unclassified	2915.82
UniRef50_A8AD30	2907.01
UniRef50_A8AD30|unclassified	2907.01
UniRef50_UPI0004418B4E: PREDICTED: adenylosuccinate lyase-like	2899.39
UniRef50_UPI0004418B4E: PREDICTED: adenylosuccinate lyase-like|unclassified	2899.39
UniRef50_Q9KF52: Phosphoribosylamine--glycine ligase	2868.63
UniRef50_Q9KF52: Phosphoribosylamine--glycine ligase|unclassified	2868.63
UniRef50_UPI000379016C: hypothetical protein, partial	2850.88
UniRef50_UPI000379016C: hypothetical protein, partial|unclassified	2850.88
UniRef50_R0VW64: AIR synthase related , C-terminal domain protein	2821.66
UniRef50_R0VW64: AIR synthase related , C-terminal domain protein|unclassified	2821.66
UniRef50_U1DAG2	2806.28
UniRef50_U1DAG2|unclassified	2806.28
UniRef50_Q2YNG3: Phosphoribosylformylglycinamidine synthase 1	2743.86
UniRef50_Q2YNG3: Phosphoribosylformylglycinamidine synthase 1|unclassified	2743.86
UniRef50_H9KGD9	2733.12
UniRef50_H9KGD9|unclassified	2733.12
UniRef50_UPI00029B2417: phosphoribosylaminoimidazole carboxylase ATPase subunit	2724.31
UniRef50_UPI00029B2417: phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	2724.31
UniRef50_P52559: N5-carboxyaminoimidazole ribonucleotide synthase	2715.24
UniRef50_P52559: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	2715.24
UniRef50_N6V0B3	2689.71
UniRef50_N6V0B3|unclassified	2689.71
UniRef50_Q9PC09: Phosphoribosylamine--glycine ligase	2636.12
UniRef50_Q9PC09: Phosphoribosylamine--glycine ligase|unclassified	2636.12
UniRef50_A5V2F8: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2623.5
UniRef50_A5V2F8: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2623.5
UniRef50_Q50028: Amidophosphoribosyltransferase	2604.17
UniRef50_Q50028: Amidophosphoribosyltransferase|unclassified	2604.17
UniRef50_L8E5H5: Phosphoribosylformylglycinamidine synthase 1	2563.13
UniRef50_L8E5H5: Phosphoribosylformylglycinamidine synthase 1|unclassified	2563.13
UniRef50_Q9RXT3: Phosphoribosylformylglycinamidine synthase 1	2535.04
UniRef50_Q9RXT3: Phosphoribosylformylglycinamidine synthase 1|unclassified	2535.04
UniRef50_B2FRX8: Phosphoribosylformylglycinamidine cyclo-ligase	2529.16
UniRef50_B2FRX8: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	2529.16
UniRef50_W1EK33	2514.84
UniRef50_W1EK33|unclassified	2514.84
UniRef50_UPI00036969A8: hypothetical protein	2488.74
UniRef50_UPI00036969A8: hypothetical protein|unclassified	2488.74
UniRef50_Q9RXT0: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2477.4
UniRef50_Q9RXT0: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2477.4
UniRef50_Q723E1: Ribose-phosphate pyrophosphokinase 2	2466.57
UniRef50_Q723E1: Ribose-phosphate pyrophosphokinase 2|unclassified	2466.57
UniRef50_Q7MT83: Ribose-phosphate pyrophosphokinase	2440.11
UniRef50_Q7MT83: Ribose-phosphate pyrophosphokinase|unclassified	2440.11
UniRef50_B8DTT6: Phosphoribosylformylglycinamidine cyclo-ligase	2434.99
UniRef50_B8DTT6: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	2434.99
UniRef50_K8BTS2	2432.99
UniRef50_K8BTS2|unclassified	2432.99
UniRef50_P72158: N5-carboxyaminoimidazole ribonucleotide synthase	2417.29
UniRef50_P72158: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	2417.29
UniRef50_UPI00041962CC: hypothetical protein	2412.11
UniRef50_UPI00041962CC: hypothetical protein|unclassified	2412.11
UniRef50_Q9K3U0: Ribose-phosphate pyrophosphokinase	2407.92
UniRef50_Q9K3U0: Ribose-phosphate pyrophosphokinase|unclassified	2407.92
UniRef50_Q4L574: N5-carboxyaminoimidazole ribonucleotide synthase	2397.69
UniRef50_Q4L574: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	2397.69
UniRef50_UPI0001746085: hypothetical protein	2378.97
UniRef50_UPI0001746085: hypothetical protein|unclassified	2378.97
UniRef50_UPI0003C1840F: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like	2369.08
UniRef50_UPI0003C1840F: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like|unclassified	2369.08
UniRef50_R6E6R2	2330.73
UniRef50_R6E6R2|unclassified	2330.73
UniRef50_K0R7A7	2330.27
UniRef50_K0R7A7|unclassified	2330.27
UniRef50_Q89IB6: Phosphoribosylformylglycinamidine synthase 1	2327.14
UniRef50_Q89IB6: Phosphoribosylformylglycinamidine synthase 1|unclassified	2327.14
UniRef50_UPI00047825DF: purine operon repressor	2312.49
UniRef50_UPI00047825DF: purine operon repressor|unclassified	2312.49
UniRef50_Q42581: Ribose-phosphate pyrophosphokinase 1, chloroplastic	2286.08
UniRef50_Q42581: Ribose-phosphate pyrophosphokinase 1, chloroplastic|unclassified	2286.08
UniRef50_UPI000366BFD6: hypothetical protein	2278.97
UniRef50_UPI000366BFD6: hypothetical protein|unclassified	2278.97
UniRef50_Q92RL0: Phosphoribosylamine--glycine ligase	2269.16
UniRef50_Q92RL0: Phosphoribosylamine--glycine ligase|unclassified	2269.16
UniRef50_G5KFI7	2250.6
UniRef50_G5KFI7|unclassified	2250.6
UniRef50_J2LMF7	2228.9
UniRef50_J2LMF7|unclassified	2228.9
UniRef50_UPI0003787F1C: hypothetical protein	2220.4
UniRef50_UPI0003787F1C: hypothetical protein|unclassified	2220.4
UniRef50_K0X1N1	2217.02
UniRef50_K0X1N1|unclassified	2217.02
UniRef50_Q03MZ6: Bifunctional purine biosynthesis protein PurH	2212.97
UniRef50_Q03MZ6: Bifunctional purine biosynthesis protein PurH|unclassified	2212.97
UniRef50_UPI0004742C23: hypothetical protein, partial	2174.75
UniRef50_UPI0004742C23: hypothetical protein, partial|unclassified	2174.75
UniRef50_B5XJ20: Bifunctional purine biosynthesis protein PurH	2168.67
UniRef50_B5XJ20: Bifunctional purine biosynthesis protein PurH|unclassified	2168.67
UniRef50_Q984K6: Phosphoribosylformylglycinamidine cyclo-ligase	2160.79
UniRef50_Q984K6: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	2160.79
UniRef50_Q9KSR6: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2155.75
UniRef50_Q9KSR6: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2155.75
UniRef50_UPI0001BC8D6F: phosphoribosylaminoimidazole synthetase	2149.39
UniRef50_UPI0001BC8D6F: phosphoribosylaminoimidazole synthetase|unclassified	2149.39
UniRef50_B6YRK7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2143.87
UniRef50_B6YRK7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2143.87
UniRef50_Q3AUF2: Phosphoribosylglycinamide formyltransferase 2	2143.3
UniRef50_Q3AUF2: Phosphoribosylglycinamide formyltransferase 2|unclassified	2143.3
UniRef50_R6NNJ6	2139.58
UniRef50_R6NNJ6|unclassified	2139.58
UniRef50_W5X8Z0: Ribose-phosphate pyrophosphokinase	2124.87
UniRef50_W5X8Z0: Ribose-phosphate pyrophosphokinase|unclassified	2124.87
UniRef50_O29388: Probable amidophosphoribosyltransferase	2123.45
UniRef50_O29388: Probable amidophosphoribosyltransferase|unclassified	2123.45
UniRef50_UPI00036C8CE6: hypothetical protein, partial	2117.47
UniRef50_UPI00036C8CE6: hypothetical protein, partial|unclassified	2117.47
UniRef50_UPI0002C34F8A	2112.04
UniRef50_UPI0002C34F8A|unclassified	2112.04
UniRef50_Q9CD45: Ribose-phosphate pyrophosphokinase	2075.51
UniRef50_Q9CD45: Ribose-phosphate pyrophosphokinase|unclassified	2075.51
UniRef50_T0BPE9: Phosphoribosylaminoimidazole carboxylase ATPase subunit domain protein	2028.16
UniRef50_T0BPE9: Phosphoribosylaminoimidazole carboxylase ATPase subunit domain protein|unclassified	2028.16
UniRef50_P12040: Phosphoribosylglycinamide formyltransferase	2020.84
UniRef50_P12040: Phosphoribosylglycinamide formyltransferase|unclassified	2020.84
UniRef50_Q0HZE8: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2015.79
UniRef50_Q0HZE8: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2015.79
UniRef50_P41390: Amidophosphoribosyltransferase	2002.6
UniRef50_P41390: Amidophosphoribosyltransferase|unclassified	2002.6
UniRef50_UPI00046DCEE5	1996.23
UniRef50_UPI00046DCEE5|unclassified	1996.23
UniRef50_Q5P7J7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	1989.67
UniRef50_Q5P7J7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	1989.67
UniRef50_Q8G5P2: Ribose-phosphate pyrophosphokinase	1958.1
UniRef50_Q8G5P2: Ribose-phosphate pyrophosphokinase|unclassified	1958.1
UniRef50_Q55038: Amidophosphoribosyltransferase	1956.73
UniRef50_Q55038: Amidophosphoribosyltransferase|unclassified	1956.73
UniRef50_P52421: Phosphoribosylamine--glycine ligase (Fragment)	1939.92
UniRef50_P52421: Phosphoribosylamine--glycine ligase (Fragment)|unclassified	1939.92
UniRef50_UPI00046D3334: IMP cyclohydrolase, partial	1938.72
UniRef50_UPI00046D3334: IMP cyclohydrolase, partial|unclassified	1938.72
UniRef50_A0A038G3C5	1932.47
UniRef50_A0A038G3C5|unclassified	1932.47
UniRef50_UPI00047BC877: phosphoribosylaminoimidazole-succinocarboxamide synthase	1928.37
UniRef50_UPI00047BC877: phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	1928.37
UniRef50_Q8XYN6: Phosphoribosylformylglycinamidine synthase	1923.79
UniRef50_Q8XYN6: Phosphoribosylformylglycinamidine synthase|unclassified	1923.79
UniRef50_F9GHL5: Putative phosphoribosylformylglycinamidine synthase	1922.51
UniRef50_F9GHL5: Putative phosphoribosylformylglycinamidine synthase|unclassified	1922.51
UniRef50_Q55621: Amidophosphoribosyltransferase	1915.63
UniRef50_Q55621: Amidophosphoribosyltransferase|unclassified	1915.63
UniRef50_X2LZ02	1905.95
UniRef50_X2LZ02|unclassified	1905.95
UniRef50_UPI00038F8585: Phosphoribosylformylglycinamidine cyclo-ligase	1900.68
UniRef50_UPI00038F8585: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	1900.68
UniRef50_UPI00026579AE: PREDICTED: phosphoribosylaminoimidazole-succinocarboxamide synthase-like	1895.46
UniRef50_UPI00026579AE: PREDICTED: phosphoribosylaminoimidazole-succinocarboxamide synthase-like|unclassified	1895.46
UniRef50_Q9PC10: Bifunctional purine biosynthesis protein PurH	1890.38
UniRef50_Q9PC10: Bifunctional purine biosynthesis protein PurH|unclassified	1890.38
UniRef50_P9WHM4: Phosphoribosylglycinamide formyltransferase	1875.66
UniRef50_P9WHM4: Phosphoribosylglycinamide formyltransferase|unclassified	1875.66
UniRef50_R0NZT1: Phosphoribosylformylglycinamidine synthase (Fragment)	1871.98
UniRef50_R0NZT1: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	1871.98
UniRef50_A7X0W1: Phosphoribosylformylglycinamidine synthase 2	1869.57
UniRef50_A7X0W1: Phosphoribosylformylglycinamidine synthase 2|unclassified	1869.57
UniRef50_Q6NFG4: Phosphoribosylaminoimidazole-succinocarboxamide synthase	1856.93
UniRef50_Q6NFG4: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	1856.93
UniRef50_P65904: Phosphoribosylformylglycinamidine synthase 1	1845.71
UniRef50_P65904: Phosphoribosylformylglycinamidine synthase 1|unclassified	1845.71
UniRef50_A1BMJ0: PurF (Fragment)	1832.89
UniRef50_A1BMJ0: PurF (Fragment)|unclassified	1832.89
UniRef50_V1PH13	1832.09
UniRef50_V1PH13|unclassified	1832.09
UniRef50_Q87KE0: N5-carboxyaminoimidazole ribonucleotide synthase	1827.76
UniRef50_Q87KE0: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	1827.76
UniRef50_UPI0004675420: phosphoribosylformylglycinamidine synthase, partial	1826.68
UniRef50_UPI0004675420: phosphoribosylformylglycinamidine synthase, partial|unclassified	1826.68
UniRef50_Q57657: Probable amidophosphoribosyltransferase	1817.95
UniRef50_Q57657: Probable amidophosphoribosyltransferase|unclassified	1817.95
UniRef50_UPI000470373F: amidophosphoribosyltransferase, partial	1812.67
UniRef50_UPI000470373F: amidophosphoribosyltransferase, partial|unclassified	1812.67
UniRef50_Q5HH10: Phosphoribosylamine--glycine ligase	1808.49
UniRef50_Q5HH10: Phosphoribosylamine--glycine ligase|unclassified	1808.49
UniRef50_Q9JWC5: Phosphoribosylformylglycinamidine synthase	1796.76
UniRef50_Q9JWC5: Phosphoribosylformylglycinamidine synthase|unclassified	1796.76
UniRef50_C0AVS6	1785.3
UniRef50_C0AVS6|unclassified	1785.3
UniRef50_Q89AM3: Adenylosuccinate lyase	1772.53
UniRef50_Q89AM3: Adenylosuccinate lyase|unclassified	1772.53
UniRef50_Q2RSC8: Phosphoribosylformylglycinamidine cyclo-ligase	1765.39
UniRef50_Q2RSC8: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	1765.39
UniRef50_Q6Z2L5-2: Isoform 2 of Ribose-phosphate pyrophosphokinase 1, chloroplastic	1757.53
UniRef50_Q6Z2L5-2: Isoform 2 of Ribose-phosphate pyrophosphokinase 1, chloroplastic|unclassified	1757.53
UniRef50_Q67KG3: Bifunctional purine biosynthesis protein PurH	1755.12
UniRef50_Q67KG3: Bifunctional purine biosynthesis protein PurH|unclassified	1755.12
UniRef50_Q2J4N0: Phosphoribosylformylglycinamidine synthase 1	1748.53
UniRef50_Q2J4N0: Phosphoribosylformylglycinamidine synthase 1|unclassified	1748.53
UniRef50_O57979: Amidophosphoribosyltransferase	1748.11
UniRef50_O57979: Amidophosphoribosyltransferase|unclassified	1748.11
UniRef50_UPI000287D4FC: ribose-phosphate diphosphokinase	1744.51
UniRef50_UPI000287D4FC: ribose-phosphate diphosphokinase|unclassified	1744.51
UniRef50_Q9KF57: Phosphoribosylformylglycinamidine synthase 2	1743.92
UniRef50_Q9KF57: Phosphoribosylformylglycinamidine synthase 2|unclassified	1743.92
UniRef50_UPI00016A2CAC: putative thermoresistant gluconokinase	1739.35
UniRef50_UPI00016A2CAC: putative thermoresistant gluconokinase|unclassified	1739.35
UniRef50_UPI000374AF18: hypothetical protein, partial	1720.24
UniRef50_UPI000374AF18: hypothetical protein, partial|unclassified	1720.24
UniRef50_UPI000403F572: phosphoribosylamine--glycine ligase	1705.66
UniRef50_UPI000403F572: phosphoribosylamine--glycine ligase|unclassified	1705.66
UniRef50_B3QMT1: Phosphoribosylformylglycinamidine synthase 1	1696.99
UniRef50_B3QMT1: Phosphoribosylformylglycinamidine synthase 1|unclassified	1696.99
UniRef50_A0A011Q8S6: Ribose-phosphate pyrophosphokinase	1696.72
UniRef50_A0A011Q8S6: Ribose-phosphate pyrophosphokinase|unclassified	1696.72
UniRef50_UPI00029B5130: adenylosuccinate lyase	1693.84
UniRef50_UPI00029B5130: adenylosuccinate lyase|unclassified	1693.84
UniRef50_X3EP05: RelE family toxin-antitoxin system	1686.48
UniRef50_X3EP05: RelE family toxin-antitoxin system|unclassified	1686.48
UniRef50_Q8UEB0: Phosphoribosylformylglycinamidine synthase 2	1679.26
UniRef50_Q8UEB0: Phosphoribosylformylglycinamidine synthase 2|unclassified	1679.26
UniRef50_Q54J34: Adenylosuccinate lyase	1647.37
UniRef50_Q54J34: Adenylosuccinate lyase|unclassified	1647.37
UniRef50_Q7VBB3: Phosphoribosylglycinamide formyltransferase 2	1626.57
UniRef50_Q7VBB3: Phosphoribosylglycinamide formyltransferase 2|unclassified	1626.57
UniRef50_A6U0P1: Bifunctional purine biosynthesis protein PurH	1625.73
UniRef50_A6U0P1: Bifunctional purine biosynthesis protein PurH|unclassified	1625.73
UniRef50_P52420: Phosphoribosylamine--glycine ligase, chloroplastic	1623.17
UniRef50_P52420: Phosphoribosylamine--glycine ligase, chloroplastic|unclassified	1623.17
UniRef50_A6Q6K6: Phosphoribosylglycinamide formyltransferase 2	1613.6
UniRef50_A6Q6K6: Phosphoribosylglycinamide formyltransferase 2|unclassified	1613.6
UniRef50_K8A894	1610.22
UniRef50_K8A894|unclassified	1610.22
UniRef50_UPI00026283A9: adenylosuccinate lyase, partial	1596.76
UniRef50_UPI00026283A9: adenylosuccinate lyase, partial|unclassified	1596.76
UniRef50_UPI000464B99E: adenylosuccinate lyase	1587.83
UniRef50_UPI000464B99E: adenylosuccinate lyase|unclassified	1587.83
UniRef50_UPI0004627318: phosphoribosylaminoimidazole carboxylase, partial	1572.73
UniRef50_UPI0004627318: phosphoribosylaminoimidazole carboxylase, partial|unclassified	1572.73
