# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-RPKs
UniRef50_UPI000368E090: hypothetical protein, partial	1342.4029964170
UniRef50_UPI000368E090: hypothetical protein, partial|unclassified	1342.4029964170
UniRef50_Q89DJ1: Ribose-phosphate pyrophosphokinase	1331.7335466854
UniRef50_Q89DJ1: Ribose-phosphate pyrophosphokinase|unclassified	1331.7335466854
UniRef50_UPI00036538AA: hypothetical protein, partial	1319.7457592197
UniRef50_UPI00036538AA: hypothetical protein, partial|unclassified	1319.7457592197
UniRef50_Q9I0K9: Adenylosuccinate lyase	1302.2755789824
UniRef50_Q9I0K9: Adenylosuccinate lyase|unclassified	1302.2755789824
UniRef50_UPI00046FDE90: hypothetical protein, partial	1289.0322330949
UniRef50_UPI00046FDE90: hypothetical protein, partial|unclassified	1289.0322330949
UniRef50_O06456: N5-carboxyaminoimidazole ribonucleotide mutase	1269.1392525479
UniRef50_O06456: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	1269.1392525479
UniRef50_P44797: Adenylosuccinate lyase	1265.6299013056
UniRef50_P44797: Adenylosuccinate lyase|unclassified	1265.6299013056
UniRef50_K8ABB2	1259.0390867494
UniRef50_K8ABB2|unclassified	1259.0390867494
UniRef50_P52558: N5-carboxyaminoimidazole ribonucleotide mutase	1237.4884280717
UniRef50_P52558: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	1237.4884280717
UniRef50_Q7VR76: Ribose-phosphate pyrophosphokinase	1236.5982164478
UniRef50_Q7VR76: Ribose-phosphate pyrophosphokinase|unclassified	1236.5982164478
UniRef50_A0A011NMN2	1213.2578632156
UniRef50_A0A011NMN2|unclassified	1213.2578632156
UniRef50_UPI00036EC8C9: hypothetical protein, partial	1208.8729377256
UniRef50_UPI00036EC8C9: hypothetical protein, partial|unclassified	1208.8729377256
UniRef50_Q7MGT4: Phosphoribosylamine--glycine ligase	1181.7181868701
UniRef50_Q7MGT4: Phosphoribosylamine--glycine ligase|unclassified	1181.7181868701
UniRef50_UPI00047431D9: adenylosuccinate lyase, partial	1146.5103919868
UniRef50_UPI00047431D9: adenylosuccinate lyase, partial|unclassified	1146.5103919868
UniRef50_B8ZJM7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	1136.9856512909
UniRef50_B8ZJM7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	1136.9856512909
UniRef50_Q2SZW6: Phosphoribosylglycinamide formyltransferase 2	1128.7805500641
UniRef50_Q2SZW6: Phosphoribosylglycinamide formyltransferase 2|unclassified	1128.7805500641
UniRef50_S2HI35	1125.6634166238
UniRef50_S2HI35|unclassified	1125.6634166238
UniRef50_Q1QVP5: Phosphoribosylformylglycinamidine cyclo-ligase	1123.5128798084
UniRef50_Q1QVP5: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	1123.5128798084
UniRef50_Q6GI14: Amidophosphoribosyltransferase	1093.2182529469
UniRef50_Q6GI14: Amidophosphoribosyltransferase|unclassified	1093.2182529469
UniRef50_J9G290: Protein containing AIR synthase related protein (Fragment)	1088.2526141116
UniRef50_J9G290: Protein containing AIR synthase related protein (Fragment)|unclassified	1088.2526141116
UniRef50_P56468: Adenylosuccinate lyase	1082.5683621879
UniRef50_P56468: Adenylosuccinate lyase|unclassified	1082.5683621879
UniRef50_Q8YN97: Ribose-phosphate pyrophosphokinase	1080.3137206912
UniRef50_Q8YN97: Ribose-phosphate pyrophosphokinase|unclassified	1080.3137206912
UniRef50_UPI000367477A: phosphoribosylamine--glycine ligase, partial	1070.9668628707
UniRef50_UPI000367477A: phosphoribosylamine--glycine ligase, partial|unclassified	1070.9668628707
UniRef50_P00497: Amidophosphoribosyltransferase	1069.3208679611
UniRef50_P00497: Amidophosphoribosyltransferase|unclassified	1069.3208679611
UniRef50_UPI0002DC1BE7: amidophosphoribosyltransferase	1066.3100767493
UniRef50_UPI0002DC1BE7: amidophosphoribosyltransferase|unclassified	1066.3100767493
UniRef50_P9WHM0: N5-carboxyaminoimidazole ribonucleotide mutase	1063.1158530306
UniRef50_P9WHM0: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	1063.1158530306
UniRef50_W1FVQ5	1062.1766432641
UniRef50_W1FVQ5|unclassified	1062.1766432641
UniRef50_Q9HUV8: Phosphoribosylamine--glycine ligase	1060.9508705702
UniRef50_Q9HUV8: Phosphoribosylamine--glycine ligase|unclassified	1060.9508705702
UniRef50_B9KPJ0: Ribose-phosphate pyrophosphokinase	1060.2020570696
UniRef50_B9KPJ0: Ribose-phosphate pyrophosphokinase|unclassified	1060.2020570696
UniRef50_Q832Z5: Ribose-phosphate pyrophosphokinase 2	1046.2598558004
UniRef50_Q832Z5: Ribose-phosphate pyrophosphokinase 2|unclassified	1046.2598558004
UniRef50_Q2P047: Phosphoribosylglycinamide formyltransferase 2	1040.6996413583
UniRef50_Q2P047: Phosphoribosylglycinamide formyltransferase 2|unclassified	1040.6996413583
UniRef50_UPI00038FD17F: Pur operon repressor	1024.4805742452
UniRef50_UPI00038FD17F: Pur operon repressor|unclassified	1024.4805742452
UniRef50_B7UXY9: Phosphoribosylformylglycinamidine cyclo-ligase	1022.7485622496
UniRef50_B7UXY9: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	1022.7485622496
UniRef50_B7IFM5: Ribose-phosphate pyrophosphokinase	1017.0020742837
UniRef50_B7IFM5: Ribose-phosphate pyrophosphokinase|unclassified	1017.0020742837
UniRef50_C3MD65: Phosphoribosylaminoimidazole-succinocarboxamide synthase	1013.3820327981
UniRef50_C3MD65: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	1013.3820327981
UniRef50_Q7NM67: Ribose-phosphate pyrophosphokinase	1003.2744304279
UniRef50_Q7NM67: Ribose-phosphate pyrophosphokinase|unclassified	1003.2744304279
UniRef50_A7GKI0: Phosphoribosylformylglycinamidine cyclo-ligase	993.3046866513
UniRef50_A7GKI0: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	993.3046866513
UniRef50_P46702: N5-carboxyaminoimidazole ribonucleotide mutase	971.1391960138
UniRef50_P46702: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	971.1391960138
UniRef50_Q8EJM1: Bifunctional purine biosynthesis protein PurH	967.0615087844
UniRef50_Q8EJM1: Bifunctional purine biosynthesis protein PurH|unclassified	967.0615087844
UniRef50_Q55498: N5-carboxyaminoimidazole ribonucleotide mutase	966.9308179272
UniRef50_Q55498: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	966.9308179272
UniRef50_O58058: N5-carboxyaminoimidazole ribonucleotide mutase	946.3095404691
UniRef50_O58058: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	946.3095404691
UniRef50_Q9UY68: N5-carboxyaminoimidazole ribonucleotide mutase	933.2677221538
UniRef50_Q9UY68: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	933.2677221538
UniRef50_UPI00035E2AA0: hypothetical protein, partial	932.7659676717
UniRef50_UPI00035E2AA0: hypothetical protein, partial|unclassified	932.7659676717
UniRef50_Q470L8: Phosphoribosylglycinamide formyltransferase 2	930.8390173422
UniRef50_Q470L8: Phosphoribosylglycinamide formyltransferase 2|unclassified	930.8390173422
UniRef50_F9Q5W3: Conserved domain protein	928.8638977264
UniRef50_F9Q5W3: Conserved domain protein|unclassified	928.8638977264
UniRef50_P77935: Amidophosphoribosyltransferase	915.0743642194
UniRef50_P77935: Amidophosphoribosyltransferase|unclassified	915.0743642194
UniRef50_Q7MN70: Phosphoribosylformylglycinamidine synthase	913.5081858299
UniRef50_Q7MN70: Phosphoribosylformylglycinamidine synthase|unclassified	913.5081858299
UniRef50_P12045: N5-carboxyaminoimidazole ribonucleotide synthase	907.9485224047
UniRef50_P12045: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	907.9485224047
UniRef50_Q55848: Ribose-phosphate pyrophosphokinase	898.3390371281
UniRef50_Q55848: Ribose-phosphate pyrophosphokinase|unclassified	898.3390371281
UniRef50_UPI00022CAACE: PREDICTED: ribose-phosphate pyrophosphokinase-like	893.2888063772
UniRef50_UPI00022CAACE: PREDICTED: ribose-phosphate pyrophosphokinase-like|unclassified	893.2888063772
UniRef50_Q5F973: Phosphoribosylformylglycinamidine cyclo-ligase	880.6222568319
UniRef50_Q5F973: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	880.6222568319
UniRef50_A0A011P7W7	875.7050823071
UniRef50_A0A011P7W7|unclassified	875.7050823071
UniRef50_P40178: Putative phosphoribosylformylglycinamidine cyclo-ligase (Fragment)	875.4571530848
UniRef50_P40178: Putative phosphoribosylformylglycinamidine cyclo-ligase (Fragment)|unclassified	875.4571530848
UniRef50_Q46482: Phosphoribosylamine--glycine ligase	874.2615757779
UniRef50_Q46482: Phosphoribosylamine--glycine ligase|unclassified	874.2615757779
UniRef50_UPI00046EDAEC: purine operon repressor	862.9607165874
UniRef50_UPI00046EDAEC: purine operon repressor|unclassified	862.9607165874
UniRef50_P12046: Phosphoribosylaminoimidazole-succinocarboxamide synthase	861.2871137497
UniRef50_P12046: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	861.2871137497
UniRef50_W5XA72: Transcriptional regulator	859.7216732286
UniRef50_W5XA72: Transcriptional regulator|unclassified	859.7216732286
UniRef50_P08179: Phosphoribosylglycinamide formyltransferase	850.7054159232
UniRef50_P08179: Phosphoribosylglycinamide formyltransferase|unclassified	850.7054159232
UniRef50_Q6LU24: Phosphoribosylformylglycinamidine synthase	844.0705397648
UniRef50_Q6LU24: Phosphoribosylformylglycinamidine synthase|unclassified	844.0705397648
UniRef50_A8AD30	841.5195046806
UniRef50_A8AD30|unclassified	841.5195046806
UniRef50_UPI0004418B4E: PREDICTED: adenylosuccinate lyase-like	839.3141935389
UniRef50_UPI0004418B4E: PREDICTED: adenylosuccinate lyase-like|unclassified	839.3141935389
UniRef50_Q9KF52: Phosphoribosylamine--glycine ligase	830.4117265404
UniRef50_Q9KF52: Phosphoribosylamine--glycine ligase|unclassified	830.4117265404
UniRef50_UPI000379016C: hypothetical protein, partial	825.2730714570
UniRef50_UPI000379016C: hypothetical protein, partial|unclassified	825.2730714570
UniRef50_R0VW64: AIR synthase related , C-terminal domain protein	816.8137711679
UniRef50_R0VW64: AIR synthase related , C-terminal domain protein|unclassified	816.8137711679
UniRef50_U1DAG2	812.3612508182
UniRef50_U1DAG2|unclassified	812.3612508182
UniRef50_Q2YNG3: Phosphoribosylformylglycinamidine synthase 1	794.2914157158
UniRef50_Q2YNG3: Phosphoribosylformylglycinamidine synthase 1|unclassified	794.2914157158
UniRef50_H9KGD9	791.1820333841
UniRef50_H9KGD9|unclassified	791.1820333841
UniRef50_UPI00029B2417: phosphoribosylaminoimidazole carboxylase ATPase subunit	788.6320515268
UniRef50_UPI00029B2417: phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	788.6320515268
UniRef50_P52559: N5-carboxyaminoimidazole ribonucleotide synthase	786.0060663918
UniRef50_P52559: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	786.0060663918
UniRef50_N6V0B3	778.6178408424
UniRef50_N6V0B3|unclassified	778.6178408424
UniRef50_Q9PC09: Phosphoribosylamine--glycine ligase	763.1038111458
UniRef50_Q9PC09: Phosphoribosylamine--glycine ligase|unclassified	763.1038111458
UniRef50_A5V2F8: Phosphoribosylaminoimidazole-succinocarboxamide synthase	759.4498770691
UniRef50_A5V2F8: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	759.4498770691
UniRef50_Q50028: Amidophosphoribosyltransferase	753.8546381918
UniRef50_Q50028: Amidophosphoribosyltransferase|unclassified	753.8546381918
UniRef50_L8E5H5: Phosphoribosylformylglycinamidine synthase 1	741.9750359335
UniRef50_L8E5H5: Phosphoribosylformylglycinamidine synthase 1|unclassified	741.9750359335
UniRef50_Q9RXT3: Phosphoribosylformylglycinamidine synthase 1	733.8443135810
UniRef50_Q9RXT3: Phosphoribosylformylglycinamidine synthase 1|unclassified	733.8443135810
UniRef50_B2FRX8: Phosphoribosylformylglycinamidine cyclo-ligase	732.1396555064
UniRef50_B2FRX8: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	732.1396555064
UniRef50_W1EK33	727.9958532499
UniRef50_W1EK33|unclassified	727.9958532499
UniRef50_UPI00036969A8: hypothetical protein	720.4398914493
UniRef50_UPI00036969A8: hypothetical protein|unclassified	720.4398914493
UniRef50_Q9RXT0: Phosphoribosylaminoimidazole-succinocarboxamide synthase	717.1566623267
UniRef50_Q9RXT0: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	717.1566623267
UniRef50_Q723E1: Ribose-phosphate pyrophosphokinase 2	714.0220379880
UniRef50_Q723E1: Ribose-phosphate pyrophosphokinase 2|unclassified	714.0220379880
UniRef50_Q7MT83: Ribose-phosphate pyrophosphokinase	706.3614824973
UniRef50_Q7MT83: Ribose-phosphate pyrophosphokinase|unclassified	706.3614824973
UniRef50_B8DTT6: Phosphoribosylformylglycinamidine cyclo-ligase	704.8802392922
UniRef50_B8DTT6: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	704.8802392922
UniRef50_K8BTS2	704.3001450981
UniRef50_K8BTS2|unclassified	704.3001450981
UniRef50_P72158: N5-carboxyaminoimidazole ribonucleotide synthase	699.7577091223
UniRef50_P72158: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	699.7577091223
UniRef50_UPI00041962CC: hypothetical protein	698.2569584088
UniRef50_UPI00041962CC: hypothetical protein|unclassified	698.2569584088
UniRef50_Q9K3U0: Ribose-phosphate pyrophosphokinase	697.0455881080
UniRef50_Q9K3U0: Ribose-phosphate pyrophosphokinase|unclassified	697.0455881080
UniRef50_Q4L574: N5-carboxyaminoimidazole ribonucleotide synthase	694.0835828186
UniRef50_Q4L574: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	694.0835828186
UniRef50_UPI0001746085: hypothetical protein	688.6630238724
UniRef50_UPI0001746085: hypothetical protein|unclassified	688.6630238724
UniRef50_UPI0003C1840F: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like	685.8012474218
UniRef50_UPI0003C1840F: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like|unclassified	685.8012474218
UniRef50_R6E6R2	674.6985070923
UniRef50_R6E6R2|unclassified	674.6985070923
UniRef50_K0R7A7	674.5667792835
UniRef50_K0R7A7|unclassified	674.5667792835
UniRef50_Q89IB6: Phosphoribosylformylglycinamidine synthase 1	673.6602221829
UniRef50_Q89IB6: Phosphoribosylformylglycinamidine synthase 1|unclassified	673.6602221829
UniRef50_UPI00047825DF: purine operon repressor	669.4192023893
UniRef50_UPI00047825DF: purine operon repressor|unclassified	669.4192023893
UniRef50_Q42581: Ribose-phosphate pyrophosphokinase 1, chloroplastic	661.7727337652
UniRef50_Q42581: Ribose-phosphate pyrophosphokinase 1, chloroplastic|unclassified	661.7727337652
UniRef50_UPI000366BFD6: hypothetical protein	659.7164396893
UniRef50_UPI000366BFD6: hypothetical protein|unclassified	659.7164396893
UniRef50_Q92RL0: Phosphoribosylamine--glycine ligase	656.8760959970
UniRef50_Q92RL0: Phosphoribosylamine--glycine ligase|unclassified	656.8760959970
UniRef50_G5KFI7	651.5041648670
UniRef50_G5KFI7|unclassified	651.5041648670
UniRef50_J2LMF7	645.2226495426
UniRef50_J2LMF7|unclassified	645.2226495426
UniRef50_UPI0003787F1C: hypothetical protein	642.7600380943
UniRef50_UPI0003787F1C: hypothetical protein|unclassified	642.7600380943
UniRef50_K0X1N1	641.7819739520
UniRef50_K0X1N1|unclassified	641.7819739520
UniRef50_Q03MZ6: Bifunctional purine biosynthesis protein PurH	640.6090016497
UniRef50_Q03MZ6: Bifunctional purine biosynthesis protein PurH|unclassified	640.6090016497
UniRef50_UPI0004742C23: hypothetical protein, partial	629.5452664730
UniRef50_UPI0004742C23: hypothetical protein, partial|unclassified	629.5452664730
UniRef50_B5XJ20: Bifunctional purine biosynthesis protein PurH	627.7863916315
UniRef50_B5XJ20: Bifunctional purine biosynthesis protein PurH|unclassified	627.7863916315
UniRef50_Q984K6: Phosphoribosylformylglycinamidine cyclo-ligase	625.5047133091
UniRef50_Q984K6: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	625.5047133091
UniRef50_Q9KSR6: Phosphoribosylaminoimidazole-succinocarboxamide synthase	624.0463110457
UniRef50_Q9KSR6: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	624.0463110457
UniRef50_UPI0001BC8D6F: phosphoribosylaminoimidazole synthetase	622.2063068164
UniRef50_UPI0001BC8D6F: phosphoribosylaminoimidazole synthetase|unclassified	622.2063068164
UniRef50_B6YRK7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	620.6072040207
UniRef50_B6YRK7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	620.6072040207
UniRef50_Q3AUF2: Phosphoribosylglycinamide formyltransferase 2	620.4417139446
UniRef50_Q3AUF2: Phosphoribosylglycinamide formyltransferase 2|unclassified	620.4417139446
UniRef50_R6NNJ6	619.3638786089
UniRef50_R6NNJ6|unclassified	619.3638786089
UniRef50_W5X8Z0: Ribose-phosphate pyrophosphokinase	615.1067378515
UniRef50_W5X8Z0: Ribose-phosphate pyrophosphokinase|unclassified	615.1067378515
UniRef50_O29388: Probable amidophosphoribosyltransferase	614.6946122764
UniRef50_O29388: Probable amidophosphoribosyltransferase|unclassified	614.6946122764
UniRef50_UPI00036C8CE6: hypothetical protein, partial	612.9638728713
UniRef50_UPI00036C8CE6: hypothetical protein, partial|unclassified	612.9638728713
UniRef50_UPI0002C34F8A	611.3935595753
UniRef50_UPI0002C34F8A|unclassified	611.3935595753
UniRef50_Q9CD45: Ribose-phosphate pyrophosphokinase	600.8186052718
UniRef50_Q9CD45: Ribose-phosphate pyrophosphokinase|unclassified	600.8186052718
UniRef50_T0BPE9: Phosphoribosylaminoimidazole carboxylase ATPase subunit domain protein	587.1116733762
UniRef50_T0BPE9: Phosphoribosylaminoimidazole carboxylase ATPase subunit domain protein|unclassified	587.1116733762
UniRef50_P12040: Phosphoribosylglycinamide formyltransferase	584.9936337177
UniRef50_P12040: Phosphoribosylglycinamide formyltransferase|unclassified	584.9936337177
UniRef50_Q0HZE8: Phosphoribosylaminoimidazole-succinocarboxamide synthase	583.5305946354
UniRef50_Q0HZE8: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	583.5305946354
UniRef50_P41390: Amidophosphoribosyltransferase	579.7136925347
UniRef50_P41390: Amidophosphoribosyltransferase|unclassified	579.7136925347
UniRef50_UPI00046DCEE5	577.8671791358
UniRef50_UPI00046DCEE5|unclassified	577.8671791358
UniRef50_Q5P7J7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	575.9697253459
UniRef50_Q5P7J7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	575.9697253459
UniRef50_Q8G5P2: Ribose-phosphate pyrophosphokinase	566.8299286495
UniRef50_Q8G5P2: Ribose-phosphate pyrophosphokinase|unclassified	566.8299286495
UniRef50_Q55038: Amidophosphoribosyltransferase	566.4335798221
UniRef50_Q55038: Amidophosphoribosyltransferase|unclassified	566.4335798221
UniRef50_P52421: Phosphoribosylamine--glycine ligase (Fragment)	561.5675309527
UniRef50_P52421: Phosphoribosylamine--glycine ligase (Fragment)|unclassified	561.5675309527
UniRef50_UPI00046D3334: IMP cyclohydrolase, partial	561.2191699975
UniRef50_UPI00046D3334: IMP cyclohydrolase, partial|unclassified	561.2191699975
UniRef50_A0A038G3C5	559.4107432878
UniRef50_A0A038G3C5|unclassified	559.4107432878
UniRef50_UPI00047BC877: phosphoribosylaminoimidazole-succinocarboxamide synthase	558.2245425420
UniRef50_UPI00047BC877: phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	558.2245425420
UniRef50_Q8XYN6: Phosphoribosylformylglycinamidine synthase	556.8983298660
UniRef50_Q8XYN6: Phosphoribosylformylglycinamidine synthase|unclassified	556.8983298660
UniRef50_F9GHL5: Putative phosphoribosylformylglycinamidine synthase	556.5276693555
UniRef50_F9GHL5: Putative phosphoribosylformylglycinamidine synthase|unclassified	556.5276693555
UniRef50_Q55621: Amidophosphoribosyltransferase	554.5352247408
UniRef50_Q55621: Amidophosphoribosyltransferase|unclassified	554.5352247408
UniRef50_X2LZ02	551.7350584093
UniRef50_X2LZ02|unclassified	551.7350584093
UniRef50_UPI00038F8585: Phosphoribosylformylglycinamidine cyclo-ligase	550.2081165052
UniRef50_UPI00038F8585: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	550.2081165052
UniRef50_UPI00026579AE: PREDICTED: phosphoribosylaminoimidazole-succinocarboxamide synthase-like	548.6977597416
UniRef50_UPI00026579AE: PREDICTED: phosphoribosylaminoimidazole-succinocarboxamide synthase-like|unclassified	548.6977597416
UniRef50_Q9PC10: Bifunctional purine biosynthesis protein PurH	547.2269992550
UniRef50_Q9PC10: Bifunctional purine biosynthesis protein PurH|unclassified	547.2269992550
UniRef50_P9WHM4: Phosphoribosylglycinamide formyltransferase	542.9656649126
UniRef50_P9WHM4: Phosphoribosylglycinamide formyltransferase|unclassified	542.9656649126
UniRef50_R0NZT1: Phosphoribosylformylglycinamidine synthase (Fragment)	541.9007933787
UniRef50_R0NZT1: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	541.9007933787
UniRef50_A7X0W1: Phosphoribosylformylglycinamidine synthase 2	541.2020601914
UniRef50_A7X0W1: Phosphoribosylformylglycinamidine synthase 2|unclassified	541.2020601914
UniRef50_Q6NFG4: Phosphoribosylaminoimidazole-succinocarboxamide synthase	537.5430687035
UniRef50_Q6NFG4: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	537.5430687035
UniRef50_P65904: Phosphoribosylformylglycinamidine synthase 1	534.2954268492
UniRef50_P65904: Phosphoribosylformylglycinamidine synthase 1|unclassified	534.2954268492
UniRef50_A1BMJ0: PurF (Fragment)	530.5832676671
UniRef50_A1BMJ0: PurF (Fragment)|unclassified	530.5832676671
UniRef50_V1PH13	530.3517614673
UniRef50_V1PH13|unclassified	530.3517614673
UniRef50_Q87KE0: N5-carboxyaminoimidazole ribonucleotide synthase	529.1004855040
UniRef50_Q87KE0: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	529.1004855040
UniRef50_UPI0004675420: phosphoribosylformylglycinamidine synthase, partial	528.7870437604
UniRef50_UPI0004675420: phosphoribosylformylglycinamidine synthase, partial|unclassified	528.7870437604
UniRef50_Q57657: Probable amidophosphoribosyltransferase	526.2602749546
UniRef50_Q57657: Probable amidophosphoribosyltransferase|unclassified	526.2602749546
UniRef50_UPI000470373F: amidophosphoribosyltransferase, partial	524.7325327527
UniRef50_UPI000470373F: amidophosphoribosyltransferase, partial|unclassified	524.7325327527
UniRef50_Q5HH10: Phosphoribosylamine--glycine ligase	523.5202468871
UniRef50_Q5HH10: Phosphoribosylamine--glycine ligase|unclassified	523.5202468871
UniRef50_Q9JWC5: Phosphoribosylformylglycinamidine synthase	520.1244545815
UniRef50_Q9JWC5: Phosphoribosylformylglycinamidine synthase|unclassified	520.1244545815
UniRef50_C0AVS6	516.8096933708
UniRef50_C0AVS6|unclassified	516.8096933708
UniRef50_Q89AM3: Adenylosuccinate lyase	513.1118345314
UniRef50_Q89AM3: Adenylosuccinate lyase|unclassified	513.1118345314
UniRef50_Q2RSC8: Phosphoribosylformylglycinamidine cyclo-ligase	511.0446473361
UniRef50_Q2RSC8: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	511.0446473361
UniRef50_Q6Z2L5-2: Isoform 2 of Ribose-phosphate pyrophosphokinase 1, chloroplastic	508.7692911194
UniRef50_Q6Z2L5-2: Isoform 2 of Ribose-phosphate pyrophosphokinase 1, chloroplastic|unclassified	508.7692911194
UniRef50_Q67KG3: Bifunctional purine biosynthesis protein PurH	508.0714457796
UniRef50_Q67KG3: Bifunctional purine biosynthesis protein PurH|unclassified	508.0714457796
UniRef50_Q2J4N0: Phosphoribosylformylglycinamidine synthase 1	506.1634043801
UniRef50_Q2J4N0: Phosphoribosylformylglycinamidine synthase 1|unclassified	506.1634043801
UniRef50_O57979: Amidophosphoribosyltransferase	506.0420443829
UniRef50_O57979: Amidophosphoribosyltransferase|unclassified	506.0420443829
UniRef50_UPI000287D4FC: ribose-phosphate diphosphokinase	505.0005445234
UniRef50_UPI000287D4FC: ribose-phosphate diphosphokinase|unclassified	505.0005445234
UniRef50_Q9KF57: Phosphoribosylformylglycinamidine synthase 2	504.8287370635
UniRef50_Q9KF57: Phosphoribosylformylglycinamidine synthase 2|unclassified	504.8287370635
UniRef50_UPI00016A2CAC: putative thermoresistant gluconokinase	503.5066387638
UniRef50_UPI00016A2CAC: putative thermoresistant gluconokinase|unclassified	503.5066387638
UniRef50_UPI000374AF18: hypothetical protein, partial	497.9754802707
UniRef50_UPI000374AF18: hypothetical protein, partial|unclassified	497.9754802707
UniRef50_UPI000403F572: phosphoribosylamine--glycine ligase	493.7529537921
UniRef50_UPI000403F572: phosphoribosylamine--glycine ligase|unclassified	493.7529537921
UniRef50_B3QMT1: Phosphoribosylformylglycinamidine synthase 1	491.2451079175
UniRef50_B3QMT1: Phosphoribosylformylglycinamidine synthase 1|unclassified	491.2451079175
UniRef50_A0A011Q8S6: Ribose-phosphate pyrophosphokinase	491.1654508805
UniRef50_A0A011Q8S6: Ribose-phosphate pyrophosphokinase|unclassified	491.1654508805
UniRef50_UPI00029B5130: adenylosuccinate lyase	490.3333949300
UniRef50_UPI00029B5130: adenylosuccinate lyase|unclassified	490.3333949300
UniRef50_X3EP05: RelE family toxin-antitoxin system	488.2027749594
