ID	PHYLLO09_pathabundance	PHYLLO10_pathabundance	PHYLLO11_pathabundance	PHYLLO12_pathabundance	PHYLLO13_pathabundance	PHYLLO14_pathabundance	PHYLLO15_pathabundance	PHYLLO16_pathabundance	PHYLLO17_pathabundance	PHYLLO18_pathabundance	PHYLLO19_pathabundance	PHYLLO20_pathabundance	PHYLLO21_pathabundance	PHYLLO22_pathabundance	PHYLLO23_pathabundance	PHYLLO24_pathabundance	PHYLLO25_pathabundance	PHYLLO26_pathabundance	PHYLLO27_pathabundance	PHYLLO28_pathabundance	PHYLLO29_pathabundance
ANAEROFRUCAT-PWY: homolactic fermentation	13.4816881974	155.9493519449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4979473638	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	49.5695425059	263.0445669483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8984409242	0.0	26.5331829078	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1304464086	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Pantoea.s__Pantoea_agglomerans	3.1943187306	17.8289015626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	34.9881976578	192.3283155752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8460385108	0.0	0.0	0.0	0.0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	9.4690100088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1784659887	0.0	2.1181886263	0.0	3.5877431222	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	9.4064383756	0.0	0.0	0.0	0.0	0.0	0.0	2.9162651343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3872171917	9.6469532756	34.7874904974	0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0752085641	8.7398786934	16.4419534852	0.0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	3.1812578720	12.6458015850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5279628713	3.2662031797	0.0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion|g__Pseudomonas.s__Pseudomonas_putida	0.0	2.9106241178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	144.5262906523	999.2783783746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.7736177214	0.0	15.1463852547	34.5419052887	23.2966382201	145.0435201433	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_avenae	54.4107532767	459.8886982658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8360875690	0.0	0.0	6.6108111985	0.0	57.7772204683	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_citrulli	0.0	319.6010408649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	27.9526824961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5628852025	7.4393882870	35.8733896827	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	158.4179855838	1075.4560872494	0.0	0.0	6.4192969252	0.0	0.0	6.8681896916	0.0	0.0	0.0	0.0	2.5940078228	0.0	55.1190546557	0.0	15.8778615207	34.5867785301	26.0877424571	160.1832376238	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acidovorax.s__Acidovorax_avenae	59.5557325903	442.6685246810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5256125391	0.0	0.0	5.4053936390	0.0	56.5103018048	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acidovorax.s__Acidovorax_citrulli	0.0	188.7103437511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	4.8959349786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5449725572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	50.0264557638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3944807194	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	28.3183194677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Microbacterium.s__Microbacterium_testaceum	0.0	25.2870492855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7773057917	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Propionibacterium.s__Propionibacterium_acnes	3.6820569895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	9.4723063681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9320924539	16.8897788901	57.5407373127	0.0
ARO-PWY: chorismate biosynthesis I	97.5099324071	386.5899400295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4433256976	0.0	6.7452860043	10.0563084986	18.3451485729	72.8524532041	0.0
ARO-PWY: chorismate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	27.7217624221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6263182811	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Microbacterium.s__Microbacterium_testaceum	0.0	9.1478091583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3170779145	0.0
ARO-PWY: chorismate biosynthesis I|g__Pantoea.s__Pantoea_agglomerans	0.0	19.8474312271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Pseudomonas.s__Pseudomonas_psychrotolerans	4.4085734562	10.7222674445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|unclassified	0.0	9.9051367160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4995386849	0.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.8825663107	3.7587605328	0.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4120374541	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)	13.2332473050	89.2858183823	0.0	0.0	3.6869547924	0.0	1.4294235950	0.0	0.0	0.0	0.0	0.0	1.5619119112	0.0	9.1354861214	0.0	7.4868191607	0.0	5.6680425903	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	3.1751139900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5619119112	0.0	3.7253670150	0.0	0.0	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	56.4521853242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2702043332	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6532854173	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pantoea.s__Pantoea_agglomerans	0.0	10.1112222820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1608007157	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	9.7924121973	9.3960892180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pseudomonas.s__Pseudomonas_putida	0.0	6.0270710571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0	120.3933494156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4968101433	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Pantoea.s__Pantoea_agglomerans	0.0	14.0821680042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	142.9124078444	818.2793476398	0.0	0.0	6.0725058465	0.0	6.1839034082	1.8424779139	0.0	0.0	0.0	0.0	0.0	2.8294390381	66.5326533131	6.8055871136	24.4313103885	45.2966669542	45.7970141874	164.3296749704	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acidovorax.s__Acidovorax_avenae	48.0133341009	500.1748457939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1040491260	0.0	5.7969952176	11.9550122346	0.0	50.0508429631	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	3.9411884441	0.0	2.6066892820	0.0	0.0	0.0	0.0	0.0	0.0	2.6117570352	5.6909126994	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	1.5438789048	59.2635464827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7693311067	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	27.4099132221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Corynebacterium.s__Corynebacterium_maris	0.0	2.7576428470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7577745061	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Microbacterium.s__Microbacterium_testaceum	0.0	49.6356270699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.1449448010	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pantoea.s__Pantoea_ananatis	0.0	3.2910191254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	9.7920292604	16.2418993826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	0.0	4.6216093057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	23.3253335912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3335064542	4.1046337885	11.6478018058	23.6788990079	22.8813495946	54.5678706753	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle	74.6415153813	385.1185530897	0.0	0.0	3.5715722782	4.5666921332	0.0	0.0	0.0	0.0	0.0	0.0	3.0967111412	1.8088363390	27.7541878549	1.3639787883	16.8554648630	24.7292071382	30.3746278364	84.5494413280	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	3.5051752155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6669655581	1.6677070872	3.7327988818	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	55.6216206196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8564515837	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	9.8641427642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9736012013	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pantoea.s__Pantoea_agglomerans	5.0029391292	21.6407184304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2697722535	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pantoea.s__Pantoea_ananatis	0.0	7.5571735726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudomonas.s__Pseudomonas_putida	0.0	6.3731733133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	3.9282409453	5.4895597352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5452858090	0.0	0.0	19.4401168980	13.5031369532	52.6101497663	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	93.4597120485	160.6799735371	0.0	0.0	0.0	2.1127757799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2943252143	0.0	3.8444786412	0.0	0.0	7.2327328644	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1953674640	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	78.6498233820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5724915647	0.0
CITRULBIO-PWY: L-citrulline biosynthesis	109.1129855495	615.8967560948	0.0	0.0	0.0	0.0	0.0	4.0894149660	0.0	0.0	0.0	0.0	0.0	0.0	23.7588439308	0.0	0.0	20.6842299143	11.9322928903	75.6864147733	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Acidovorax.s__Acidovorax_citrulli	0.0	173.6022340628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	23.6202384276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Microbacterium.s__Microbacterium_testaceum	0.0	16.1230082579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3089103239	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.5502851940	10.0527892614	19.9732382758	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	70.4704959254	372.7666959261	0.0	0.0	5.0999394432	0.0	0.0	3.2987819361	0.0	0.0	0.0	0.0	0.0	0.0	13.6535936879	0.0	14.1868190681	9.5510473200	18.3887669573	56.1217560656	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acidovorax.s__Acidovorax_avenae	0.0	10.4483456763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acidovorax.s__Acidovorax_citrulli	0.0	37.6333515837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	3.7421035757	0.0	0.0	2.9728725381	0.0	0.0	0.0	0.0	0.0	0.0	4.0260013952	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	29.5211427618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6805784393	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pantoea.s__Pantoea_agglomerans	2.3972766215	9.9750986269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.0	12.3631460731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	5.0062113406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.5069701529	0.0
COA-PWY: coenzyme A biosynthesis I	70.6726384229	371.8167891269	0.0	0.0	5.2749404341	0.0	0.0	2.4737167594	0.0	0.0	0.0	0.0	0.0	4.3033889188	12.0582455781	0.0	10.5590474242	5.6917053780	15.2906900390	48.6966408765	0.0
COA-PWY: coenzyme A biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	0.0	10.4659149956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
