ID	PHYLLO09_pathcoverage	PHYLLO10_pathcoverage	PHYLLO11_pathcoverage	PHYLLO12_pathcoverage	PHYLLO13_pathcoverage	PHYLLO14_pathcoverage	PHYLLO15_pathcoverage	PHYLLO16_pathcoverage	PHYLLO17_pathcoverage	PHYLLO18_pathcoverage	PHYLLO19_pathcoverage	PHYLLO20_pathcoverage	PHYLLO21_pathcoverage	PHYLLO22_pathcoverage	PHYLLO23_pathcoverage	PHYLLO24_pathcoverage	PHYLLO25_pathcoverage	PHYLLO26_pathcoverage	PHYLLO27_pathcoverage	PHYLLO28_pathcoverage	PHYLLO29_pathcoverage
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002669711	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0000000000	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0460055449	0.0	0.2160599987	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4076237169	0.0	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Pantoea.s__Pantoea_agglomerans	0.4412364694	0.1097218319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0000000000	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030759989	0.0	0.0	0.0	0.0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000000000	0.0	0.0000278342	0.0	0.0000000004	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.3639856462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001742213	0.0005587658	0.0000000000	0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0612897275	0.1797988401	0.0000426098	0.0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.0000000000	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000001450	0.0000000000	0.0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion|g__Pseudomonas.s__Pseudomonas_putida	0.0	0.0722346114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.9722432999	0.9999987571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7672314343	0.0	0.6530942276	0.2172490773	0.0123362099	0.0867555563	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_avenae	0.0951724172	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4270557537	0.0	0.0	0.0007222692	0.0	0.0617980006	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_citrulli	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.1439617018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000009690	0.0000130774	0.0000000009	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.9911489246	0.9999992499	0.0	0.0	0.4912568304	0.0	0.0	0.7281261604	0.0	0.0	0.0	0.0	0.3103422383	0.0	0.8979077097	0.0	0.6028283236	0.6254187481	0.2063103235	0.9971174176	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acidovorax.s__Acidovorax_avenae	0.1016262243	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5845178563	0.0	0.0	0.0003022229	0.0	0.0273826569	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acidovorax.s__Acidovorax_citrulli	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.6052975338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5145776799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	0.0123548596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6977403922	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.1703812991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Microbacterium.s__Microbacterium_testaceum	0.0	0.0021406346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3391294258	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Propionibacterium.s__Propionibacterium_acnes	0.3975054741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0.0429633037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011082890	0.5946585344	0.8104883585	0.0
ARO-PWY: chorismate biosynthesis I	0.0036082918	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013189782	0.0	0.0020280847	0.0000306769	0.0458838031	0.0017326912	0.0
ARO-PWY: chorismate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.0704530761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0457703874	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Microbacterium.s__Microbacterium_testaceum	0.0	0.0000000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006343606	0.0
ARO-PWY: chorismate biosynthesis I|g__Pantoea.s__Pantoea_agglomerans	0.0	0.3127677233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.0000400392	0.0002561658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I|unclassified	0.0	0.0208995513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113450956	0.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013593785	0.0000000000	0.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1244533073	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)	0.0000000000	0.0000000000	0.0	0.0	0.2403699870	0.0	0.1148790440	0.0	0.0	0.0	0.0	0.0	0.2065452075	0.0	0.0000012667	0.0	0.0827061048	0.0	0.0000030358	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.3839816638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5163643248	0.0	0.1987004689	0.0	0.0	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	0.0698116873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5305793782	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069403986	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pantoea.s__Pantoea_agglomerans	0.0	0.0308392428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2760207095	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.1814557253	0.0020935415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AST-PWY: L-arginine degradation II (AST pathway)|g__Pseudomonas.s__Pseudomonas_putida	0.0	0.4924503459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000054951	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Pantoea.s__Pantoea_agglomerans	0.0	0.0457622138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.9569654977	0.0000000000	0.0	0.0	0.4057020018	0.0	0.7856822343	0.1090397515	0.0	0.0	0.0	0.0	0.0	0.4899633554	0.9989282115	0.9240604584	0.9672255107	0.9903431727	0.9563995863	0.9999963614	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acidovorax.s__Acidovorax_avenae	0.0385181981	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1633933759	0.0	0.6986360291	0.1949092220	0.0	0.3930244195	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.4599651649	0.0	0.6093397723	0.0	0.0	0.0	0.0	0.0	0.0	0.5923424006	0.4267367248	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.5650720714	0.2396619844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4339643264	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.0801956039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Corynebacterium.s__Corynebacterium_maris	0.0	0.6674839468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3876638714	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Microbacterium.s__Microbacterium_testaceum	0.0	0.9726693689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9601486691	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pantoea.s__Pantoea_ananatis	0.0	0.4763802400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.2087554713	0.2073934929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	0.0	0.3537193497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	0.8678119208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9231228776	0.7705565630	0.9506003582	0.8783074171	0.9399441220	0.8406012154	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0000000004	0.0000000000	0.0	0.0	0.1341329176	0.6521766818	0.0	0.0	0.0	0.0	0.0	0.0	0.4515565840	0.3088864266	0.0098238966	0.3274986915	0.7187633842	0.0380496553	0.6803936413	0.0000248633	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.3485032156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7155056456	0.4093107333	0.2039918970	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	0.3294228712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2334691315	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.0000043770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1172343280	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pantoea.s__Pantoea_agglomerans	0.6724540683	0.7462866235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6591704817	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pantoea.s__Pantoea_ananatis	0.0	0.8703862754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudomonas.s__Pseudomonas_putida	0.0	0.5829907168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	0.0063315787	0.0001141530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2944925457	0.0	0.0	0.6397116123	0.5687499618	0.8696405283	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0788512916	0.0000000000	0.0	0.0	0.0	0.2619930836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000000239	0.0	0.0004842964	0.0	0.0	0.0000000000	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2854556152	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	0.3969160633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000000000	0.0
CITRULBIO-PWY: L-citrulline biosynthesis	0.6396962290	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.4782463094	0.0	0.0	0.0	0.0	0.0	0.0	0.0269917953	0.0	0.0	0.1693806590	0.0004398059	0.0041445063	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Acidovorax.s__Acidovorax_citrulli	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.0530721567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Microbacterium.s__Microbacterium_testaceum	0.0	0.0000072967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004556870	0.0
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1892558238	0.1729732009	0.0000872006	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0000022344	0.0000000000	0.0	0.0	0.4459813727	0.0	0.0	0.3817145523	0.0	0.0	0.0	0.0	0.0	0.0	0.0000004863	0.0	0.4305723128	0.0000070046	0.0974706726	0.0000012289	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acidovorax.s__Acidovorax_avenae	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acidovorax.s__Acidovorax_citrulli	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.4619486997	0.0	0.0	0.7996424962	0.0	0.0	0.0	0.0	0.0	0.0	0.2298920165	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.2496569778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3915201690	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pantoea.s__Pantoea_agglomerans	0.2697222904	0.0419547556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.0	0.1571757096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	0.0132018375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025824514	0.0
COA-PWY: coenzyme A biosynthesis I	0.0000022344	0.0000000000	0.0	0.0	0.4723886327	0.0	0.0	0.2809849561	0.0	0.0	0.0	0.0	0.0	0.7068776902	0.0000004863	0.0	0.2790792618	0.0000035024	0.0530703148	0.0000012289	0.0
