# Gene Family	SampleBacterial_Chemotaxis_Abundance-RPKs
UniRef50_A3EJ75|unclassified	748.7667972020
UniRef50_Q88ER1: Chemotaxis protein methyltransferase Cher2	738.3804377992
UniRef50_Q88ER1: Chemotaxis protein methyltransferase Cher2|unclassified	738.3804377992
UniRef50_Q02JU1: Protein phosphatase CheZ	737.9100798783
UniRef50_Q02JU1: Protein phosphatase CheZ|unclassified	737.9100798783
UniRef50_UPI00028819A1: chemotaxis protein CheY	737.1282009025
UniRef50_UPI00028819A1: chemotaxis protein CheY|unclassified	737.1282009025
UniRef50_A9AD42: Protein phosphatase CheZ	728.2762085735
UniRef50_A9AD42: Protein phosphatase CheZ|unclassified	728.2762085735
UniRef50_UPI000365C830: hypothetical protein	720.8009910728
UniRef50_UPI000365C830: hypothetical protein|unclassified	720.8009910728
UniRef50_UPI0004698F3C: chemotaxis protein CheR	719.0197174201
UniRef50_UPI0004698F3C: chemotaxis protein CheR|unclassified	719.0197174201
UniRef50_A3QCQ6: Protein phosphatase CheZ	711.8482211429
UniRef50_A3QCQ6: Protein phosphatase CheZ|unclassified	711.8482211429
UniRef50_UPI00040C9AEF: chemotaxis protein CheY	698.6957435079
UniRef50_UPI00040C9AEF: chemotaxis protein CheY|unclassified	698.6957435079
UniRef50_UPI00037A9071: hypothetical protein	674.2058992104
UniRef50_UPI00037A9071: hypothetical protein|unclassified	674.2058992104
UniRef50_A0A038FWT0	674.1161374307
UniRef50_A0A038FWT0|unclassified	674.1161374307
UniRef50_Q8XQ83: Chemotaxis response regulator protein-glutamate methylesterase	668.3309728849
UniRef50_Q8XQ83: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	668.3309728849
UniRef50_UPI000478602B: hypothetical protein	665.9973829308
UniRef50_UPI000478602B: hypothetical protein|unclassified	665.9973829308
UniRef50_W1BG23: Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	663.2895458466
UniRef50_W1BG23: Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)|unclassified	663.2895458466
UniRef50_UPI0003817F52: hypothetical protein	655.1802602385
UniRef50_UPI0003817F52: hypothetical protein|unclassified	655.1802602385
UniRef50_UPI000225AF4A: chemotaxis protein CheY	649.4648725754
UniRef50_UPI000225AF4A: chemotaxis protein CheY|unclassified	649.4648725754
UniRef50_Q9KKL3: Chemotaxis protein methyltransferase 3	643.3104831456
UniRef50_Q9KKL3: Chemotaxis protein methyltransferase 3|unclassified	643.3104831456
UniRef50_UPI0003754233: hypothetical protein	632.3283047052
UniRef50_UPI0003754233: hypothetical protein|unclassified	632.3283047052
UniRef50_W7W4N3	609.7804087062
UniRef50_W7W4N3|unclassified	609.7804087062
UniRef50_Q56AQ8	606.7095994401
UniRef50_Q56AQ8|unclassified	606.7095994401
UniRef50_UPI0003B330B8: chemotaxis protein CheY	602.4920509504
UniRef50_UPI0003B330B8: chemotaxis protein CheY|unclassified	602.4920509504
UniRef50_B1FRF3	600.6077939861
UniRef50_B1FRF3|unclassified	600.6077939861
UniRef50_UPI00036DCF9C: chemotaxis protein CheW, partial	593.7467185790
UniRef50_UPI00036DCF9C: chemotaxis protein CheW, partial|unclassified	593.7467185790
UniRef50_UPI000414C8E2: SAM-dependent methyltransferase	591.8817747241
UniRef50_UPI000414C8E2: SAM-dependent methyltransferase|unclassified	591.8817747241
UniRef50_Q5QXZ7: Chemotaxis protein CheX	591.5838058214
UniRef50_Q5QXZ7: Chemotaxis protein CheX|unclassified	591.5838058214
UniRef50_UPI0003A3DCB3: methyl-accepting chemotaxis protein	589.1970153259
UniRef50_UPI0003A3DCB3: methyl-accepting chemotaxis protein|unclassified	589.1970153259
UniRef50_Q9KS61: Chemotaxis protein methyltransferase 2	586.6170933635
UniRef50_Q9KS61: Chemotaxis protein methyltransferase 2|unclassified	586.6170933635
UniRef50_K8DIH8	585.9085207735
UniRef50_K8DIH8|unclassified	585.9085207735
UniRef50_UPI0002881797: chemotaxis protein CheY	584.3359952839
UniRef50_UPI0002881797: chemotaxis protein CheY|unclassified	584.3359952839
UniRef50_UPI00036D36CF: hypothetical protein	580.6349591263
UniRef50_UPI00036D36CF: hypothetical protein|unclassified	580.6349591263
UniRef50_V6PPQ9: Periplasmic binding protein/LacI transcriptional regulator	564.8244091452
UniRef50_V6PPQ9: Periplasmic binding protein/LacI transcriptional regulator|unclassified	564.8244091452
UniRef50_C2ITV8: Methyl-accepting chemotaxis protein	557.8195345018
UniRef50_C2ITV8: Methyl-accepting chemotaxis protein|unclassified	557.8195345018
UniRef50_UPI00036169CB: hypothetical protein	550.3869715062
UniRef50_UPI00036169CB: hypothetical protein|unclassified	550.3869715062
UniRef50_A3GTK1: D-galactose-binding periplasmic protein	547.3539615588
UniRef50_A3GTK1: D-galactose-binding periplasmic protein|unclassified	547.3539615588
UniRef50_UPI00046E524A: hypothetical protein, partial	539.0370168971
UniRef50_UPI00046E524A: hypothetical protein, partial|unclassified	539.0370168971
UniRef50_UPI0003149D2D: hypothetical protein	538.6643234182
UniRef50_UPI0003149D2D: hypothetical protein|unclassified	538.6643234182
UniRef50_UPI000363345A: hypothetical protein	537.0181537868
UniRef50_UPI000363345A: hypothetical protein|unclassified	537.0181537868
UniRef50_UPI0004648BE1: chemotaxis protein CheW	525.0503685134
UniRef50_UPI0004648BE1: chemotaxis protein CheW|unclassified	525.0503685134
UniRef50_Q221I1: Chemotaxis response regulator protein-glutamate methylesterase 1	515.4220521377
UniRef50_Q221I1: Chemotaxis response regulator protein-glutamate methylesterase 1|unclassified	515.4220521377
UniRef50_UPI000248334A: aerotaxis sensor receptor protein, partial	513.0170385720
UniRef50_UPI000248334A: aerotaxis sensor receptor protein, partial|unclassified	513.0170385720
UniRef50_A8T612: Methyl-accepting chemotaxis protein (Fragment)	509.7151926124
UniRef50_A8T612: Methyl-accepting chemotaxis protein (Fragment)|unclassified	509.7151926124
UniRef50_B1FRP3	508.5932758663
UniRef50_B1FRP3|unclassified	508.5932758663
UniRef50_L8UFP3: D-galactose-binding periplasmic protein	499.8398217332
UniRef50_L8UFP3: D-galactose-binding periplasmic protein|unclassified	499.8398217332
UniRef50_B1TGK5	498.2541312366
UniRef50_B1TGK5|unclassified	498.2541312366
UniRef50_UPI0002887212: chemotaxis protein CheW	490.8043987580
UniRef50_UPI0002887212: chemotaxis protein CheW|unclassified	490.8043987580
UniRef50_UPI000372164E: chemotaxis protein CheR	483.0093020861
UniRef50_UPI000372164E: chemotaxis protein CheR|unclassified	483.0093020861
UniRef50_UPI00037704CB: hypothetical protein	476.7671054844
UniRef50_UPI00037704CB: hypothetical protein|unclassified	476.7671054844
UniRef50_B1KHY2: CheC domain protein	473.7548940427
UniRef50_B1KHY2: CheC domain protein|unclassified	473.7548940427
UniRef50_A5XRE3	456.7488468486
UniRef50_A5XRE3|unclassified	456.7488468486
UniRef50_Q3KFZ6: Chemotaxis response regulator protein-glutamate methylesterase 2	455.3663741537
UniRef50_Q3KFZ6: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	455.3663741537
UniRef50_Q9WYT5: Chemotaxis protein methyltransferase	451.9331777006
UniRef50_Q9WYT5: Chemotaxis protein methyltransferase|unclassified	451.9331777006
UniRef50_UPI000262B52C: methyl-accepting chemotaxis protein, partial	447.7097369256
UniRef50_UPI000262B52C: methyl-accepting chemotaxis protein, partial|unclassified	447.7097369256
UniRef50_UPI0002483587: aerotaxis receptor, partial	447.2606535204
UniRef50_UPI0002483587: aerotaxis receptor, partial|unclassified	447.2606535204
UniRef50_Q085K9: Chemotaxis response regulator protein-glutamate methylesterase	441.5729980075
UniRef50_Q085K9: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	441.5729980075
UniRef50_W1YHW0: Chemotaxis protein CheA (Fragment)	438.2245018609
UniRef50_W1YHW0: Chemotaxis protein CheA (Fragment)|unclassified	438.2245018609
UniRef50_A5F1A0: Probable chemoreceptor glutamine deamidase CheD	432.5523178794
UniRef50_A5F1A0: Probable chemoreceptor glutamine deamidase CheD|unclassified	432.5523178794
UniRef50_UPI0003731CD9: hypothetical protein, partial	431.2602744643
UniRef50_UPI0003731CD9: hypothetical protein, partial|unclassified	431.2602744643
UniRef50_F5NX75: Galactose-binding transport protein	430.6927676739
UniRef50_F5NX75: Galactose-binding transport protein|unclassified	430.6927676739
UniRef50_Q9KS59: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon	429.6974380469
UniRef50_Q9KS59: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon|unclassified	429.6974380469
UniRef50_UPI000363A787: hypothetical protein	425.4356120594
UniRef50_UPI000363A787: hypothetical protein|unclassified	425.4356120594
UniRef50_UPI000464CE1C: hypothetical protein, partial	423.5834058089
UniRef50_UPI000464CE1C: hypothetical protein, partial|unclassified	423.5834058089
UniRef50_UPI0004727367: hypothetical protein, partial	419.0016370913
UniRef50_UPI0004727367: hypothetical protein, partial|unclassified	419.0016370913
UniRef50_W7X7E7	418.5908733483
UniRef50_W7X7E7|unclassified	418.5908733483
UniRef50_Q884V3: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	411.5899850227
UniRef50_Q884V3: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	411.5899850227
UniRef50_UPI0004650DE2: chemotaxis protein CheW	406.2099016369
UniRef50_UPI0004650DE2: chemotaxis protein CheW|unclassified	406.2099016369
UniRef50_G2T6W6: Periplasmic binding protein/LacI transcriptional regulator	402.4484047957
UniRef50_G2T6W6: Periplasmic binding protein/LacI transcriptional regulator|unclassified	402.4484047957
UniRef50_A0A011R0R6	401.1747067335
UniRef50_A0A011R0R6|unclassified	401.1747067335
UniRef50_UPI000346A235: hypothetical protein	401.0331501886
UniRef50_UPI000346A235: hypothetical protein|unclassified	401.0331501886
UniRef50_UPI00037C2AF6: MULTISPECIES: hypothetical protein	398.3602417905
UniRef50_UPI00037C2AF6: MULTISPECIES: hypothetical protein|unclassified	398.3602417905
UniRef50_A0A011Q2Q3	396.1301967446
UniRef50_A0A011Q2Q3|unclassified	396.1301967446
UniRef50_P29072: Chemotaxis protein CheA	395.2538435425
UniRef50_P29072: Chemotaxis protein CheA|unclassified	395.2538435425
UniRef50_F9I5R4	395.2242699157
UniRef50_F9I5R4|unclassified	395.2242699157
UniRef50_UPI00037195C4: hypothetical protein, partial	395.1101735146
UniRef50_UPI00037195C4: hypothetical protein, partial|unclassified	395.1101735146
UniRef50_K8A5P1	394.9902182605
UniRef50_K8A5P1|unclassified	394.9902182605
UniRef50_UPI0003B48AAB: protein phosphatase	394.9580735772
UniRef50_UPI0003B48AAB: protein phosphatase|unclassified	394.9580735772
UniRef50_UPI0003EF6104: hypothetical protein	390.3075069320
UniRef50_UPI0003EF6104: hypothetical protein|unclassified	390.3075069320
UniRef50_UPI00036F9D5F: hypothetical protein	389.0173715254
UniRef50_UPI00036F9D5F: hypothetical protein|unclassified	389.0173715254
UniRef50_UPI000374BAFA: hypothetical protein	386.9036433694
UniRef50_UPI000374BAFA: hypothetical protein|unclassified	386.9036433694
UniRef50_UPI0003814608: chemotaxis protein, partial	386.2101922859
UniRef50_UPI0003814608: chemotaxis protein, partial|unclassified	386.2101922859
UniRef50_UPI000473C296: membrane protein, partial	384.4516206390
UniRef50_UPI000473C296: membrane protein, partial|unclassified	384.4516206390
UniRef50_E8KEH7	379.5715156832
UniRef50_E8KEH7|unclassified	379.5715156832
UniRef50_UPI0002D4E0B0: hypothetical protein	376.8559740356
UniRef50_UPI0002D4E0B0: hypothetical protein|unclassified	376.8559740356
UniRef50_A5L3X2: Methyl-accepting chemotaxis protein (Fragment)	375.3253237924
UniRef50_A5L3X2: Methyl-accepting chemotaxis protein (Fragment)|unclassified	375.3253237924
UniRef50_UPI0002BBBE12: hypothetical protein	373.6256117215
UniRef50_UPI0002BBBE12: hypothetical protein|unclassified	373.6256117215
UniRef50_UPI00040A51F8: chemotaxis protein	372.4421672966
UniRef50_UPI00040A51F8: chemotaxis protein|unclassified	372.4421672966
UniRef50_A0A011MXU1: Chemotaxis protein CheW	370.2432845564
UniRef50_A0A011MXU1: Chemotaxis protein CheW|unclassified	370.2432845564
UniRef50_UPI0003673F08: hypothetical protein, partial	366.2066099571
UniRef50_UPI0003673F08: hypothetical protein, partial|unclassified	366.2066099571
UniRef50_A0A011M2V4: Chemotaxis protein CheA	365.2090245086
UniRef50_A0A011M2V4: Chemotaxis protein CheA|unclassified	365.2090245086
UniRef50_Q2LSL3: Chemotaxis response regulator protein-glutamate methylesterase 2	359.9365127320
UniRef50_Q2LSL3: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	359.9365127320
UniRef50_UPI00025560C4: chemotaxis protein CheR	356.9789084185
UniRef50_UPI00025560C4: chemotaxis protein CheR|unclassified	356.9789084185
UniRef50_UPI00037E3D52: hypothetical protein, partial	356.7951511565
UniRef50_UPI00037E3D52: hypothetical protein, partial|unclassified	356.7951511565
UniRef50_UPI000467F7F6: hypothetical protein	354.6181395789
UniRef50_UPI000467F7F6: hypothetical protein|unclassified	354.6181395789
UniRef50_D0B1Z2: Periplasmic binding protein/LacI transcriptional regulator	352.9247755329
UniRef50_D0B1Z2: Periplasmic binding protein/LacI transcriptional regulator|unclassified	352.9247755329
UniRef50_Q6LU37	347.4961546287
UniRef50_Q6LU37|unclassified	347.4961546287
UniRef50_G7LUK2: Periplasmic binding protein/LacI transcriptional regulator	346.4027438089
UniRef50_G7LUK2: Periplasmic binding protein/LacI transcriptional regulator|unclassified	346.4027438089
UniRef50_UPI000380249D: hypothetical protein	344.7298134864
UniRef50_UPI000380249D: hypothetical protein|unclassified	344.7298134864
UniRef50_A1WJI7: Periplasmic binding protein/LacI transcriptional regulator	340.0109777513
UniRef50_A1WJI7: Periplasmic binding protein/LacI transcriptional regulator|unclassified	340.0109777513
UniRef50_UPI000472737B: chemotaxis protein CheA, partial	338.9082811943
UniRef50_UPI000472737B: chemotaxis protein CheA, partial|unclassified	338.9082811943
UniRef50_UPI0002887B02: flagellar motor switch protein G, partial	334.2266759443
UniRef50_UPI0002887B02: flagellar motor switch protein G, partial|unclassified	334.2266759443
UniRef50_UPI00037BB2C4: hypothetical protein	334.1038391459
UniRef50_UPI00037BB2C4: hypothetical protein|unclassified	334.1038391459
UniRef50_Q2SPQ1: Chemotaxis response regulator protein-glutamate methylesterase 1	332.8765666189
UniRef50_Q2SPQ1: Chemotaxis response regulator protein-glutamate methylesterase 1|unclassified	332.8765666189
UniRef50_UPI0003B625B3: chemotaxis protein CheA	332.4502418395
UniRef50_UPI0003B625B3: chemotaxis protein CheA|unclassified	332.4502418395
UniRef50_UPI000363EF42: chemotaxis protein CheW	332.0681584438
UniRef50_UPI000363EF42: chemotaxis protein CheW|unclassified	332.0681584438
UniRef50_UPI000428F92B: chemotaxis protein CheR	329.8712503367
UniRef50_UPI000428F92B: chemotaxis protein CheR|unclassified	329.8712503367
UniRef50_UPI0004634085: hypothetical protein	329.6583092587
UniRef50_UPI0004634085: hypothetical protein|unclassified	329.6583092587
UniRef50_UPI00046532D4: chemotaxis protein CheY, partial	329.0189100780
UniRef50_UPI00046532D4: chemotaxis protein CheY, partial|unclassified	329.0189100780
UniRef50_UPI00047A29AB: hypothetical protein, partial	328.7285731747
UniRef50_UPI00047A29AB: hypothetical protein, partial|unclassified	328.7285731747
UniRef50_Q8EF61: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	324.4430741720
UniRef50_Q8EF61: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	324.4430741720
UniRef50_T2AJS1	323.8225292187
UniRef50_T2AJS1|unclassified	323.8225292187
UniRef50_UPI0003813966: hypothetical protein	321.3353150271
UniRef50_UPI0003813966: hypothetical protein|unclassified	321.3353150271
UniRef50_UPI000376A50F: hypothetical protein, partial	318.5566686656
UniRef50_UPI000376A50F: hypothetical protein, partial|unclassified	318.5566686656
UniRef50_Q09BH0	317.8853349644
UniRef50_Q09BH0|unclassified	317.8853349644
UniRef50_Q8RA16: Probable chemoreceptor glutamine deamidase CheD	317.0829337328
UniRef50_Q8RA16: Probable chemoreceptor glutamine deamidase CheD|unclassified	317.0829337328
UniRef50_Q56310: Chemotaxis protein CheA	313.9188487819
UniRef50_Q56310: Chemotaxis protein CheA|unclassified	313.9188487819
UniRef50_K5K6H4	310.3902458788
UniRef50_K5K6H4|unclassified	310.3902458788
UniRef50_UPI000466CD2A: hypothetical protein	309.9335192966
UniRef50_UPI000466CD2A: hypothetical protein|unclassified	309.9335192966
UniRef50_W7WA05	308.7099146874
UniRef50_W7WA05|unclassified	308.7099146874
UniRef50_UPI00016C38BC: purine-binding chemotaxis protein	308.5766342326
UniRef50_UPI00016C38BC: purine-binding chemotaxis protein|unclassified	308.5766342326
UniRef50_W7WZG6	308.2313252312
UniRef50_W7WZG6|unclassified	308.2313252312
UniRef50_UPI00038184FA: hypothetical protein	307.9115237151
UniRef50_UPI00038184FA: hypothetical protein|unclassified	307.9115237151
UniRef50_K8BHB2	306.5343190543
UniRef50_K8BHB2|unclassified	306.5343190543
UniRef50_W4RZD3	303.9092848619
UniRef50_W4RZD3|unclassified	303.9092848619
UniRef50_S6UB76: Response regulator/TPR domain protein (Fragment)	303.4943259268
UniRef50_S6UB76: Response regulator/TPR domain protein (Fragment)|unclassified	303.4943259268
UniRef50_UPI0003B54A55: chemotaxis protein	301.6078807344
UniRef50_UPI0003B54A55: chemotaxis protein|unclassified	301.6078807344
UniRef50_UPI000467575C: chemotaxis protein CheW	300.3509856840
UniRef50_UPI000467575C: chemotaxis protein CheW|unclassified	300.3509856840
UniRef50_Q31HL9: Chemotaxis response regulator protein-glutamate methylesterase	299.7059264842
UniRef50_Q31HL9: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	299.7059264842
UniRef50_UPI00016C4567: chemotaxis protein methyltransferase	297.3843234229
UniRef50_UPI00016C4567: chemotaxis protein methyltransferase|unclassified	297.3843234229
UniRef50_A9M9G9	294.6354205622
UniRef50_A9M9G9|unclassified	294.6354205622
UniRef50_Q30RX5: Chemotaxis response regulator protein-glutamate methylesterase	293.7106497875
UniRef50_Q30RX5: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	293.7106497875
UniRef50_UPI0001BF5D80: hypothetical protein SMAC_10033, partial	293.1028290740
UniRef50_UPI0001BF5D80: hypothetical protein SMAC_10033, partial|unclassified	293.1028290740
UniRef50_UPI00041FC1CE: protein phosphatase	291.2809786146
UniRef50_UPI00041FC1CE: protein phosphatase|unclassified	291.2809786146
UniRef50_R9RCC7	289.9744762698
UniRef50_R9RCC7|unclassified	289.9744762698
UniRef50_UPI00047008E1: chemotaxis protein, partial	289.9183089219
UniRef50_UPI00047008E1: chemotaxis protein, partial|unclassified	289.9183089219
UniRef50_UPI00036C1645: hypothetical protein	286.9004757432
UniRef50_UPI00036C1645: hypothetical protein|unclassified	286.9004757432
UniRef50_UPI000477E03C: chemotaxis protein CheW	285.4185829812
UniRef50_UPI000477E03C: chemotaxis protein CheW|unclassified	285.4185829812
UniRef50_O85128: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	282.8060786287
UniRef50_O85128: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	282.8060786287
UniRef50_UPI00046CF145: hypothetical protein	282.6146900857
UniRef50_UPI00046CF145: hypothetical protein|unclassified	282.6146900857
UniRef50_UPI000372393B: hypothetical protein	282.0106961634
UniRef50_UPI000372393B: hypothetical protein|unclassified	282.0106961634
UniRef50_K8DFZ5	280.6444355402
UniRef50_K8DFZ5|unclassified	280.6444355402
UniRef50_V8VI41	277.0344887891
UniRef50_V8VI41|unclassified	277.0344887891
UniRef50_A5MZ48: Probable chemoreceptor glutamine deamidase CheD	276.2513198121
UniRef50_A5MZ48: Probable chemoreceptor glutamine deamidase CheD|unclassified	276.2513198121
UniRef50_UPI0001E2E35A: chemotaxis protein CheY	275.1668443285
UniRef50_UPI0001E2E35A: chemotaxis protein CheY|unclassified	275.1668443285
UniRef50_Q65JK2: Chemoreceptor glutamine deamidase CheD	271.4907909569
UniRef50_Q65JK2: Chemoreceptor glutamine deamidase CheD|unclassified	271.4907909569
UniRef50_UPI000476D3B9: hypothetical protein	271.4578034471
UniRef50_UPI000476D3B9: hypothetical protein|unclassified	271.4578034471
UniRef50_K8CV13	270.4206628163
UniRef50_K8CV13|unclassified	270.4206628163
UniRef50_UPI0003108C11: hypothetical protein	270.0413812859
UniRef50_UPI0003108C11: hypothetical protein|unclassified	270.0413812859
UniRef50_UPI000362D7F9: hypothetical protein	269.6423724342
UniRef50_UPI000362D7F9: hypothetical protein|unclassified	269.6423724342
UniRef50_UPI0003B6DD39: chemotaxis protein CheW	268.1303064244
UniRef50_UPI0003B6DD39: chemotaxis protein CheW|unclassified	268.1303064244
UniRef50_UPI00035CAEEE: hypothetical protein, partial	265.0475608291
UniRef50_UPI00035CAEEE: hypothetical protein, partial|unclassified	265.0475608291
UniRef50_UPI0002E84DEF: hypothetical protein	261.5024107312
UniRef50_UPI0002E84DEF: hypothetical protein|unclassified	261.5024107312
UniRef50_UPI000473735D: chemotaxis protein	260.0910164022
UniRef50_UPI000473735D: chemotaxis protein|unclassified	260.0910164022
UniRef50_UPI000291BCC6: CheB protein	259.4225732579
UniRef50_UPI000291BCC6: CheB protein|unclassified	259.4225732579
UniRef50_UPI0002D63536: chemotaxis protein	256.6084454307
UniRef50_UPI0002D63536: chemotaxis protein|unclassified	256.6084454307
UniRef50_UPI0003B4D3AD: chemotaxis protein CheW	253.6165566293
UniRef50_UPI0003B4D3AD: chemotaxis protein CheW|unclassified	253.6165566293
UniRef50_UPI000362CBA8: hypothetical protein	252.4122211780
UniRef50_UPI000362CBA8: hypothetical protein|unclassified	252.4122211780
UniRef50_Q88GG4: Putative methyltransferase Cher3	252.2142917052
UniRef50_Q88GG4: Putative methyltransferase Cher3|unclassified	252.2142917052
UniRef50_UPI00029CC73F: chemotaxis protein CheV, partial	251.8210532433
UniRef50_UPI00029CC73F: chemotaxis protein CheV, partial|unclassified	251.8210532433
UniRef50_W0YLW3	251.4128441526
UniRef50_W0YLW3|unclassified	251.4128441526
UniRef50_UPI00047419B0: chemotaxis protein	250.7852366558
UniRef50_UPI00047419B0: chemotaxis protein|unclassified	250.7852366558
UniRef50_UPI000470FF8A: chemotaxis protein CheY	250.7352537613
UniRef50_UPI000470FF8A: chemotaxis protein CheY|unclassified	250.7352537613
UniRef50_K5LBW6: Four helix bundle sensory module for signal transduction family protein	249.6749337934
UniRef50_K5LBW6: Four helix bundle sensory module for signal transduction family protein|unclassified	249.6749337934
