# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-RPKs
UniRef50_Q9JZ56: Aspartate 1-decarboxylase|unclassified	1772.1745729124
UniRef50_Q48UU5: Dephospho-CoA kinase	1759.0881210684
UniRef50_Q48UU5: Dephospho-CoA kinase|unclassified	1759.0881210684
UniRef50_C5D8K3: Phosphopantetheine adenylyltransferase	1723.2715969756
UniRef50_C5D8K3: Phosphopantetheine adenylyltransferase|unclassified	1723.2715969756
UniRef50_O35033: Probable coenzyme A biosynthesis bifunctional protein CoaBC	1708.2126896987
UniRef50_O35033: Probable coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	1708.2126896987
UniRef50_Q65I58: Aspartate 1-decarboxylase	1691.8142276495
UniRef50_Q65I58: Aspartate 1-decarboxylase|unclassified	1691.8142276495
UniRef50_Q5L3T0: Type III pantothenate kinase	1647.6582293471
UniRef50_Q5L3T0: Type III pantothenate kinase|unclassified	1647.6582293471
UniRef50_B5F831: Aspartate 1-decarboxylase	1617.7265615435
UniRef50_B5F831: Aspartate 1-decarboxylase|unclassified	1617.7265615435
UniRef50_A4XKE2: Phosphopantetheine adenylyltransferase	1615.6241889919
UniRef50_A4XKE2: Phosphopantetheine adenylyltransferase|unclassified	1615.6241889919
UniRef50_UPI0003B6245B: pantothenate kinase, partial	1597.4873655039
UniRef50_UPI0003B6245B: pantothenate kinase, partial|unclassified	1597.4873655039
UniRef50_UPI00046F40F6: hypothetical protein, partial	1590.2654847467
UniRef50_UPI00046F40F6: hypothetical protein, partial|unclassified	1590.2654847467
UniRef50_Q3A9L0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1508.0696384936
UniRef50_Q3A9L0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1508.0696384936
UniRef50_Q895N8: Phosphopantetheine adenylyltransferase	1486.9043624777
UniRef50_Q895N8: Phosphopantetheine adenylyltransferase|unclassified	1486.9043624777
UniRef50_Q736G1: Type II pantothenate kinase	1478.4498178470
UniRef50_Q736G1: Type II pantothenate kinase|unclassified	1478.4498178470
UniRef50_Q2YTA2: Dephospho-CoA kinase	1453.5454051236
UniRef50_Q2YTA2: Dephospho-CoA kinase|unclassified	1453.5454051236
UniRef50_Q54433: Probable phosphopantothenoylcysteine decarboxylase	1443.2672713579
UniRef50_Q54433: Probable phosphopantothenoylcysteine decarboxylase|unclassified	1443.2672713579
UniRef50_P52999: Aspartate 1-decarboxylase	1439.5182767447
UniRef50_P52999: Aspartate 1-decarboxylase|unclassified	1439.5182767447
UniRef50_C3AMB7: Flavoprotein	1437.6631061615
UniRef50_C3AMB7: Flavoprotein|unclassified	1437.6631061615
UniRef50_C0Z7P4: Pantothenate kinase	1418.8069864331
UniRef50_C0Z7P4: Pantothenate kinase|unclassified	1418.8069864331
UniRef50_P63811: Pantothenate kinase	1392.3465201760
UniRef50_P63811: Pantothenate kinase|unclassified	1392.3465201760
UniRef50_B2RK28: Aspartate 1-decarboxylase	1374.2148882691
UniRef50_B2RK28: Aspartate 1-decarboxylase|unclassified	1374.2148882691
UniRef50_B8ZNP1: Pantothenate kinase	1360.4426011698
UniRef50_B8ZNP1: Pantothenate kinase|unclassified	1360.4426011698
UniRef50_U1D5J3	1341.4937191485
UniRef50_U1D5J3|unclassified	1341.4937191485
UniRef50_A5F974: Pantothenate synthetase	1312.0342699865
UniRef50_A5F974: Pantothenate synthetase|unclassified	1312.0342699865
UniRef50_A1T0P0: Pantothenate kinase	1289.8981789794
UniRef50_A1T0P0: Pantothenate kinase|unclassified	1289.8981789794
UniRef50_Q5XCQ0: Putative 2-dehydropantoate 2-reductase	1280.7260569495
UniRef50_Q5XCQ0: Putative 2-dehydropantoate 2-reductase|unclassified	1280.7260569495
UniRef50_A5W974: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1262.7946345754
UniRef50_A5W974: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1262.7946345754
UniRef50_A9AUB8: Aspartate 1-decarboxylase	1256.8086081157
UniRef50_A9AUB8: Aspartate 1-decarboxylase|unclassified	1256.8086081157
UniRef50_B4SS16: Phosphopantetheine adenylyltransferase	1253.4778166990
UniRef50_B4SS16: Phosphopantetheine adenylyltransferase|unclassified	1253.4778166990
UniRef50_Q65I56: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1252.7327566567
UniRef50_Q65I56: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1252.7327566567
UniRef50_Q1MNG0: Pantothenate kinase	1241.7526915249
UniRef50_Q1MNG0: Pantothenate kinase|unclassified	1241.7526915249
UniRef50_J3QJE1	1233.9648850766
UniRef50_J3QJE1|unclassified	1233.9648850766
UniRef50_Q987N5: Putative 2-dehydropantoate 2-reductase	1224.9472283178
UniRef50_Q987N5: Putative 2-dehydropantoate 2-reductase|unclassified	1224.9472283178
UniRef50_Q92PY8: Phosphopantetheine adenylyltransferase	1206.4352033542
UniRef50_Q92PY8: Phosphopantetheine adenylyltransferase|unclassified	1206.4352033542
UniRef50_A1UU59: Pantothenate kinase	1203.5229110927
UniRef50_A1UU59: Pantothenate kinase|unclassified	1203.5229110927
UniRef50_Q87T80: Phosphopantetheine adenylyltransferase	1196.1494494507
UniRef50_Q87T80: Phosphopantetheine adenylyltransferase|unclassified	1196.1494494507
UniRef50_Q2RM79: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1165.8043332857
UniRef50_Q2RM79: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1165.8043332857
UniRef50_Q5KXX4: Aspartate 1-decarboxylase	1150.7202839566
UniRef50_Q5KXX4: Aspartate 1-decarboxylase|unclassified	1150.7202839566
UniRef50_B2GEA0: Pantothenate kinase	1150.4287033948
UniRef50_B2GEA0: Pantothenate kinase|unclassified	1150.4287033948
UniRef50_B6EPN7: Phosphopantetheine adenylyltransferase	1148.4177340649
UniRef50_B6EPN7: Phosphopantetheine adenylyltransferase|unclassified	1148.4177340649
UniRef50_Q9KPE3: Dephospho-CoA kinase	1119.3516806204
UniRef50_Q9KPE3: Dephospho-CoA kinase|unclassified	1119.3516806204
UniRef50_A1SF33: Pantothenate kinase	1110.1033185991
UniRef50_A1SF33: Pantothenate kinase|unclassified	1110.1033185991
UniRef50_Q87EV8: Aspartate 1-decarboxylase	1090.5151820847
UniRef50_Q87EV8: Aspartate 1-decarboxylase|unclassified	1090.5151820847
UniRef50_Q9KPQ9: 2-dehydropantoate 2-reductase	1086.6262846515
UniRef50_Q9KPQ9: 2-dehydropantoate 2-reductase|unclassified	1086.6262846515
UniRef50_C5BN52: Aspartate 1-decarboxylase	1059.7761740918
UniRef50_C5BN52: Aspartate 1-decarboxylase|unclassified	1059.7761740918
UniRef50_A4F6T1: Aspartate 1-decarboxylase	1053.1411224018
UniRef50_A4F6T1: Aspartate 1-decarboxylase|unclassified	1053.1411224018
UniRef50_A7H796: Aspartate 1-decarboxylase	1052.6355081780
UniRef50_A7H796: Aspartate 1-decarboxylase|unclassified	1052.6355081780
UniRef50_Q21LV5: Aspartate 1-decarboxylase	1048.6060033670
UniRef50_Q21LV5: Aspartate 1-decarboxylase|unclassified	1048.6060033670
UniRef50_Q0RB93: Aspartate 1-decarboxylase	1036.3156984320
UniRef50_Q0RB93: Aspartate 1-decarboxylase|unclassified	1036.3156984320
UniRef50_Q2J4S0: Aspartate 1-decarboxylase 2	1014.3237707234
UniRef50_Q2J4S0: Aspartate 1-decarboxylase 2|unclassified	1014.3237707234
UniRef50_A5N5W0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1014.3032193825
UniRef50_A5N5W0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1014.3032193825
UniRef50_B8ZU51: Type III pantothenate kinase	998.6448492598
UniRef50_B8ZU51: Type III pantothenate kinase|unclassified	998.6448492598
UniRef50_G5QA24: Phosphopantothenoylcysteine decarboxylase	995.7106921626
UniRef50_G5QA24: Phosphopantothenoylcysteine decarboxylase|unclassified	995.7106921626
UniRef50_P67734: Coenzyme A biosynthesis bifunctional protein CoaBC	991.6140509709
UniRef50_P67734: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	991.6140509709
UniRef50_A0RBZ3: Pantothenate synthetase	986.8895128065
UniRef50_A0RBZ3: Pantothenate synthetase|unclassified	986.8895128065
UniRef50_UPI00016A762F: 2-dehydropantoate 2-reductase	966.5189623388
UniRef50_UPI00016A762F: 2-dehydropantoate 2-reductase|unclassified	966.5189623388
UniRef50_Q5ZY26: Phosphopantetheine adenylyltransferase	962.8820374543
UniRef50_Q5ZY26: Phosphopantetheine adenylyltransferase|unclassified	962.8820374543
UniRef50_B4S8V9: 3-methyl-2-oxobutanoate hydroxymethyltransferase	958.5082134440
UniRef50_B4S8V9: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	958.5082134440
UniRef50_UPI0003B79A6E: pantothenate kinase, partial	948.9917844354
UniRef50_UPI0003B79A6E: pantothenate kinase, partial|unclassified	948.9917844354
UniRef50_Q1LTN1: 3-methyl-2-oxobutanoate hydroxymethyltransferase	939.4704953963
UniRef50_Q1LTN1: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	939.4704953963
UniRef50_A3PXT6: Phosphopantetheine adenylyltransferase	938.6110930439
UniRef50_A3PXT6: Phosphopantetheine adenylyltransferase|unclassified	938.6110930439
UniRef50_Q0RFD5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	930.8557837079
UniRef50_Q0RFD5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	930.8557837079
UniRef50_B7H011: 3-methyl-2-oxobutanoate hydroxymethyltransferase	929.5069928573
UniRef50_B7H011: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	929.5069928573
UniRef50_Q6ALV4: Aspartate 1-decarboxylase	923.8913157760
UniRef50_Q6ALV4: Aspartate 1-decarboxylase|unclassified	923.8913157760
UniRef50_B2J6C6: Phosphopantetheine adenylyltransferase	923.1525711030
UniRef50_B2J6C6: Phosphopantetheine adenylyltransferase|unclassified	923.1525711030
UniRef50_Q72BV2: Phosphopantetheine adenylyltransferase	922.7072873446
UniRef50_Q72BV2: Phosphopantetheine adenylyltransferase|unclassified	922.7072873446
UniRef50_Q6D0J6: Dephospho-CoA kinase	921.8053591001
UniRef50_Q6D0J6: Dephospho-CoA kinase|unclassified	921.8053591001
UniRef50_Q5DZU8: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2	914.4047529168
UniRef50_Q5DZU8: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2|unclassified	914.4047529168
UniRef50_Q18C32: 3-methyl-2-oxobutanoate hydroxymethyltransferase	911.5722992313
UniRef50_Q18C32: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	911.5722992313
UniRef50_Q8UA92: Pantothenate synthetase	910.2487075019
UniRef50_Q8UA92: Pantothenate synthetase|unclassified	910.2487075019
UniRef50_Q5LG50: Dephospho-CoA kinase	904.4590581462
UniRef50_Q5LG50: Dephospho-CoA kinase|unclassified	904.4590581462
UniRef50_UPI0004654176: 3-methyl-2-oxobutanoate hydroxymethyltransferase	902.9568406432
UniRef50_UPI0004654176: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	902.9568406432
UniRef50_A7X6X6: Pantothenate synthetase	902.3764386699
UniRef50_A7X6X6: Pantothenate synthetase|unclassified	902.3764386699
UniRef50_UPI0003697611: hypothetical protein	897.3443136073
UniRef50_UPI0003697611: hypothetical protein|unclassified	897.3443136073
UniRef50_B6ISP7: Phosphopantetheine adenylyltransferase	889.3128376134
UniRef50_B6ISP7: Phosphopantetheine adenylyltransferase|unclassified	889.3128376134
UniRef50_Q8YN70: Phosphopantetheine adenylyltransferase	885.4301897538
UniRef50_Q8YN70: Phosphopantetheine adenylyltransferase|unclassified	885.4301897538
UniRef50_B7VHL5: Phosphopantetheine adenylyltransferase	885.0605179414
UniRef50_B7VHL5: Phosphopantetheine adenylyltransferase|unclassified	885.0605179414
UniRef50_Q2FEZ8: Type II pantothenate kinase	883.9892814058
UniRef50_Q2FEZ8: Type II pantothenate kinase|unclassified	883.9892814058
UniRef50_Q4L5D8: Phosphopantetheine adenylyltransferase	881.9704723791
UniRef50_Q4L5D8: Phosphopantetheine adenylyltransferase|unclassified	881.9704723791
UniRef50_Q7VGG0: Phosphopantetheine adenylyltransferase	881.5706703230
UniRef50_Q7VGG0: Phosphopantetheine adenylyltransferase|unclassified	881.5706703230
UniRef50_B7GN19: Phosphopantetheine adenylyltransferase	878.7404978069
UniRef50_B7GN19: Phosphopantetheine adenylyltransferase|unclassified	878.7404978069
UniRef50_B9L2B5: Phosphopantetheine adenylyltransferase	872.3849236909
UniRef50_B9L2B5: Phosphopantetheine adenylyltransferase|unclassified	872.3849236909
UniRef50_Q88Y75: Pantothenate kinase	871.7333760967
UniRef50_Q88Y75: Pantothenate kinase|unclassified	871.7333760967
UniRef50_Q8DVH2: Phosphopantetheine adenylyltransferase	869.0470994270
UniRef50_Q8DVH2: Phosphopantetheine adenylyltransferase|unclassified	869.0470994270
UniRef50_B8DEL2: Pantothenate kinase	868.6601215444
UniRef50_B8DEL2: Pantothenate kinase|unclassified	868.6601215444
UniRef50_A1A0M5: Type III pantothenate kinase	867.6328078343
UniRef50_A1A0M5: Type III pantothenate kinase|unclassified	867.6328078343
UniRef50_B8FI62: Phosphopantetheine adenylyltransferase	865.1213955232
UniRef50_B8FI62: Phosphopantetheine adenylyltransferase|unclassified	865.1213955232
UniRef50_A1RDH3: Aspartate 1-decarboxylase 1	858.7644134990
UniRef50_A1RDH3: Aspartate 1-decarboxylase 1|unclassified	858.7644134990
UniRef50_B8H729: Aspartate 1-decarboxylase	855.6289570500
UniRef50_B8H729: Aspartate 1-decarboxylase|unclassified	855.6289570500
UniRef50_UPI0004751448: hypothetical protein	854.1592282017
UniRef50_UPI0004751448: hypothetical protein|unclassified	854.1592282017
UniRef50_B1GZJ8: 3-methyl-2-oxobutanoate hydroxymethyltransferase	848.2546826021
UniRef50_B1GZJ8: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	848.2546826021
UniRef50_Q3Z8B4: 3-methyl-2-oxobutanoate hydroxymethyltransferase	842.8393031974
UniRef50_Q3Z8B4: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	842.8393031974
UniRef50_UPI0002556004: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial	840.9648421858
UniRef50_UPI0002556004: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial|unclassified	840.9648421858
UniRef50_A8ZXR7: Phosphopantetheine adenylyltransferase	825.9761903566
UniRef50_A8ZXR7: Phosphopantetheine adenylyltransferase|unclassified	825.9761903566
UniRef50_A5IJ44: Phosphopantetheine adenylyltransferase	815.7255813036
UniRef50_A5IJ44: Phosphopantetheine adenylyltransferase|unclassified	815.7255813036
UniRef50_W7WUJ4	811.8262373449
UniRef50_W7WUJ4|unclassified	811.8262373449
UniRef50_UPI00046EFE92: pantothenate kinase	804.1805411829
UniRef50_UPI00046EFE92: pantothenate kinase|unclassified	804.1805411829
UniRef50_B1HU19: 3-methyl-2-oxobutanoate hydroxymethyltransferase	792.8431240761
UniRef50_B1HU19: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	792.8431240761
UniRef50_A5CW02: Aspartate 1-decarboxylase	787.2158992573
UniRef50_A5CW02: Aspartate 1-decarboxylase|unclassified	787.2158992573
UniRef50_Q74JV6: Phosphopantetheine adenylyltransferase	783.5268481496
UniRef50_Q74JV6: Phosphopantetheine adenylyltransferase|unclassified	783.5268481496
UniRef50_UPI000377826F: pantothenate kinase	782.4176947588
UniRef50_UPI000377826F: pantothenate kinase|unclassified	782.4176947588
UniRef50_A5D5T5: Pantothenate synthetase	782.2518912974
UniRef50_A5D5T5: Pantothenate synthetase|unclassified	782.2518912974
UniRef50_Q8KCS2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	780.7028482345
UniRef50_Q8KCS2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	780.7028482345
UniRef50_UPI0004656D90: phosphopantothenoylcysteine decarboxylase	778.7292678806
UniRef50_UPI0004656D90: phosphopantothenoylcysteine decarboxylase|unclassified	778.7292678806
UniRef50_UPI00016A89C7: 2-dehydropantoate 2-reductase, partial	776.9508758987
UniRef50_UPI00016A89C7: 2-dehydropantoate 2-reductase, partial|unclassified	776.9508758987
UniRef50_Q3ZXG1: Aspartate 1-decarboxylase	772.4905806594
UniRef50_Q3ZXG1: Aspartate 1-decarboxylase|unclassified	772.4905806594
UniRef50_Q1CXC6: Aspartate 1-decarboxylase	768.2816470538
UniRef50_Q1CXC6: Aspartate 1-decarboxylase|unclassified	768.2816470538
UniRef50_Q30TR6: Aspartate 1-decarboxylase	766.9813592977
UniRef50_Q30TR6: Aspartate 1-decarboxylase|unclassified	766.9813592977
UniRef50_Q2S2P5: Aspartate 1-decarboxylase	764.3665683347
UniRef50_Q2S2P5: Aspartate 1-decarboxylase|unclassified	764.3665683347
UniRef50_UPI0004686454: pantoate--beta-alanine ligase	762.0702741297
UniRef50_UPI0004686454: pantoate--beta-alanine ligase|unclassified	762.0702741297
UniRef50_A0A011MXQ2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	754.2020667891
UniRef50_A0A011MXQ2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	754.2020667891
UniRef50_UPI000477A028: pantoate--beta-alanine ligase	753.8785252037
UniRef50_UPI000477A028: pantoate--beta-alanine ligase|unclassified	753.8785252037
UniRef50_UPI0001912A47: 2-dehydropantoate 2-reductase	748.6674924542
UniRef50_UPI0001912A47: 2-dehydropantoate 2-reductase|unclassified	748.6674924542
UniRef50_B9TPG5	746.5483466553
UniRef50_B9TPG5|unclassified	746.5483466553
UniRef50_Q3AQL9: Aspartate 1-decarboxylase	728.6842140914
UniRef50_Q3AQL9: Aspartate 1-decarboxylase|unclassified	728.6842140914
UniRef50_UPI000262D05E: phosphopantothenate synthase	716.5281131952
UniRef50_UPI000262D05E: phosphopantothenate synthase|unclassified	716.5281131952
UniRef50_A0LTD0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	716.4277682594
UniRef50_A0LTD0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	716.4277682594
UniRef50_Q87LT4: Dephospho-CoA kinase	713.8829540229
UniRef50_Q87LT4: Dephospho-CoA kinase|unclassified	713.8829540229
UniRef50_C0MBZ1: Phosphopantetheine adenylyltransferase	709.5516161350
UniRef50_C0MBZ1: Phosphopantetheine adenylyltransferase|unclassified	709.5516161350
UniRef50_Q729A6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	707.6441030679
UniRef50_Q729A6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	707.6441030679
UniRef50_G4PCX6: YloI	707.4951889419
UniRef50_G4PCX6: YloI|unclassified	707.4951889419
UniRef50_Q1J1P5: Phosphopantetheine adenylyltransferase	705.9490106344
UniRef50_Q1J1P5: Phosphopantetheine adenylyltransferase|unclassified	705.9490106344
UniRef50_P63824: Dephospho-CoA kinase	704.7976410877
UniRef50_P63824: Dephospho-CoA kinase|unclassified	704.7976410877
UniRef50_Q0C2E7: Aspartate 1-decarboxylase	704.7937621558
UniRef50_Q0C2E7: Aspartate 1-decarboxylase|unclassified	704.7937621558
UniRef50_Q4A0U0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	701.9478385160
UniRef50_Q4A0U0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	701.9478385160
UniRef50_UPI0003B75C7C: phosphopantothenoylcysteine decarboxylase	699.4355496552
UniRef50_UPI0003B75C7C: phosphopantothenoylcysteine decarboxylase|unclassified	699.4355496552
UniRef50_Q1IVF9: Type III pantothenate kinase	696.6940834459
UniRef50_Q1IVF9: Type III pantothenate kinase|unclassified	696.6940834459
UniRef50_UPI000377D965: hypothetical protein	689.2615337212
UniRef50_UPI000377D965: hypothetical protein|unclassified	689.2615337212
UniRef50_S1SZE8	688.3659667804
UniRef50_S1SZE8|unclassified	688.3659667804
UniRef50_D4KIE2: Phosphopantothenoylcysteine synthetase/decarboxylase	686.9586504893
UniRef50_D4KIE2: Phosphopantothenoylcysteine synthetase/decarboxylase|unclassified	686.9586504893
UniRef50_Q8Y6W8: Dephospho-CoA kinase	684.9517093482
UniRef50_Q8Y6W8: Dephospho-CoA kinase|unclassified	684.9517093482
UniRef50_Q929X1: Putative 2-dehydropantoate 2-reductase	680.5411854796
UniRef50_Q929X1: Putative 2-dehydropantoate 2-reductase|unclassified	680.5411854796
UniRef50_B0S155: Phosphopantetheine adenylyltransferase	677.9256348599
UniRef50_B0S155: Phosphopantetheine adenylyltransferase|unclassified	677.9256348599
UniRef50_R5XKA0	676.1874266584
UniRef50_R5XKA0|unclassified	676.1874266584
UniRef50_B0TYA1: Phosphopantetheine adenylyltransferase	674.5303865736
UniRef50_B0TYA1: Phosphopantetheine adenylyltransferase|unclassified	674.5303865736
UniRef50_Q9HW09: Probable 2-dehydropantoate 2-reductase	673.2552474024
UniRef50_Q9HW09: Probable 2-dehydropantoate 2-reductase|unclassified	673.2552474024
UniRef50_UPI00022CA8D9: PREDICTED: coenzyme A biosynthesis bifunctional protein CoaBC-like	669.1470301622
UniRef50_UPI00022CA8D9: PREDICTED: coenzyme A biosynthesis bifunctional protein CoaBC-like|unclassified	669.1470301622
UniRef50_B2V652: Pantothenate synthetase	667.6849293336
UniRef50_B2V652: Pantothenate synthetase|unclassified	667.6849293336
UniRef50_A1WUU5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	667.4479813034
UniRef50_A1WUU5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	667.4479813034
UniRef50_P58100: Dephospho-CoA kinase	667.4182211231
UniRef50_P58100: Dephospho-CoA kinase|unclassified	667.4182211231
UniRef50_UPI00030AF54D: hypothetical protein	662.7306032842
UniRef50_UPI00030AF54D: hypothetical protein|unclassified	662.7306032842
UniRef50_B1LTL1: 3-methyl-2-oxobutanoate hydroxymethyltransferase	661.4785790197
UniRef50_B1LTL1: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	661.4785790197
UniRef50_UPI0002492B24: pantothenate kinase	660.2003690961
UniRef50_UPI0002492B24: pantothenate kinase|unclassified	660.2003690961
UniRef50_Q1J0L2: Pantothenate synthetase	659.9313850839
UniRef50_Q1J0L2: Pantothenate synthetase|unclassified	659.9313850839
UniRef50_UPI0003802E0B: hypothetical protein	658.2785037436
UniRef50_UPI0003802E0B: hypothetical protein|unclassified	658.2785037436
UniRef50_Q2S8W2: Pantothenate synthetase	652.6989712073
UniRef50_Q2S8W2: Pantothenate synthetase|unclassified	652.6989712073
UniRef50_B3WE28: Phosphopantetheine adenylyltransferase	651.6162884760
UniRef50_B3WE28: Phosphopantetheine adenylyltransferase|unclassified	651.6162884760
UniRef50_Q8A3C0: Phosphopantetheine adenylyltransferase	647.4757519464
UniRef50_Q8A3C0: Phosphopantetheine adenylyltransferase|unclassified	647.4757519464
UniRef50_Q65R52: Phosphopantetheine adenylyltransferase	644.0603422772
UniRef50_Q65R52: Phosphopantetheine adenylyltransferase|unclassified	644.0603422772
UniRef50_A7NB32: 3-methyl-2-oxobutanoate hydroxymethyltransferase	639.0644422194
UniRef50_A7NB32: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	639.0644422194
UniRef50_Q5KXX3: Pantothenate synthetase	637.6683463825
UniRef50_Q5KXX3: Pantothenate synthetase|unclassified	637.6683463825
UniRef50_Q9HVP8: Dephospho-CoA kinase	630.9482907272
UniRef50_Q9HVP8: Dephospho-CoA kinase|unclassified	630.9482907272
UniRef50_P44920: Dephospho-CoA kinase	630.6146427780
UniRef50_P44920: Dephospho-CoA kinase|unclassified	630.6146427780
UniRef50_C1F8U3: Pantothenate synthetase	629.9992021222
UniRef50_C1F8U3: Pantothenate synthetase|unclassified	629.9992021222
UniRef50_UPI00025564EE: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase, partial	625.0069402479
UniRef50_UPI00025564EE: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase, partial|unclassified	625.0069402479
UniRef50_UPI000478667F: phosphopantothenoylcysteine decarboxylase	619.5348245553
UniRef50_UPI000478667F: phosphopantothenoylcysteine decarboxylase|unclassified	619.5348245553
UniRef50_R0WBG5	619.0272522335
UniRef50_R0WBG5|unclassified	619.0272522335
UniRef50_C0ASH9: DNA / pantothenate metabolism flavoprotein	612.8448514416
UniRef50_C0ASH9: DNA / pantothenate metabolism flavoprotein|unclassified	612.8448514416
UniRef50_P9WIL0: Putative 2-dehydropantoate 2-reductase	611.6431765486
UniRef50_P9WIL0: Putative 2-dehydropantoate 2-reductase|unclassified	611.6431765486
UniRef50_UPI0003608AD4: MULTISPECIES: hypothetical protein	610.5162865034
UniRef50_UPI0003608AD4: MULTISPECIES: hypothetical protein|unclassified	610.5162865034
UniRef50_Q4L811: Type II pantothenate kinase	605.2245198379
UniRef50_Q4L811: Type II pantothenate kinase|unclassified	605.2245198379
UniRef50_A1BDG1: Aspartate 1-decarboxylase	604.8937250935
UniRef50_A1BDG1: Aspartate 1-decarboxylase|unclassified	604.8937250935
UniRef50_Q5ZS58: 3-methyl-2-oxobutanoate hydroxymethyltransferase	601.4525429522
UniRef50_Q5ZS58: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	601.4525429522
UniRef50_Q1GIM1: Type III pantothenate kinase	601.1533953364
UniRef50_Q1GIM1: Type III pantothenate kinase|unclassified	601.1533953364
