# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-CPM
UniRef50_O35033: Probable coenzyme A biosynthesis bifunctional protein CoaBC	4453.24
UniRef50_O35033: Probable coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	4453.24
UniRef50_Q65I58: Aspartate 1-decarboxylase	4410.49
UniRef50_Q65I58: Aspartate 1-decarboxylase|unclassified	4410.49
UniRef50_Q5L3T0: Type III pantothenate kinase	4295.38
UniRef50_Q5L3T0: Type III pantothenate kinase|unclassified	4295.38
UniRef50_B5F831: Aspartate 1-decarboxylase	4217.35
UniRef50_B5F831: Aspartate 1-decarboxylase|unclassified	4217.35
UniRef50_A4XKE2: Phosphopantetheine adenylyltransferase	4211.86
UniRef50_A4XKE2: Phosphopantetheine adenylyltransferase|unclassified	4211.86
UniRef50_UPI0003B6245B: pantothenate kinase, partial	4164.58
UniRef50_UPI0003B6245B: pantothenate kinase, partial|unclassified	4164.58
UniRef50_UPI00046F40F6: hypothetical protein, partial	4145.76
UniRef50_UPI00046F40F6: hypothetical protein, partial|unclassified	4145.76
UniRef50_Q3A9L0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	3931.47
UniRef50_Q3A9L0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	3931.47
UniRef50_Q895N8: Phosphopantetheine adenylyltransferase	3876.3
UniRef50_Q895N8: Phosphopantetheine adenylyltransferase|unclassified	3876.3
UniRef50_Q736G1: Type II pantothenate kinase	3854.26
UniRef50_Q736G1: Type II pantothenate kinase|unclassified	3854.26
UniRef50_Q2YTA2: Dephospho-CoA kinase	3789.33
UniRef50_Q2YTA2: Dephospho-CoA kinase|unclassified	3789.33
UniRef50_Q54433: Probable phosphopantothenoylcysteine decarboxylase	3762.54
UniRef50_Q54433: Probable phosphopantothenoylcysteine decarboxylase|unclassified	3762.54
UniRef50_P52999: Aspartate 1-decarboxylase	3752.76
UniRef50_P52999: Aspartate 1-decarboxylase|unclassified	3752.76
UniRef50_C3AMB7: Flavoprotein	3747.93
UniRef50_C3AMB7: Flavoprotein|unclassified	3747.93
UniRef50_C0Z7P4: Pantothenate kinase	3698.77
UniRef50_C0Z7P4: Pantothenate kinase|unclassified	3698.77
UniRef50_P63811: Pantothenate kinase	3629.79
UniRef50_P63811: Pantothenate kinase|unclassified	3629.79
UniRef50_B2RK28: Aspartate 1-decarboxylase	3582.52
UniRef50_B2RK28: Aspartate 1-decarboxylase|unclassified	3582.52
UniRef50_B8ZNP1: Pantothenate kinase	3546.62
UniRef50_B8ZNP1: Pantothenate kinase|unclassified	3546.62
UniRef50_U1D5J3	3497.22
UniRef50_U1D5J3|unclassified	3497.22
UniRef50_A5F974: Pantothenate synthetase	3420.42
UniRef50_A5F974: Pantothenate synthetase|unclassified	3420.42
UniRef50_A1T0P0: Pantothenate kinase	3362.71
UniRef50_A1T0P0: Pantothenate kinase|unclassified	3362.71
UniRef50_Q5XCQ0: Putative 2-dehydropantoate 2-reductase	3338.8
UniRef50_Q5XCQ0: Putative 2-dehydropantoate 2-reductase|unclassified	3338.8
UniRef50_A5W974: 3-methyl-2-oxobutanoate hydroxymethyltransferase	3292.05
UniRef50_A5W974: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	3292.05
UniRef50_A9AUB8: Aspartate 1-decarboxylase	3276.45
UniRef50_A9AUB8: Aspartate 1-decarboxylase|unclassified	3276.45
UniRef50_B4SS16: Phosphopantetheine adenylyltransferase	3267.76
UniRef50_B4SS16: Phosphopantetheine adenylyltransferase|unclassified	3267.76
UniRef50_Q65I56: 3-methyl-2-oxobutanoate hydroxymethyltransferase	3265.82
UniRef50_Q65I56: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	3265.82
UniRef50_Q1MNG0: Pantothenate kinase	3237.2
UniRef50_Q1MNG0: Pantothenate kinase|unclassified	3237.2
UniRef50_J3QJE1	3216.89
UniRef50_J3QJE1|unclassified	3216.89
UniRef50_Q987N5: Putative 2-dehydropantoate 2-reductase	3193.39
UniRef50_Q987N5: Putative 2-dehydropantoate 2-reductase|unclassified	3193.39
UniRef50_Q92PY8: Phosphopantetheine adenylyltransferase	3145.13
UniRef50_Q92PY8: Phosphopantetheine adenylyltransferase|unclassified	3145.13
UniRef50_A1UU59: Pantothenate kinase	3137.53
UniRef50_A1UU59: Pantothenate kinase|unclassified	3137.53
UniRef50_Q87T80: Phosphopantetheine adenylyltransferase	3118.31
UniRef50_Q87T80: Phosphopantetheine adenylyltransferase|unclassified	3118.31
UniRef50_Q2RM79: 3-methyl-2-oxobutanoate hydroxymethyltransferase	3039.2
UniRef50_Q2RM79: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	3039.2
UniRef50_Q5KXX4: Aspartate 1-decarboxylase	2999.88
UniRef50_Q5KXX4: Aspartate 1-decarboxylase|unclassified	2999.88
UniRef50_B2GEA0: Pantothenate kinase	2999.12
UniRef50_B2GEA0: Pantothenate kinase|unclassified	2999.12
UniRef50_B6EPN7: Phosphopantetheine adenylyltransferase	2993.88
UniRef50_B6EPN7: Phosphopantetheine adenylyltransferase|unclassified	2993.88
UniRef50_Q9KPE3: Dephospho-CoA kinase	2918.1
UniRef50_Q9KPE3: Dephospho-CoA kinase|unclassified	2918.1
UniRef50_A1SF33: Pantothenate kinase	2893.99
UniRef50_A1SF33: Pantothenate kinase|unclassified	2893.99
UniRef50_Q87EV8: Aspartate 1-decarboxylase	2842.93
UniRef50_Q87EV8: Aspartate 1-decarboxylase|unclassified	2842.93
UniRef50_Q9KPQ9: 2-dehydropantoate 2-reductase	2832.79
UniRef50_Q9KPQ9: 2-dehydropantoate 2-reductase|unclassified	2832.79
UniRef50_C5BN52: Aspartate 1-decarboxylase	2762.79
UniRef50_C5BN52: Aspartate 1-decarboxylase|unclassified	2762.79
UniRef50_A4F6T1: Aspartate 1-decarboxylase	2745.49
UniRef50_A4F6T1: Aspartate 1-decarboxylase|unclassified	2745.49
UniRef50_A7H796: Aspartate 1-decarboxylase	2744.18
UniRef50_A7H796: Aspartate 1-decarboxylase|unclassified	2744.18
UniRef50_Q21LV5: Aspartate 1-decarboxylase	2733.67
UniRef50_Q21LV5: Aspartate 1-decarboxylase|unclassified	2733.67
UniRef50_Q0RB93: Aspartate 1-decarboxylase	2701.63
UniRef50_Q0RB93: Aspartate 1-decarboxylase|unclassified	2701.63
UniRef50_Q2J4S0: Aspartate 1-decarboxylase 2	2644.3
UniRef50_Q2J4S0: Aspartate 1-decarboxylase 2|unclassified	2644.3
UniRef50_A5N5W0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2644.25
UniRef50_A5N5W0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2644.25
UniRef50_B8ZU51: Type III pantothenate kinase	2603.43
UniRef50_B8ZU51: Type III pantothenate kinase|unclassified	2603.43
UniRef50_G5QA24: Phosphopantothenoylcysteine decarboxylase	2595.78
UniRef50_G5QA24: Phosphopantothenoylcysteine decarboxylase|unclassified	2595.78
UniRef50_P67734: Coenzyme A biosynthesis bifunctional protein CoaBC	2585.1
UniRef50_P67734: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	2585.1
UniRef50_A0RBZ3: Pantothenate synthetase	2572.78
UniRef50_A0RBZ3: Pantothenate synthetase|unclassified	2572.78
UniRef50_UPI00016A762F: 2-dehydropantoate 2-reductase	2519.67
UniRef50_UPI00016A762F: 2-dehydropantoate 2-reductase|unclassified	2519.67
UniRef50_Q5ZY26: Phosphopantetheine adenylyltransferase	2510.19
UniRef50_Q5ZY26: Phosphopantetheine adenylyltransferase|unclassified	2510.19
UniRef50_B4S8V9: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2498.79
UniRef50_B4S8V9: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2498.79
UniRef50_UPI0003B79A6E: pantothenate kinase, partial	2473.98
UniRef50_UPI0003B79A6E: pantothenate kinase, partial|unclassified	2473.98
UniRef50_Q1LTN1: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2449.16
UniRef50_Q1LTN1: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2449.16
UniRef50_A3PXT6: Phosphopantetheine adenylyltransferase	2446.92
UniRef50_A3PXT6: Phosphopantetheine adenylyltransferase|unclassified	2446.92
UniRef50_Q0RFD5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2426.7
UniRef50_Q0RFD5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2426.7
UniRef50_B7H011: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2423.19
UniRef50_B7H011: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2423.19
UniRef50_Q6ALV4: Aspartate 1-decarboxylase	2408.55
UniRef50_Q6ALV4: Aspartate 1-decarboxylase|unclassified	2408.55
UniRef50_B2J6C6: Phosphopantetheine adenylyltransferase	2406.62
UniRef50_B2J6C6: Phosphopantetheine adenylyltransferase|unclassified	2406.62
UniRef50_Q72BV2: Phosphopantetheine adenylyltransferase	2405.46
UniRef50_Q72BV2: Phosphopantetheine adenylyltransferase|unclassified	2405.46
UniRef50_Q6D0J6: Dephospho-CoA kinase	2403.11
UniRef50_Q6D0J6: Dephospho-CoA kinase|unclassified	2403.11
UniRef50_Q5DZU8: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2	2383.82
UniRef50_Q5DZU8: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2|unclassified	2383.82
UniRef50_Q18C32: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2376.43
UniRef50_Q18C32: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2376.43
UniRef50_Q8UA92: Pantothenate synthetase	2372.98
UniRef50_Q8UA92: Pantothenate synthetase|unclassified	2372.98
UniRef50_Q5LG50: Dephospho-CoA kinase	2357.89
UniRef50_Q5LG50: Dephospho-CoA kinase|unclassified	2357.89
UniRef50_UPI0004654176: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2353.97
UniRef50_UPI0004654176: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2353.97
UniRef50_A7X6X6: Pantothenate synthetase	2352.46
UniRef50_A7X6X6: Pantothenate synthetase|unclassified	2352.46
UniRef50_UPI0003697611: hypothetical protein	2339.34
UniRef50_UPI0003697611: hypothetical protein|unclassified	2339.34
UniRef50_B6ISP7: Phosphopantetheine adenylyltransferase	2318.4
UniRef50_B6ISP7: Phosphopantetheine adenylyltransferase|unclassified	2318.4
UniRef50_Q8YN70: Phosphopantetheine adenylyltransferase	2308.28
UniRef50_Q8YN70: Phosphopantetheine adenylyltransferase|unclassified	2308.28
UniRef50_B7VHL5: Phosphopantetheine adenylyltransferase	2307.32
UniRef50_B7VHL5: Phosphopantetheine adenylyltransferase|unclassified	2307.32
UniRef50_Q2FEZ8: Type II pantothenate kinase	2304.52
UniRef50_Q2FEZ8: Type II pantothenate kinase|unclassified	2304.52
UniRef50_Q4L5D8: Phosphopantetheine adenylyltransferase	2299.26
UniRef50_Q4L5D8: Phosphopantetheine adenylyltransferase|unclassified	2299.26
UniRef50_Q7VGG0: Phosphopantetheine adenylyltransferase	2298.22
UniRef50_Q7VGG0: Phosphopantetheine adenylyltransferase|unclassified	2298.22
UniRef50_B7GN19: Phosphopantetheine adenylyltransferase	2290.84
UniRef50_B7GN19: Phosphopantetheine adenylyltransferase|unclassified	2290.84
UniRef50_B9L2B5: Phosphopantetheine adenylyltransferase	2274.27
UniRef50_B9L2B5: Phosphopantetheine adenylyltransferase|unclassified	2274.27
UniRef50_Q88Y75: Pantothenate kinase	2272.57
UniRef50_Q88Y75: Pantothenate kinase|unclassified	2272.57
UniRef50_Q8DVH2: Phosphopantetheine adenylyltransferase	2265.57
UniRef50_Q8DVH2: Phosphopantetheine adenylyltransferase|unclassified	2265.57
UniRef50_B8DEL2: Pantothenate kinase	2264.56
UniRef50_B8DEL2: Pantothenate kinase|unclassified	2264.56
UniRef50_A1A0M5: Type III pantothenate kinase	2261.88
UniRef50_A1A0M5: Type III pantothenate kinase|unclassified	2261.88
UniRef50_B8FI62: Phosphopantetheine adenylyltransferase	2255.34
UniRef50_B8FI62: Phosphopantetheine adenylyltransferase|unclassified	2255.34
UniRef50_A1RDH3: Aspartate 1-decarboxylase 1	2238.76
UniRef50_A1RDH3: Aspartate 1-decarboxylase 1|unclassified	2238.76
UniRef50_B8H729: Aspartate 1-decarboxylase	2230.59
UniRef50_B8H729: Aspartate 1-decarboxylase|unclassified	2230.59
UniRef50_UPI0004751448: hypothetical protein	2226.76
UniRef50_UPI0004751448: hypothetical protein|unclassified	2226.76
UniRef50_B1GZJ8: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2211.36
UniRef50_B1GZJ8: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2211.36
UniRef50_Q3Z8B4: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2197.25
UniRef50_Q3Z8B4: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2197.25
UniRef50_UPI0002556004: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial	2192.36
UniRef50_UPI0002556004: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial|unclassified	2192.36
UniRef50_A8ZXR7: Phosphopantetheine adenylyltransferase	2153.29
UniRef50_A8ZXR7: Phosphopantetheine adenylyltransferase|unclassified	2153.29
UniRef50_A5IJ44: Phosphopantetheine adenylyltransferase	2126.56
UniRef50_A5IJ44: Phosphopantetheine adenylyltransferase|unclassified	2126.56
UniRef50_W7WUJ4	2116.4
UniRef50_W7WUJ4|unclassified	2116.4
UniRef50_UPI00046EFE92: pantothenate kinase	2096.47
UniRef50_UPI00046EFE92: pantothenate kinase|unclassified	2096.47
UniRef50_B1HU19: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2066.91
UniRef50_B1HU19: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2066.91
UniRef50_A5CW02: Aspartate 1-decarboxylase	2052.24
UniRef50_A5CW02: Aspartate 1-decarboxylase|unclassified	2052.24
UniRef50_Q74JV6: Phosphopantetheine adenylyltransferase	2042.62
UniRef50_Q74JV6: Phosphopantetheine adenylyltransferase|unclassified	2042.62
UniRef50_UPI000377826F: pantothenate kinase	2039.73
UniRef50_UPI000377826F: pantothenate kinase|unclassified	2039.73
UniRef50_A5D5T5: Pantothenate synthetase	2039.3
UniRef50_A5D5T5: Pantothenate synthetase|unclassified	2039.3
UniRef50_Q8KCS2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	2035.26
UniRef50_Q8KCS2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	2035.26
UniRef50_UPI0004656D90: phosphopantothenoylcysteine decarboxylase	2030.11
UniRef50_UPI0004656D90: phosphopantothenoylcysteine decarboxylase|unclassified	2030.11
UniRef50_UPI00016A89C7: 2-dehydropantoate 2-reductase, partial	2025.48
UniRef50_UPI00016A89C7: 2-dehydropantoate 2-reductase, partial|unclassified	2025.48
UniRef50_Q3ZXG1: Aspartate 1-decarboxylase	2013.85
UniRef50_Q3ZXG1: Aspartate 1-decarboxylase|unclassified	2013.85
UniRef50_Q1CXC6: Aspartate 1-decarboxylase	2002.88
UniRef50_Q1CXC6: Aspartate 1-decarboxylase|unclassified	2002.88
UniRef50_Q30TR6: Aspartate 1-decarboxylase	1999.49
UniRef50_Q30TR6: Aspartate 1-decarboxylase|unclassified	1999.49
UniRef50_Q2S2P5: Aspartate 1-decarboxylase	1992.67
UniRef50_Q2S2P5: Aspartate 1-decarboxylase|unclassified	1992.67
UniRef50_UPI0004686454: pantoate--beta-alanine ligase	1986.69
UniRef50_UPI0004686454: pantoate--beta-alanine ligase|unclassified	1986.69
UniRef50_A0A011MXQ2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1966.17
UniRef50_A0A011MXQ2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1966.17
UniRef50_UPI000477A028: pantoate--beta-alanine ligase	1965.33
UniRef50_UPI000477A028: pantoate--beta-alanine ligase|unclassified	1965.33
UniRef50_UPI0001912A47: 2-dehydropantoate 2-reductase	1951.74
UniRef50_UPI0001912A47: 2-dehydropantoate 2-reductase|unclassified	1951.74
UniRef50_B9TPG5	1946.22
UniRef50_B9TPG5|unclassified	1946.22
UniRef50_Q3AQL9: Aspartate 1-decarboxylase	1899.65
UniRef50_Q3AQL9: Aspartate 1-decarboxylase|unclassified	1899.65
UniRef50_UPI000262D05E: phosphopantothenate synthase	1867.96
UniRef50_UPI000262D05E: phosphopantothenate synthase|unclassified	1867.96
UniRef50_A0LTD0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1867.7
UniRef50_A0LTD0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1867.7
UniRef50_Q87LT4: Dephospho-CoA kinase	1861.06
UniRef50_Q87LT4: Dephospho-CoA kinase|unclassified	1861.06
UniRef50_C0MBZ1: Phosphopantetheine adenylyltransferase	1849.77
UniRef50_C0MBZ1: Phosphopantetheine adenylyltransferase|unclassified	1849.77
UniRef50_Q729A6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1844.8
UniRef50_Q729A6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1844.8
UniRef50_G4PCX6: YloI	1844.41
UniRef50_G4PCX6: YloI|unclassified	1844.41
UniRef50_Q1J1P5: Phosphopantetheine adenylyltransferase	1840.38
UniRef50_Q1J1P5: Phosphopantetheine adenylyltransferase|unclassified	1840.38
UniRef50_P63824: Dephospho-CoA kinase	1837.38
UniRef50_P63824: Dephospho-CoA kinase|unclassified	1837.38
UniRef50_Q0C2E7: Aspartate 1-decarboxylase	1837.37
UniRef50_Q0C2E7: Aspartate 1-decarboxylase|unclassified	1837.37
UniRef50_Q4A0U0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1829.95
UniRef50_Q4A0U0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1829.95
UniRef50_UPI0003B75C7C: phosphopantothenoylcysteine decarboxylase	1823.4
UniRef50_UPI0003B75C7C: phosphopantothenoylcysteine decarboxylase|unclassified	1823.4
UniRef50_Q1IVF9: Type III pantothenate kinase	1816.25
UniRef50_Q1IVF9: Type III pantothenate kinase|unclassified	1816.25
UniRef50_UPI000377D965: hypothetical protein	1796.88
UniRef50_UPI000377D965: hypothetical protein|unclassified	1796.88
UniRef50_S1SZE8	1794.54
UniRef50_S1SZE8|unclassified	1794.54
UniRef50_D4KIE2: Phosphopantothenoylcysteine synthetase/decarboxylase	1790.87
UniRef50_D4KIE2: Phosphopantothenoylcysteine synthetase/decarboxylase|unclassified	1790.87
UniRef50_Q8Y6W8: Dephospho-CoA kinase	1785.64
UniRef50_Q8Y6W8: Dephospho-CoA kinase|unclassified	1785.64
UniRef50_Q929X1: Putative 2-dehydropantoate 2-reductase	1774.14
UniRef50_Q929X1: Putative 2-dehydropantoate 2-reductase|unclassified	1774.14
UniRef50_B0S155: Phosphopantetheine adenylyltransferase	1767.32
UniRef50_B0S155: Phosphopantetheine adenylyltransferase|unclassified	1767.32
UniRef50_R5XKA0	1762.79
UniRef50_R5XKA0|unclassified	1762.79
UniRef50_B0TYA1: Phosphopantetheine adenylyltransferase	1758.47
UniRef50_B0TYA1: Phosphopantetheine adenylyltransferase|unclassified	1758.47
UniRef50_Q9HW09: Probable 2-dehydropantoate 2-reductase	1755.15
UniRef50_Q9HW09: Probable 2-dehydropantoate 2-reductase|unclassified	1755.15
UniRef50_UPI00022CA8D9: PREDICTED: coenzyme A biosynthesis bifunctional protein CoaBC-like	1744.44
UniRef50_UPI00022CA8D9: PREDICTED: coenzyme A biosynthesis bifunctional protein CoaBC-like|unclassified	1744.44
UniRef50_B2V652: Pantothenate synthetase	1740.63
UniRef50_B2V652: Pantothenate synthetase|unclassified	1740.63
UniRef50_A1WUU5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1740.01
UniRef50_A1WUU5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1740.01
UniRef50_P58100: Dephospho-CoA kinase	1739.93
UniRef50_P58100: Dephospho-CoA kinase|unclassified	1739.93
UniRef50_UPI00030AF54D: hypothetical protein	1727.71
UniRef50_UPI00030AF54D: hypothetical protein|unclassified	1727.71
UniRef50_B1LTL1: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1724.45
UniRef50_B1LTL1: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1724.45
UniRef50_UPI0002492B24: pantothenate kinase	1721.11
UniRef50_UPI0002492B24: pantothenate kinase|unclassified	1721.11
UniRef50_Q1J0L2: Pantothenate synthetase	1720.41
UniRef50_Q1J0L2: Pantothenate synthetase|unclassified	1720.41
UniRef50_UPI0003802E0B: hypothetical protein	1716.1
UniRef50_UPI0003802E0B: hypothetical protein|unclassified	1716.1
UniRef50_Q2S8W2: Pantothenate synthetase	1701.56
UniRef50_Q2S8W2: Pantothenate synthetase|unclassified	1701.56
UniRef50_B3WE28: Phosphopantetheine adenylyltransferase	1698.74
UniRef50_B3WE28: Phosphopantetheine adenylyltransferase|unclassified	1698.74
UniRef50_Q8A3C0: Phosphopantetheine adenylyltransferase	1687.94
UniRef50_Q8A3C0: Phosphopantetheine adenylyltransferase|unclassified	1687.94
UniRef50_Q65R52: Phosphopantetheine adenylyltransferase	1679.04
UniRef50_Q65R52: Phosphopantetheine adenylyltransferase|unclassified	1679.04
UniRef50_A7NB32: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1666.01
UniRef50_A7NB32: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1666.01
UniRef50_Q5KXX3: Pantothenate synthetase	1662.37
UniRef50_Q5KXX3: Pantothenate synthetase|unclassified	1662.37
UniRef50_Q9HVP8: Dephospho-CoA kinase	1644.86
UniRef50_Q9HVP8: Dephospho-CoA kinase|unclassified	1644.86
UniRef50_P44920: Dephospho-CoA kinase	1643.99
UniRef50_P44920: Dephospho-CoA kinase|unclassified	1643.99
UniRef50_C1F8U3: Pantothenate synthetase	1642.38
UniRef50_C1F8U3: Pantothenate synthetase|unclassified	1642.38
UniRef50_UPI00025564EE: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase, partial	1629.37
UniRef50_UPI00025564EE: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase, partial|unclassified	1629.37
UniRef50_UPI000478667F: phosphopantothenoylcysteine decarboxylase	1615.1
UniRef50_UPI000478667F: phosphopantothenoylcysteine decarboxylase|unclassified	1615.1
UniRef50_R0WBG5	1613.78
UniRef50_R0WBG5|unclassified	1613.78
UniRef50_C0ASH9: DNA / pantothenate metabolism flavoprotein	1597.66
UniRef50_C0ASH9: DNA / pantothenate metabolism flavoprotein|unclassified	1597.66
UniRef50_P9WIL0: Putative 2-dehydropantoate 2-reductase	1594.53
UniRef50_P9WIL0: Putative 2-dehydropantoate 2-reductase|unclassified	1594.53
UniRef50_UPI0003608AD4: MULTISPECIES: hypothetical protein	1591.59
UniRef50_UPI0003608AD4: MULTISPECIES: hypothetical protein|unclassified	1591.59
UniRef50_Q4L811: Type II pantothenate kinase	1577.8
UniRef50_Q4L811: Type II pantothenate kinase|unclassified	1577.8
UniRef50_A1BDG1: Aspartate 1-decarboxylase	1576.93
UniRef50_A1BDG1: Aspartate 1-decarboxylase|unclassified	1576.93
UniRef50_Q5ZS58: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1567.96
UniRef50_Q5ZS58: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1567.96
UniRef50_Q1GIM1: Type III pantothenate kinase	1567.18
UniRef50_Q1GIM1: Type III pantothenate kinase|unclassified	1567.18
UniRef50_Q8G5L8: Dephospho-CoA kinase	1564.19
UniRef50_Q8G5L8: Dephospho-CoA kinase|unclassified	1564.19
UniRef50_A0Y6D8: Bifunctional: 4'-phosphopantothenoylcysteine decarboxylase (N) phosphopantothenoylcysteine synthetase (C), FMN-binding protein (Fragment)	1562.36
UniRef50_A0Y6D8: Bifunctional: 4'-phosphopantothenoylcysteine decarboxylase (N) phosphopantothenoylcysteine synthetase (C), FMN-binding protein (Fragment)|unclassified	1562.36
UniRef50_Q9X712: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1557.27
UniRef50_Q9X712: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1557.27
UniRef50_Q9Z7U3: Dephospho-CoA kinase	1555.28
UniRef50_Q9Z7U3: Dephospho-CoA kinase|unclassified	1555.28
UniRef50_Q29W37: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1549.9
UniRef50_Q29W37: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1549.9
UniRef50_Q64XF4: Type III pantothenate kinase	1547.29
UniRef50_Q64XF4: Type III pantothenate kinase|unclassified	1547.29
UniRef50_Q3IID1: Dephospho-CoA kinase	1545.71
UniRef50_Q3IID1: Dephospho-CoA kinase|unclassified	1545.71
UniRef50_A4IQ60: Pantothenate synthetase	1541.87
UniRef50_A4IQ60: Pantothenate synthetase|unclassified	1541.87
UniRef50_Q2NAY0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1536.97
UniRef50_Q2NAY0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1536.97
