# Gene Family	SampleCobalamin_synthesis_Abundance-CPM
UniRef50_UPI0002193EF7: hypothetical protein, partial|unclassified	2985.07
UniRef50_UPI000466CA48: cobalt-precorrin-2 C(20)-methyltransferase	2813.07
UniRef50_UPI000466CA48: cobalt-precorrin-2 C(20)-methyltransferase|unclassified	2813.07
UniRef50_UPI000467F358: cobalt-precorrin-6X reductase, partial	2749.51
UniRef50_UPI000467F358: cobalt-precorrin-6X reductase, partial|unclassified	2749.51
UniRef50_UPI0001B443F7: cobalamin biosynthesis protein CobJ	2741.72
UniRef50_UPI0001B443F7: cobalamin biosynthesis protein CobJ|unclassified	2741.72
UniRef50_A9MAP0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	2739.94
UniRef50_A9MAP0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	2739.94
UniRef50_UPI000472FE46: hypothetical protein, partial	2709.63
UniRef50_UPI000472FE46: hypothetical protein, partial|unclassified	2709.63
UniRef50_Q8G022: Cobalamin biosynthesis protein CobD	2706.55
UniRef50_Q8G022: Cobalamin biosynthesis protein CobD|unclassified	2706.55
UniRef50_I2VXH4: Alpha-ribazole phosphatase	2678.73
UniRef50_I2VXH4: Alpha-ribazole phosphatase|unclassified	2678.73
UniRef50_UPI0001B4628D: hypothetical protein, partial	2673.48
UniRef50_UPI0001B4628D: hypothetical protein, partial|unclassified	2673.48
UniRef50_UPI000473354C: hypothetical protein, partial	2654.39
UniRef50_UPI000473354C: hypothetical protein, partial|unclassified	2654.39
UniRef50_UPI00029AED1F: CobB/CobQ domain protein glutamine amidotransferase	2590.8
UniRef50_UPI00029AED1F: CobB/CobQ domain protein glutamine amidotransferase|unclassified	2590.8
UniRef50_P29946: Cobyrinic acid A,C-diamide synthase	2578.81
UniRef50_P29946: Cobyrinic acid A,C-diamide synthase|unclassified	2578.81
UniRef50_Q7N2S6: Cobalamin biosynthesis protein CobD	2570.17
UniRef50_Q7N2S6: Cobalamin biosynthesis protein CobD|unclassified	2570.17
UniRef50_Q8EI15: Cobyric acid synthase	2548.68
UniRef50_Q8EI15: Cobyric acid synthase|unclassified	2548.68
UniRef50_Q9I468: Threonine-phosphate decarboxylase	2543.89
UniRef50_Q9I468: Threonine-phosphate decarboxylase|unclassified	2543.89
UniRef50_Q05631: Cobalt-precorrin-5A hydrolase	2493.46
UniRef50_Q05631: Cobalt-precorrin-5A hydrolase|unclassified	2493.46
UniRef50_P9WP88: Precorrin-6A reductase	2475.34
UniRef50_P9WP88: Precorrin-6A reductase|unclassified	2475.34
UniRef50_G5L6B5: Alpha-ribazole-5'-phosphate phosphatase	2471.6
UniRef50_G5L6B5: Alpha-ribazole-5'-phosphate phosphatase|unclassified	2471.6
UniRef50_UPI0004719E0E: cobalamin biosynthesis protein CobQ, partial	2458.11
UniRef50_UPI0004719E0E: cobalamin biosynthesis protein CobQ, partial|unclassified	2458.11
UniRef50_B7V6W0: Cobalt-precorrin-5B C(1)-methyltransferase	2453.18
UniRef50_B7V6W0: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	2453.18
UniRef50_Q92CL6: Cobalamin biosynthesis protein CobD	2447.86
UniRef50_Q92CL6: Cobalamin biosynthesis protein CobD|unclassified	2447.86
UniRef50_UPI00046F07C0: precorrin methylase	2351.01
UniRef50_UPI00046F07C0: precorrin methylase|unclassified	2351.01
UniRef50_UPI00016A8EA0: cobalamin biosynthesis protein CobD	2329.44
UniRef50_UPI00016A8EA0: cobalamin biosynthesis protein CobD|unclassified	2329.44
UniRef50_Q9I469: Cobalamin biosynthesis protein CobD	2317.18
UniRef50_Q9I469: Cobalamin biosynthesis protein CobD|unclassified	2317.18
UniRef50_UPI0004110D07: cobyrinic acid a,c-diamide synthase	2306.69
UniRef50_UPI0004110D07: cobyrinic acid a,c-diamide synthase|unclassified	2306.69
UniRef50_A1TXB6: Cobyric acid synthase	2239.86
UniRef50_A1TXB6: Cobyric acid synthase|unclassified	2239.86
UniRef50_UPI0003944AC8: precorrin-8X methylmutase	2197.28
UniRef50_UPI0003944AC8: precorrin-8X methylmutase|unclassified	2197.28
UniRef50_Q57MW5: Cobalt-precorrin-5B C(1)-methyltransferase	2196.09
UniRef50_Q57MW5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	2196.09
UniRef50_UPI00016ACE0C: hypothetical protein, partial	2180.62
UniRef50_UPI00016ACE0C: hypothetical protein, partial|unclassified	2180.62
UniRef50_UPI00016AF9AD: phosphoglycerate mutase family protein, partial	2177.25
UniRef50_UPI00016AF9AD: phosphoglycerate mutase family protein, partial|unclassified	2177.25
UniRef50_Q9KSL9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	2154.4
UniRef50_Q9KSL9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	2154.4
UniRef50_UPI0004739624: precorrin methylase, partial	2151.87
UniRef50_UPI0004739624: precorrin methylase, partial|unclassified	2151.87
UniRef50_P9WP93: Cobalamin biosynthesis protein CobD	2145.97
UniRef50_P9WP93: Cobalamin biosynthesis protein CobD|unclassified	2145.97
UniRef50_S5MMF9: Alpha-ribazole-5'-phosphate phosphatase	2138.86
UniRef50_S5MMF9: Alpha-ribazole-5'-phosphate phosphatase|unclassified	2138.86
UniRef50_F2IPC6: Alpha-ribazole-5'-phosphate phosphatase	2117.27
UniRef50_F2IPC6: Alpha-ribazole-5'-phosphate phosphatase|unclassified	2117.27
UniRef50_A8AEP5: Cobalt-precorrin-5B C(1)-methyltransferase	2077.83
UniRef50_A8AEP5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	2077.83
UniRef50_UPI00039D6BB8: hypothetical protein	2076.64
UniRef50_UPI00039D6BB8: hypothetical protein|unclassified	2076.64
UniRef50_Q9I471: Cobyrinic acid A,C-diamide synthase	2076.43
UniRef50_Q9I471: Cobyrinic acid A,C-diamide synthase|unclassified	2076.43
UniRef50_A4YXJ9: Cobyric acid synthase	2049.3
UniRef50_A4YXJ9: Cobyric acid synthase|unclassified	2049.3
UniRef50_Q98KP1: Cobyrinic acid A,C-diamide synthase	2025.72
UniRef50_Q98KP1: Cobyrinic acid A,C-diamide synthase|unclassified	2025.72
UniRef50_U1ZBD3: Cobalamin biosynthesis protein, N-terminal domain protein	2013.61
UniRef50_U1ZBD3: Cobalamin biosynthesis protein, N-terminal domain protein|unclassified	2013.61
UniRef50_UPI000463135D: precorrin-4 C11-methyltransferase	1987.58
UniRef50_UPI000463135D: precorrin-4 C11-methyltransferase|unclassified	1987.58
UniRef50_O68098: Precorrin-6A reductase	1984.4
UniRef50_O68098: Precorrin-6A reductase|unclassified	1984.4
UniRef50_P0A533: Cobyric acid synthase	1972.54
UniRef50_P0A533: Cobyric acid synthase|unclassified	1972.54
UniRef50_F2F1Q0: Precorrin isomerase	1965.14
UniRef50_F2F1Q0: Precorrin isomerase|unclassified	1965.14
UniRef50_Q8XLK2: Cobalamin biosynthesis protein CobD	1959.8
UniRef50_Q8XLK2: Cobalamin biosynthesis protein CobD|unclassified	1959.8
UniRef50_UPI000473AF4E: hypothetical protein, partial	1936.44
UniRef50_UPI000473AF4E: hypothetical protein, partial|unclassified	1936.44
UniRef50_UPI00037DEB24: hypothetical protein	1935.32
UniRef50_UPI00037DEB24: hypothetical protein|unclassified	1935.32
UniRef50_UPI0004648A90: hypothetical protein	1920.86
UniRef50_UPI0004648A90: hypothetical protein|unclassified	1920.86
UniRef50_UPI0001B4441C: cobyrinic acid a,c-diamide synthase, partial	1903.24
UniRef50_UPI0001B4441C: cobyrinic acid a,c-diamide synthase, partial|unclassified	1903.24
UniRef50_UPI000367AC93: precorrin-2 C20-methyltransferase, partial	1900.96
UniRef50_UPI000367AC93: precorrin-2 C20-methyltransferase, partial|unclassified	1900.96
UniRef50_UPI0003C7FE0A: hypothetical protein	1856.26
UniRef50_UPI0003C7FE0A: hypothetical protein|unclassified	1856.26
UniRef50_J4SEX3: Putative cobyrinic acid a,c-diamide synthase (Fragment)	1855.09
UniRef50_J4SEX3: Putative cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	1855.09
UniRef50_G5LKR5	1849.58
UniRef50_G5LKR5|unclassified	1849.58
UniRef50_UPI0001FFE60A: nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase, partial	1840.02
UniRef50_UPI0001FFE60A: nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase, partial|unclassified	1840.02
UniRef50_P63836: Cobyrinic acid A,C-diamide synthase	1821.93
UniRef50_P63836: Cobyrinic acid A,C-diamide synthase|unclassified	1821.93
UniRef50_V4V4S5	1798.95
UniRef50_V4V4S5|unclassified	1798.95
UniRef50_UPI00035F4ADF: hypothetical protein, partial	1796.62
UniRef50_UPI00035F4ADF: hypothetical protein, partial|unclassified	1796.62
UniRef50_UPI0004715C67: cobalt-precorrin-3B C(17)-methyltransferase, partial	1778.84
UniRef50_UPI0004715C67: cobalt-precorrin-3B C(17)-methyltransferase, partial|unclassified	1778.84
UniRef50_UPI00046ED259: hypothetical protein, partial	1772.7
UniRef50_UPI00046ED259: hypothetical protein, partial|unclassified	1772.7
UniRef50_A0A022MD30	1765.77
UniRef50_A0A022MD30|unclassified	1765.77
UniRef50_C1DPN9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1754.23
UniRef50_C1DPN9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	1754.23
UniRef50_A5EGH4: Cobalt-precorrin-5B C(1)-methyltransferase	1686.23
UniRef50_A5EGH4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	1686.23
UniRef50_UPI00037D002A: hypothetical protein	1671.61
UniRef50_UPI00037D002A: hypothetical protein|unclassified	1671.61
UniRef50_UPI0002E79C21: hypothetical protein	1665.29
UniRef50_UPI0002E79C21: hypothetical protein|unclassified	1665.29
UniRef50_UPI00047575EA: hypothetical protein	1662.68
UniRef50_UPI00047575EA: hypothetical protein|unclassified	1662.68
UniRef50_UPI0002BBB893: hypothetical protein, partial	1661.47
UniRef50_UPI0002BBB893: hypothetical protein, partial|unclassified	1661.47
UniRef50_UPI0003B6A780: nitroreductase, partial	1652.9
UniRef50_UPI0003B6A780: nitroreductase, partial|unclassified	1652.9
UniRef50_D5W605: Phosphoglycerate mutase	1641.48
UniRef50_D5W605: Phosphoglycerate mutase|unclassified	1641.48
UniRef50_UPI0004706288: hypothetical protein	1620.37
UniRef50_UPI0004706288: hypothetical protein|unclassified	1620.37
UniRef50_K1S878: Cobyric acid synthase CobQ	1608.8
UniRef50_K1S878: Cobyric acid synthase CobQ|unclassified	1608.8
UniRef50_F3FEF1: Cobyrinic acid a,c-diamide synthase (Fragment)	1605.78
UniRef50_F3FEF1: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	1605.78
UniRef50_UPI0004734236: hypothetical protein, partial	1605.41
UniRef50_UPI0004734236: hypothetical protein, partial|unclassified	1605.41
UniRef50_A0A011P1L7: Cobyric acid synthase	1593.07
UniRef50_A0A011P1L7: Cobyric acid synthase|unclassified	1593.07
UniRef50_UPI000190CF52: sirohydrochlorin cobaltochelatase	1580.3
UniRef50_UPI000190CF52: sirohydrochlorin cobaltochelatase|unclassified	1580.3
UniRef50_Q829J5: Cobyric acid synthase	1561.37
UniRef50_Q829J5: Cobyric acid synthase|unclassified	1561.37
UniRef50_P74475: Cobalamin biosynthesis protein CobD	1560.1
UniRef50_P74475: Cobalamin biosynthesis protein CobD|unclassified	1560.1
UniRef50_UPI0002899FE9: precorrin-2 C20-methyltransferase	1546.14
UniRef50_UPI0002899FE9: precorrin-2 C20-methyltransferase|unclassified	1546.14
UniRef50_UPI000471640D: adenosylcobinamide kinase	1544.33
UniRef50_UPI000471640D: adenosylcobinamide kinase|unclassified	1544.33
UniRef50_U0ETR8	1543.5
UniRef50_U0ETR8|unclassified	1543.5
UniRef50_Q180T4: Cobyric acid synthase	1524.67
UniRef50_Q180T4: Cobyric acid synthase|unclassified	1524.67
UniRef50_UPI0003B565AA: precorrin-3B C17-methyltransferase	1521.71
UniRef50_UPI0003B565AA: precorrin-3B C17-methyltransferase|unclassified	1521.71
UniRef50_Q8UBQ6: Cobalt-precorrin-5B C(1)-methyltransferase	1519.46
UniRef50_Q8UBQ6: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	1519.46
UniRef50_A6LIW6: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1508.51
UniRef50_A6LIW6: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	1508.51
UniRef50_X2MGJ4: Cobalamin biosynthesis protein CbiG	1486.65
UniRef50_X2MGJ4: Cobalamin biosynthesis protein CbiG|unclassified	1486.65
UniRef50_UPI00047280DD: cobalamin biosynthesis protein CobQ	1479.46
UniRef50_UPI00047280DD: cobalamin biosynthesis protein CobQ|unclassified	1479.46
UniRef50_UPI0003469F60: hypothetical protein	1449.4
UniRef50_UPI0003469F60: hypothetical protein|unclassified	1449.4
UniRef50_Q87Q45: Cobalamin synthase	1442.98
UniRef50_Q87Q45: Cobalamin synthase|unclassified	1442.98
UniRef50_S6RE86: Cobyrinic acid a,c-diamide synthase (Fragment)	1439.18
UniRef50_S6RE86: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	1439.18
UniRef50_Q53139: Precorrin-6A reductase	1432.47
UniRef50_Q53139: Precorrin-6A reductase|unclassified	1432.47
UniRef50_Q75FQ1: Precorrin isomerase	1432.1
UniRef50_Q75FQ1: Precorrin isomerase|unclassified	1432.1
UniRef50_F2A050: Cobyric acid synthase CobQ	1426.21
UniRef50_F2A050: Cobyric acid synthase CobQ|unclassified	1426.21
UniRef50_Q180S8: Cobalt-precorrin-5B C(1)-methyltransferase	1421.56
UniRef50_Q180S8: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	1421.56
UniRef50_UPI000471BA69: cobalamin biosynthesis protein CobQ, partial	1420.66
UniRef50_UPI000471BA69: cobalamin biosynthesis protein CobQ, partial|unclassified	1420.66
UniRef50_A9KMP5: Cobyric acid synthase	1419.4
UniRef50_A9KMP5: Cobyric acid synthase|unclassified	1419.4
UniRef50_Q55860: Cobyric acid synthase	1399.72
UniRef50_Q55860: Cobyric acid synthase|unclassified	1399.72
UniRef50_UPI0003701858: hypothetical protein, partial	1396.98
UniRef50_UPI0003701858: hypothetical protein, partial|unclassified	1396.98
UniRef50_UPI0003B5A523: cob(II)yrinic acid a,c-diamide reductase	1396.67
UniRef50_UPI0003B5A523: cob(II)yrinic acid a,c-diamide reductase|unclassified	1396.67
UniRef50_K6E5J4: Cobalt-factor II C20-methyltransferase / precorrin-2 C20-methyltransferase (Fragment)	1384.24
UniRef50_K6E5J4: Cobalt-factor II C20-methyltransferase / precorrin-2 C20-methyltransferase (Fragment)|unclassified	1384.24
UniRef50_UPI000473E586: aspartate aminotransferase, partial	1382.01
UniRef50_UPI000473E586: aspartate aminotransferase, partial|unclassified	1382.01
UniRef50_Q5YSA4: Cobyric acid synthase	1375.15
UniRef50_Q5YSA4: Cobyric acid synthase|unclassified	1375.15
UniRef50_Q8XWS3: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1374.43
UniRef50_Q8XWS3: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	1374.43
UniRef50_UPI00047388D3: precorrin methylase, partial	1371.58
UniRef50_UPI00047388D3: precorrin methylase, partial|unclassified	1371.58
UniRef50_UPI0004785F94: hypothetical protein	1360.96
UniRef50_UPI0004785F94: hypothetical protein|unclassified	1360.96
UniRef50_UPI00046FD691: precorrin-2 C20-methyltransferase	1355.12
UniRef50_UPI00046FD691: precorrin-2 C20-methyltransferase|unclassified	1355.12
UniRef50_B1FMV5: Phosphoglycerate mutase	1348.93
UniRef50_B1FMV5: Phosphoglycerate mutase|unclassified	1348.93
UniRef50_UPI0004699684: hypothetical protein, partial	1347.61
UniRef50_UPI0004699684: hypothetical protein, partial|unclassified	1347.61
UniRef50_UPI000474D1C8: hypothetical protein	1330.35
UniRef50_UPI000474D1C8: hypothetical protein|unclassified	1330.35
UniRef50_Q9RJ16: Cobyrinic acid A,C-diamide synthase	1323.58
UniRef50_Q9RJ16: Cobyrinic acid A,C-diamide synthase|unclassified	1323.58
UniRef50_UPI00028811E3: cobalamin biosynthesis protein, partial	1322.77
UniRef50_UPI00028811E3: cobalamin biosynthesis protein, partial|unclassified	1322.77
UniRef50_UPI000395C788: cobalt-precorrin-6x reductase, partial	1311.4
UniRef50_UPI000395C788: cobalt-precorrin-6x reductase, partial|unclassified	1311.4
UniRef50_A6L4Y5: Cobyric acid synthase	1306.73
UniRef50_A6L4Y5: Cobyric acid synthase|unclassified	1306.73
UniRef50_UPI000470F5FF: cobalamin biosynthesis protein CobQ	1293.99
UniRef50_UPI000470F5FF: cobalamin biosynthesis protein CobQ|unclassified	1293.99
UniRef50_Q5LNI0: Cobalamin biosynthesis protein CobD	1289
UniRef50_Q5LNI0: Cobalamin biosynthesis protein CobD|unclassified	1289
UniRef50_C1L254: Cobalamin synthase	1278.29
UniRef50_C1L254: Cobalamin synthase|unclassified	1278.29
UniRef50_B8I0R5: Cobyric acid synthase	1276.14
UniRef50_B8I0R5: Cobyric acid synthase|unclassified	1276.14
UniRef50_UPI00046F803F: hypothetical protein, partial	1275.21
UniRef50_UPI00046F803F: hypothetical protein, partial|unclassified	1275.21
UniRef50_D5AV16: Cobalamin biosynthesis protein CobD	1269.39
UniRef50_D5AV16: Cobalamin biosynthesis protein CobD|unclassified	1269.39
UniRef50_A5D3N4: Cobyric acid synthase	1269.15
UniRef50_A5D3N4: Cobyric acid synthase|unclassified	1269.15
UniRef50_P63842: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1268.13
UniRef50_P63842: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	1268.13
UniRef50_UPI0004735BCE: hypothetical protein, partial	1255.83
UniRef50_UPI0004735BCE: hypothetical protein, partial|unclassified	1255.83
UniRef50_Q897K3: Cobyrinic acid A,C-diamide synthase	1251.44
UniRef50_Q897K3: Cobyrinic acid A,C-diamide synthase|unclassified	1251.44
UniRef50_UPI00036ABB55: hypothetical protein	1251.22
UniRef50_UPI00036ABB55: hypothetical protein|unclassified	1251.22
UniRef50_UPI00016A44D7: cobalamin synthase	1244.36
UniRef50_UPI00016A44D7: cobalamin synthase|unclassified	1244.36
UniRef50_UPI000470EEF4: precorrin-3B C17-methyltransferase, partial	1238.74
UniRef50_UPI000470EEF4: precorrin-3B C17-methyltransferase, partial|unclassified	1238.74
UniRef50_UPI00037E115F: hypothetical protein	1231
UniRef50_UPI00037E115F: hypothetical protein|unclassified	1231
UniRef50_Q9X7G7: Cobalt-precorrin-5B C(1)-methyltransferase	1227.9
UniRef50_Q9X7G7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	1227.9
UniRef50_V5PT69: Fructose-2,6-bisphosphatase	1225.6
UniRef50_V5PT69: Fructose-2,6-bisphosphatase|unclassified	1225.6
UniRef50_A0Q0K2: Cobyric acid synthase	1221.16
UniRef50_A0Q0K2: Cobyric acid synthase|unclassified	1221.16
UniRef50_UPI000473BCE7: hypothetical protein, partial	1216.97
UniRef50_UPI000473BCE7: hypothetical protein, partial|unclassified	1216.97
UniRef50_L8DTE7: Cobyric acid synthase	1210.45
UniRef50_L8DTE7: Cobyric acid synthase|unclassified	1210.45
UniRef50_UPI00046D83DC: hypothetical protein	1206.05
UniRef50_UPI00046D83DC: hypothetical protein|unclassified	1206.05
UniRef50_UPI0004705DA7: hypothetical protein	1199.64
UniRef50_UPI0004705DA7: hypothetical protein|unclassified	1199.64
UniRef50_UPI000393F115: cobalt-precorrin-6x reductase	1194.37
UniRef50_UPI000393F115: cobalt-precorrin-6x reductase|unclassified	1194.37
UniRef50_Q897L3: Cobalamin biosynthesis protein CobD	1184.94
UniRef50_Q897L3: Cobalamin biosynthesis protein CobD|unclassified	1184.94
UniRef50_UPI0002002D3A: precorrin-3 methylase	1171.84
UniRef50_UPI0002002D3A: precorrin-3 methylase|unclassified	1171.84
UniRef50_UPI00035FDD00: hypothetical protein, partial	1168.96
UniRef50_UPI00035FDD00: hypothetical protein, partial|unclassified	1168.96
UniRef50_A1AMC9: Cobalamin biosynthesis protein CobD	1158.45
UniRef50_A1AMC9: Cobalamin biosynthesis protein CobD|unclassified	1158.45
UniRef50_A6WJZ1: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1156.23
UniRef50_A6WJZ1: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	1156.23
UniRef50_UPI0004715EAB: hypothetical protein, partial	1153.2
UniRef50_UPI0004715EAB: hypothetical protein, partial|unclassified	1153.2
