# Gene Family	SampleCobalamin_synthesis_Abundance-RPKs
UniRef50_P9WGB0: Precorrin-4 C(11)-methyltransferase|unclassified	1399.3917051873
UniRef50_Q05593: Cobalt-precorrin-2 C(20)-methyltransferase	1392.2942063926
UniRef50_Q05593: Cobalt-precorrin-2 C(20)-methyltransferase|unclassified	1392.2942063926
UniRef50_Q9I466: Bifunctional adenosylcobalamin biosynthesis protein CobP	1335.4570283531
UniRef50_Q9I466: Bifunctional adenosylcobalamin biosynthesis protein CobP|unclassified	1335.4570283531
UniRef50_S9SJ88	1297.0965519507
UniRef50_S9SJ88|unclassified	1297.0965519507
UniRef50_P66878: Cobalamin biosynthesis protein CobIJ	1271.6467356669
UniRef50_P66878: Cobalamin biosynthesis protein CobIJ|unclassified	1271.6467356669
UniRef50_UPI0003955AD0: hypothetical protein, partial	1250.1122642460
UniRef50_UPI0003955AD0: hypothetical protein, partial|unclassified	1250.1122642460
UniRef50_Q53138: Precorrin-4 C(11)-methyltransferase	1235.1652925929
UniRef50_Q53138: Precorrin-4 C(11)-methyltransferase|unclassified	1235.1652925929
UniRef50_Q8Z8H8: Threonine-phosphate decarboxylase	1229.5365095897
UniRef50_Q8Z8H8: Threonine-phosphate decarboxylase|unclassified	1229.5365095897
UniRef50_P21639: Precorrin-2 C(20)-methyltransferase	1172.4595409326
UniRef50_P21639: Precorrin-2 C(20)-methyltransferase|unclassified	1172.4595409326
UniRef50_Q05591: Cobalt-precorrin-6A reductase	1154.9737076419
UniRef50_Q05591: Cobalt-precorrin-6A reductase|unclassified	1154.9737076419
UniRef50_B2S6E8: Cobyric acid synthase	1093.3511791520
UniRef50_B2S6E8: Cobyric acid synthase|unclassified	1093.3511791520
UniRef50_Q2RNG5: 5,6-dimethylbenzimidazole synthase	1054.9823780519
UniRef50_Q2RNG5: 5,6-dimethylbenzimidazole synthase|unclassified	1054.9823780519
UniRef50_UPI0001B42DDE: sirohydrochlorin cobaltochelatase, partial	1054.1994739571
UniRef50_UPI0001B42DDE: sirohydrochlorin cobaltochelatase, partial|unclassified	1054.1994739571
UniRef50_Q63WA1: Cobyric acid synthase	1052.3817359050
UniRef50_Q63WA1: Cobyric acid synthase|unclassified	1052.3817359050
UniRef50_UPI000366E84C: hypothetical protein	1039.0099148243
UniRef50_UPI000366E84C: hypothetical protein|unclassified	1039.0099148243
UniRef50_P21640: Precorrin-3B C(17)-methyltransferase	1000.5699520087
UniRef50_P21640: Precorrin-3B C(17)-methyltransferase|unclassified	1000.5699520087
UniRef50_M1JGK6: Ammonium transporter	997.1141308883
UniRef50_M1JGK6: Ammonium transporter|unclassified	997.1141308883
UniRef50_Q57MX8: Cobyric acid synthase	968.2389825946
UniRef50_Q57MX8: Cobyric acid synthase|unclassified	968.2389825946
UniRef50_A9MLS8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	891.7077477440
UniRef50_A9MLS8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	891.7077477440
UniRef50_C0Q1R0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	889.6136406368
UniRef50_C0Q1R0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	889.6136406368
UniRef50_UPI0004785767: cobalt-precorrin-4 C(11)-methyltransferase	878.6056111290
UniRef50_UPI0004785767: cobalt-precorrin-4 C(11)-methyltransferase|unclassified	878.6056111290
UniRef50_UPI0001BC8E58: CbiG protein/precorrin-3B C17-methyltransferase, partial	878.2988213048
UniRef50_UPI0001BC8E58: CbiG protein/precorrin-3B C17-methyltransferase, partial|unclassified	878.2988213048
UniRef50_P29931: Bifunctional adenosylcobalamin biosynthesis protein CobP	873.8205019320
UniRef50_P29931: Bifunctional adenosylcobalamin biosynthesis protein CobP|unclassified	873.8205019320
UniRef50_UPI0002193EF7: hypothetical protein, partial	867.4489099405
UniRef50_UPI0002193EF7: hypothetical protein, partial|unclassified	867.4489099405
UniRef50_UPI000466CA48: cobalt-precorrin-2 C(20)-methyltransferase	817.4679150578
UniRef50_UPI000466CA48: cobalt-precorrin-2 C(20)-methyltransferase|unclassified	817.4679150578
UniRef50_UPI000467F358: cobalt-precorrin-6X reductase, partial	798.9948919032
UniRef50_UPI000467F358: cobalt-precorrin-6X reductase, partial|unclassified	798.9948919032
UniRef50_UPI0001B443F7: cobalamin biosynthesis protein CobJ	796.7316398747
UniRef50_UPI0001B443F7: cobalamin biosynthesis protein CobJ|unclassified	796.7316398747
UniRef50_A9MAP0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	796.2149134113
UniRef50_A9MAP0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	796.2149134113
UniRef50_UPI000472FE46: hypothetical protein, partial	787.4069626358
UniRef50_UPI000472FE46: hypothetical protein, partial|unclassified	787.4069626358
UniRef50_Q8G022: Cobalamin biosynthesis protein CobD	786.5115980907
UniRef50_Q8G022: Cobalamin biosynthesis protein CobD|unclassified	786.5115980907
UniRef50_I2VXH4: Alpha-ribazole phosphatase	778.4270647549
UniRef50_I2VXH4: Alpha-ribazole phosphatase|unclassified	778.4270647549
UniRef50_UPI0001B4628D: hypothetical protein, partial	776.9014025068
UniRef50_UPI0001B4628D: hypothetical protein, partial|unclassified	776.9014025068
UniRef50_UPI000473354C: hypothetical protein, partial	771.3533901580
UniRef50_UPI000473354C: hypothetical protein, partial|unclassified	771.3533901580
UniRef50_UPI00029AED1F: CobB/CobQ domain protein glutamine amidotransferase	752.8752170643
UniRef50_UPI00029AED1F: CobB/CobQ domain protein glutamine amidotransferase|unclassified	752.8752170643
UniRef50_P29946: Cobyrinic acid A,C-diamide synthase	749.3922875774
UniRef50_P29946: Cobyrinic acid A,C-diamide synthase|unclassified	749.3922875774
UniRef50_Q7N2S6: Cobalamin biosynthesis protein CobD	746.8811023607
UniRef50_Q7N2S6: Cobalamin biosynthesis protein CobD|unclassified	746.8811023607
UniRef50_Q8EI15: Cobyric acid synthase	740.6356310594
UniRef50_Q8EI15: Cobyric acid synthase|unclassified	740.6356310594
UniRef50_Q9I468: Threonine-phosphate decarboxylase	739.2453063021
UniRef50_Q9I468: Threonine-phosphate decarboxylase|unclassified	739.2453063021
UniRef50_Q05631: Cobalt-precorrin-5A hydrolase	724.5888431955
UniRef50_Q05631: Cobalt-precorrin-5A hydrolase|unclassified	724.5888431955
UniRef50_P9WP88: Precorrin-6A reductase	719.3233072407
UniRef50_P9WP88: Precorrin-6A reductase|unclassified	719.3233072407
UniRef50_G5L6B5: Alpha-ribazole-5'-phosphate phosphatase	718.2365571743
UniRef50_G5L6B5: Alpha-ribazole-5'-phosphate phosphatase|unclassified	718.2365571743
UniRef50_UPI0004719E0E: cobalamin biosynthesis protein CobQ, partial	714.3152151213
UniRef50_UPI0004719E0E: cobalamin biosynthesis protein CobQ, partial|unclassified	714.3152151213
UniRef50_B7V6W0: Cobalt-precorrin-5B C(1)-methyltransferase	712.8844210823
UniRef50_B7V6W0: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	712.8844210823
UniRef50_Q92CL6: Cobalamin biosynthesis protein CobD	711.3390521722
UniRef50_Q92CL6: Cobalamin biosynthesis protein CobD|unclassified	711.3390521722
UniRef50_UPI00046F07C0: precorrin methylase	683.1941693773
UniRef50_UPI00046F07C0: precorrin methylase|unclassified	683.1941693773
UniRef50_UPI00016A8EA0: cobalamin biosynthesis protein CobD	676.9263932905
UniRef50_UPI00016A8EA0: cobalamin biosynthesis protein CobD|unclassified	676.9263932905
UniRef50_Q9I469: Cobalamin biosynthesis protein CobD	673.3615714902
UniRef50_Q9I469: Cobalamin biosynthesis protein CobD|unclassified	673.3615714902
UniRef50_UPI0004110D07: cobyrinic acid a,c-diamide synthase	670.3143045903
UniRef50_UPI0004110D07: cobyrinic acid a,c-diamide synthase|unclassified	670.3143045903
UniRef50_A1TXB6: Cobyric acid synthase	650.8951774407
UniRef50_A1TXB6: Cobyric acid synthase|unclassified	650.8951774407
UniRef50_UPI0003944AC8: precorrin-8X methylmutase	638.5218737045
UniRef50_UPI0003944AC8: precorrin-8X methylmutase|unclassified	638.5218737045
UniRef50_Q57MW5: Cobalt-precorrin-5B C(1)-methyltransferase	638.1741118789
UniRef50_Q57MW5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	638.1741118789
UniRef50_UPI00016ACE0C: hypothetical protein, partial	633.6783219047
UniRef50_UPI00016ACE0C: hypothetical protein, partial|unclassified	633.6783219047
UniRef50_UPI00016AF9AD: phosphoglycerate mutase family protein, partial	632.6995431063
UniRef50_UPI00016AF9AD: phosphoglycerate mutase family protein, partial|unclassified	632.6995431063
UniRef50_Q9KSL9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	626.0588129554
UniRef50_Q9KSL9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	626.0588129554
UniRef50_UPI0004739624: precorrin methylase, partial	625.3231304177
UniRef50_UPI0004739624: precorrin methylase, partial|unclassified	625.3231304177
UniRef50_P9WP93: Cobalamin biosynthesis protein CobD	623.6111350543
UniRef50_P9WP93: Cobalamin biosynthesis protein CobD|unclassified	623.6111350543
UniRef50_S5MMF9: Alpha-ribazole-5'-phosphate phosphatase	621.5446677081
UniRef50_S5MMF9: Alpha-ribazole-5'-phosphate phosphatase|unclassified	621.5446677081
UniRef50_F2IPC6: Alpha-ribazole-5'-phosphate phosphatase	615.2704538902
UniRef50_F2IPC6: Alpha-ribazole-5'-phosphate phosphatase|unclassified	615.2704538902
UniRef50_A8AEP5: Cobalt-precorrin-5B C(1)-methyltransferase	603.8087720866
UniRef50_A8AEP5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	603.8087720866
UniRef50_UPI00039D6BB8: hypothetical protein	603.4619798966
UniRef50_UPI00039D6BB8: hypothetical protein|unclassified	603.4619798966
UniRef50_Q9I471: Cobyrinic acid A,C-diamide synthase	603.4018208718
UniRef50_Q9I471: Cobyrinic acid A,C-diamide synthase|unclassified	603.4018208718
UniRef50_A4YXJ9: Cobyric acid synthase	595.5193271219
UniRef50_A4YXJ9: Cobyric acid synthase|unclassified	595.5193271219
UniRef50_Q98KP1: Cobyrinic acid A,C-diamide synthase	588.6659912741
UniRef50_Q98KP1: Cobyrinic acid A,C-diamide synthase|unclassified	588.6659912741
UniRef50_U1ZBD3: Cobalamin biosynthesis protein, N-terminal domain protein	585.1478015694
UniRef50_U1ZBD3: Cobalamin biosynthesis protein, N-terminal domain protein|unclassified	585.1478015694
UniRef50_UPI000463135D: precorrin-4 C11-methyltransferase	577.5834169584
UniRef50_UPI000463135D: precorrin-4 C11-methyltransferase|unclassified	577.5834169584
UniRef50_O68098: Precorrin-6A reductase	576.6577867400
UniRef50_O68098: Precorrin-6A reductase|unclassified	576.6577867400
UniRef50_P0A533: Cobyric acid synthase	573.2105834208
UniRef50_P0A533: Cobyric acid synthase|unclassified	573.2105834208
UniRef50_F2F1Q0: Precorrin isomerase	571.0622703908
UniRef50_F2F1Q0: Precorrin isomerase|unclassified	571.0622703908
UniRef50_Q8XLK2: Cobalamin biosynthesis protein CobD	569.5097541510
UniRef50_Q8XLK2: Cobalamin biosynthesis protein CobD|unclassified	569.5097541510
UniRef50_UPI000473AF4E: hypothetical protein, partial	562.7204008763
UniRef50_UPI000473AF4E: hypothetical protein, partial|unclassified	562.7204008763
UniRef50_UPI00037DEB24: hypothetical protein	562.3967242306
UniRef50_UPI00037DEB24: hypothetical protein|unclassified	562.3967242306
UniRef50_UPI0004648A90: hypothetical protein	558.1950626317
UniRef50_UPI0004648A90: hypothetical protein|unclassified	558.1950626317
UniRef50_UPI0001B4441C: cobyrinic acid a,c-diamide synthase, partial	553.0734322338
UniRef50_UPI0001B4441C: cobyrinic acid a,c-diamide synthase, partial|unclassified	553.0734322338
UniRef50_UPI000367AC93: precorrin-2 C20-methyltransferase, partial	552.4115072197
UniRef50_UPI000367AC93: precorrin-2 C20-methyltransferase, partial|unclassified	552.4115072197
UniRef50_UPI0003C7FE0A: hypothetical protein	539.4224271563
UniRef50_UPI0003C7FE0A: hypothetical protein|unclassified	539.4224271563
UniRef50_J4SEX3: Putative cobyrinic acid a,c-diamide synthase (Fragment)	539.0825920076
UniRef50_J4SEX3: Putative cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	539.0825920076
UniRef50_G5LKR5	537.4796431997
UniRef50_G5LKR5|unclassified	537.4796431997
UniRef50_UPI0001FFE60A: nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase, partial	534.7012267758
UniRef50_UPI0001FFE60A: nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase, partial|unclassified	534.7012267758
UniRef50_P63836: Cobyrinic acid A,C-diamide synthase	529.4445292806
UniRef50_P63836: Cobyrinic acid A,C-diamide synthase|unclassified	529.4445292806
UniRef50_V4V4S5	522.7682222936
UniRef50_V4V4S5|unclassified	522.7682222936
UniRef50_UPI00035F4ADF: hypothetical protein, partial	522.0894570781
UniRef50_UPI00035F4ADF: hypothetical protein, partial|unclassified	522.0894570781
UniRef50_UPI0004715C67: cobalt-precorrin-3B C(17)-methyltransferase, partial	516.9246663247
UniRef50_UPI0004715C67: cobalt-precorrin-3B C(17)-methyltransferase, partial|unclassified	516.9246663247
UniRef50_UPI00046ED259: hypothetical protein, partial	515.1395431847
UniRef50_UPI00046ED259: hypothetical protein, partial|unclassified	515.1395431847
UniRef50_A0A022MD30	513.1251584784
UniRef50_A0A022MD30|unclassified	513.1251584784
UniRef50_C1DPN9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	509.7732195278
UniRef50_C1DPN9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	509.7732195278
UniRef50_A5EGH4: Cobalt-precorrin-5B C(1)-methyltransferase	490.0117558857
UniRef50_A5EGH4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	490.0117558857
UniRef50_UPI00037D002A: hypothetical protein	485.7643739046
UniRef50_UPI00037D002A: hypothetical protein|unclassified	485.7643739046
UniRef50_UPI0002E79C21: hypothetical protein	483.9259065185
UniRef50_UPI0002E79C21: hypothetical protein|unclassified	483.9259065185
UniRef50_UPI00047575EA: hypothetical protein	483.1684486310
UniRef50_UPI00047575EA: hypothetical protein|unclassified	483.1684486310
UniRef50_UPI0002BBB893: hypothetical protein, partial	482.8155708103
UniRef50_UPI0002BBB893: hypothetical protein, partial|unclassified	482.8155708103
UniRef50_UPI0003B6A780: nitroreductase, partial	480.3245375066
UniRef50_UPI0003B6A780: nitroreductase, partial|unclassified	480.3245375066
UniRef50_D5W605: Phosphoglycerate mutase	477.0083252292
UniRef50_D5W605: Phosphoglycerate mutase|unclassified	477.0083252292
UniRef50_UPI0004706288: hypothetical protein	470.8724105360
UniRef50_UPI0004706288: hypothetical protein|unclassified	470.8724105360
UniRef50_K1S878: Cobyric acid synthase CobQ	467.5109552235
UniRef50_K1S878: Cobyric acid synthase CobQ|unclassified	467.5109552235
UniRef50_F3FEF1: Cobyrinic acid a,c-diamide synthase (Fragment)	466.6326021405
UniRef50_F3FEF1: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	466.6326021405
UniRef50_UPI0004734236: hypothetical protein, partial	466.5264267856
UniRef50_UPI0004734236: hypothetical protein, partial|unclassified	466.5264267856
UniRef50_A0A011P1L7: Cobyric acid synthase	462.9385633939
UniRef50_A0A011P1L7: Cobyric acid synthase|unclassified	462.9385633939
UniRef50_UPI000190CF52: sirohydrochlorin cobaltochelatase	459.2277760622
UniRef50_UPI000190CF52: sirohydrochlorin cobaltochelatase|unclassified	459.2277760622
UniRef50_Q829J5: Cobyric acid synthase	453.7266785936
UniRef50_Q829J5: Cobyric acid synthase|unclassified	453.7266785936
UniRef50_P74475: Cobalamin biosynthesis protein CobD	453.3579501575
UniRef50_P74475: Cobalamin biosynthesis protein CobD|unclassified	453.3579501575
UniRef50_UPI0002899FE9: precorrin-2 C20-methyltransferase	449.3025275664
UniRef50_UPI0002899FE9: precorrin-2 C20-methyltransferase|unclassified	449.3025275664
UniRef50_UPI000471640D: adenosylcobinamide kinase	448.7770683961
UniRef50_UPI000471640D: adenosylcobinamide kinase|unclassified	448.7770683961
UniRef50_U0ETR8	448.5360846755
UniRef50_U0ETR8|unclassified	448.5360846755
UniRef50_Q180T4: Cobyric acid synthase	443.0627978832
UniRef50_Q180T4: Cobyric acid synthase|unclassified	443.0627978832
UniRef50_UPI0003B565AA: precorrin-3B C17-methyltransferase	442.2028118840
UniRef50_UPI0003B565AA: precorrin-3B C17-methyltransferase|unclassified	442.2028118840
UniRef50_Q8UBQ6: Cobalt-precorrin-5B C(1)-methyltransferase	441.5476958336
UniRef50_Q8UBQ6: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	441.5476958336
UniRef50_A6LIW6: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	438.3674093541
UniRef50_A6LIW6: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	438.3674093541
UniRef50_X2MGJ4: Cobalamin biosynthesis protein CbiG	432.0136960402
UniRef50_X2MGJ4: Cobalamin biosynthesis protein CbiG|unclassified	432.0136960402
UniRef50_UPI00047280DD: cobalamin biosynthesis protein CobQ	429.9242354820
UniRef50_UPI00047280DD: cobalamin biosynthesis protein CobQ|unclassified	429.9242354820
UniRef50_UPI0003469F60: hypothetical protein	421.1900708730
UniRef50_UPI0003469F60: hypothetical protein|unclassified	421.1900708730
UniRef50_Q87Q45: Cobalamin synthase	419.3227782146
UniRef50_Q87Q45: Cobalamin synthase|unclassified	419.3227782146
UniRef50_S6RE86: Cobyrinic acid a,c-diamide synthase (Fragment)	418.2184340306
UniRef50_S6RE86: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	418.2184340306
UniRef50_Q53139: Precorrin-6A reductase	416.2685793021
UniRef50_Q53139: Precorrin-6A reductase|unclassified	416.2685793021
UniRef50_Q75FQ1: Precorrin isomerase	416.1627281048
UniRef50_Q75FQ1: Precorrin isomerase|unclassified	416.1627281048
UniRef50_F2A050: Cobyric acid synthase CobQ	414.4508572395
UniRef50_F2A050: Cobyric acid synthase CobQ|unclassified	414.4508572395
UniRef50_Q180S8: Cobalt-precorrin-5B C(1)-methyltransferase	413.0987857326
UniRef50_Q180S8: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	413.0987857326
UniRef50_UPI000471BA69: cobalamin biosynthesis protein CobQ, partial	412.8377746818
UniRef50_UPI000471BA69: cobalamin biosynthesis protein CobQ, partial|unclassified	412.8377746818
UniRef50_A9KMP5: Cobyric acid synthase	412.4722543639
UniRef50_A9KMP5: Cobyric acid synthase|unclassified	412.4722543639
UniRef50_Q55860: Cobyric acid synthase	406.7536650526
UniRef50_Q55860: Cobyric acid synthase|unclassified	406.7536650526
UniRef50_UPI0003701858: hypothetical protein, partial	405.9572457212
UniRef50_UPI0003701858: hypothetical protein, partial|unclassified	405.9572457212
UniRef50_UPI0003B5A523: cob(II)yrinic acid a,c-diamide reductase	405.8655057849
UniRef50_UPI0003B5A523: cob(II)yrinic acid a,c-diamide reductase|unclassified	405.8655057849
UniRef50_K6E5J4: Cobalt-factor II C20-methyltransferase / precorrin-2 C20-methyltransferase (Fragment)	402.2557973347
UniRef50_K6E5J4: Cobalt-factor II C20-methyltransferase / precorrin-2 C20-methyltransferase (Fragment)|unclassified	402.2557973347
UniRef50_UPI000473E586: aspartate aminotransferase, partial	401.6064592910
UniRef50_UPI000473E586: aspartate aminotransferase, partial|unclassified	401.6064592910
UniRef50_Q5YSA4: Cobyric acid synthase	399.6124208053
UniRef50_Q5YSA4: Cobyric acid synthase|unclassified	399.6124208053
UniRef50_Q8XWS3: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	399.4026290354
UniRef50_Q8XWS3: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	399.4026290354
UniRef50_UPI00047388D3: precorrin methylase, partial	398.5768034054
UniRef50_UPI00047388D3: precorrin methylase, partial|unclassified	398.5768034054
UniRef50_UPI0004785F94: hypothetical protein	395.4881454558
UniRef50_UPI0004785F94: hypothetical protein|unclassified	395.4881454558
UniRef50_UPI00046FD691: precorrin-2 C20-methyltransferase	393.7915072976
UniRef50_UPI00046FD691: precorrin-2 C20-methyltransferase|unclassified	393.7915072976
UniRef50_B1FMV5: Phosphoglycerate mutase	391.9929281881
UniRef50_B1FMV5: Phosphoglycerate mutase|unclassified	391.9929281881
UniRef50_UPI0004699684: hypothetical protein, partial	391.6101666662
UniRef50_UPI0004699684: hypothetical protein, partial|unclassified	391.6101666662
UniRef50_UPI000474D1C8: hypothetical protein	386.5943403978
UniRef50_UPI000474D1C8: hypothetical protein|unclassified	386.5943403978
UniRef50_Q9RJ16: Cobyrinic acid A,C-diamide synthase	384.6258910682
UniRef50_Q9RJ16: Cobyrinic acid A,C-diamide synthase|unclassified	384.6258910682
UniRef50_UPI00028811E3: cobalamin biosynthesis protein, partial	384.3912285980
UniRef50_UPI00028811E3: cobalamin biosynthesis protein, partial|unclassified	384.3912285980
UniRef50_UPI000395C788: cobalt-precorrin-6x reductase, partial	381.0870546431
UniRef50_UPI000395C788: cobalt-precorrin-6x reductase, partial|unclassified	381.0870546431
UniRef50_A6L4Y5: Cobyric acid synthase	379.7299452829
UniRef50_A6L4Y5: Cobyric acid synthase|unclassified	379.7299452829
UniRef50_UPI000470F5FF: cobalamin biosynthesis protein CobQ	376.0284657421
UniRef50_UPI000470F5FF: cobalamin biosynthesis protein CobQ|unclassified	376.0284657421
UniRef50_Q5LNI0: Cobalamin biosynthesis protein CobD	374.5785468832
UniRef50_Q5LNI0: Cobalamin biosynthesis protein CobD|unclassified	374.5785468832
UniRef50_C1L254: Cobalamin synthase	371.4662099042
UniRef50_C1L254: Cobalamin synthase|unclassified	371.4662099042
UniRef50_B8I0R5: Cobyric acid synthase	370.8419569961
UniRef50_B8I0R5: Cobyric acid synthase|unclassified	370.8419569961
UniRef50_UPI00046F803F: hypothetical protein, partial	370.5699061732
UniRef50_UPI00046F803F: hypothetical protein, partial|unclassified	370.5699061732
UniRef50_D5AV16: Cobalamin biosynthesis protein CobD	368.8788992740
UniRef50_D5AV16: Cobalamin biosynthesis protein CobD|unclassified	368.8788992740
UniRef50_A5D3N4: Cobyric acid synthase	368.8101439909
UniRef50_A5D3N4: Cobyric acid synthase|unclassified	368.8101439909
UniRef50_P63842: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	368.5125474884
UniRef50_P63842: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	368.5125474884
UniRef50_UPI0004735BCE: hypothetical protein, partial	364.9395677995
UniRef50_UPI0004735BCE: hypothetical protein, partial|unclassified	364.9395677995
UniRef50_Q897K3: Cobyrinic acid A,C-diamide synthase	363.6631707570
UniRef50_Q897K3: Cobyrinic acid A,C-diamide synthase|unclassified	363.6631707570
UniRef50_UPI00036ABB55: hypothetical protein	363.6002104705
UniRef50_UPI00036ABB55: hypothetical protein|unclassified	363.6002104705
UniRef50_UPI00016A44D7: cobalamin synthase	361.6053911884
UniRef50_UPI00016A44D7: cobalamin synthase|unclassified	361.6053911884
UniRef50_UPI000470EEF4: precorrin-3B C17-methyltransferase, partial	359.9738667104
UniRef50_UPI000470EEF4: precorrin-3B C17-methyltransferase, partial|unclassified	359.9738667104
UniRef50_UPI00037E115F: hypothetical protein	357.7232192712
UniRef50_UPI00037E115F: hypothetical protein|unclassified	357.7232192712
UniRef50_Q9X7G7: Cobalt-precorrin-5B C(1)-methyltransferase	356.8216793355
UniRef50_Q9X7G7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	356.8216793355
UniRef50_V5PT69: Fructose-2,6-bisphosphatase	356.1535532636
UniRef50_V5PT69: Fructose-2,6-bisphosphatase|unclassified	356.1535532636
UniRef50_A0Q0K2: Cobyric acid synthase	354.8633697176
UniRef50_A0Q0K2: Cobyric acid synthase|unclassified	354.8633697176
UniRef50_UPI000473BCE7: hypothetical protein, partial	353.6461200907
