# Gene Family	SampleCopper_homeostasis_Abundance-CPM
UniRef50_UPI00036A9BE8: hypothetical protein, partial|unclassified	1191.91
UniRef50_X2SQ03	1186.21
UniRef50_X2SQ03|unclassified	1186.21
UniRef50_UPI00036CD187: hypothetical protein, partial	1178.85
UniRef50_UPI00036CD187: hypothetical protein, partial|unclassified	1178.85
UniRef50_UPI0001BF6496: hypothetical protein SMAC_10494	1175.73
UniRef50_UPI0001BF6496: hypothetical protein SMAC_10494|unclassified	1175.73
UniRef50_UPI000361B253: hypothetical protein	1170.24
UniRef50_UPI000361B253: hypothetical protein|unclassified	1170.24
UniRef50_UPI0004724ADD: ATPase P	1165.73
UniRef50_UPI0004724ADD: ATPase P|unclassified	1165.73
UniRef50_UPI00047810F9: hypothetical protein	1163.01
UniRef50_UPI00047810F9: hypothetical protein|unclassified	1163.01
UniRef50_UPI00046A8E96: cytochrome C	1159.96
UniRef50_UPI00046A8E96: cytochrome C|unclassified	1159.96
UniRef50_UPI000471B75B: hypothetical protein, partial	1152.96
UniRef50_UPI000471B75B: hypothetical protein, partial|unclassified	1152.96
UniRef50_UPI000367CE13: hypothetical protein	1151.02
UniRef50_UPI000367CE13: hypothetical protein|unclassified	1151.02
UniRef50_A0A022H031: Cytochrome C (Fragment)	1146.16
UniRef50_A0A022H031: Cytochrome C (Fragment)|unclassified	1146.16
UniRef50_A0A014L7T7: Major Facilitator Superfamily protein	1145.94
UniRef50_A0A014L7T7: Major Facilitator Superfamily protein|unclassified	1145.94
UniRef50_E2NTB3	1141.52
UniRef50_E2NTB3|unclassified	1141.52
UniRef50_UPI0003746E84: hypothetical protein	1118.09
UniRef50_UPI0003746E84: hypothetical protein|unclassified	1118.09
UniRef50_W1H945: Blue copper oxidase CueO	1112.26
UniRef50_W1H945: Blue copper oxidase CueO|unclassified	1112.26
UniRef50_UPI00031B8B53: hypothetical protein	1106.73
UniRef50_UPI00031B8B53: hypothetical protein|unclassified	1106.73
UniRef50_UPI0003A88B86: ATPase	1098.32
UniRef50_UPI0003A88B86: ATPase|unclassified	1098.32
UniRef50_X3ELW7: Cytochrome C	1089.61
UniRef50_X3ELW7: Cytochrome C|unclassified	1089.61
UniRef50_UPI00029ADA70: putative metallo-oxido-reductase, partial	1075.02
UniRef50_UPI00029ADA70: putative metallo-oxido-reductase, partial|unclassified	1075.02
UniRef50_UPI0003A39647: hypothetical protein	1072.62
UniRef50_UPI0003A39647: hypothetical protein|unclassified	1072.62
UniRef50_H0TUY3: Cytochrome c-type biogenesis protein cycK	1061.34
UniRef50_H0TUY3: Cytochrome c-type biogenesis protein cycK|unclassified	1061.34
UniRef50_UPI00041194F6: copper transporter	1054.45
UniRef50_UPI00041194F6: copper transporter|unclassified	1054.45
UniRef50_UPI000378803E: hypothetical protein	1023.88
UniRef50_UPI000378803E: hypothetical protein|unclassified	1023.88
UniRef50_UPI000315487C: hypothetical protein	1012.81
UniRef50_UPI000315487C: hypothetical protein|unclassified	1012.81
UniRef50_W9TLX8: Cytochrome C-type biogenesis protein CcmF	999.027
UniRef50_W9TLX8: Cytochrome C-type biogenesis protein CcmF|unclassified	999.027
UniRef50_UPI0004725129: hypothetical protein, partial	998.471
UniRef50_UPI0004725129: hypothetical protein, partial|unclassified	998.471
UniRef50_X2MUZ6	998.402
UniRef50_X2MUZ6|unclassified	998.402
UniRef50_A0A011Q1F4: Cytochrome c-type biogenesis protein CcmF	995.821
UniRef50_A0A011Q1F4: Cytochrome c-type biogenesis protein CcmF|unclassified	995.821
UniRef50_UPI000479C2FE: hypothetical protein	995.184
UniRef50_UPI000479C2FE: hypothetical protein|unclassified	995.184
UniRef50_UPI0003EF2052: hypothetical protein	994.238
UniRef50_UPI0003EF2052: hypothetical protein|unclassified	994.238
UniRef50_Q6GIX3: Multicopper oxidase mco	991.904
UniRef50_Q6GIX3: Multicopper oxidase mco|unclassified	991.904
UniRef50_UPI0001912298: heme lyase subunit NrfE	991.122
UniRef50_UPI0001912298: heme lyase subunit NrfE|unclassified	991.122
UniRef50_UPI0004651A05: copper resistance protein CopB	987.862
UniRef50_UPI0004651A05: copper resistance protein CopB|unclassified	987.862
UniRef50_UPI000374CADE: hypothetical protein	987.692
UniRef50_UPI000374CADE: hypothetical protein|unclassified	987.692
UniRef50_UPI00025597C6: hypothetical protein	987.599
UniRef50_UPI00025597C6: hypothetical protein|unclassified	987.599
UniRef50_I6E592: Inner membrane protein YebZ	985.208
UniRef50_I6E592: Inner membrane protein YebZ|unclassified	985.208
UniRef50_UPI00036E7136: hypothetical protein	985.03
UniRef50_UPI00036E7136: hypothetical protein|unclassified	985.03
UniRef50_Q47945: Alcohol dehydrogenase cytochrome c subunit	984.998
UniRef50_Q47945: Alcohol dehydrogenase cytochrome c subunit|unclassified	984.998
UniRef50_J8PQQ8: Cytochrome c-type biogenesis protein CcmF (Fragment)	982.25
UniRef50_J8PQQ8: Cytochrome c-type biogenesis protein CcmF (Fragment)|unclassified	982.25
UniRef50_UPI0002ECDA86: hypothetical protein	981.109
UniRef50_UPI0002ECDA86: hypothetical protein|unclassified	981.109
UniRef50_W8UMB8: Cytochrome c-type biogenesis protein CcmH	979.998
UniRef50_W8UMB8: Cytochrome c-type biogenesis protein CcmH|unclassified	979.998
UniRef50_UPI000371AD6C: hypothetical protein	979.888
UniRef50_UPI000371AD6C: hypothetical protein|unclassified	979.888
UniRef50_X7U1V9: Heavy metal translocating P-type ATPase domain protein	979.066
UniRef50_X7U1V9: Heavy metal translocating P-type ATPase domain protein|unclassified	979.066
UniRef50_UPI0003768C33: hypothetical protein	974.793
UniRef50_UPI0003768C33: hypothetical protein|unclassified	974.793
UniRef50_UPI0003B53833: hypothetical protein	973.851
UniRef50_UPI0003B53833: hypothetical protein|unclassified	973.851
UniRef50_P73241: Probable copper-transporting ATPase PacS	971.573
UniRef50_P73241: Probable copper-transporting ATPase PacS|unclassified	971.573
UniRef50_UPI000478E168: 4-deoxy-4-formamido-L-arabinose-phospho-UDP deformylase	969.074
UniRef50_UPI000478E168: 4-deoxy-4-formamido-L-arabinose-phospho-UDP deformylase|unclassified	969.074
UniRef50_UPI00032980FE: PREDICTED: alcohol dehydrogenase cytochrome c subunit-like	968.114
UniRef50_UPI00032980FE: PREDICTED: alcohol dehydrogenase cytochrome c subunit-like|unclassified	968.114
UniRef50_UPI0002260C1F: copper resistance protein A, partial	965.692
UniRef50_UPI0002260C1F: copper resistance protein A, partial|unclassified	965.692
UniRef50_UPI0003621B43: hypothetical protein, partial	964.001
UniRef50_UPI0003621B43: hypothetical protein, partial|unclassified	964.001
UniRef50_K8B202	962.725
UniRef50_K8B202|unclassified	962.725
UniRef50_A0A014NGH7	956.38
UniRef50_A0A014NGH7|unclassified	956.38
UniRef50_UPI00047687AA: hypothetical protein, partial	954.653
UniRef50_UPI00047687AA: hypothetical protein, partial|unclassified	954.653
UniRef50_UPI00047414ED: cytochrome C biogenesis protein CcmE, partial	950.409
UniRef50_UPI00047414ED: cytochrome C biogenesis protein CcmE, partial|unclassified	950.409
UniRef50_UPI00037DBFE3: hypothetical protein	947.544
UniRef50_UPI00037DBFE3: hypothetical protein|unclassified	947.544
UniRef50_UPI000474F34F: hypothetical protein	923.4
UniRef50_UPI000474F34F: hypothetical protein|unclassified	923.4
UniRef50_F7YNQ0: CcmH	921.598
UniRef50_F7YNQ0: CcmH|unclassified	921.598
UniRef50_T1CYI0: Cytochrome c-type biogenesis protein CcmF	916.8
UniRef50_T1CYI0: Cytochrome c-type biogenesis protein CcmF|unclassified	916.8
UniRef50_B3T4U7	915.936
UniRef50_B3T4U7|unclassified	915.936
UniRef50_UPI000473EF94: hypothetical protein, partial	913.784
UniRef50_UPI000473EF94: hypothetical protein, partial|unclassified	913.784
UniRef50_UPI00039B13A2: multicopper oxidase	912.321
UniRef50_UPI00039B13A2: multicopper oxidase|unclassified	912.321
UniRef50_UPI00047BED4C: hypothetical protein	912.117
UniRef50_UPI00047BED4C: hypothetical protein|unclassified	912.117
UniRef50_UPI0003774AD7: hypothetical protein	911.863
UniRef50_UPI0003774AD7: hypothetical protein|unclassified	911.863
UniRef50_UPI0003A1849A: copper-binding protein	896.267
UniRef50_UPI0003A1849A: copper-binding protein|unclassified	896.267
UniRef50_W1X620: Copper-translocating P-type ATPase (Fragment)	895.462
UniRef50_W1X620: Copper-translocating P-type ATPase (Fragment)|unclassified	895.462
UniRef50_W7WSH6: Cytochrome c-type biogenesis protein CcmF	891.938
UniRef50_W7WSH6: Cytochrome c-type biogenesis protein CcmF|unclassified	891.938
UniRef50_F0GEC5: Copper resistance D domain-containing protein	891.214
UniRef50_F0GEC5: Copper resistance D domain-containing protein|unclassified	891.214
UniRef50_UPI0003B4364A: cytochrome C	889.958
UniRef50_UPI0003B4364A: cytochrome C|unclassified	889.958
UniRef50_UPI00036BC2CB: hypothetical protein	887.283
UniRef50_UPI00036BC2CB: hypothetical protein|unclassified	887.283
UniRef50_A0A037UQG4	879.37
UniRef50_A0A037UQG4|unclassified	879.37
UniRef50_UPI0003B50DA2: alkyl hydroperoxide reductase	876.92
UniRef50_UPI0003B50DA2: alkyl hydroperoxide reductase|unclassified	876.92
