# Gene Family	SampleCopper_homeostasis_Abundance-RPKs
UniRef50_I6H3C8: Inner membrane protein YebZ	771.9383306413
UniRef50_I6H3C8: Inner membrane protein YebZ|unclassified	771.9383306413
UniRef50_W1YHQ9: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)	763.8612774038
UniRef50_W1YHQ9: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)|unclassified	763.8612774038
UniRef50_UPI0004748ACE: hypothetical protein	756.8427472833
UniRef50_UPI0004748ACE: hypothetical protein|unclassified	756.8427472833
UniRef50_UPI0004050213: thiol:disulfide interchange protein	756.0013074899
UniRef50_UPI0004050213: thiol:disulfide interchange protein|unclassified	756.0013074899
UniRef50_R0EHC2	727.7269735531
UniRef50_R0EHC2|unclassified	727.7269735531
UniRef50_UPI000401A6D7: copper oxidase	724.0097684320
UniRef50_UPI000401A6D7: copper oxidase|unclassified	724.0097684320
UniRef50_L6IL30: Cation transporter	719.9169466081
UniRef50_L6IL30: Cation transporter|unclassified	719.9169466081
UniRef50_UPI0003F5615A: cytochrome C biogenesis protein CcmE	711.4934191002
UniRef50_UPI0003F5615A: cytochrome C biogenesis protein CcmE|unclassified	711.4934191002
UniRef50_L8AYM3: Capsid protein (Fragment)	693.8002415763
UniRef50_L8AYM3: Capsid protein (Fragment)|unclassified	693.8002415763
UniRef50_UPI00039FD02B: MFS transporter	684.7941111940
UniRef50_UPI00039FD02B: MFS transporter|unclassified	684.7941111940
UniRef50_P58342: Copper-transporting ATPase 2	678.8242180955
UniRef50_P58342: Copper-transporting ATPase 2|unclassified	678.8242180955
UniRef50_E7ICF7: Cytochrome C biogenesis family protein	656.3594656030
UniRef50_E7ICF7: Cytochrome C biogenesis family protein|unclassified	656.3594656030
UniRef50_I6H156: Cytochrome c-type biogenesis protein CcmH	647.0074357144
UniRef50_I6H156: Cytochrome c-type biogenesis protein CcmH|unclassified	647.0074357144
UniRef50_H1C4P9: Inner membrane protein YebZ	638.0682834498
UniRef50_H1C4P9: Inner membrane protein YebZ|unclassified	638.0682834498
UniRef50_C5Q414	622.5396522496
UniRef50_C5Q414|unclassified	622.5396522496
UniRef50_W7W2N7	613.3484872881
UniRef50_W7W2N7|unclassified	613.3484872881
UniRef50_Q9KPZ7: Copper-exporting P-type ATPase A	603.7485588012
UniRef50_Q9KPZ7: Copper-exporting P-type ATPase A|unclassified	603.7485588012
UniRef50_F8H6L5: Cytochrome c family protein	584.1465519598
UniRef50_F8H6L5: Cytochrome c family protein|unclassified	584.1465519598
UniRef50_UPI00035C7829: hypothetical protein	579.5695928549
UniRef50_UPI00035C7829: hypothetical protein|unclassified	579.5695928549
UniRef50_UPI0004685071: MerR family transcriptional regulator	578.9564446101
UniRef50_UPI0004685071: MerR family transcriptional regulator|unclassified	578.9564446101
UniRef50_UPI000380A1DC: hypothetical protein, partial	563.5798726669
UniRef50_UPI000380A1DC: hypothetical protein, partial|unclassified	563.5798726669
UniRef50_F4MYW4	561.3767394671
UniRef50_F4MYW4|unclassified	561.3767394671
UniRef50_O32220: Copper-exporting P-type ATPase A	541.6768699685
UniRef50_O32220: Copper-exporting P-type ATPase A|unclassified	541.6768699685
UniRef50_A0A022GUH1: Copper ABC transporter ATPase (Fragment)	537.4081461031
UniRef50_A0A022GUH1: Copper ABC transporter ATPase (Fragment)|unclassified	537.4081461031
UniRef50_UPI00029A653B: cytochrome c-type biogenesis protein CcmF	535.2564208695
UniRef50_UPI00029A653B: cytochrome c-type biogenesis protein CcmF|unclassified	535.2564208695
UniRef50_UPI0003B40876: heme lyase subunit CcmF	528.1210643782
UniRef50_UPI0003B40876: heme lyase subunit CcmF|unclassified	528.1210643782
UniRef50_UPI0001E896F1: ATPase	525.1560832682
UniRef50_UPI0001E896F1: ATPase|unclassified	525.1560832682
UniRef50_P05448: Putative L,D-transpeptidase in ATP synthase subunits region ORF 5	506.3662009936
UniRef50_P05448: Putative L,D-transpeptidase in ATP synthase subunits region ORF 5|unclassified	506.3662009936
UniRef50_UPI0003652246: hypothetical protein	504.5620319661
UniRef50_UPI0003652246: hypothetical protein|unclassified	504.5620319661
UniRef50_F3EUL5: Cytochrome c-type biogenesis protein CcmF	504.1157635507
UniRef50_F3EUL5: Cytochrome c-type biogenesis protein CcmF|unclassified	504.1157635507
UniRef50_UPI0003B503CA: cytochrome C biogenesis protein CcdA	503.3098345095
UniRef50_UPI0003B503CA: cytochrome C biogenesis protein CcdA|unclassified	503.3098345095
UniRef50_F9YFJ7: Cytochrome c-type biogenesis protein CcmI	500.1424816983
UniRef50_F9YFJ7: Cytochrome c-type biogenesis protein CcmI|unclassified	500.1424816983
UniRef50_UPI000475028A: hypothetical protein, partial	496.3955346520
UniRef50_UPI000475028A: hypothetical protein, partial|unclassified	496.3955346520
UniRef50_UPI000467C1C7: copper oxidase, partial	495.5390176479
UniRef50_UPI000467C1C7: copper oxidase, partial|unclassified	495.5390176479
UniRef50_P05425: Copper-exporting P-type ATPase B	493.7870557684
UniRef50_P05425: Copper-exporting P-type ATPase B|unclassified	493.7870557684
UniRef50_A0A038EGB7	492.9976866922
UniRef50_A0A038EGB7|unclassified	492.9976866922
UniRef50_UPI00046CF501: hypothetical protein	488.6438853445
UniRef50_UPI00046CF501: hypothetical protein|unclassified	488.6438853445
UniRef50_UPI00047501FD: multicopper oxidase	486.7083796044
UniRef50_UPI00047501FD: multicopper oxidase|unclassified	486.7083796044
UniRef50_UPI0003EF98F1: hypothetical protein	480.2662741957
UniRef50_UPI0003EF98F1: hypothetical protein|unclassified	480.2662741957
UniRef50_UPI0004707593: hypothetical protein	477.9294741146
UniRef50_UPI0004707593: hypothetical protein|unclassified	477.9294741146
UniRef50_UPI0003747D01: hypothetical protein	471.7025337051
UniRef50_UPI0003747D01: hypothetical protein|unclassified	471.7025337051
UniRef50_UPI0003959364: MerR family transcriptional regulator	467.9256115676
UniRef50_UPI0003959364: MerR family transcriptional regulator|unclassified	467.9256115676
UniRef50_UPI000474A0FC: cation-transporting ATPase PacS, partial	466.6083333826
UniRef50_UPI000474A0FC: cation-transporting ATPase PacS, partial|unclassified	466.6083333826
UniRef50_UPI0002BB8AA9: hypothetical protein	466.2412383459
UniRef50_UPI0002BB8AA9: hypothetical protein|unclassified	466.2412383459
UniRef50_C2VSC5: Multicopper oxidase	464.3548008863
UniRef50_C2VSC5: Multicopper oxidase|unclassified	464.3548008863
UniRef50_UPI000476F4CB: ATPase P	452.9361262048
UniRef50_UPI000476F4CB: ATPase P|unclassified	452.9361262048
UniRef50_UPI0002887883: cytochrome c-type biogenesis protein CcmF	450.1381413029
UniRef50_UPI0002887883: cytochrome c-type biogenesis protein CcmF|unclassified	450.1381413029
UniRef50_A3FKR9: Copper resistance protein (Fragment)	447.9434433393
UniRef50_A3FKR9: Copper resistance protein (Fragment)|unclassified	447.9434433393
UniRef50_B2K8K0: Cytochrome c-type biogenesis protein CcmI	447.7415028348
UniRef50_B2K8K0: Cytochrome c-type biogenesis protein CcmI|unclassified	447.7415028348
UniRef50_UPI000462C1F9: ATPase, partial	444.5559484294
UniRef50_UPI000462C1F9: ATPase, partial|unclassified	444.5559484294
UniRef50_E5AR53: Multicopper oxidase family protein	444.1122912036
UniRef50_E5AR53: Multicopper oxidase family protein|unclassified	444.1122912036
UniRef50_U3TWX3: Cytochrome c-type biogenesis protein CcmF	434.3416679551
UniRef50_U3TWX3: Cytochrome c-type biogenesis protein CcmF|unclassified	434.3416679551
UniRef50_B7VL40: Cytochrome c-type biogenesis protein CcmH	432.9940996562
UniRef50_B7VL40: Cytochrome c-type biogenesis protein CcmH|unclassified	432.9940996562
UniRef50_UPI00046D3CD4: hypothetical protein	426.2829470972
UniRef50_UPI00046D3CD4: hypothetical protein|unclassified	426.2829470972
UniRef50_UPI00036344D2: hypothetical protein, partial	426.1027015285
UniRef50_UPI00036344D2: hypothetical protein, partial|unclassified	426.1027015285
UniRef50_UPI0003C11B4D: PREDICTED: laccase-2-like	424.3934231469
UniRef50_UPI0003C11B4D: PREDICTED: laccase-2-like|unclassified	424.3934231469
UniRef50_UPI00047D0162: hypothetical protein	423.6538007123
UniRef50_UPI00047D0162: hypothetical protein|unclassified	423.6538007123
UniRef50_UPI00039A51D4: heme lyase subunit CcmF	423.5135511326
UniRef50_UPI00039A51D4: heme lyase subunit CcmF|unclassified	423.5135511326
UniRef50_UPI0003B6C0E2: ATPase	422.9228665396
UniRef50_UPI0003B6C0E2: ATPase|unclassified	422.9228665396
UniRef50_UPI000417C8FA: alcohol dehydrogenase	421.8379985950
UniRef50_UPI000417C8FA: alcohol dehydrogenase|unclassified	421.8379985950
UniRef50_UPI000255A6FA: putative copper resistance protein A, partial	419.3885801845
UniRef50_UPI000255A6FA: putative copper resistance protein A, partial|unclassified	419.3885801845
UniRef50_Q9ZHC7: Silver exporting P-type ATPase	416.7078499970
UniRef50_Q9ZHC7: Silver exporting P-type ATPase|unclassified	416.7078499970
UniRef50_O32219: Cadmium, zinc and cobalt-transporting ATPase	416.5694381460
UniRef50_O32219: Cadmium, zinc and cobalt-transporting ATPase|unclassified	416.5694381460
UniRef50_F3GI41: Cytochrome c-type biogenesis protein CcmF	409.1030438279
UniRef50_F3GI41: Cytochrome c-type biogenesis protein CcmF|unclassified	409.1030438279
UniRef50_E6XQZ1: Cytochrome c-type biogenesis protein CcmI	402.0262104013
UniRef50_E6XQZ1: Cytochrome c-type biogenesis protein CcmI|unclassified	402.0262104013
UniRef50_W4S7H3: Cytochrome c-type biogenesis protein CcmF	401.3459762716
UniRef50_W4S7H3: Cytochrome c-type biogenesis protein CcmF|unclassified	401.3459762716
UniRef50_UPI00016AA7D5: mulitcopper oxidase domain protein, partial	398.7602820103
UniRef50_UPI00016AA7D5: mulitcopper oxidase domain protein, partial|unclassified	398.7602820103
UniRef50_UPI00047AC889: ATPase P	397.6473679292
UniRef50_UPI00047AC889: ATPase P|unclassified	397.6473679292
UniRef50_V1VKF2: Cytochrome c-type biogenesis protein H2 (Fragment)	397.6171583595
UniRef50_V1VKF2: Cytochrome c-type biogenesis protein H2 (Fragment)|unclassified	397.6171583595
UniRef50_UPI0002BA68D4: hypothetical protein	397.6092018920
UniRef50_UPI0002BA68D4: hypothetical protein|unclassified	397.6092018920
UniRef50_UPI0001B431C0: heavy metal-transporting ATPase, partial	396.8081675554
UniRef50_UPI0001B431C0: heavy metal-transporting ATPase, partial|unclassified	396.8081675554
UniRef50_UPI0003743D19: hypothetical protein	392.7808754736
UniRef50_UPI0003743D19: hypothetical protein|unclassified	392.7808754736
UniRef50_R4XZT5: FIG002261: Cytochrome c family protein	389.1535862708
UniRef50_R4XZT5: FIG002261: Cytochrome c family protein|unclassified	389.1535862708
UniRef50_UPI0004702790: hypothetical protein	386.4033318422
UniRef50_UPI0004702790: hypothetical protein|unclassified	386.4033318422
UniRef50_UPI000301ABA8: hypothetical protein	385.8901171578
UniRef50_UPI000301ABA8: hypothetical protein|unclassified	385.8901171578
UniRef50_UPI0004731535: copper oxidase, partial	376.3874888076
UniRef50_UPI0004731535: copper oxidase, partial|unclassified	376.3874888076
UniRef50_UPI0003B467A5: copper-resistance protein CopA	375.6750266441
UniRef50_UPI0003B467A5: copper-resistance protein CopA|unclassified	375.6750266441
UniRef50_UPI000348F4FA: hypothetical protein	373.5768593489
UniRef50_UPI000348F4FA: hypothetical protein|unclassified	373.5768593489
UniRef50_UPI0003EB23CC: heme lyase subunit CcmH, partial	373.4231455238
UniRef50_UPI0003EB23CC: heme lyase subunit CcmH, partial|unclassified	373.4231455238
UniRef50_Z2DJL3: Major facilitator transporter	367.6106748614
UniRef50_Z2DJL3: Major facilitator transporter|unclassified	367.6106748614
UniRef50_UPI000380BA90: hypothetical protein, partial	366.0136755995
UniRef50_UPI000380BA90: hypothetical protein, partial|unclassified	366.0136755995
UniRef50_Q1CHJ6: Cytochrome c-type biogenesis protein	364.7591122448
UniRef50_Q1CHJ6: Cytochrome c-type biogenesis protein|unclassified	364.7591122448
UniRef50_UPI0002E5B447: hypothetical protein	364.4132844473
UniRef50_UPI0002E5B447: hypothetical protein|unclassified	364.4132844473
UniRef50_G9TME1: Cytochrome c-type biogenesis protein F2	362.9970828540
UniRef50_G9TME1: Cytochrome c-type biogenesis protein F2|unclassified	362.9970828540
UniRef50_UPI00036068C9: hypothetical protein	361.9122369695
UniRef50_UPI00036068C9: hypothetical protein|unclassified	361.9122369695
UniRef50_UPI0004729772: copper resistance protein CopA	358.2917948727
UniRef50_UPI0004729772: copper resistance protein CopA|unclassified	358.2917948727
UniRef50_UPI00047B4F25: hypothetical protein	352.6150595560
UniRef50_UPI00047B4F25: hypothetical protein|unclassified	352.6150595560
UniRef50_UPI0003B72FE7: multicopper oxidase, partial	352.1786028253
UniRef50_UPI0003B72FE7: multicopper oxidase, partial|unclassified	352.1786028253
UniRef50_UPI0003685B62: hypothetical protein	345.8709154910
UniRef50_UPI0003685B62: hypothetical protein|unclassified	345.8709154910
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)	341.9151711308
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)|unclassified	341.9151711308
UniRef50_U3AMS9: Cytochrome c-type biogenesis protein CcmI	340.1634605283
UniRef50_U3AMS9: Cytochrome c-type biogenesis protein CcmI|unclassified	340.1634605283
UniRef50_Q1HVY0: PIB-type ATPase (Fragment)	339.7869559040
UniRef50_Q1HVY0: PIB-type ATPase (Fragment)|unclassified	339.7869559040
UniRef50_Q59998: Zinc-transporting ATPase	339.5368127991
UniRef50_Q59998: Zinc-transporting ATPase|unclassified	339.5368127991
UniRef50_E3ZIG6: Copper resistance domain-containing protein (Fragment)	334.3511681398
UniRef50_E3ZIG6: Copper resistance domain-containing protein (Fragment)|unclassified	334.3511681398
UniRef50_UPI000476E288: hypothetical protein, partial	332.1762663296
UniRef50_UPI000476E288: hypothetical protein, partial|unclassified	332.1762663296
UniRef50_UPI00036A5077: hypothetical protein	331.4440500369
UniRef50_UPI00036A5077: hypothetical protein|unclassified	331.4440500369
UniRef50_P9WPU0: Cation-transporting P-type ATPase A	330.3815354868
UniRef50_P9WPU0: Cation-transporting P-type ATPase A|unclassified	330.3815354868
UniRef50_O31688: Zinc-transporting ATPase	330.2341178274
UniRef50_O31688: Zinc-transporting ATPase|unclassified	330.2341178274
UniRef50_A0A022GVC0: Transcriptional regulator	329.3603814716
UniRef50_A0A022GVC0: Transcriptional regulator|unclassified	329.3603814716
UniRef50_UPI000475DCB4: ATPase, partial	327.9032779599
UniRef50_UPI000475DCB4: ATPase, partial|unclassified	327.9032779599
UniRef50_UPI0003B5E70F: hypothetical protein	327.5493732753
UniRef50_UPI0003B5E70F: hypothetical protein|unclassified	327.5493732753
UniRef50_UPI0003609CE5: copper oxidase, partial	327.0907307540
UniRef50_UPI0003609CE5: copper oxidase, partial|unclassified	327.0907307540
UniRef50_UPI00046743AE: ATPase, partial	325.3810941794
UniRef50_UPI00046743AE: ATPase, partial|unclassified	325.3810941794
UniRef50_UPI00036A9BE8: hypothetical protein, partial	324.7244251921
UniRef50_UPI00036A9BE8: hypothetical protein, partial|unclassified	324.7244251921
UniRef50_X2SQ03	323.1691791952
UniRef50_X2SQ03|unclassified	323.1691791952
UniRef50_UPI00036CD187: hypothetical protein, partial	321.1660708338
UniRef50_UPI00036CD187: hypothetical protein, partial|unclassified	321.1660708338
UniRef50_UPI0001BF6496: hypothetical protein SMAC_10494	320.3145267434
UniRef50_UPI0001BF6496: hypothetical protein SMAC_10494|unclassified	320.3145267434
UniRef50_UPI000361B253: hypothetical protein	318.8188202978
UniRef50_UPI000361B253: hypothetical protein|unclassified	318.8188202978
UniRef50_UPI0004724ADD: ATPase P	317.5894405575
UniRef50_UPI0004724ADD: ATPase P|unclassified	317.5894405575
UniRef50_UPI00047810F9: hypothetical protein	316.8482710060
UniRef50_UPI00047810F9: hypothetical protein|unclassified	316.8482710060
UniRef50_UPI00046A8E96: cytochrome C	316.0179711776
UniRef50_UPI00046A8E96: cytochrome C|unclassified	316.0179711776
UniRef50_UPI000471B75B: hypothetical protein, partial	314.1128675923
UniRef50_UPI000471B75B: hypothetical protein, partial|unclassified	314.1128675923
UniRef50_UPI000367CE13: hypothetical protein	313.5836702949
UniRef50_UPI000367CE13: hypothetical protein|unclassified	313.5836702949
UniRef50_A0A022H031: Cytochrome C (Fragment)	312.2603033370
UniRef50_A0A022H031: Cytochrome C (Fragment)|unclassified	312.2603033370
UniRef50_A0A014L7T7: Major Facilitator Superfamily protein	312.1991902915
UniRef50_A0A014L7T7: Major Facilitator Superfamily protein|unclassified	312.1991902915
UniRef50_E2NTB3	310.9954024764
UniRef50_E2NTB3|unclassified	310.9954024764
UniRef50_UPI0003746E84: hypothetical protein	304.6108114036
UniRef50_UPI0003746E84: hypothetical protein|unclassified	304.6108114036
UniRef50_W1H945: Blue copper oxidase CueO	303.0238238521
UniRef50_W1H945: Blue copper oxidase CueO|unclassified	303.0238238521
UniRef50_UPI00031B8B53: hypothetical protein	301.5156393792
UniRef50_UPI00031B8B53: hypothetical protein|unclassified	301.5156393792
UniRef50_UPI0003A88B86: ATPase	299.2256569871
UniRef50_UPI0003A88B86: ATPase|unclassified	299.2256569871
UniRef50_X3ELW7: Cytochrome C	296.8524211024
UniRef50_X3ELW7: Cytochrome C|unclassified	296.8524211024
UniRef50_UPI00029ADA70: putative metallo-oxido-reductase, partial	292.8769406246
UniRef50_UPI00029ADA70: putative metallo-oxido-reductase, partial|unclassified	292.8769406246
UniRef50_UPI0003A39647: hypothetical protein	292.2229480182
UniRef50_UPI0003A39647: hypothetical protein|unclassified	292.2229480182
UniRef50_H0TUY3: Cytochrome c-type biogenesis protein cycK	289.1510647289
UniRef50_H0TUY3: Cytochrome c-type biogenesis protein cycK|unclassified	289.1510647289
UniRef50_UPI00041194F6: copper transporter	287.2734049540
UniRef50_UPI00041194F6: copper transporter|unclassified	287.2734049540
UniRef50_UPI000378803E: hypothetical protein	278.9444120390
UniRef50_UPI000378803E: hypothetical protein|unclassified	278.9444120390
UniRef50_UPI000315487C: hypothetical protein	275.9297899971
UniRef50_UPI000315487C: hypothetical protein|unclassified	275.9297899971
UniRef50_W9TLX8: Cytochrome C-type biogenesis protein CcmF	272.1742394133
UniRef50_W9TLX8: Cytochrome C-type biogenesis protein CcmF|unclassified	272.1742394133
UniRef50_UPI0004725129: hypothetical protein, partial	272.0227121215
UniRef50_UPI0004725129: hypothetical protein, partial|unclassified	272.0227121215
UniRef50_X2MUZ6	272.0039867576
UniRef50_X2MUZ6|unclassified	272.0039867576
UniRef50_A0A011Q1F4: Cytochrome c-type biogenesis protein CcmF	271.3008103743
UniRef50_A0A011Q1F4: Cytochrome c-type biogenesis protein CcmF|unclassified	271.3008103743
UniRef50_UPI000479C2FE: hypothetical protein	271.1270978022
UniRef50_UPI000479C2FE: hypothetical protein|unclassified	271.1270978022
UniRef50_UPI0003EF2052: hypothetical protein	270.8696083502
UniRef50_UPI0003EF2052: hypothetical protein|unclassified	270.8696083502
UniRef50_Q6GIX3: Multicopper oxidase mco	270.2337587994
UniRef50_Q6GIX3: Multicopper oxidase mco|unclassified	270.2337587994
UniRef50_UPI0001912298: heme lyase subunit NrfE	270.0204573477
UniRef50_UPI0001912298: heme lyase subunit NrfE|unclassified	270.0204573477
UniRef50_UPI0004651A05: copper resistance protein CopB	269.1323971768
UniRef50_UPI0004651A05: copper resistance protein CopB|unclassified	269.1323971768
UniRef50_UPI000374CADE: hypothetical protein	269.0860626463
UniRef50_UPI000374CADE: hypothetical protein|unclassified	269.0860626463
UniRef50_UPI00025597C6: hypothetical protein	269.0608948329
UniRef50_UPI00025597C6: hypothetical protein|unclassified	269.0608948329
UniRef50_I6E592: Inner membrane protein YebZ	268.4092392311
UniRef50_I6E592: Inner membrane protein YebZ|unclassified	268.4092392311
UniRef50_UPI00036E7136: hypothetical protein	268.3607990286
UniRef50_UPI00036E7136: hypothetical protein|unclassified	268.3607990286
UniRef50_Q47945: Alcohol dehydrogenase cytochrome c subunit	268.3522383167
UniRef50_Q47945: Alcohol dehydrogenase cytochrome c subunit|unclassified	268.3522383167
UniRef50_J8PQQ8: Cytochrome c-type biogenesis protein CcmF (Fragment)	267.6035618591
UniRef50_J8PQQ8: Cytochrome c-type biogenesis protein CcmF (Fragment)|unclassified	267.6035618591
UniRef50_UPI0002ECDA86: hypothetical protein	267.2927227234
UniRef50_UPI0002ECDA86: hypothetical protein|unclassified	267.2927227234
UniRef50_W8UMB8: Cytochrome c-type biogenesis protein CcmH	266.9900548974
UniRef50_W8UMB8: Cytochrome c-type biogenesis protein CcmH|unclassified	266.9900548974
UniRef50_UPI000371AD6C: hypothetical protein	266.9599525999
UniRef50_UPI000371AD6C: hypothetical protein|unclassified	266.9599525999
UniRef50_X7U1V9: Heavy metal translocating P-type ATPase domain protein	266.7359627602
UniRef50_X7U1V9: Heavy metal translocating P-type ATPase domain protein|unclassified	266.7359627602
UniRef50_UPI0003768C33: hypothetical protein	265.5717901516
UniRef50_UPI0003768C33: hypothetical protein|unclassified	265.5717901516
UniRef50_UPI0003B53833: hypothetical protein	265.3153528408
UniRef50_UPI0003B53833: hypothetical protein|unclassified	265.3153528408
UniRef50_P73241: Probable copper-transporting ATPase PacS	264.6945440740
UniRef50_P73241: Probable copper-transporting ATPase PacS|unclassified	264.6945440740
UniRef50_UPI000478E168: 4-deoxy-4-formamido-L-arabinose-phospho-UDP deformylase	264.0137341402
UniRef50_UPI000478E168: 4-deoxy-4-formamido-L-arabinose-phospho-UDP deformylase|unclassified	264.0137341402
UniRef50_UPI00032980FE: PREDICTED: alcohol dehydrogenase cytochrome c subunit-like	263.7522037827
UniRef50_UPI00032980FE: PREDICTED: alcohol dehydrogenase cytochrome c subunit-like|unclassified	263.7522037827
UniRef50_UPI0002260C1F: copper resistance protein A, partial	263.0924084085
UniRef50_UPI0002260C1F: copper resistance protein A, partial|unclassified	263.0924084085
UniRef50_UPI0003621B43: hypothetical protein, partial	262.6318015285
UniRef50_UPI0003621B43: hypothetical protein, partial|unclassified	262.6318015285
UniRef50_K8B202	262.2841965624
UniRef50_K8B202|unclassified	262.2841965624
UniRef50_A0A014NGH7	260.5554550516
UniRef50_A0A014NGH7|unclassified	260.5554550516
UniRef50_UPI00047687AA: hypothetical protein, partial	260.0850118128
UniRef50_UPI00047687AA: hypothetical protein, partial|unclassified	260.0850118128
UniRef50_UPI00047414ED: cytochrome C biogenesis protein CcmE, partial	258.9288798016
UniRef50_UPI00047414ED: cytochrome C biogenesis protein CcmE, partial|unclassified	258.9288798016
UniRef50_UPI00037DBFE3: hypothetical protein	258.1483410715
UniRef50_UPI00037DBFE3: hypothetical protein|unclassified	258.1483410715
UniRef50_UPI000474F34F: hypothetical protein	251.5705380616
UniRef50_UPI000474F34F: hypothetical protein|unclassified	251.5705380616
UniRef50_F7YNQ0: CcmH	251.0793818047
UniRef50_F7YNQ0: CcmH|unclassified	251.0793818047
