# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-RPKs
UniRef50_B4RKY8: Succinyl-diaminopimelate desuccinylase|unclassified	1112.7126164177
UniRef50_B4F1G9: Argininosuccinate lyase	1112.7095624361
UniRef50_B4F1G9: Argininosuccinate lyase|unclassified	1112.7095624361
UniRef50_Q9K8V3: Arginine biosynthesis bifunctional protein ArgJ	1102.6491777405
UniRef50_Q9K8V3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1102.6491777405
UniRef50_Q04MW7: Argininosuccinate synthase	1078.8931090712
UniRef50_Q04MW7: Argininosuccinate synthase|unclassified	1078.8931090712
UniRef50_W7WJQ6	1076.6986874590
UniRef50_W7WJQ6|unclassified	1076.6986874590
UniRef50_Q8XZZ5: Amino-acid acetyltransferase	1073.0213694404
UniRef50_Q8XZZ5: Amino-acid acetyltransferase|unclassified	1073.0213694404
UniRef50_Q48F49: Succinyl-diaminopimelate desuccinylase	1064.7914947837
UniRef50_Q48F49: Succinyl-diaminopimelate desuccinylase|unclassified	1064.7914947837
UniRef50_UPI00046E5B63: hypothetical protein, partial	1049.1627829692
UniRef50_UPI00046E5B63: hypothetical protein, partial|unclassified	1049.1627829692
UniRef50_Q12SM7: Argininosuccinate synthase	1039.9324512746
UniRef50_Q12SM7: Argininosuccinate synthase|unclassified	1039.9324512746
UniRef50_Q47BM0: Argininosuccinate synthase	1039.6045685519
UniRef50_Q47BM0: Argininosuccinate synthase|unclassified	1039.6045685519
UniRef50_UPI000465BA9F: succinyl-diaminopimelate desuccinylase, partial	1038.1828433968
UniRef50_UPI000465BA9F: succinyl-diaminopimelate desuccinylase, partial|unclassified	1038.1828433968
UniRef50_V8FL01	1016.1225576795
UniRef50_V8FL01|unclassified	1016.1225576795
UniRef50_A8IPV3: Acetylglutamate kinase	1014.8012455097
UniRef50_A8IPV3: Acetylglutamate kinase|unclassified	1014.8012455097
UniRef50_Q3SJE0: Succinyl-diaminopimelate desuccinylase	1012.5508712438
UniRef50_Q3SJE0: Succinyl-diaminopimelate desuccinylase|unclassified	1012.5508712438
UniRef50_Q2JXY9: Argininosuccinate lyase	995.3343582606
UniRef50_Q2JXY9: Argininosuccinate lyase|unclassified	995.3343582606
UniRef50_P0C2U0: Ornithine carbamoyltransferase, catabolic	989.2737410180
UniRef50_P0C2U0: Ornithine carbamoyltransferase, catabolic|unclassified	989.2737410180
UniRef50_Q5LXZ9: Argininosuccinate lyase	988.0549514713
UniRef50_Q5LXZ9: Argininosuccinate lyase|unclassified	988.0549514713
UniRef50_Q63QK7: Arginine biosynthesis bifunctional protein ArgJ	983.2958162046
UniRef50_Q63QK7: Arginine biosynthesis bifunctional protein ArgJ|unclassified	983.2958162046
UniRef50_Q6GAW6: Argininosuccinate lyase	975.1791791363
UniRef50_Q6GAW6: Argininosuccinate lyase|unclassified	975.1791791363
UniRef50_Q2YUZ7: Acetylglutamate kinase	969.5632746183
UniRef50_Q2YUZ7: Acetylglutamate kinase|unclassified	969.5632746183
UniRef50_Q8A1E9: N-acetylornithine carbamoyltransferase	961.1198014101
UniRef50_Q8A1E9: N-acetylornithine carbamoyltransferase|unclassified	961.1198014101
UniRef50_A7X0H4: Argininosuccinate lyase	957.3919845778
UniRef50_A7X0H4: Argininosuccinate lyase|unclassified	957.3919845778
UniRef50_A4SIM5: Argininosuccinate synthase	953.5775131010
UniRef50_A4SIM5: Argininosuccinate synthase|unclassified	953.5775131010
UniRef50_W7X7V9	952.8963763384
UniRef50_W7X7V9|unclassified	952.8963763384
UniRef50_UPI0003B71251: hypothetical protein, partial	940.7063773438
UniRef50_UPI0003B71251: hypothetical protein, partial|unclassified	940.7063773438
UniRef50_P36843: Arginine biosynthesis bifunctional protein ArgJ	937.0471752771
UniRef50_P36843: Arginine biosynthesis bifunctional protein ArgJ|unclassified	937.0471752771
UniRef50_Q88AR2: Amino-acid acetyltransferase	904.7693335037
UniRef50_Q88AR2: Amino-acid acetyltransferase|unclassified	904.7693335037
UniRef50_UPI0003670DF4: hypothetical protein, partial	902.3599734404
UniRef50_UPI0003670DF4: hypothetical protein, partial|unclassified	902.3599734404
UniRef50_A5CSI8: Argininosuccinate lyase	898.6782515256
UniRef50_A5CSI8: Argininosuccinate lyase|unclassified	898.6782515256
UniRef50_Q9SZX3: Argininosuccinate synthase, chloroplastic	886.6300301044
UniRef50_Q9SZX3: Argininosuccinate synthase, chloroplastic|unclassified	886.6300301044
UniRef50_B7IWP4: Acetylglutamate kinase	878.5647812010
UniRef50_B7IWP4: Acetylglutamate kinase|unclassified	878.5647812010
UniRef50_P59620: Bifunctional protein ArgH	863.5782279085
UniRef50_P59620: Bifunctional protein ArgH|unclassified	863.5782279085
UniRef50_UPI0003674450: hypothetical protein, partial	851.6296606242
UniRef50_UPI0003674450: hypothetical protein, partial|unclassified	851.6296606242
UniRef50_UPI0003C12F43: PREDICTED: acetylornithine aminotransferase, chloroplastic/mitochondrial-like	850.3525595311
UniRef50_UPI0003C12F43: PREDICTED: acetylornithine aminotransferase, chloroplastic/mitochondrial-like|unclassified	850.3525595311
UniRef50_Q81M98: Acetylornithine aminotransferase	848.2081896554
UniRef50_Q81M98: Acetylornithine aminotransferase|unclassified	848.2081896554
UniRef50_C3K475: Acetylglutamate kinase	824.7658547916
UniRef50_C3K475: Acetylglutamate kinase|unclassified	824.7658547916
UniRef50_Q8ET05: Ornithine carbamoyltransferase	812.4035307836
UniRef50_Q8ET05: Ornithine carbamoyltransferase|unclassified	812.4035307836
UniRef50_Q12C18: Succinyl-diaminopimelate desuccinylase	809.0907638293
UniRef50_Q12C18: Succinyl-diaminopimelate desuccinylase|unclassified	809.0907638293
UniRef50_Q58131: Acetylornithine aminotransferase	803.8005396559
UniRef50_Q58131: Acetylornithine aminotransferase|unclassified	803.8005396559
UniRef50_Q8Y339: N-acetyl-gamma-glutamyl-phosphate reductase	794.6067807491
UniRef50_Q8Y339: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	794.6067807491
UniRef50_Q2YA02: Acetylglutamate kinase	784.5645997311
UniRef50_Q2YA02: Acetylglutamate kinase|unclassified	784.5645997311
UniRef50_P30900: Acetylornithine aminotransferase	780.2709899155
UniRef50_P30900: Acetylornithine aminotransferase|unclassified	780.2709899155
UniRef50_V8Z2T8	779.6127580324
UniRef50_V8Z2T8|unclassified	779.6127580324
UniRef50_A6U5J1: Succinyl-diaminopimelate desuccinylase	773.1218972526
UniRef50_A6U5J1: Succinyl-diaminopimelate desuccinylase|unclassified	773.1218972526
UniRef50_UPI0004639BB5: acetylornithine deacetylase, partial	771.2714419479
UniRef50_UPI0004639BB5: acetylornithine deacetylase, partial|unclassified	771.2714419479
UniRef50_Q9HW04: Arginine biosynthesis bifunctional protein ArgJ	767.2393157631
UniRef50_Q9HW04: Arginine biosynthesis bifunctional protein ArgJ|unclassified	767.2393157631
UniRef50_Q5E2E8: Bifunctional protein ArgH	761.3762376449
UniRef50_Q5E2E8: Bifunctional protein ArgH|unclassified	761.3762376449
UniRef50_A8F7Z9: Ornithine carbamoyltransferase	750.1288752920
UniRef50_A8F7Z9: Ornithine carbamoyltransferase|unclassified	750.1288752920
UniRef50_Q5P706: Arginine biosynthesis bifunctional protein ArgJ	744.4435012582
UniRef50_Q5P706: Arginine biosynthesis bifunctional protein ArgJ|unclassified	744.4435012582
UniRef50_Q4FT48: Ornithine carbamoyltransferase	737.1137902042
UniRef50_Q4FT48: Ornithine carbamoyltransferase|unclassified	737.1137902042
UniRef50_Q9CC14: Arginine biosynthesis bifunctional protein ArgJ	728.2756238739
UniRef50_Q9CC14: Arginine biosynthesis bifunctional protein ArgJ|unclassified	728.2756238739
UniRef50_Q8Y3E7: Acetylglutamate kinase	726.1611788268
UniRef50_Q8Y3E7: Acetylglutamate kinase|unclassified	726.1611788268
UniRef50_Q2P492: Succinyl-diaminopimelate desuccinylase	725.1671872520
UniRef50_Q2P492: Succinyl-diaminopimelate desuccinylase|unclassified	725.1671872520
UniRef50_A1U6L0: Acetylglutamate kinase	718.9280261566
UniRef50_A1U6L0: Acetylglutamate kinase|unclassified	718.9280261566
UniRef50_Q2FK78: N-acetyl-gamma-glutamyl-phosphate reductase	716.2272153179
UniRef50_Q2FK78: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	716.2272153179
UniRef50_UPI0001850C2E: acetylornithine deacetylase	707.0566754706
UniRef50_UPI0001850C2E: acetylornithine deacetylase|unclassified	707.0566754706
UniRef50_R4LXU2	702.3465484890
UniRef50_R4LXU2|unclassified	702.3465484890
UniRef50_Q64Z15: Argininosuccinate lyase	695.1101667161
UniRef50_Q64Z15: Argininosuccinate lyase|unclassified	695.1101667161
UniRef50_UPI00046897A2: ornithine carbamoyltransferase	692.5889778417
UniRef50_UPI00046897A2: ornithine carbamoyltransferase|unclassified	692.5889778417
UniRef50_UPI000478A732: ornithine carbamoyltransferase	691.8335501760
UniRef50_UPI000478A732: ornithine carbamoyltransferase|unclassified	691.8335501760
UniRef50_B1IK08: Argininosuccinate synthase	689.7453479385
UniRef50_B1IK08: Argininosuccinate synthase|unclassified	689.7453479385
UniRef50_B1TH31	689.0354972087
UniRef50_B1TH31|unclassified	689.0354972087
UniRef50_UPI0003C176FD: PREDICTED: argininosuccinate synthase, chloroplastic-like	677.4947256210
UniRef50_UPI0003C176FD: PREDICTED: argininosuccinate synthase, chloroplastic-like|unclassified	677.4947256210
UniRef50_A7GXA8: Argininosuccinate lyase	669.4104217531
UniRef50_A7GXA8: Argininosuccinate lyase|unclassified	669.4104217531
UniRef50_UPI00029B022C: N-acetylglutamate synthase, partial	667.7728396654
UniRef50_UPI00029B022C: N-acetylglutamate synthase, partial|unclassified	667.7728396654
UniRef50_V2A8W8	664.4049675449
UniRef50_V2A8W8|unclassified	664.4049675449
UniRef50_K2AD42	663.5047544933
UniRef50_K2AD42|unclassified	663.5047544933
UniRef50_Q8Y6U5: Ornithine carbamoyltransferase	659.3801394637
UniRef50_Q8Y6U5: Ornithine carbamoyltransferase|unclassified	659.3801394637
UniRef50_UPI000234E45E: PREDICTED: argininosuccinate synthase, chloroplastic-like	658.0121460424
UniRef50_UPI000234E45E: PREDICTED: argininosuccinate synthase, chloroplastic-like|unclassified	658.0121460424
UniRef50_UPI0003B5776A: acetylornithine aminotransferase, partial	645.1951875412
UniRef50_UPI0003B5776A: acetylornithine aminotransferase, partial|unclassified	645.1951875412
UniRef50_P59318: Acetylornithine aminotransferase	644.3107405249
UniRef50_P59318: Acetylornithine aminotransferase|unclassified	644.3107405249
UniRef50_A1ET64: Nucleoside recognition (Fragment)	641.0810470809
UniRef50_A1ET64: Nucleoside recognition (Fragment)|unclassified	641.0810470809
UniRef50_Q5LHZ1: N-acetyl-gamma-glutamyl-phosphate reductase	639.4085039401
UniRef50_Q5LHZ1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	639.4085039401
UniRef50_UPI000470F989: argininosuccinate lyase	630.8714062004
UniRef50_UPI000470F989: argininosuccinate lyase|unclassified	630.8714062004
UniRef50_Q5HKI1: Probable succinyl-diaminopimelate desuccinylase	628.0862903202
UniRef50_Q5HKI1: Probable succinyl-diaminopimelate desuccinylase|unclassified	628.0862903202
UniRef50_Q4FNX4: Argininosuccinate synthase	627.3085335067
UniRef50_Q4FNX4: Argininosuccinate synthase|unclassified	627.3085335067
UniRef50_B7GTP2: Ornithine carbamoyltransferase	626.3022780016
UniRef50_B7GTP2: Ornithine carbamoyltransferase|unclassified	626.3022780016
UniRef50_K0EUV5: Ion transporter	626.0093980553
UniRef50_K0EUV5: Ion transporter|unclassified	626.0093980553
UniRef50_A8LE44: Ornithine carbamoyltransferase	619.9961861409
UniRef50_A8LE44: Ornithine carbamoyltransferase|unclassified	619.9961861409
UniRef50_W1HRS4	617.7682172103
UniRef50_W1HRS4|unclassified	617.7682172103
UniRef50_UPI00036357F5: hypothetical protein, partial	614.3373770024
UniRef50_UPI00036357F5: hypothetical protein, partial|unclassified	614.3373770024
UniRef50_UPI000472B8EE: hypothetical protein, partial	613.0548167400
UniRef50_UPI000472B8EE: hypothetical protein, partial|unclassified	613.0548167400
UniRef50_Q9ZB62: Ornithine carbamoyltransferase	612.5587934368
UniRef50_Q9ZB62: Ornithine carbamoyltransferase|unclassified	612.5587934368
UniRef50_A0PP75: Acetylglutamate kinase	610.9229982334
UniRef50_A0PP75: Acetylglutamate kinase|unclassified	610.9229982334
UniRef50_W7JNR7	610.5607273248
UniRef50_W7JNR7|unclassified	610.5607273248
UniRef50_UPI0002192E8A: argininosuccinate synthase, partial	610.3565723184
UniRef50_UPI0002192E8A: argininosuccinate synthase, partial|unclassified	610.3565723184
UniRef50_B0TL88: N-acetyl-gamma-glutamyl-phosphate reductase	609.0667576211
UniRef50_B0TL88: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	609.0667576211
UniRef50_Q3JWY9	606.0963966465
UniRef50_Q3JWY9|unclassified	606.0963966465
UniRef50_B2V6Y7: Argininosuccinate lyase	601.4686621427
UniRef50_B2V6Y7: Argininosuccinate lyase|unclassified	601.4686621427
UniRef50_UPI000473C59D: hypothetical protein, partial	600.5678136812
UniRef50_UPI000473C59D: hypothetical protein, partial|unclassified	600.5678136812
UniRef50_Q59279: N-acetyl-gamma-glutamyl-phosphate reductase	593.1353558787
UniRef50_Q59279: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	593.1353558787
UniRef50_UPI00046AD32A: acetylornithine deacetylase	588.3503795849
UniRef50_UPI00046AD32A: acetylornithine deacetylase|unclassified	588.3503795849
UniRef50_A0A014QGG2	587.8531066985
UniRef50_A0A014QGG2|unclassified	587.8531066985
UniRef50_Q46I72: Argininosuccinate synthase	584.9459859188
UniRef50_Q46I72: Argininosuccinate synthase|unclassified	584.9459859188
UniRef50_UPI0004736E2C: hypothetical protein, partial	583.0759930812
UniRef50_UPI0004736E2C: hypothetical protein, partial|unclassified	583.0759930812
UniRef50_Q8XWN8: Acetylornithine aminotransferase	578.2340368686
UniRef50_Q8XWN8: Acetylornithine aminotransferase|unclassified	578.2340368686
UniRef50_UPI0003748675: hypothetical protein	575.8085791849
UniRef50_UPI0003748675: hypothetical protein|unclassified	575.8085791849
UniRef50_O87319: Ornithine carbamoyltransferase	575.4489035422
UniRef50_O87319: Ornithine carbamoyltransferase|unclassified	575.4489035422
UniRef50_A5CXF1: Acetylglutamate kinase	574.4536454420
UniRef50_A5CXF1: Acetylglutamate kinase|unclassified	574.4536454420
UniRef50_UPI0003C1003F: PREDICTED: probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic-like	574.3621432274
UniRef50_UPI0003C1003F: PREDICTED: probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic-like|unclassified	574.3621432274
UniRef50_Q74GU4: Acetylglutamate kinase	570.5684055869
UniRef50_Q74GU4: Acetylglutamate kinase|unclassified	570.5684055869
UniRef50_Q3SFH1: Acetylglutamate kinase	569.5717211827
UniRef50_Q3SFH1: Acetylglutamate kinase|unclassified	569.5717211827
UniRef50_P57155: Acetylornithine deacetylase	566.6298520302
UniRef50_P57155: Acetylornithine deacetylase|unclassified	566.6298520302
UniRef50_Q57AV8: Arginine biosynthesis bifunctional protein ArgJ	566.1174349607
UniRef50_Q57AV8: Arginine biosynthesis bifunctional protein ArgJ|unclassified	566.1174349607
UniRef50_Q8P5Q4: Acetylornithine aminotransferase	561.2297888724
UniRef50_Q8P5Q4: Acetylornithine aminotransferase|unclassified	561.2297888724
UniRef50_Q9X2A3: Arginine biosynthesis bifunctional protein ArgJ	560.2233948526
UniRef50_Q9X2A3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	560.2233948526
UniRef50_Q4MMY0	555.9034012189
UniRef50_Q4MMY0|unclassified	555.9034012189
UniRef50_Q5ZY77: Argininosuccinate lyase	548.8340254019
UniRef50_Q5ZY77: Argininosuccinate lyase|unclassified	548.8340254019
UniRef50_Q9RWJ0: Argininosuccinate lyase	544.7625736256
UniRef50_Q9RWJ0: Argininosuccinate lyase|unclassified	544.7625736256
UniRef50_V4R7E6	540.7748348062
UniRef50_V4R7E6|unclassified	540.7748348062
UniRef50_Q38ZT5: N-acetyl-gamma-glutamyl-phosphate reductase	540.4095047416
UniRef50_Q38ZT5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	540.4095047416
UniRef50_UPI000169DAD3: argininosuccinate lyase, partial	540.0904131687
UniRef50_UPI000169DAD3: argininosuccinate lyase, partial|unclassified	540.0904131687
UniRef50_R4MGQ5	539.1210018926
UniRef50_R4MGQ5|unclassified	539.1210018926
UniRef50_Q89M35: Blr4358 protein	535.5657980497
UniRef50_Q89M35: Blr4358 protein|unclassified	535.5657980497
UniRef50_Q6FED8: Arginine biosynthesis bifunctional protein ArgJ	533.1537556424
UniRef50_Q6FED8: Arginine biosynthesis bifunctional protein ArgJ|unclassified	533.1537556424
UniRef50_UPI0003688A9C: AraC family transcriptional regulator, partial	533.0812574275
UniRef50_UPI0003688A9C: AraC family transcriptional regulator, partial|unclassified	533.0812574275
UniRef50_B4S0H8: N-acetyl-gamma-glutamyl-phosphate reductase	532.6833467965
UniRef50_B4S0H8: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	532.6833467965
UniRef50_P59610: Arginine biosynthesis bifunctional protein ArgJ	526.6880831999
UniRef50_P59610: Arginine biosynthesis bifunctional protein ArgJ|unclassified	526.6880831999
UniRef50_A1A1X1: Acetylglutamate kinase	523.8378195790
UniRef50_A1A1X1: Acetylglutamate kinase|unclassified	523.8378195790
UniRef50_P73133: Acetylornithine aminotransferase	515.8255117088
UniRef50_P73133: Acetylornithine aminotransferase|unclassified	515.8255117088
UniRef50_Q87DM8: Acetylornithine aminotransferase	511.7038946190
UniRef50_Q87DM8: Acetylornithine aminotransferase|unclassified	511.7038946190
UniRef50_C6SHD0	510.0387746105
UniRef50_C6SHD0|unclassified	510.0387746105
UniRef50_UPI000364791F: hypothetical protein	509.1196622343
UniRef50_UPI000364791F: hypothetical protein|unclassified	509.1196622343
UniRef50_Q7U5V5: Ornithine carbamoyltransferase	509.0224665553
UniRef50_Q7U5V5: Ornithine carbamoyltransferase|unclassified	509.0224665553
UniRef50_P61527: Argininosuccinate synthase	506.6446463416
UniRef50_P61527: Argininosuccinate synthase|unclassified	506.6446463416
UniRef50_UPI0004717ABE: hypothetical protein, partial	500.5173533286
UniRef50_UPI0004717ABE: hypothetical protein, partial|unclassified	500.5173533286
UniRef50_Q89LG2: Acetylornithine aminotransferase 2	497.4645721325
UniRef50_Q89LG2: Acetylornithine aminotransferase 2|unclassified	497.4645721325
UniRef50_A7Z3A7: N-acetyl-gamma-glutamyl-phosphate reductase	494.1782734587
UniRef50_A7Z3A7: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	494.1782734587
UniRef50_A6KXY8: Arginine repressor	492.7819578554
UniRef50_A6KXY8: Arginine repressor|unclassified	492.7819578554
UniRef50_Q92MJ1: Arginine biosynthesis bifunctional protein ArgJ	492.3108480382
UniRef50_Q92MJ1: Arginine biosynthesis bifunctional protein ArgJ|unclassified	492.3108480382
UniRef50_B9MRP4: Argininosuccinate lyase	490.0195288236
UniRef50_B9MRP4: Argininosuccinate lyase|unclassified	490.0195288236
UniRef50_Q71Z78: Acetylglutamate kinase	489.5332843576
UniRef50_Q71Z78: Acetylglutamate kinase|unclassified	489.5332843576
UniRef50_B8H555: N-acetyl-gamma-glutamyl-phosphate reductase	486.7309999672
UniRef50_B8H555: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	486.7309999672
UniRef50_Q72C18: Acetylglutamate kinase	486.0072207815
UniRef50_Q72C18: Acetylglutamate kinase|unclassified	486.0072207815
UniRef50_UPI0001B4418A: ornithine carbamoyltransferase	481.8155474975
UniRef50_UPI0001B4418A: ornithine carbamoyltransferase|unclassified	481.8155474975
UniRef50_Q9A652: Acetylornithine aminotransferase 2	480.9704607457
UniRef50_Q9A652: Acetylornithine aminotransferase 2|unclassified	480.9704607457
UniRef50_A5D504: N-acetyl-gamma-glutamyl-phosphate reductase	479.7211028207
UniRef50_A5D504: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	479.7211028207
UniRef50_P9WPY8: Arginine repressor	479.2070913581
UniRef50_P9WPY8: Arginine repressor|unclassified	479.2070913581
UniRef50_UPI000474CA5A: hypothetical protein	477.6944758054
UniRef50_UPI000474CA5A: hypothetical protein|unclassified	477.6944758054
UniRef50_Q9L1A5: Arginine repressor	477.0403815860
UniRef50_Q9L1A5: Arginine repressor|unclassified	477.0403815860
UniRef50_A6F9C9	476.7644103086
UniRef50_A6F9C9|unclassified	476.7644103086
UniRef50_UPI00040F087B: ornithine carbamoyltransferase	475.9337255085
UniRef50_UPI00040F087B: ornithine carbamoyltransferase|unclassified	475.9337255085
UniRef50_Q2JHF7: Acetylglutamate kinase	474.9506918608
UniRef50_Q2JHF7: Acetylglutamate kinase|unclassified	474.9506918608
UniRef50_A2BND8: Argininosuccinate lyase	473.4277621775
UniRef50_A2BND8: Argininosuccinate lyase|unclassified	473.4277621775
UniRef50_Q8EK29: Ornithine carbamoyltransferase	469.5494103297
UniRef50_Q8EK29: Ornithine carbamoyltransferase|unclassified	469.5494103297
UniRef50_UPI000474A438: hypothetical protein	468.1982835851
UniRef50_UPI000474A438: hypothetical protein|unclassified	468.1982835851
UniRef50_Q8TUZ5: Acetylornithine aminotransferase	467.9135636522
UniRef50_Q8TUZ5: Acetylornithine aminotransferase|unclassified	467.9135636522
UniRef50_Q2P2F7: Argininosuccinate lyase	467.1239626238
UniRef50_Q2P2F7: Argininosuccinate lyase|unclassified	467.1239626238
UniRef50_UPI00046F229A: acetylornithine aminotransferase, partial	459.5069748259
UniRef50_UPI00046F229A: acetylornithine aminotransferase, partial|unclassified	459.5069748259
UniRef50_UPI00037F8702: hypothetical protein	458.2363792395
UniRef50_UPI00037F8702: hypothetical protein|unclassified	458.2363792395
