# Gene Family	SampleCysteine_Biosynthesis_Abundance-RPKs
UniRef50_Q8EB10: Sulfate adenylyltransferase subunit 1	1129.9232346254
UniRef50_Q8EB10: Sulfate adenylyltransferase subunit 1|unclassified	1129.9232346254
UniRef50_UPI00047334B3: sulfate ABC transporter	1111.0793963614
UniRef50_UPI00047334B3: sulfate ABC transporter|unclassified	1111.0793963614
UniRef50_B2VG00: Adenylyl-sulfate kinase	1110.7781646957
UniRef50_B2VG00: Adenylyl-sulfate kinase|unclassified	1110.7781646957
UniRef50_UPI0002B8DD14: hypothetical protein, partial	1106.3741004734
UniRef50_UPI0002B8DD14: hypothetical protein, partial|unclassified	1106.3741004734
UniRef50_O50274: Bifunctional enzyme CysN/CysC	1105.5201821704
UniRef50_O50274: Bifunctional enzyme CysN/CysC|unclassified	1105.5201821704
UniRef50_Q8ZBP3: Adenylyl-sulfate kinase	1083.3903322386
UniRef50_Q8ZBP3: Adenylyl-sulfate kinase|unclassified	1083.3903322386
UniRef50_UPI000426B838: sulfate permease	1051.3494481956
UniRef50_UPI000426B838: sulfate permease|unclassified	1051.3494481956
UniRef50_A0KP33: Adenylyl-sulfate kinase	1050.1904411621
UniRef50_A0KP33: Adenylyl-sulfate kinase|unclassified	1050.1904411621
UniRef50_A7C2T9: Cysteine synthase B	1034.0417237441
UniRef50_A7C2T9: Cysteine synthase B|unclassified	1034.0417237441
UniRef50_W1Y0S9	1024.3783264768
UniRef50_W1Y0S9|unclassified	1024.3783264768
UniRef50_Q9RBV4	1022.8306236427
UniRef50_Q9RBV4|unclassified	1022.8306236427
UniRef50_Q8DE75: Adenylyl-sulfate kinase	1012.4554217152
UniRef50_Q8DE75: Adenylyl-sulfate kinase|unclassified	1012.4554217152
UniRef50_UPI0003B57090: hypothetical protein	998.9674831027
UniRef50_UPI0003B57090: hypothetical protein|unclassified	998.9674831027
UniRef50_UPI0003B7A728: sulfate ABC transporter permease, partial	996.9608793433
UniRef50_UPI0003B7A728: sulfate ABC transporter permease, partial|unclassified	996.9608793433
UniRef50_Q0A6T1: Phosphoadenosine phosphosulfate reductase	995.8954644070
UniRef50_Q0A6T1: Phosphoadenosine phosphosulfate reductase|unclassified	995.8954644070
UniRef50_X2LTS7	987.1985790526
UniRef50_X2LTS7|unclassified	987.1985790526
UniRef50_Q87SX6: Adenylyl-sulfate kinase	980.6136126762
UniRef50_Q87SX6: Adenylyl-sulfate kinase|unclassified	980.6136126762
UniRef50_E7UKP5: Sulfate transporter, CysZ-type	976.2601756409
UniRef50_E7UKP5: Sulfate transporter, CysZ-type|unclassified	976.2601756409
UniRef50_UPI000255E84E: sulfate adenylyltransferase subunit 2	967.5964485610
UniRef50_UPI000255E84E: sulfate adenylyltransferase subunit 2|unclassified	967.5964485610
UniRef50_A9DDG2: Sulfate transporter (Fragment)	965.7004622559
UniRef50_A9DDG2: Sulfate transporter (Fragment)|unclassified	965.7004622559
UniRef50_UPI000383F8C1: PREDICTED: HBS1-like protein-like, partial	956.2656093571
UniRef50_UPI000383F8C1: PREDICTED: HBS1-like protein-like, partial|unclassified	956.2656093571
UniRef50_UPI0003C16A5C: PREDICTED: solute carrier family 26 member 6-like	949.1265492782
UniRef50_UPI0003C16A5C: PREDICTED: solute carrier family 26 member 6-like|unclassified	949.1265492782
UniRef50_Q9PD78: Bifunctional enzyme CysN/CysC	942.3074156019
UniRef50_Q9PD78: Bifunctional enzyme CysN/CysC|unclassified	942.3074156019
UniRef50_Q82WT5: Sulfate/thiosulfate import ATP-binding protein CysA	940.3563196821
UniRef50_Q82WT5: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	940.3563196821
UniRef50_Q6D201: Sulfate/thiosulfate import ATP-binding protein CysA	936.3380873449
UniRef50_Q6D201: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	936.3380873449
UniRef50_Q9KP21: Adenylyl-sulfate kinase	921.2600259496
UniRef50_Q9KP21: Adenylyl-sulfate kinase|unclassified	921.2600259496
UniRef50_Q7MHA5: Sulfite reductase [NADPH] flavoprotein alpha-component	911.0976052886
UniRef50_Q7MHA5: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	911.0976052886
UniRef50_O07309: Bifunctional enzyme NodQ	908.7411675648
UniRef50_O07309: Bifunctional enzyme NodQ|unclassified	908.7411675648
UniRef50_UPI00037B433B: SulP family inorganic anion transporter, partial	892.6997285493
UniRef50_UPI00037B433B: SulP family inorganic anion transporter, partial|unclassified	892.6997285493
UniRef50_Q3JSP4	890.4261947628
UniRef50_Q3JSP4|unclassified	890.4261947628
UniRef50_Q98GP9: Phosphoadenosine phosphosulfate reductase	879.1397244874
UniRef50_Q98GP9: Phosphoadenosine phosphosulfate reductase|unclassified	879.1397244874
UniRef50_Q73XU8: Sulfate/thiosulfate import ATP-binding protein CysA	874.9570039062
UniRef50_Q73XU8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	874.9570039062
UniRef50_P63353: Sulfate/thiosulfate import ATP-binding protein CysA	872.3685825512
UniRef50_P63353: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	872.3685825512
UniRef50_Q609Q1: Sulfate/thiosulfate import ATP-binding protein CysA	868.0584048793
UniRef50_Q609Q1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	868.0584048793
UniRef50_UPI00046829DB: sulfate transporter subunit	856.1185653768
UniRef50_UPI00046829DB: sulfate transporter subunit|unclassified	856.1185653768
UniRef50_Q9KUI0: Sulfate/thiosulfate import ATP-binding protein CysA	845.5320463937
UniRef50_Q9KUI0: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	845.5320463937
UniRef50_P9WNM4: Bifunctional enzyme CysN/CysC	843.5323980930
UniRef50_P9WNM4: Bifunctional enzyme CysN/CysC|unclassified	843.5323980930
UniRef50_Q8XZP8: Sulfate/thiosulfate import ATP-binding protein CysA	843.2951275181
UniRef50_Q8XZP8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	843.2951275181
UniRef50_UPI0004684A83: cysteine synthase	831.6556089106
UniRef50_UPI0004684A83: cysteine synthase|unclassified	831.6556089106
UniRef50_O32214: Sulfite reductase [NADPH] flavoprotein alpha-component	829.3366929996
UniRef50_O32214: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	829.3366929996
UniRef50_UPI00047104BA: hypothetical protein, partial	827.1065497176
UniRef50_UPI00047104BA: hypothetical protein, partial|unclassified	827.1065497176
UniRef50_UPI0004703ACF: sulfite reductase, partial	824.4357692712
UniRef50_UPI0004703ACF: sulfite reductase, partial|unclassified	824.4357692712
UniRef50_A1KU06: Sulfite reductase [NADPH] flavoprotein alpha-component	823.3554989450
UniRef50_A1KU06: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	823.3554989450
UniRef50_B8KC61: Sulfate permease family protein	821.7935983108
UniRef50_B8KC61: Sulfate permease family protein|unclassified	821.7935983108
UniRef50_Q6NBT1: Sulfate/thiosulfate import ATP-binding protein CysA	821.7084677799
UniRef50_Q6NBT1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	821.7084677799
UniRef50_UPI00047352FA: sulfate transporter, partial	813.4114535759
UniRef50_UPI00047352FA: sulfate transporter, partial|unclassified	813.4114535759
UniRef50_UPI000406B2C6: sulfite reductase [NADPH] flavoprotein alpha-component	801.7843060239
UniRef50_UPI000406B2C6: sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	801.7843060239
UniRef50_B0CIM0	789.9501972209
UniRef50_B0CIM0|unclassified	789.9501972209
UniRef50_Q8EBC3: Sulfate/thiosulfate import ATP-binding protein CysA 1	781.5179942760
UniRef50_Q8EBC3: Sulfate/thiosulfate import ATP-binding protein CysA 1|unclassified	781.5179942760
UniRef50_Q9JRT1: Phosphoadenosine phosphosulfate reductase	768.8343826502
UniRef50_Q9JRT1: Phosphoadenosine phosphosulfate reductase|unclassified	768.8343826502
UniRef50_K8D688	763.5266603877
UniRef50_K8D688|unclassified	763.5266603877
UniRef50_B7VBC3: Phosphoadenosine phosphosulfate reductase	763.2492643517
UniRef50_B7VBC3: Phosphoadenosine phosphosulfate reductase|unclassified	763.2492643517
UniRef50_Q88X60: Adenylyl-sulfate kinase	761.6633783986
UniRef50_Q88X60: Adenylyl-sulfate kinase|unclassified	761.6633783986
UniRef50_UPI0001BC953C: sulfate permease family protein, partial	749.4877580852
UniRef50_UPI0001BC953C: sulfate permease family protein, partial|unclassified	749.4877580852
UniRef50_N8GQ67	742.5134794315
UniRef50_N8GQ67|unclassified	742.5134794315
UniRef50_A9W4X6: Sulfite reductase [NADPH] hemoprotein beta-component	724.1809672533
UniRef50_A9W4X6: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	724.1809672533
UniRef50_Q2W7S1: Cysteine synthase	723.6203968492
UniRef50_Q2W7S1: Cysteine synthase|unclassified	723.6203968492
UniRef50_UPI00046CE73A: sulfate adenylyltransferase	717.6287436215
UniRef50_UPI00046CE73A: sulfate adenylyltransferase|unclassified	717.6287436215
UniRef50_UPI0003C1532B	717.6145884249
UniRef50_UPI0003C1532B|unclassified	717.6145884249
UniRef50_UPI00034D05EE: hypothetical protein	707.5671171085
UniRef50_UPI00034D05EE: hypothetical protein|unclassified	707.5671171085
UniRef50_Q7UMW2: Bifunctional enzyme CysN/CysC	701.4572748684
UniRef50_Q7UMW2: Bifunctional enzyme CysN/CysC|unclassified	701.4572748684
UniRef50_C3EG82: Antisigma-factor antagonist, STAS	698.4850437013
UniRef50_C3EG82: Antisigma-factor antagonist, STAS|unclassified	698.4850437013
UniRef50_Q8D653: Sulfate/thiosulfate import ATP-binding protein CysA	696.8288648480
UniRef50_Q8D653: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	696.8288648480
UniRef50_S5E625	695.6197970378
UniRef50_S5E625|unclassified	695.6197970378
UniRef50_Q1I2K4: Adenylyl-sulfate kinase	686.4101458162
UniRef50_Q1I2K4: Adenylyl-sulfate kinase|unclassified	686.4101458162
UniRef50_UPI0003B5FEB1: sulfate transporter	683.2327748948
UniRef50_UPI0003B5FEB1: sulfate transporter|unclassified	683.2327748948
UniRef50_L0ML98	680.8885821376
UniRef50_L0ML98|unclassified	680.8885821376
UniRef50_UPI000469DA27: hypothetical protein	679.8522953194
UniRef50_UPI000469DA27: hypothetical protein|unclassified	679.8522953194
UniRef50_P72794: Phosphoadenosine phosphosulfate reductase	679.1961565731
UniRef50_P72794: Phosphoadenosine phosphosulfate reductase|unclassified	679.1961565731
UniRef50_UPI0003B6FCF3: sulfate permease, partial	664.7735133659
UniRef50_UPI0003B6FCF3: sulfate permease, partial|unclassified	664.7735133659
UniRef50_Q49UM5: Adenylyl-sulfate kinase	664.6282598741
UniRef50_Q49UM5: Adenylyl-sulfate kinase|unclassified	664.6282598741
UniRef50_UPI000473BFA0: Bicarbonate transporter BicA, partial	659.0671375636
UniRef50_UPI000473BFA0: Bicarbonate transporter BicA, partial|unclassified	659.0671375636
UniRef50_UPI000346DEF2: hypothetical protein	656.8568498814
UniRef50_UPI000346DEF2: hypothetical protein|unclassified	656.8568498814
UniRef50_UPI000463357E: hypothetical protein	639.4270178253
UniRef50_UPI000463357E: hypothetical protein|unclassified	639.4270178253
UniRef50_UPI0003B76D70: adenylylsulfate kinase	624.9436727136
UniRef50_UPI0003B76D70: adenylylsulfate kinase|unclassified	624.9436727136
UniRef50_C4U375: Protein cysZ	622.8800192514
UniRef50_C4U375: Protein cysZ|unclassified	622.8800192514
UniRef50_UPI00037BE9BC: sulfite reductase, partial	621.1466059999
UniRef50_UPI00037BE9BC: sulfite reductase, partial|unclassified	621.1466059999
UniRef50_Q9A7X1: Sulfate/thiosulfate import ATP-binding protein CysA	620.1727345402
UniRef50_Q9A7X1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	620.1727345402
UniRef50_L5SC08	607.0096786197
UniRef50_L5SC08|unclassified	607.0096786197
UniRef50_B1Z7C0: Sulfate adenylyltransferase subunit 1	605.4442968781
UniRef50_B1Z7C0: Sulfate adenylyltransferase subunit 1|unclassified	605.4442968781
UniRef50_UPI00036741CA: hypothetical protein	601.1417613503
UniRef50_UPI00036741CA: hypothetical protein|unclassified	601.1417613503
UniRef50_UPI000317D541: hypothetical protein	599.9263289423
UniRef50_UPI000317D541: hypothetical protein|unclassified	599.9263289423
UniRef50_UPI0003825352: sulfate adenylyltransferase, partial	594.2747699905
UniRef50_UPI0003825352: sulfate adenylyltransferase, partial|unclassified	594.2747699905
UniRef50_Q55309: Phosphoadenosine phosphosulfate reductase	587.1961207961
UniRef50_Q55309: Phosphoadenosine phosphosulfate reductase|unclassified	587.1961207961
UniRef50_V6P3R6: Sulfate/thiosulfate transporter subunit	583.5035936481
UniRef50_V6P3R6: Sulfate/thiosulfate transporter subunit|unclassified	583.5035936481
UniRef50_Q1QQC7: Sulfite reductase [NADPH] hemoprotein beta-component	582.9417912776
UniRef50_Q1QQC7: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	582.9417912776
UniRef50_A0A011TWK9: Etoposide-induced 2.4 family protein	573.3424265827
UniRef50_A0A011TWK9: Etoposide-induced 2.4 family protein|unclassified	573.3424265827
UniRef50_Q7NK24: Phosphoadenosine phosphosulfate reductase	571.6959741444
UniRef50_Q7NK24: Phosphoadenosine phosphosulfate reductase|unclassified	571.6959741444
UniRef50_UPI0003793909: hypothetical protein, partial	571.3762500035
UniRef50_UPI0003793909: hypothetical protein, partial|unclassified	571.3762500035
UniRef50_UPI000405B0D5: sulfate ABC transporter substrate-binding protein	570.3605672815
UniRef50_UPI000405B0D5: sulfate ABC transporter substrate-binding protein|unclassified	570.3605672815
UniRef50_W5X657: Cysteine synthase A	570.1054726753
UniRef50_W5X657: Cysteine synthase A|unclassified	570.1054726753
UniRef50_UPI00016A2DC8: Sulphate transporter, partial	568.5262824398
UniRef50_UPI00016A2DC8: Sulphate transporter, partial|unclassified	568.5262824398
UniRef50_R1GVN5: Sulfate transporter, CysZ-type	546.3643850932
UniRef50_R1GVN5: Sulfate transporter, CysZ-type|unclassified	546.3643850932
UniRef50_R2TLN4: Anti-anti-sigma factor	542.3098420773
UniRef50_R2TLN4: Anti-anti-sigma factor|unclassified	542.3098420773
UniRef50_UPI000473A687: hypothetical protein	541.0706336131
UniRef50_UPI000473A687: hypothetical protein|unclassified	541.0706336131
UniRef50_O33579: Phosphoadenosine phosphosulfate reductase (Fragment)	531.6329194164
UniRef50_O33579: Phosphoadenosine phosphosulfate reductase (Fragment)|unclassified	531.6329194164
UniRef50_B0SF75: Sulfite reductase [NADPH] hemoprotein beta-component	525.5697864411
UniRef50_B0SF75: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	525.5697864411
UniRef50_I7ZQU5: Pyridoxal-phosphate dependent enzyme family protein	515.0799342495
UniRef50_I7ZQU5: Pyridoxal-phosphate dependent enzyme family protein|unclassified	515.0799342495
UniRef50_D2ZYC1	512.9692920412
UniRef50_D2ZYC1|unclassified	512.9692920412
UniRef50_UPI0004666EB7: sulfate ABC transporter ATP-binding protein	512.8319667306
UniRef50_UPI0004666EB7: sulfate ABC transporter ATP-binding protein|unclassified	512.8319667306
UniRef50_UPI00046528D5: sulfite reductase	506.9096199711
UniRef50_UPI00046528D5: sulfite reductase|unclassified	506.9096199711
UniRef50_UPI0003B2EC71: phosphoadenosine phosphosulfate reductase	504.4874963743
UniRef50_UPI0003B2EC71: phosphoadenosine phosphosulfate reductase|unclassified	504.4874963743
UniRef50_Q5GWI0: Phenol hydroxylase	503.6712898170
UniRef50_Q5GWI0: Phenol hydroxylase|unclassified	503.6712898170
UniRef50_A5N960: Adenylyl-sulfate kinase	503.0581276032
UniRef50_A5N960: Adenylyl-sulfate kinase|unclassified	503.0581276032
UniRef50_UPI0003A39A90: hypothetical protein	500.4612626357
UniRef50_UPI0003A39A90: hypothetical protein|unclassified	500.4612626357
UniRef50_UPI000469B1F2: SulP family sulfate transporter, partial	500.3880314264
UniRef50_UPI000469B1F2: SulP family sulfate transporter, partial|unclassified	500.3880314264
UniRef50_UPI00037472A7: hypothetical protein	493.7786988109
UniRef50_UPI00037472A7: hypothetical protein|unclassified	493.7786988109
UniRef50_UPI000373ECB9: NADP oxidoreductase, partial	491.8933263312
UniRef50_UPI000373ECB9: NADP oxidoreductase, partial|unclassified	491.8933263312
UniRef50_D2ZYC2	488.0794926074
UniRef50_D2ZYC2|unclassified	488.0794926074
UniRef50_UPI00047616B0: adenylyltransferase	487.9449705666
UniRef50_UPI00047616B0: adenylyltransferase|unclassified	487.9449705666
UniRef50_Q12L79	485.9518821738
UniRef50_Q12L79|unclassified	485.9518821738
UniRef50_UPI00037B3020: hypothetical protein	484.6895339584
UniRef50_UPI00037B3020: hypothetical protein|unclassified	484.6895339584
UniRef50_P63874: O-phosphoserine sulfhydrylase	483.9411935831
UniRef50_P63874: O-phosphoserine sulfhydrylase|unclassified	483.9411935831
UniRef50_B7JAM6: Sulfite reductase [NADPH] hemoprotein beta-component	480.8495543236
UniRef50_B7JAM6: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	480.8495543236
UniRef50_D0JF34	477.8093175380
UniRef50_D0JF34|unclassified	477.8093175380
UniRef50_UPI0003B5EDAC: phosphoadenosine phosphosulfate reductase, partial	476.3168511028
UniRef50_UPI0003B5EDAC: phosphoadenosine phosphosulfate reductase, partial|unclassified	476.3168511028
UniRef50_L7BT62: Sulfate permease	476.2365071435
UniRef50_L7BT62: Sulfate permease|unclassified	476.2365071435
UniRef50_UPI00047082BA: sulfate transporter, partial	475.3089414842
UniRef50_UPI00047082BA: sulfate transporter, partial|unclassified	475.3089414842
UniRef50_UPI00047BA029: hypothetical protein	470.0780502000
UniRef50_UPI00047BA029: hypothetical protein|unclassified	470.0780502000
UniRef50_A0A011PQT4	466.8678390039
UniRef50_A0A011PQT4|unclassified	466.8678390039
UniRef50_UPI0003730BA8: hypothetical protein, partial	466.3342281611
UniRef50_UPI0003730BA8: hypothetical protein, partial|unclassified	466.3342281611
UniRef50_UPI0003620BF4: hypothetical protein	458.7705048221
UniRef50_UPI0003620BF4: hypothetical protein|unclassified	458.7705048221
UniRef50_A0A059DTK2	453.8957291713
UniRef50_A0A059DTK2|unclassified	453.8957291713
UniRef50_Q8CZI2: Cysteine synthase	452.6975467974
UniRef50_Q8CZI2: Cysteine synthase|unclassified	452.6975467974
UniRef50_U7KXV5	452.1685860889
UniRef50_U7KXV5|unclassified	452.1685860889
UniRef50_K2AFU3	448.7833563028
UniRef50_K2AFU3|unclassified	448.7833563028
UniRef50_G9Z4A4	442.7090198713
UniRef50_G9Z4A4|unclassified	442.7090198713
UniRef50_B5YJA6: Adenylyl-sulfate kinase	439.2180998089
UniRef50_B5YJA6: Adenylyl-sulfate kinase|unclassified	439.2180998089
UniRef50_UPI0004687077: hypothetical protein, partial	438.6920173381
