# Gene Family	SampleCysteine_Biosynthesis_Abundance-CPM
UniRef50_Q7MHA5: Sulfite reductase [NADPH] flavoprotein alpha-component	2682.06
UniRef50_Q7MHA5: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	2682.06
UniRef50_O07309: Bifunctional enzyme NodQ	2675.12
UniRef50_O07309: Bifunctional enzyme NodQ|unclassified	2675.12
UniRef50_UPI00037B433B: SulP family inorganic anion transporter, partial	2627.9
UniRef50_UPI00037B433B: SulP family inorganic anion transporter, partial|unclassified	2627.9
UniRef50_Q3JSP4	2621.2
UniRef50_Q3JSP4|unclassified	2621.2
UniRef50_Q98GP9: Phosphoadenosine phosphosulfate reductase	2587.98
UniRef50_Q98GP9: Phosphoadenosine phosphosulfate reductase|unclassified	2587.98
UniRef50_Q73XU8: Sulfate/thiosulfate import ATP-binding protein CysA	2575.67
UniRef50_Q73XU8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2575.67
UniRef50_P63353: Sulfate/thiosulfate import ATP-binding protein CysA	2568.05
UniRef50_P63353: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2568.05
UniRef50_Q609Q1: Sulfate/thiosulfate import ATP-binding protein CysA	2555.36
UniRef50_Q609Q1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2555.36
UniRef50_UPI00046829DB: sulfate transporter subunit	2520.21
UniRef50_UPI00046829DB: sulfate transporter subunit|unclassified	2520.21
UniRef50_Q9KUI0: Sulfate/thiosulfate import ATP-binding protein CysA	2489.05
UniRef50_Q9KUI0: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2489.05
UniRef50_P9WNM4: Bifunctional enzyme CysN/CysC	2483.16
UniRef50_P9WNM4: Bifunctional enzyme CysN/CysC|unclassified	2483.16
UniRef50_Q8XZP8: Sulfate/thiosulfate import ATP-binding protein CysA	2482.46
UniRef50_Q8XZP8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2482.46
UniRef50_UPI0004684A83: cysteine synthase	2448.2
UniRef50_UPI0004684A83: cysteine synthase|unclassified	2448.2
UniRef50_O32214: Sulfite reductase [NADPH] flavoprotein alpha-component	2441.37
UniRef50_O32214: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	2441.37
UniRef50_UPI00047104BA: hypothetical protein, partial	2434.81
UniRef50_UPI00047104BA: hypothetical protein, partial|unclassified	2434.81
UniRef50_UPI0004703ACF: sulfite reductase, partial	2426.94
UniRef50_UPI0004703ACF: sulfite reductase, partial|unclassified	2426.94
UniRef50_A1KU06: Sulfite reductase [NADPH] flavoprotein alpha-component	2423.76
UniRef50_A1KU06: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	2423.76
UniRef50_B8KC61: Sulfate permease family protein	2419.17
UniRef50_B8KC61: Sulfate permease family protein|unclassified	2419.17
UniRef50_Q6NBT1: Sulfate/thiosulfate import ATP-binding protein CysA	2418.92
UniRef50_Q6NBT1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2418.92
UniRef50_UPI00047352FA: sulfate transporter, partial	2394.49
UniRef50_UPI00047352FA: sulfate transporter, partial|unclassified	2394.49
UniRef50_UPI000406B2C6: sulfite reductase [NADPH] flavoprotein alpha-component	2360.26
UniRef50_UPI000406B2C6: sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	2360.26
UniRef50_B0CIM0	2325.43
UniRef50_B0CIM0|unclassified	2325.43
UniRef50_Q8EBC3: Sulfate/thiosulfate import ATP-binding protein CysA 1	2300.6
UniRef50_Q8EBC3: Sulfate/thiosulfate import ATP-binding protein CysA 1|unclassified	2300.6
UniRef50_Q9JRT1: Phosphoadenosine phosphosulfate reductase	2263.27
UniRef50_Q9JRT1: Phosphoadenosine phosphosulfate reductase|unclassified	2263.27
UniRef50_K8D688	2247.64
UniRef50_K8D688|unclassified	2247.64
UniRef50_B7VBC3: Phosphoadenosine phosphosulfate reductase	2246.83
UniRef50_B7VBC3: Phosphoadenosine phosphosulfate reductase|unclassified	2246.83
UniRef50_Q88X60: Adenylyl-sulfate kinase	2242.16
UniRef50_Q88X60: Adenylyl-sulfate kinase|unclassified	2242.16
UniRef50_UPI0001BC953C: sulfate permease family protein, partial	2206.31
UniRef50_UPI0001BC953C: sulfate permease family protein, partial|unclassified	2206.31
UniRef50_N8GQ67	2185.78
UniRef50_N8GQ67|unclassified	2185.78
UniRef50_A9W4X6: Sulfite reductase [NADPH] hemoprotein beta-component	2131.82
UniRef50_A9W4X6: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	2131.82
UniRef50_Q2W7S1: Cysteine synthase	2130.17
UniRef50_Q2W7S1: Cysteine synthase|unclassified	2130.17
UniRef50_UPI00046CE73A: sulfate adenylyltransferase	2112.53
UniRef50_UPI00046CE73A: sulfate adenylyltransferase|unclassified	2112.53
UniRef50_UPI0003C1532B	2112.49
UniRef50_UPI0003C1532B|unclassified	2112.49
UniRef50_UPI00034D05EE: hypothetical protein	2082.91
UniRef50_UPI00034D05EE: hypothetical protein|unclassified	2082.91
UniRef50_Q7UMW2: Bifunctional enzyme CysN/CysC	2064.92
UniRef50_Q7UMW2: Bifunctional enzyme CysN/CysC|unclassified	2064.92
UniRef50_C3EG82: Antisigma-factor antagonist, STAS	2056.17
UniRef50_C3EG82: Antisigma-factor antagonist, STAS|unclassified	2056.17
UniRef50_Q8D653: Sulfate/thiosulfate import ATP-binding protein CysA	2051.3
UniRef50_Q8D653: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2051.3
UniRef50_S5E625	2047.74
UniRef50_S5E625|unclassified	2047.74
UniRef50_Q1I2K4: Adenylyl-sulfate kinase	2020.63
UniRef50_Q1I2K4: Adenylyl-sulfate kinase|unclassified	2020.63
UniRef50_UPI0003B5FEB1: sulfate transporter	2011.28
UniRef50_UPI0003B5FEB1: sulfate transporter|unclassified	2011.28
UniRef50_L0ML98	2004.37
UniRef50_L0ML98|unclassified	2004.37
UniRef50_UPI000469DA27: hypothetical protein	2001.32
UniRef50_UPI000469DA27: hypothetical protein|unclassified	2001.32
UniRef50_P72794: Phosphoadenosine phosphosulfate reductase	1999.39
UniRef50_P72794: Phosphoadenosine phosphosulfate reductase|unclassified	1999.39
UniRef50_UPI0003B6FCF3: sulfate permease, partial	1956.94
UniRef50_UPI0003B6FCF3: sulfate permease, partial|unclassified	1956.94
UniRef50_Q49UM5: Adenylyl-sulfate kinase	1956.51
UniRef50_Q49UM5: Adenylyl-sulfate kinase|unclassified	1956.51
UniRef50_UPI000473BFA0: Bicarbonate transporter BicA, partial	1940.14
UniRef50_UPI000473BFA0: Bicarbonate transporter BicA, partial|unclassified	1940.14
UniRef50_UPI000346DEF2: hypothetical protein	1933.63
UniRef50_UPI000346DEF2: hypothetical protein|unclassified	1933.63
UniRef50_UPI000463357E: hypothetical protein	1882.32
UniRef50_UPI000463357E: hypothetical protein|unclassified	1882.32
UniRef50_UPI0003B76D70: adenylylsulfate kinase	1839.69
UniRef50_UPI0003B76D70: adenylylsulfate kinase|unclassified	1839.69
UniRef50_C4U375: Protein cysZ	1833.61
UniRef50_C4U375: Protein cysZ|unclassified	1833.61
UniRef50_UPI00037BE9BC: sulfite reductase, partial	1828.51
UniRef50_UPI00037BE9BC: sulfite reductase, partial|unclassified	1828.51
UniRef50_Q9A7X1: Sulfate/thiosulfate import ATP-binding protein CysA	1825.64
UniRef50_Q9A7X1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	1825.64
UniRef50_L5SC08	1786.89
UniRef50_L5SC08|unclassified	1786.89
UniRef50_B1Z7C0: Sulfate adenylyltransferase subunit 1	1782.28
UniRef50_B1Z7C0: Sulfate adenylyltransferase subunit 1|unclassified	1782.28
UniRef50_UPI00036741CA: hypothetical protein	1769.62
UniRef50_UPI00036741CA: hypothetical protein|unclassified	1769.62
UniRef50_UPI000317D541: hypothetical protein	1766.04
UniRef50_UPI000317D541: hypothetical protein|unclassified	1766.04
UniRef50_UPI0003825352: sulfate adenylyltransferase, partial	1749.4
UniRef50_UPI0003825352: sulfate adenylyltransferase, partial|unclassified	1749.4
UniRef50_Q55309: Phosphoadenosine phosphosulfate reductase	1728.57
UniRef50_Q55309: Phosphoadenosine phosphosulfate reductase|unclassified	1728.57
UniRef50_V6P3R6: Sulfate/thiosulfate transporter subunit	1717.7
UniRef50_V6P3R6: Sulfate/thiosulfate transporter subunit|unclassified	1717.7
UniRef50_Q1QQC7: Sulfite reductase [NADPH] hemoprotein beta-component	1716.04
UniRef50_Q1QQC7: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	1716.04
UniRef50_A0A011TWK9: Etoposide-induced 2.4 family protein	1687.78
UniRef50_A0A011TWK9: Etoposide-induced 2.4 family protein|unclassified	1687.78
UniRef50_Q7NK24: Phosphoadenosine phosphosulfate reductase	1682.94
UniRef50_Q7NK24: Phosphoadenosine phosphosulfate reductase|unclassified	1682.94
UniRef50_UPI0003793909: hypothetical protein, partial	1682
UniRef50_UPI0003793909: hypothetical protein, partial|unclassified	1682
UniRef50_UPI000405B0D5: sulfate ABC transporter substrate-binding protein	1679.01
UniRef50_UPI000405B0D5: sulfate ABC transporter substrate-binding protein|unclassified	1679.01
UniRef50_W5X657: Cysteine synthase A	1678.26
UniRef50_W5X657: Cysteine synthase A|unclassified	1678.26
UniRef50_UPI00016A2DC8: Sulphate transporter, partial	1673.61
UniRef50_UPI00016A2DC8: Sulphate transporter, partial|unclassified	1673.61
UniRef50_R1GVN5: Sulfate transporter, CysZ-type	1608.37
UniRef50_R1GVN5: Sulfate transporter, CysZ-type|unclassified	1608.37
UniRef50_R2TLN4: Anti-anti-sigma factor	1596.43
UniRef50_R2TLN4: Anti-anti-sigma factor|unclassified	1596.43
UniRef50_UPI000473A687: hypothetical protein	1592.78
UniRef50_UPI000473A687: hypothetical protein|unclassified	1592.78
UniRef50_O33579: Phosphoadenosine phosphosulfate reductase (Fragment)	1565
UniRef50_O33579: Phosphoadenosine phosphosulfate reductase (Fragment)|unclassified	1565
UniRef50_B0SF75: Sulfite reductase [NADPH] hemoprotein beta-component	1547.15
UniRef50_B0SF75: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	1547.15
UniRef50_I7ZQU5: Pyridoxal-phosphate dependent enzyme family protein	1516.27
UniRef50_I7ZQU5: Pyridoxal-phosphate dependent enzyme family protein|unclassified	1516.27
UniRef50_D2ZYC1	1510.06
UniRef50_D2ZYC1|unclassified	1510.06
UniRef50_UPI0004666EB7: sulfate ABC transporter ATP-binding protein	1509.66
UniRef50_UPI0004666EB7: sulfate ABC transporter ATP-binding protein|unclassified	1509.66
UniRef50_UPI00046528D5: sulfite reductase	1492.22
UniRef50_UPI00046528D5: sulfite reductase|unclassified	1492.22
UniRef50_UPI0003B2EC71: phosphoadenosine phosphosulfate reductase	1485.09
UniRef50_UPI0003B2EC71: phosphoadenosine phosphosulfate reductase|unclassified	1485.09
UniRef50_Q5GWI0: Phenol hydroxylase	1482.69
UniRef50_Q5GWI0: Phenol hydroxylase|unclassified	1482.69
UniRef50_A5N960: Adenylyl-sulfate kinase	1480.88
UniRef50_A5N960: Adenylyl-sulfate kinase|unclassified	1480.88
UniRef50_UPI0003A39A90: hypothetical protein	1473.24
UniRef50_UPI0003A39A90: hypothetical protein|unclassified	1473.24
UniRef50_UPI000469B1F2: SulP family sulfate transporter, partial	1473.02
UniRef50_UPI000469B1F2: SulP family sulfate transporter, partial|unclassified	1473.02
UniRef50_UPI00037472A7: hypothetical protein	1453.57
UniRef50_UPI00037472A7: hypothetical protein|unclassified	1453.57
UniRef50_UPI000373ECB9: NADP oxidoreductase, partial	1448.02
UniRef50_UPI000373ECB9: NADP oxidoreductase, partial|unclassified	1448.02
UniRef50_D2ZYC2	1436.79
UniRef50_D2ZYC2|unclassified	1436.79
UniRef50_UPI00047616B0: adenylyltransferase	1436.39
UniRef50_UPI00047616B0: adenylyltransferase|unclassified	1436.39
UniRef50_Q12L79	1430.53
UniRef50_Q12L79|unclassified	1430.53
UniRef50_UPI00037B3020: hypothetical protein	1426.81
UniRef50_UPI00037B3020: hypothetical protein|unclassified	1426.81
UniRef50_P63874: O-phosphoserine sulfhydrylase	1424.61
UniRef50_P63874: O-phosphoserine sulfhydrylase|unclassified	1424.61
UniRef50_B7JAM6: Sulfite reductase [NADPH] hemoprotein beta-component	1415.51
UniRef50_B7JAM6: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	1415.51
UniRef50_D0JF34	1406.56
UniRef50_D0JF34|unclassified	1406.56
UniRef50_UPI0003B5EDAC: phosphoadenosine phosphosulfate reductase, partial	1402.16
UniRef50_UPI0003B5EDAC: phosphoadenosine phosphosulfate reductase, partial|unclassified	1402.16
UniRef50_L7BT62: Sulfate permease	1401.93
UniRef50_L7BT62: Sulfate permease|unclassified	1401.93
UniRef50_UPI00047082BA: sulfate transporter, partial	1399.2
UniRef50_UPI00047082BA: sulfate transporter, partial|unclassified	1399.2
UniRef50_UPI00047BA029: hypothetical protein	1383.8
UniRef50_UPI00047BA029: hypothetical protein|unclassified	1383.8
UniRef50_A0A011PQT4	1374.35
UniRef50_A0A011PQT4|unclassified	1374.35
UniRef50_UPI0003730BA8: hypothetical protein, partial	1372.78
UniRef50_UPI0003730BA8: hypothetical protein, partial|unclassified	1372.78
UniRef50_UPI0003620BF4: hypothetical protein	1350.51
UniRef50_UPI0003620BF4: hypothetical protein|unclassified	1350.51
UniRef50_A0A059DTK2	1336.16
UniRef50_A0A059DTK2|unclassified	1336.16
UniRef50_Q8CZI2: Cysteine synthase	1332.63
UniRef50_Q8CZI2: Cysteine synthase|unclassified	1332.63
UniRef50_U7KXV5	1331.08
UniRef50_U7KXV5|unclassified	1331.08
UniRef50_K2AFU3	1321.11
UniRef50_K2AFU3|unclassified	1321.11
UniRef50_G9Z4A4	1303.23
UniRef50_G9Z4A4|unclassified	1303.23
UniRef50_B5YJA6: Adenylyl-sulfate kinase	1292.95
UniRef50_B5YJA6: Adenylyl-sulfate kinase|unclassified	1292.95
UniRef50_UPI0004687077: hypothetical protein, partial	1291.41
UniRef50_UPI0004687077: hypothetical protein, partial|unclassified	1291.41
UniRef50_P56893: Sulfate adenylyltransferase subunit 1	1288.49
UniRef50_P56893: Sulfate adenylyltransferase subunit 1|unclassified	1288.49
UniRef50_Q3F050: Sulfate transporter	1282.98
UniRef50_Q3F050: Sulfate transporter|unclassified	1282.98
UniRef50_V5SIP9	1267.69
UniRef50_V5SIP9|unclassified	1267.69
UniRef50_A0A057FK43: Cysteine synthase B CysM	1266.76
UniRef50_A0A057FK43: Cysteine synthase B CysM|unclassified	1266.76
UniRef50_UPI0004734A19: hypothetical protein, partial	1263.01
UniRef50_UPI0004734A19: hypothetical protein, partial|unclassified	1263.01
UniRef50_K1UUL5: Sulfate transporter, permease	1258.84
UniRef50_K1UUL5: Sulfate transporter, permease|unclassified	1258.84
UniRef50_Q9K7H6: Probable adenylyl-sulfate kinase	1257.97
UniRef50_Q9K7H6: Probable adenylyl-sulfate kinase|unclassified	1257.97
UniRef50_UPI0003807DF1: hypothetical protein, partial	1248.24
UniRef50_UPI0003807DF1: hypothetical protein, partial|unclassified	1248.24
UniRef50_U7I3H5	1244.43
UniRef50_U7I3H5|unclassified	1244.43
UniRef50_UPI00037CC1AE: hypothetical protein	1234.13
UniRef50_UPI00037CC1AE: hypothetical protein|unclassified	1234.13
UniRef50_UPI0003727202: hypothetical protein	1226.83
UniRef50_UPI0003727202: hypothetical protein|unclassified	1226.83
UniRef50_UPI0004716843: sulfate ABC transporter substrate-binding protein	1226.29
UniRef50_UPI0004716843: sulfate ABC transporter substrate-binding protein|unclassified	1226.29
UniRef50_F2IM99: Cysteine synthase B	1199.34
UniRef50_F2IM99: Cysteine synthase B|unclassified	1199.34
UniRef50_UPI00046ED6F8: hypothetical protein, partial	1172.2
UniRef50_UPI00046ED6F8: hypothetical protein, partial|unclassified	1172.2
