# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-RPKs
UniRef50_P40134: Adenylate cyclase|unclassified	915.3606220387
UniRef50_UPI000309EEE3: adenylate cyclase	856.3216675121
UniRef50_UPI000309EEE3: adenylate cyclase|unclassified	856.3216675121
UniRef50_E8YJT7: Adenylate cyclase	836.9736267104
UniRef50_E8YJT7: Adenylate cyclase|unclassified	836.9736267104
UniRef50_A0A014LKU9	813.0894526172
UniRef50_A0A014LKU9|unclassified	813.0894526172
UniRef50_W0PN27: CYTH domain protein	789.5283162665
UniRef50_W0PN27: CYTH domain protein|unclassified	789.5283162665
UniRef50_G5LTU8: Adenylate cyclase	775.5583160634
UniRef50_G5LTU8: Adenylate cyclase|unclassified	775.5583160634
UniRef50_F0KXE3	774.2287697297
UniRef50_F0KXE3|unclassified	774.2287697297
UniRef50_UPI0002E42363: hypothetical protein	757.6582395583
UniRef50_UPI0002E42363: hypothetical protein|unclassified	757.6582395583
UniRef50_R4MH96: Adenylate cyclase	750.6162138332
UniRef50_R4MH96: Adenylate cyclase|unclassified	750.6162138332
UniRef50_A3NZP7: Adenylate cyclase	742.8925840402
UniRef50_A3NZP7: Adenylate cyclase|unclassified	742.8925840402
UniRef50_Q320T0: Diguanylate cyclase DosC	723.4023491147
UniRef50_Q320T0: Diguanylate cyclase DosC|unclassified	723.4023491147
UniRef50_UPI000368A522: hypothetical protein	712.6412887346
UniRef50_UPI000368A522: hypothetical protein|unclassified	712.6412887346
UniRef50_UPI0003687BE3: hypothetical protein	701.1991456208
UniRef50_UPI0003687BE3: hypothetical protein|unclassified	701.1991456208
UniRef50_UPI00046A45CC: ArsR family transcriptional regulator	701.1062065842
UniRef50_UPI00046A45CC: ArsR family transcriptional regulator|unclassified	701.1062065842
UniRef50_UPI0004793932: ArsR family transcriptional regulator	691.8135844014
UniRef50_UPI0004793932: ArsR family transcriptional regulator|unclassified	691.8135844014
UniRef50_UPI0003A7CEA0: ArsR family transcriptional regulator	689.0318780293
UniRef50_UPI0003A7CEA0: ArsR family transcriptional regulator|unclassified	689.0318780293
UniRef50_I2WL24: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain protein	683.4423280567
UniRef50_I2WL24: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain protein|unclassified	683.4423280567
UniRef50_UPI00037EC6BD: ArsR family transcriptional regulator	681.5909621001
UniRef50_UPI00037EC6BD: ArsR family transcriptional regulator|unclassified	681.5909621001
UniRef50_A0A011Q1J9: Helix-turn-helix domain protein	678.9896593524
UniRef50_A0A011Q1J9: Helix-turn-helix domain protein|unclassified	678.9896593524
UniRef50_T9FFT5	665.9171779629
UniRef50_T9FFT5|unclassified	665.9171779629
UniRef50_A0A056HU79	658.5393606066
UniRef50_A0A056HU79|unclassified	658.5393606066
UniRef50_C3SDK9: Oxygen sensing protein	609.9183221766
UniRef50_C3SDK9: Oxygen sensing protein|unclassified	609.9183221766
UniRef50_A0A046U716: Adenylate cyclase	605.8272144257
UniRef50_A0A046U716: Adenylate cyclase|unclassified	605.8272144257
UniRef50_R4M3K2	605.2152897579
UniRef50_R4M3K2|unclassified	605.2152897579
UniRef50_I2WA17: Mu-like prophage major head subunit gpT domain protein	601.3434318119
UniRef50_I2WA17: Mu-like prophage major head subunit gpT domain protein|unclassified	601.3434318119
UniRef50_W8GEZ6: Adenylate cyclase	600.5993911930
UniRef50_W8GEZ6: Adenylate cyclase|unclassified	600.5993911930
UniRef50_UPI0003609A7E: hypothetical protein	596.0471010012
UniRef50_UPI0003609A7E: hypothetical protein|unclassified	596.0471010012
UniRef50_A1WSG8: Putative cAMP phosphodiesterase	594.5523295245
UniRef50_A1WSG8: Putative cAMP phosphodiesterase|unclassified	594.5523295245
UniRef50_UPI0003753EFA: ArsR family transcriptional regulator	589.7554106588
UniRef50_UPI0003753EFA: ArsR family transcriptional regulator|unclassified	589.7554106588
UniRef50_I0G608: Transcriptional regulatory protein	580.1552956428
UniRef50_I0G608: Transcriptional regulatory protein|unclassified	580.1552956428
UniRef50_UPI00037A0480: hypothetical protein	578.9972708316
UniRef50_UPI00037A0480: hypothetical protein|unclassified	578.9972708316
UniRef50_Q8X8Z2	576.3471235774
UniRef50_Q8X8Z2|unclassified	576.3471235774
UniRef50_UPI00037825CE: hypothetical protein, partial	574.0690641926
UniRef50_UPI00037825CE: hypothetical protein, partial|unclassified	574.0690641926
UniRef50_X8E464	572.3189857425
UniRef50_X8E464|unclassified	572.3189857425
UniRef50_UPI0003699B1F: hypothetical protein	569.3492567222
UniRef50_UPI0003699B1F: hypothetical protein|unclassified	569.3492567222
UniRef50_UPI00035E2726: hypothetical protein	565.8697544658
UniRef50_UPI00035E2726: hypothetical protein|unclassified	565.8697544658
UniRef50_U5MM92: Adenylate cyclase	538.4471904224
UniRef50_U5MM92: Adenylate cyclase|unclassified	538.4471904224
UniRef50_H2IUH4	526.6628950219
UniRef50_H2IUH4|unclassified	526.6628950219
UniRef50_UPI0003EF6812: hypothetical protein, partial	512.7663000141
UniRef50_UPI0003EF6812: hypothetical protein, partial|unclassified	512.7663000141
UniRef50_UPI00037BA733: adenylyl cyclase, partial	508.9410978792
UniRef50_UPI00037BA733: adenylyl cyclase, partial|unclassified	508.9410978792
UniRef50_Q56686: 3',5'-cyclic-nucleotide phosphodiesterase	507.9923906160
UniRef50_Q56686: 3',5'-cyclic-nucleotide phosphodiesterase|unclassified	507.9923906160
UniRef50_UPI0004724F87: hypothetical protein	503.4028924905
UniRef50_UPI0004724F87: hypothetical protein|unclassified	503.4028924905
UniRef50_UPI000288C38E: ArsR family transcriptional regulator	496.2253809029
UniRef50_UPI000288C38E: ArsR family transcriptional regulator|unclassified	496.2253809029
UniRef50_UPI0003189AFB: hypothetical protein	491.4500477033
UniRef50_UPI0003189AFB: hypothetical protein|unclassified	491.4500477033
UniRef50_UPI0003619220: hypothetical protein	490.6211488743
UniRef50_UPI0003619220: hypothetical protein|unclassified	490.6211488743
UniRef50_UPI00047C8641: ArsR family transcriptional regulator	483.9606954033
UniRef50_UPI00047C8641: ArsR family transcriptional regulator|unclassified	483.9606954033
UniRef50_A0KKX6: Adenylate cyclase	483.6681335812
UniRef50_A0KKX6: Adenylate cyclase|unclassified	483.6681335812
UniRef50_O69199: Adenylate cyclase CyaB	477.8146624460
UniRef50_O69199: Adenylate cyclase CyaB|unclassified	477.8146624460
UniRef50_R4M106	473.3903584332
UniRef50_R4M106|unclassified	473.3903584332
UniRef50_G5Q1T0: Adenylate cyclase	471.4877125994
UniRef50_G5Q1T0: Adenylate cyclase|unclassified	471.4877125994
UniRef50_UPI0004654BC4: MULTISPECIES: ArsR family transcriptional regulator	469.4566189591
UniRef50_UPI0004654BC4: MULTISPECIES: ArsR family transcriptional regulator|unclassified	469.4566189591
UniRef50_UPI00023792BC: ArsR family transcriptional regulator	456.3301966715
UniRef50_UPI00023792BC: ArsR family transcriptional regulator|unclassified	456.3301966715
UniRef50_UPI0003FA965E: ArsR family transcriptional regulator	455.0079313611
UniRef50_UPI0003FA965E: ArsR family transcriptional regulator|unclassified	455.0079313611
UniRef50_UPI00016A6686: transcriptional regulator, ArsR family protein, partial	454.7231754681
UniRef50_UPI00016A6686: transcriptional regulator, ArsR family protein, partial|unclassified	454.7231754681
UniRef50_Q6WCC0: Insecticidal toxin complex protein (Fragment)	447.3011892778
UniRef50_Q6WCC0: Insecticidal toxin complex protein (Fragment)|unclassified	447.3011892778
UniRef50_I5E0U9: Heme-regulated cyclic AMP phosphodiesterase	446.5974257297
UniRef50_I5E0U9: Heme-regulated cyclic AMP phosphodiesterase|unclassified	446.5974257297
UniRef50_UPI000479B000: transcriptional regulator	446.4573789119
UniRef50_UPI000479B000: transcriptional regulator|unclassified	446.4573789119
UniRef50_X7ZIK0	442.3445875675
UniRef50_X7ZIK0|unclassified	442.3445875675
UniRef50_N8G0F5	435.8012118738
UniRef50_N8G0F5|unclassified	435.8012118738
UniRef50_C6UHP8: Predicted diguanylate cyclase	435.5225394123
UniRef50_C6UHP8: Predicted diguanylate cyclase|unclassified	435.5225394123
UniRef50_UPI00047E270B: ArsR family transcriptional regulator	434.7890681867
UniRef50_UPI00047E270B: ArsR family transcriptional regulator|unclassified	434.7890681867
UniRef50_I8MWT2: RHS repeat-associated core domain protein (Fragment)	421.3441085982
UniRef50_I8MWT2: RHS repeat-associated core domain protein (Fragment)|unclassified	421.3441085982
UniRef50_F0GJT1: Icc protein	417.5621289477
UniRef50_F0GJT1: Icc protein|unclassified	417.5621289477
UniRef50_UPI00047227DB: hypothetical protein	416.0134049548
UniRef50_UPI00047227DB: hypothetical protein|unclassified	416.0134049548
UniRef50_F7R9D5: GGDEF domain protein	415.7598279860
UniRef50_F7R9D5: GGDEF domain protein|unclassified	415.7598279860
UniRef50_R7Z9J7: Transcriptional regulator	409.6209648446
UniRef50_R7Z9J7: Transcriptional regulator|unclassified	409.6209648446
UniRef50_B1JJ67: Rhs family protein-like protein	407.2492457477
UniRef50_B1JJ67: Rhs family protein-like protein|unclassified	407.2492457477
UniRef50_X7Y826	406.0603402045
UniRef50_X7Y826|unclassified	406.0603402045
UniRef50_UPI0003750CAF: hypothetical protein	405.9379357074
UniRef50_UPI0003750CAF: hypothetical protein|unclassified	405.9379357074
UniRef50_UPI0002D4BECE: anion transporter	405.4920862954
UniRef50_UPI0002D4BECE: anion transporter|unclassified	405.4920862954
UniRef50_UPI00036E1116: hypothetical protein	400.9855363507
UniRef50_UPI00036E1116: hypothetical protein|unclassified	400.9855363507
UniRef50_UPI000463426A: hypothetical protein	399.2121434750
UniRef50_UPI000463426A: hypothetical protein|unclassified	399.2121434750
UniRef50_T1AV84: Ser/Thr protein phosphatase	398.9835504272
UniRef50_T1AV84: Ser/Thr protein phosphatase|unclassified	398.9835504272
UniRef50_G4HCQ1: Regulatory protein ArsR	388.3735557276
UniRef50_G4HCQ1: Regulatory protein ArsR|unclassified	388.3735557276
UniRef50_D2AGY7: Diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor	387.5170602393
UniRef50_D2AGY7: Diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor|unclassified	387.5170602393
UniRef50_P9WP64: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	386.5956068212
UniRef50_P9WP64: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	386.5956068212
UniRef50_X8A3N5: Putative hAMP domain protein	383.6077677635
UniRef50_X8A3N5: Putative hAMP domain protein|unclassified	383.6077677635
UniRef50_M1SJJ1: Putative insecticidal toxin complex	383.2892815784
UniRef50_M1SJJ1: Putative insecticidal toxin complex|unclassified	383.2892815784
UniRef50_UPI0003B464BD: transcriptional regulator	382.0701867712
UniRef50_UPI0003B464BD: transcriptional regulator|unclassified	382.0701867712
UniRef50_V0PV62: Adenylate cyclase	380.8134183049
UniRef50_V0PV62: Adenylate cyclase|unclassified	380.8134183049
UniRef50_UPI00035F6407: hypothetical protein	380.2075652336
UniRef50_UPI00035F6407: hypothetical protein|unclassified	380.2075652336
UniRef50_UPI00047BA8D9: diguanylate phosphodiesterase	378.9182881964
UniRef50_UPI00047BA8D9: diguanylate phosphodiesterase|unclassified	378.9182881964
UniRef50_G6XP50: ArsR family transcriptional regulator	374.7796557052
UniRef50_G6XP50: ArsR family transcriptional regulator|unclassified	374.7796557052
UniRef50_UPI0003761BF5: hypothetical protein	374.2931506898
UniRef50_UPI0003761BF5: hypothetical protein|unclassified	374.2931506898
UniRef50_UPI00036BCBE3: hypothetical protein	371.3060816407
UniRef50_UPI00036BCBE3: hypothetical protein|unclassified	371.3060816407
UniRef50_D2TWS1: Insecticidal toxin complex protein	370.6499777132
UniRef50_D2TWS1: Insecticidal toxin complex protein|unclassified	370.6499777132
UniRef50_UPI0003B615EA: ArsR family transcriptional regulator	367.8373625076
UniRef50_UPI0003B615EA: ArsR family transcriptional regulator|unclassified	367.8373625076
UniRef50_UPI00046305C0: ArsR family transcriptional regulator, partial	367.6499819686
UniRef50_UPI00046305C0: ArsR family transcriptional regulator, partial|unclassified	367.6499819686
UniRef50_W2UW56	366.2124405259
UniRef50_W2UW56|unclassified	366.2124405259
UniRef50_E3G3A3: Adenylate cyclase	366.0022673708
UniRef50_E3G3A3: Adenylate cyclase|unclassified	366.0022673708
UniRef50_UPI0002D61962: hypothetical protein	363.5187924149
UniRef50_UPI0002D61962: hypothetical protein|unclassified	363.5187924149
UniRef50_UPI00047B5BC4: transcriptional regulator	360.3762951051
UniRef50_UPI00047B5BC4: transcriptional regulator|unclassified	360.3762951051
UniRef50_A0A017BTQ9: Putative cyclic 3',5'-adenosine monophosphate phosphodiesterase	360.3717615439
UniRef50_A0A017BTQ9: Putative cyclic 3',5'-adenosine monophosphate phosphodiesterase|unclassified	360.3717615439
UniRef50_P21369: Pyrazinamidase/nicotinamidase	359.8033080200
UniRef50_P21369: Pyrazinamidase/nicotinamidase|unclassified	359.8033080200
UniRef50_X8F4A3: Putative membrane protein	358.5408287985
UniRef50_X8F4A3: Putative membrane protein|unclassified	358.5408287985
UniRef50_UPI00035F2509: hypothetical protein	356.9995087598
UniRef50_UPI00035F2509: hypothetical protein|unclassified	356.9995087598
UniRef50_Q55794: Putative arsenical pump-driving ATPase	348.3743084763
UniRef50_Q55794: Putative arsenical pump-driving ATPase|unclassified	348.3743084763
UniRef50_A4TIX4	347.2511046207
UniRef50_A4TIX4|unclassified	347.2511046207
UniRef50_UPI0003B5A841: ArsR family transcriptional regulator	345.8367151093
UniRef50_UPI0003B5A841: ArsR family transcriptional regulator|unclassified	345.8367151093
UniRef50_UPI000367CD80: hypothetical protein	343.2914579253
UniRef50_UPI000367CD80: hypothetical protein|unclassified	343.2914579253
UniRef50_UPI00045E75F5: ArsR family transcriptional regulator	342.8595733211
UniRef50_UPI00045E75F5: ArsR family transcriptional regulator|unclassified	342.8595733211
UniRef50_W4I3Q9	340.9763483866
UniRef50_W4I3Q9|unclassified	340.9763483866
UniRef50_UPI00046D5215: hypothetical protein	335.6435078619
UniRef50_UPI00046D5215: hypothetical protein|unclassified	335.6435078619
UniRef50_T5HE48	334.8885487524
UniRef50_T5HE48|unclassified	334.8885487524
UniRef50_UPI0004720B0F: hypothetical protein	333.2281952498
UniRef50_UPI0004720B0F: hypothetical protein|unclassified	333.2281952498
UniRef50_C6DDW8: Adenylyl cyclase CyaB	328.5662252233
UniRef50_C6DDW8: Adenylyl cyclase CyaB|unclassified	328.5662252233
UniRef50_X8ATS5: Putative cyclase-related protein	326.0043997346
UniRef50_X8ATS5: Putative cyclase-related protein|unclassified	326.0043997346
UniRef50_UPI0003B5B594: phosphohydrolase, partial	323.6929708170
UniRef50_UPI0003B5B594: phosphohydrolase, partial|unclassified	323.6929708170
UniRef50_G0AMG0: CYTH domain protein	323.2445856765
UniRef50_G0AMG0: CYTH domain protein|unclassified	323.2445856765
UniRef50_UPI00005EE44E: hypothetical protein	322.1935054648
UniRef50_UPI00005EE44E: hypothetical protein|unclassified	322.1935054648
UniRef50_UPI00034B9871: ArsR family transcriptional regulator	322.1353174492
UniRef50_UPI00034B9871: ArsR family transcriptional regulator|unclassified	322.1353174492
UniRef50_UPI0004679883: ArsR family transcriptional regulator	322.1331339711
UniRef50_UPI0004679883: ArsR family transcriptional regulator|unclassified	322.1331339711
UniRef50_B5V2F7: Transcriptional regulator, ArsR family	321.7457417532
UniRef50_B5V2F7: Transcriptional regulator, ArsR family|unclassified	321.7457417532
UniRef50_M4LE69	319.9769852199
UniRef50_M4LE69|unclassified	319.9769852199
UniRef50_W5XFQ9	318.7143127084
UniRef50_W5XFQ9|unclassified	318.7143127084
UniRef50_UPI00047105BA: hypothetical protein	317.7536856523
UniRef50_UPI00047105BA: hypothetical protein|unclassified	317.7536856523
UniRef50_UPI00036691CA: hypothetical protein	317.3930090815
UniRef50_UPI00036691CA: hypothetical protein|unclassified	317.3930090815
UniRef50_UPI0001C4EE5F: putative ATPase	317.0357240806
UniRef50_UPI0001C4EE5F: putative ATPase|unclassified	317.0357240806
UniRef50_W3V3V9	314.9989345587
UniRef50_W3V3V9|unclassified	314.9989345587
UniRef50_F3K962: Ser/Thr protein phosphatase family protein	313.4433605426
UniRef50_F3K962: Ser/Thr protein phosphatase family protein|unclassified	313.4433605426
UniRef50_UPI00046F9FF4: hypothetical protein	311.9652550443
UniRef50_UPI00046F9FF4: hypothetical protein|unclassified	311.9652550443
UniRef50_UPI00040FAC62: ArsR family transcriptional regulator	309.8355677820
UniRef50_UPI00040FAC62: ArsR family transcriptional regulator|unclassified	309.8355677820
UniRef50_I6EAW8: Diguanylate cyclase domain protein	309.5360137500
UniRef50_I6EAW8: Diguanylate cyclase domain protein|unclassified	309.5360137500
UniRef50_F4N4J9	309.4698936878
UniRef50_F4N4J9|unclassified	309.4698936878
UniRef50_UPI0002D46100: hypothetical protein	307.4343334599
UniRef50_UPI0002D46100: hypothetical protein|unclassified	307.4343334599
UniRef50_G3XD12: Hydrogen cyanide synthase subunit HcnC	304.2873819003
UniRef50_G3XD12: Hydrogen cyanide synthase subunit HcnC|unclassified	304.2873819003
UniRef50_W4HWF8	303.6096277089
UniRef50_W4HWF8|unclassified	303.6096277089
UniRef50_E4WME2	303.5527229308
UniRef50_E4WME2|unclassified	303.5527229308
UniRef50_E5YMN0	302.8348946391
UniRef50_E5YMN0|unclassified	302.8348946391
UniRef50_A6WJP9: Adenylate cyclase	302.3712446656
UniRef50_A6WJP9: Adenylate cyclase|unclassified	302.3712446656
UniRef50_I0VDG8	301.9297312341
UniRef50_I0VDG8|unclassified	301.9297312341
UniRef50_UPI0004793211: peptidase	301.0252424996
UniRef50_UPI0004793211: peptidase|unclassified	301.0252424996
UniRef50_UPI00047489F6: guanylate cyclase, partial	300.4635786913
UniRef50_UPI00047489F6: guanylate cyclase, partial|unclassified	300.4635786913
UniRef50_UPI000475E7EB: hypothetical protein	297.4598689882
UniRef50_UPI000475E7EB: hypothetical protein|unclassified	297.4598689882
UniRef50_A0A052ICP4	294.5978204267
UniRef50_A0A052ICP4|unclassified	294.5978204267
UniRef50_I2WL33	294.0539439223
UniRef50_I2WL33|unclassified	294.0539439223
UniRef50_V2JJ74	291.6493989300
UniRef50_V2JJ74|unclassified	291.6493989300
UniRef50_U7I5Y7	285.9121910077
UniRef50_U7I5Y7|unclassified	285.9121910077
UniRef50_V9GLX5	285.8149646972
UniRef50_V9GLX5|unclassified	285.8149646972
UniRef50_UPI00040929F9: peptidoglycan-binding protein	282.7215050260
UniRef50_UPI00040929F9: peptidoglycan-binding protein|unclassified	282.7215050260
UniRef50_R4M4U3	279.4583472768
UniRef50_R4M4U3|unclassified	279.4583472768
UniRef50_E3GCF1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	279.4108126754
UniRef50_E3GCF1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	279.4108126754
UniRef50_X8A0Z4	277.9609888979
UniRef50_X8A0Z4|unclassified	277.9609888979
UniRef50_UPI00046589B1: adenylyl cyclase	277.5553726386
UniRef50_UPI00046589B1: adenylyl cyclase|unclassified	277.5553726386
UniRef50_K1DZ97: ArsR family transcriptional regulator	272.8835902428
UniRef50_K1DZ97: ArsR family transcriptional regulator|unclassified	272.8835902428
UniRef50_L2LZ92	272.1474172925
UniRef50_L2LZ92|unclassified	272.1474172925
UniRef50_UPI00038184C6: hypothetical protein	271.8232328452
UniRef50_UPI00038184C6: hypothetical protein|unclassified	271.8232328452
UniRef50_UPI00029A6EC3: isochorismatase hydrolase	270.6898134848
UniRef50_UPI00029A6EC3: isochorismatase hydrolase|unclassified	270.6898134848
UniRef50_UPI00036EB5E6: adenylate cyclase, partial	270.2154756904
UniRef50_UPI00036EB5E6: adenylate cyclase, partial|unclassified	270.2154756904
UniRef50_C5ZGL3: Cyclic diguanylate phosphodiesterase	269.9283576346
UniRef50_C5ZGL3: Cyclic diguanylate phosphodiesterase|unclassified	269.9283576346
UniRef50_K8WH17	267.6337384190
UniRef50_K8WH17|unclassified	267.6337384190
UniRef50_S7R346: Adenylate cyclase	267.3610777791
UniRef50_S7R346: Adenylate cyclase|unclassified	267.3610777791
UniRef50_UPI00036F474F: guanylyl cyclase, partial	266.1384970566
UniRef50_UPI00036F474F: guanylyl cyclase, partial|unclassified	266.1384970566
UniRef50_Z5X459: Cyclase	265.3373736977
UniRef50_Z5X459: Cyclase|unclassified	265.3373736977
UniRef50_UPI00046D4DAA: ATPase	264.7284406266
UniRef50_UPI00046D4DAA: ATPase|unclassified	264.7284406266
UniRef50_UPI00047C306F: ArsR family transcriptional regulator	263.5215809996
UniRef50_UPI00047C306F: ArsR family transcriptional regulator|unclassified	263.5215809996
UniRef50_UPI00037C8AC3: ArsR family transcriptional regulator	259.0283634955
UniRef50_UPI00037C8AC3: ArsR family transcriptional regulator|unclassified	259.0283634955
UniRef50_UPI00046EF441: adenylate cyclase	256.8607442045
UniRef50_UPI00046EF441: adenylate cyclase|unclassified	256.8607442045
UniRef50_UPI000478B62D: ArsR family transcriptional regulator	256.8170677787
UniRef50_UPI000478B62D: ArsR family transcriptional regulator|unclassified	256.8170677787
UniRef50_UPI0003625867: hypothetical protein	255.8753872006
UniRef50_UPI0003625867: hypothetical protein|unclassified	255.8753872006
UniRef50_X8BA61	255.8157933599
UniRef50_X8BA61|unclassified	255.8157933599
UniRef50_UPI000363C88B: hypothetical protein	254.3327832429
UniRef50_UPI000363C88B: hypothetical protein|unclassified	254.3327832429
UniRef50_D4XFI6: Toxin-antitoxin system, antitoxin component, ArsR family	251.7786840397
UniRef50_D4XFI6: Toxin-antitoxin system, antitoxin component, ArsR family|unclassified	251.7786840397
UniRef50_R4REB6	251.2667735562
UniRef50_R4REB6|unclassified	251.2667735562
UniRef50_W5SZX8: Peptidoglycan-specific endopeptidase, M23 family protein	250.4130830524
UniRef50_W5SZX8: Peptidoglycan-specific endopeptidase, M23 family protein|unclassified	250.4130830524
UniRef50_UPI00036DD256: hypothetical protein	246.6517988180
UniRef50_UPI00036DD256: hypothetical protein|unclassified	246.6517988180
UniRef50_U5X0W0	245.3076332243
UniRef50_U5X0W0|unclassified	245.3076332243
UniRef50_UPI0003B7417F: ArsR family transcriptional regulator	244.9529360662
UniRef50_UPI0003B7417F: ArsR family transcriptional regulator|unclassified	244.9529360662
UniRef50_UPI00047A6945: ArsR family transcriptional regulator	242.8925309763
UniRef50_UPI00047A6945: ArsR family transcriptional regulator|unclassified	242.8925309763
UniRef50_R4MDM7	241.0976599873
UniRef50_R4MDM7|unclassified	241.0976599873
UniRef50_UPI00031212DE: hypothetical protein	239.9031233519
UniRef50_UPI00031212DE: hypothetical protein|unclassified	239.9031233519
UniRef50_UPI0003B659D2: ArsR family transcriptional regulator	239.8814388300
UniRef50_UPI0003B659D2: ArsR family transcriptional regulator|unclassified	239.8814388300
UniRef50_UPI00047DC36A: hypothetical protein	237.8694874255
UniRef50_UPI00047DC36A: hypothetical protein|unclassified	237.8694874255
UniRef50_A0A024HQP6	236.5561342489
UniRef50_A0A024HQP6|unclassified	236.5561342489
UniRef50_UPI00047C0FF6: ArsR family transcriptional regulator	235.3871125763
UniRef50_UPI00047C0FF6: ArsR family transcriptional regulator|unclassified	235.3871125763
UniRef50_J4JBV0	234.7294890745
UniRef50_J4JBV0|unclassified	234.7294890745
UniRef50_UPI00034DE4D2: hypothetical protein	231.8572149622
UniRef50_UPI00034DE4D2: hypothetical protein|unclassified	231.8572149622
UniRef50_X7ZVG3	227.7317514766
UniRef50_X7ZVG3|unclassified	227.7317514766
UniRef50_UPI000472CF0E: ArsR family transcriptional regulator	227.5182413057
UniRef50_UPI000472CF0E: ArsR family transcriptional regulator|unclassified	227.5182413057
UniRef50_UPI0004758078: GMP phosphodiesterase	226.7329899699
UniRef50_UPI0004758078: GMP phosphodiesterase|unclassified	226.7329899699
UniRef50_P45267: Inorganic triphosphatase	226.3926292554
UniRef50_P45267: Inorganic triphosphatase|unclassified	226.3926292554
UniRef50_J2Z503: GGDEF domain protein	226.3825996805
UniRef50_J2Z503: GGDEF domain protein|unclassified	226.3825996805
UniRef50_Q52915: Adenylate cyclase 2	223.3015507930
UniRef50_Q52915: Adenylate cyclase 2|unclassified	223.3015507930
UniRef50_X8F413: Adenylate/guanylate cyclase domain protein	223.2709991400
UniRef50_X8F413: Adenylate/guanylate cyclase domain protein|unclassified	223.2709991400
UniRef50_F3GJJ4: Adenylate cyclase (Fragment)	221.2285123386
UniRef50_F3GJJ4: Adenylate cyclase (Fragment)|unclassified	221.2285123386
UniRef50_K8B8L4: Transcriptional regulator, ArsR family	218.9605098410
UniRef50_K8B8L4: Transcriptional regulator, ArsR family|unclassified	218.9605098410
UniRef50_UPI00036D4A14: hypothetical protein	218.8084350440
UniRef50_UPI00036D4A14: hypothetical protein|unclassified	218.8084350440
UniRef50_UPI00047B0387: hypothetical protein	218.4754916523
UniRef50_UPI00047B0387: hypothetical protein|unclassified	218.4754916523
UniRef50_UPI000466FD63: cyclase	218.1351574520
UniRef50_UPI000466FD63: cyclase|unclassified	218.1351574520
