# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-CPM
UniRef50_H2IUH4	1832.93
UniRef50_H2IUH4|unclassified	1832.93
UniRef50_UPI0003EF6812: hypothetical protein, partial	1784.56
UniRef50_UPI0003EF6812: hypothetical protein, partial|unclassified	1784.56
UniRef50_UPI00037BA733: adenylyl cyclase, partial	1771.25
UniRef50_UPI00037BA733: adenylyl cyclase, partial|unclassified	1771.25
UniRef50_Q56686: 3',5'-cyclic-nucleotide phosphodiesterase	1767.95
UniRef50_Q56686: 3',5'-cyclic-nucleotide phosphodiesterase|unclassified	1767.95
UniRef50_UPI0004724F87: hypothetical protein	1751.98
UniRef50_UPI0004724F87: hypothetical protein|unclassified	1751.98
UniRef50_UPI000288C38E: ArsR family transcriptional regulator	1727
UniRef50_UPI000288C38E: ArsR family transcriptional regulator|unclassified	1727
UniRef50_UPI0003189AFB: hypothetical protein	1710.38
UniRef50_UPI0003189AFB: hypothetical protein|unclassified	1710.38
UniRef50_UPI0003619220: hypothetical protein	1707.49
UniRef50_UPI0003619220: hypothetical protein|unclassified	1707.49
UniRef50_UPI00047C8641: ArsR family transcriptional regulator	1684.31
UniRef50_UPI00047C8641: ArsR family transcriptional regulator|unclassified	1684.31
UniRef50_A0KKX6: Adenylate cyclase	1683.29
UniRef50_A0KKX6: Adenylate cyclase|unclassified	1683.29
UniRef50_O69199: Adenylate cyclase CyaB	1662.92
UniRef50_O69199: Adenylate cyclase CyaB|unclassified	1662.92
UniRef50_R4M106	1647.52
UniRef50_R4M106|unclassified	1647.52
UniRef50_G5Q1T0: Adenylate cyclase	1640.9
UniRef50_G5Q1T0: Adenylate cyclase|unclassified	1640.9
UniRef50_UPI0004654BC4: MULTISPECIES: ArsR family transcriptional regulator	1633.83
UniRef50_UPI0004654BC4: MULTISPECIES: ArsR family transcriptional regulator|unclassified	1633.83
UniRef50_UPI00023792BC: ArsR family transcriptional regulator	1588.15
UniRef50_UPI00023792BC: ArsR family transcriptional regulator|unclassified	1588.15
UniRef50_UPI0003FA965E: ArsR family transcriptional regulator	1583.55
UniRef50_UPI0003FA965E: ArsR family transcriptional regulator|unclassified	1583.55
UniRef50_UPI00016A6686: transcriptional regulator, ArsR family protein, partial	1582.56
UniRef50_UPI00016A6686: transcriptional regulator, ArsR family protein, partial|unclassified	1582.56
UniRef50_Q6WCC0: Insecticidal toxin complex protein (Fragment)	1556.73
UniRef50_Q6WCC0: Insecticidal toxin complex protein (Fragment)|unclassified	1556.73
UniRef50_I5E0U9: Heme-regulated cyclic AMP phosphodiesterase	1554.28
UniRef50_I5E0U9: Heme-regulated cyclic AMP phosphodiesterase|unclassified	1554.28
UniRef50_UPI000479B000: transcriptional regulator	1553.79
UniRef50_UPI000479B000: transcriptional regulator|unclassified	1553.79
UniRef50_X7ZIK0	1539.48
UniRef50_X7ZIK0|unclassified	1539.48
UniRef50_N8G0F5	1516.7
UniRef50_N8G0F5|unclassified	1516.7
UniRef50_C6UHP8: Predicted diguanylate cyclase	1515.73
UniRef50_C6UHP8: Predicted diguanylate cyclase|unclassified	1515.73
UniRef50_UPI00047E270B: ArsR family transcriptional regulator	1513.18
UniRef50_UPI00047E270B: ArsR family transcriptional regulator|unclassified	1513.18
UniRef50_I8MWT2: RHS repeat-associated core domain protein (Fragment)	1466.39
UniRef50_I8MWT2: RHS repeat-associated core domain protein (Fragment)|unclassified	1466.39
UniRef50_F0GJT1: Icc protein	1453.23
UniRef50_F0GJT1: Icc protein|unclassified	1453.23
UniRef50_UPI00047227DB: hypothetical protein	1447.84
UniRef50_UPI00047227DB: hypothetical protein|unclassified	1447.84
UniRef50_F7R9D5: GGDEF domain protein	1446.96
UniRef50_F7R9D5: GGDEF domain protein|unclassified	1446.96
UniRef50_R7Z9J7: Transcriptional regulator	1425.59
UniRef50_R7Z9J7: Transcriptional regulator|unclassified	1425.59
UniRef50_B1JJ67: Rhs family protein-like protein	1417.34
UniRef50_B1JJ67: Rhs family protein-like protein|unclassified	1417.34
UniRef50_X7Y826	1413.2
UniRef50_X7Y826|unclassified	1413.2
UniRef50_UPI0003750CAF: hypothetical protein	1412.77
UniRef50_UPI0003750CAF: hypothetical protein|unclassified	1412.77
UniRef50_UPI0002D4BECE: anion transporter	1411.22
UniRef50_UPI0002D4BECE: anion transporter|unclassified	1411.22
UniRef50_UPI00036E1116: hypothetical protein	1395.54
UniRef50_UPI00036E1116: hypothetical protein|unclassified	1395.54
UniRef50_UPI000463426A: hypothetical protein	1389.36
UniRef50_UPI000463426A: hypothetical protein|unclassified	1389.36
UniRef50_T1AV84: Ser/Thr protein phosphatase	1388.57
UniRef50_T1AV84: Ser/Thr protein phosphatase|unclassified	1388.57
UniRef50_G4HCQ1: Regulatory protein ArsR	1351.64
UniRef50_G4HCQ1: Regulatory protein ArsR|unclassified	1351.64
UniRef50_D2AGY7: Diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor	1348.66
UniRef50_D2AGY7: Diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor|unclassified	1348.66
UniRef50_P9WP64: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	1345.46
UniRef50_P9WP64: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	1345.46
UniRef50_X8A3N5: Putative hAMP domain protein	1335.06
UniRef50_X8A3N5: Putative hAMP domain protein|unclassified	1335.06
UniRef50_M1SJJ1: Putative insecticidal toxin complex	1333.95
UniRef50_M1SJJ1: Putative insecticidal toxin complex|unclassified	1333.95
UniRef50_UPI0003B464BD: transcriptional regulator	1329.71
UniRef50_UPI0003B464BD: transcriptional regulator|unclassified	1329.71
UniRef50_V0PV62: Adenylate cyclase	1325.33
UniRef50_V0PV62: Adenylate cyclase|unclassified	1325.33
UniRef50_UPI00035F6407: hypothetical protein	1323.22
UniRef50_UPI00035F6407: hypothetical protein|unclassified	1323.22
UniRef50_UPI00047BA8D9: diguanylate phosphodiesterase	1318.74
UniRef50_UPI00047BA8D9: diguanylate phosphodiesterase|unclassified	1318.74
UniRef50_G6XP50: ArsR family transcriptional regulator	1304.33
UniRef50_G6XP50: ArsR family transcriptional regulator|unclassified	1304.33
UniRef50_UPI0003761BF5: hypothetical protein	1302.64
UniRef50_UPI0003761BF5: hypothetical protein|unclassified	1302.64
UniRef50_UPI00036BCBE3: hypothetical protein	1292.24
UniRef50_UPI00036BCBE3: hypothetical protein|unclassified	1292.24
UniRef50_D2TWS1: Insecticidal toxin complex protein	1289.96
UniRef50_D2TWS1: Insecticidal toxin complex protein|unclassified	1289.96
UniRef50_UPI0003B615EA: ArsR family transcriptional regulator	1280.17
UniRef50_UPI0003B615EA: ArsR family transcriptional regulator|unclassified	1280.17
UniRef50_UPI00046305C0: ArsR family transcriptional regulator, partial	1279.52
UniRef50_UPI00046305C0: ArsR family transcriptional regulator, partial|unclassified	1279.52
UniRef50_W2UW56	1274.52
UniRef50_W2UW56|unclassified	1274.52
UniRef50_E3G3A3: Adenylate cyclase	1273.79
UniRef50_E3G3A3: Adenylate cyclase|unclassified	1273.79
UniRef50_UPI0002D61962: hypothetical protein	1265.14
UniRef50_UPI0002D61962: hypothetical protein|unclassified	1265.14
UniRef50_UPI00047B5BC4: transcriptional regulator	1254.21
UniRef50_UPI00047B5BC4: transcriptional regulator|unclassified	1254.21
UniRef50_A0A017BTQ9: Putative cyclic 3',5'-adenosine monophosphate phosphodiesterase	1254.19
UniRef50_A0A017BTQ9: Putative cyclic 3',5'-adenosine monophosphate phosphodiesterase|unclassified	1254.19
UniRef50_P21369: Pyrazinamidase/nicotinamidase	1252.21
UniRef50_P21369: Pyrazinamidase/nicotinamidase|unclassified	1252.21
UniRef50_X8F4A3: Putative membrane protein	1247.82
UniRef50_X8F4A3: Putative membrane protein|unclassified	1247.82
UniRef50_UPI00035F2509: hypothetical protein	1242.45
UniRef50_UPI00035F2509: hypothetical protein|unclassified	1242.45
UniRef50_Q55794: Putative arsenical pump-driving ATPase	1212.44
UniRef50_Q55794: Putative arsenical pump-driving ATPase|unclassified	1212.44
UniRef50_A4TIX4	1208.53
UniRef50_A4TIX4|unclassified	1208.53
UniRef50_UPI0003B5A841: ArsR family transcriptional regulator	1203.6
UniRef50_UPI0003B5A841: ArsR family transcriptional regulator|unclassified	1203.6
UniRef50_UPI000367CD80: hypothetical protein	1194.75
UniRef50_UPI000367CD80: hypothetical protein|unclassified	1194.75
UniRef50_UPI00045E75F5: ArsR family transcriptional regulator	1193.24
UniRef50_UPI00045E75F5: ArsR family transcriptional regulator|unclassified	1193.24
UniRef50_W4I3Q9	1186.69
UniRef50_W4I3Q9|unclassified	1186.69
UniRef50_UPI00046D5215: hypothetical protein	1168.13
UniRef50_UPI00046D5215: hypothetical protein|unclassified	1168.13
UniRef50_T5HE48	1165.5
UniRef50_T5HE48|unclassified	1165.5
UniRef50_UPI0004720B0F: hypothetical protein	1159.72
UniRef50_UPI0004720B0F: hypothetical protein|unclassified	1159.72
UniRef50_C6DDW8: Adenylyl cyclase CyaB	1143.5
UniRef50_C6DDW8: Adenylyl cyclase CyaB|unclassified	1143.5
UniRef50_X8ATS5: Putative cyclase-related protein	1134.58
UniRef50_X8ATS5: Putative cyclase-related protein|unclassified	1134.58
UniRef50_UPI0003B5B594: phosphohydrolase, partial	1126.54
UniRef50_UPI0003B5B594: phosphohydrolase, partial|unclassified	1126.54
UniRef50_G0AMG0: CYTH domain protein	1124.98
UniRef50_G0AMG0: CYTH domain protein|unclassified	1124.98
UniRef50_UPI00005EE44E: hypothetical protein	1121.32
UniRef50_UPI00005EE44E: hypothetical protein|unclassified	1121.32
UniRef50_UPI00034B9871: ArsR family transcriptional regulator	1121.12
UniRef50_UPI00034B9871: ArsR family transcriptional regulator|unclassified	1121.12
UniRef50_UPI0004679883: ArsR family transcriptional regulator	1121.11
UniRef50_UPI0004679883: ArsR family transcriptional regulator|unclassified	1121.11
UniRef50_B5V2F7: Transcriptional regulator, ArsR family	1119.76
UniRef50_B5V2F7: Transcriptional regulator, ArsR family|unclassified	1119.76
UniRef50_M4LE69	1113.61
UniRef50_M4LE69|unclassified	1113.61
UniRef50_W5XFQ9	1109.21
UniRef50_W5XFQ9|unclassified	1109.21
UniRef50_UPI00047105BA: hypothetical protein	1105.87
UniRef50_UPI00047105BA: hypothetical protein|unclassified	1105.87
UniRef50_UPI00036691CA: hypothetical protein	1104.61
UniRef50_UPI00036691CA: hypothetical protein|unclassified	1104.61
UniRef50_UPI0001C4EE5F: putative ATPase	1103.37
UniRef50_UPI0001C4EE5F: putative ATPase|unclassified	1103.37
UniRef50_W3V3V9	1096.28
UniRef50_W3V3V9|unclassified	1096.28
UniRef50_F3K962: Ser/Thr protein phosphatase family protein	1090.87
UniRef50_F3K962: Ser/Thr protein phosphatase family protein|unclassified	1090.87
UniRef50_UPI00046F9FF4: hypothetical protein	1085.72
UniRef50_UPI00046F9FF4: hypothetical protein|unclassified	1085.72
UniRef50_UPI00040FAC62: ArsR family transcriptional regulator	1078.31
UniRef50_UPI00040FAC62: ArsR family transcriptional regulator|unclassified	1078.31
UniRef50_I6EAW8: Diguanylate cyclase domain protein	1077.27
UniRef50_I6EAW8: Diguanylate cyclase domain protein|unclassified	1077.27
UniRef50_F4N4J9	1077.04
UniRef50_F4N4J9|unclassified	1077.04
UniRef50_UPI0002D46100: hypothetical protein	1069.95
UniRef50_UPI0002D46100: hypothetical protein|unclassified	1069.95
UniRef50_G3XD12: Hydrogen cyanide synthase subunit HcnC	1059
UniRef50_G3XD12: Hydrogen cyanide synthase subunit HcnC|unclassified	1059
UniRef50_W4HWF8	1056.64
UniRef50_W4HWF8|unclassified	1056.64
UniRef50_E4WME2	1056.44
UniRef50_E4WME2|unclassified	1056.44
UniRef50_E5YMN0	1053.95
UniRef50_E5YMN0|unclassified	1053.95
UniRef50_A6WJP9: Adenylate cyclase	1052.33
UniRef50_A6WJP9: Adenylate cyclase|unclassified	1052.33
UniRef50_I0VDG8	1050.8
UniRef50_I0VDG8|unclassified	1050.8
UniRef50_UPI0004793211: peptidase	1047.65
UniRef50_UPI0004793211: peptidase|unclassified	1047.65
UniRef50_UPI00047489F6: guanylate cyclase, partial	1045.69
UniRef50_UPI00047489F6: guanylate cyclase, partial|unclassified	1045.69
UniRef50_UPI000475E7EB: hypothetical protein	1035.24
UniRef50_UPI000475E7EB: hypothetical protein|unclassified	1035.24
UniRef50_A0A052ICP4	1025.28
UniRef50_A0A052ICP4|unclassified	1025.28
UniRef50_I2WL33	1023.39
UniRef50_I2WL33|unclassified	1023.39
UniRef50_V2JJ74	1015.02
UniRef50_V2JJ74|unclassified	1015.02
UniRef50_U7I5Y7	995.051
UniRef50_U7I5Y7|unclassified	995.051
UniRef50_V9GLX5	994.712
UniRef50_V9GLX5|unclassified	994.712
UniRef50_UPI00040929F9: peptidoglycan-binding protein	983.946
UniRef50_UPI00040929F9: peptidoglycan-binding protein|unclassified	983.946
UniRef50_R4M4U3	972.59
UniRef50_R4M4U3|unclassified	972.59
UniRef50_E3GCF1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	972.424
UniRef50_E3GCF1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	972.424
UniRef50_X8A0Z4	967.378
UniRef50_X8A0Z4|unclassified	967.378
UniRef50_UPI00046589B1: adenylyl cyclase	965.967
UniRef50_UPI00046589B1: adenylyl cyclase|unclassified	965.967
UniRef50_K1DZ97: ArsR family transcriptional regulator	949.708
UniRef50_K1DZ97: ArsR family transcriptional regulator|unclassified	949.708
UniRef50_L2LZ92	947.146
UniRef50_L2LZ92|unclassified	947.146
UniRef50_UPI00038184C6: hypothetical protein	946.017
UniRef50_UPI00038184C6: hypothetical protein|unclassified	946.017
UniRef50_UPI00029A6EC3: isochorismatase hydrolase	942.073
UniRef50_UPI00029A6EC3: isochorismatase hydrolase|unclassified	942.073
UniRef50_UPI00036EB5E6: adenylate cyclase, partial	940.422
UniRef50_UPI00036EB5E6: adenylate cyclase, partial|unclassified	940.422
UniRef50_C5ZGL3: Cyclic diguanylate phosphodiesterase	939.423
UniRef50_C5ZGL3: Cyclic diguanylate phosphodiesterase|unclassified	939.423
UniRef50_K8WH17	931.437
UniRef50_K8WH17|unclassified	931.437
UniRef50_S7R346: Adenylate cyclase	930.488
UniRef50_S7R346: Adenylate cyclase|unclassified	930.488
UniRef50_UPI00036F474F: guanylyl cyclase, partial	926.233
UniRef50_UPI00036F474F: guanylyl cyclase, partial|unclassified	926.233
UniRef50_Z5X459: Cyclase	923.445
UniRef50_Z5X459: Cyclase|unclassified	923.445
UniRef50_UPI00046D4DAA: ATPase	921.326
UniRef50_UPI00046D4DAA: ATPase|unclassified	921.326
UniRef50_UPI00047C306F: ArsR family transcriptional regulator	917.125
UniRef50_UPI00047C306F: ArsR family transcriptional regulator|unclassified	917.125
UniRef50_UPI00037C8AC3: ArsR family transcriptional regulator	901.488
UniRef50_UPI00037C8AC3: ArsR family transcriptional regulator|unclassified	901.488
UniRef50_UPI00046EF441: adenylate cyclase	893.944
UniRef50_UPI00046EF441: adenylate cyclase|unclassified	893.944
UniRef50_UPI000478B62D: ArsR family transcriptional regulator	893.792
UniRef50_UPI000478B62D: ArsR family transcriptional regulator|unclassified	893.792
UniRef50_UPI0003625867: hypothetical protein	890.515
UniRef50_UPI0003625867: hypothetical protein|unclassified	890.515
UniRef50_X8BA61	890.307
UniRef50_X8BA61|unclassified	890.307
UniRef50_UPI000363C88B: hypothetical protein	885.146
UniRef50_UPI000363C88B: hypothetical protein|unclassified	885.146
UniRef50_D4XFI6: Toxin-antitoxin system, antitoxin component, ArsR family	876.257
UniRef50_D4XFI6: Toxin-antitoxin system, antitoxin component, ArsR family|unclassified	876.257
UniRef50_R4REB6	874.475
UniRef50_R4REB6|unclassified	874.475
UniRef50_W5SZX8: Peptidoglycan-specific endopeptidase, M23 family protein	871.504
UniRef50_W5SZX8: Peptidoglycan-specific endopeptidase, M23 family protein|unclassified	871.504
UniRef50_UPI00036DD256: hypothetical protein	858.414
UniRef50_UPI00036DD256: hypothetical protein|unclassified	858.414
UniRef50_U5X0W0	853.736
UniRef50_U5X0W0|unclassified	853.736
UniRef50_UPI0003B7417F: ArsR family transcriptional regulator	852.502
UniRef50_UPI0003B7417F: ArsR family transcriptional regulator|unclassified	852.502
UniRef50_UPI00047A6945: ArsR family transcriptional regulator	845.331
UniRef50_UPI00047A6945: ArsR family transcriptional regulator|unclassified	845.331
UniRef50_R4MDM7	839.084
UniRef50_R4MDM7|unclassified	839.084
UniRef50_UPI00031212DE: hypothetical protein	834.927
UniRef50_UPI00031212DE: hypothetical protein|unclassified	834.927
UniRef50_UPI0003B659D2: ArsR family transcriptional regulator	834.851
UniRef50_UPI0003B659D2: ArsR family transcriptional regulator|unclassified	834.851
UniRef50_UPI00047DC36A: hypothetical protein	827.849
UniRef50_UPI00047DC36A: hypothetical protein|unclassified	827.849
UniRef50_A0A024HQP6	823.279
UniRef50_A0A024HQP6|unclassified	823.279
UniRef50_UPI00047C0FF6: ArsR family transcriptional regulator	819.21
UniRef50_UPI00047C0FF6: ArsR family transcriptional regulator|unclassified	819.21
UniRef50_J4JBV0	816.921
UniRef50_J4JBV0|unclassified	816.921
UniRef50_UPI00034DE4D2: hypothetical protein	806.925
UniRef50_UPI00034DE4D2: hypothetical protein|unclassified	806.925
UniRef50_X7ZVG3	792.567
UniRef50_X7ZVG3|unclassified	792.567
UniRef50_UPI000472CF0E: ArsR family transcriptional regulator	791.824
UniRef50_UPI000472CF0E: ArsR family transcriptional regulator|unclassified	791.824
UniRef50_UPI0004758078: GMP phosphodiesterase	789.091
UniRef50_UPI0004758078: GMP phosphodiesterase|unclassified	789.091
UniRef50_P45267: Inorganic triphosphatase	787.907
UniRef50_P45267: Inorganic triphosphatase|unclassified	787.907
UniRef50_J2Z503: GGDEF domain protein	787.872
UniRef50_J2Z503: GGDEF domain protein|unclassified	787.872
UniRef50_Q52915: Adenylate cyclase 2	777.149
UniRef50_Q52915: Adenylate cyclase 2|unclassified	777.149
UniRef50_X8F413: Adenylate/guanylate cyclase domain protein	777.043
UniRef50_X8F413: Adenylate/guanylate cyclase domain protein|unclassified	777.043
UniRef50_F3GJJ4: Adenylate cyclase (Fragment)	769.934
UniRef50_F3GJJ4: Adenylate cyclase (Fragment)|unclassified	769.934
UniRef50_K8B8L4: Transcriptional regulator, ArsR family	762.041
UniRef50_K8B8L4: Transcriptional regulator, ArsR family|unclassified	762.041
UniRef50_UPI00036D4A14: hypothetical protein	761.512
UniRef50_UPI00036D4A14: hypothetical protein|unclassified	761.512
UniRef50_UPI00047B0387: hypothetical protein	760.353
UniRef50_UPI00047B0387: hypothetical protein|unclassified	760.353
UniRef50_UPI000466FD63: cyclase	759.169
UniRef50_UPI000466FD63: cyclase|unclassified	759.169
UniRef50_UPI00046D4863: pyrazinamidase	757.527
UniRef50_UPI00046D4863: pyrazinamidase|unclassified	757.527
UniRef50_UPI0004667A51: hypothetical protein	756.376
UniRef50_UPI0004667A51: hypothetical protein|unclassified	756.376
UniRef50_UPI00035D561C: hypothetical protein, partial	753.078
UniRef50_UPI00035D561C: hypothetical protein, partial|unclassified	753.078
UniRef50_UPI0003B2EA19: adenylate cyclase, partial	749.103
UniRef50_UPI0003B2EA19: adenylate cyclase, partial|unclassified	749.103
UniRef50_UPI000363A5CA: hypothetical protein	743.895
UniRef50_UPI000363A5CA: hypothetical protein|unclassified	743.895
UniRef50_R5WA28	735.876
UniRef50_R5WA28|unclassified	735.876
UniRef50_I2VNB6	733.899
UniRef50_I2VNB6|unclassified	733.899
UniRef50_X8E621: Putative adenylate cyclase	733.228
UniRef50_X8E621: Putative adenylate cyclase|unclassified	733.228
UniRef50_UPI00046D3D48: hypothetical protein	729.833
UniRef50_UPI00046D3D48: hypothetical protein|unclassified	729.833
UniRef50_UPI000474D03A: hypothetical protein, partial	724.642
UniRef50_UPI000474D03A: hypothetical protein, partial|unclassified	724.642
UniRef50_UPI00016A803C: transcriptional regulator, ArsR family protein	717.367
UniRef50_UPI00016A803C: transcriptional regulator, ArsR family protein|unclassified	717.367
UniRef50_UPI0003B60EAE: transcriptional regulator	716.118
UniRef50_UPI0003B60EAE: transcriptional regulator|unclassified	716.118
UniRef50_UPI0003639026: hypothetical protein	710.926
UniRef50_UPI0003639026: hypothetical protein|unclassified	710.926
UniRef50_UPI0004705503: hypothetical protein	709.858
UniRef50_UPI0004705503: hypothetical protein|unclassified	709.858
UniRef50_UPI000478310E: ArsR family transcriptional regulator	709.251
UniRef50_UPI000478310E: ArsR family transcriptional regulator|unclassified	709.251
UniRef50_UPI0004657F69: hypothetical protein	705.288
UniRef50_UPI0004657F69: hypothetical protein|unclassified	705.288
UniRef50_A0A053HIU7	705.223
UniRef50_A0A053HIU7|unclassified	705.223
