# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UniRef50_UPI0003F9644A: adenine glycosylase|unclassified	624.0686338151
UniRef50_UPI0001A42918: exonuclease	621.0145703680
UniRef50_UPI0001A42918: exonuclease|unclassified	621.0145703680
UniRef50_R5WCC3: Nuclease SbcCD D subunit	612.0260696622
UniRef50_R5WCC3: Nuclease SbcCD D subunit|unclassified	612.0260696622
UniRef50_UPI0003EB37D1: cysteine methyltransferase, partial	609.5062749803
UniRef50_UPI0003EB37D1: cysteine methyltransferase, partial|unclassified	609.5062749803
UniRef50_Q3JZG9: DNA polymerase IV	604.7808960670
UniRef50_Q3JZG9: DNA polymerase IV|unclassified	604.7808960670
UniRef50_U0ET18	594.5030956710
UniRef50_U0ET18|unclassified	594.5030956710
UniRef50_P37462: Alpha-ketoglutarate-dependent dioxygenase AlkB	593.9881674043
UniRef50_P37462: Alpha-ketoglutarate-dependent dioxygenase AlkB|unclassified	593.9881674043
UniRef50_UPI000362CAE5: DNA repair protein RecN	577.0898027366
UniRef50_UPI000362CAE5: DNA repair protein RecN|unclassified	577.0898027366
UniRef50_Q4ZWM4: DNA polymerase IV	571.2592309570
UniRef50_Q4ZWM4: DNA polymerase IV|unclassified	571.2592309570
UniRef50_B0BPX9: DNA polymerase IV	559.8240077204
UniRef50_B0BPX9: DNA polymerase IV|unclassified	559.8240077204
UniRef50_Q9CNG4: DNA polymerase IV	554.3556589714
UniRef50_Q9CNG4: DNA polymerase IV|unclassified	554.3556589714
UniRef50_P59496: Probable endonuclease 4	552.2924350223
UniRef50_P59496: Probable endonuclease 4|unclassified	552.2924350223
UniRef50_UPI00039E00F5: DNA adenine methylase	546.2794132621
UniRef50_UPI00039E00F5: DNA adenine methylase|unclassified	546.2794132621
UniRef50_UPI00046BB242: PREDICTED: plectin-like	546.1465656436
UniRef50_UPI00046BB242: PREDICTED: plectin-like|unclassified	546.1465656436
UniRef50_UPI0004729057: cysteine methyltransferase	542.5836118931
UniRef50_UPI0004729057: cysteine methyltransferase|unclassified	542.5836118931
UniRef50_Q98KC2: Mlr1540 protein	541.4723155296
UniRef50_Q98KC2: Mlr1540 protein|unclassified	541.4723155296
UniRef50_UPI0000E105D2: adenine DNA glycosylase	541.0612079934
UniRef50_UPI0000E105D2: adenine DNA glycosylase|unclassified	541.0612079934
UniRef50_I0VRS7	540.2177120917
UniRef50_I0VRS7|unclassified	540.2177120917
UniRef50_UPI00047DE8DC: adenine glycosylase, partial	535.6580566817
UniRef50_UPI00047DE8DC: adenine glycosylase, partial|unclassified	535.6580566817
UniRef50_W1HI89	525.6500480000
UniRef50_W1HI89|unclassified	525.6500480000
UniRef50_Q8ZAQ8: Endonuclease V	523.4892514354
UniRef50_Q8ZAQ8: Endonuclease V|unclassified	523.4892514354
UniRef50_Q8XZ19: DNA polymerase IV	519.2545992639
UniRef50_Q8XZ19: DNA polymerase IV|unclassified	519.2545992639
UniRef50_W1GWA8: Alkylated DNA repair protein AlkB	515.9580186966
UniRef50_W1GWA8: Alkylated DNA repair protein AlkB|unclassified	515.9580186966
UniRef50_UPI0004748059: hypothetical protein, partial	511.2926804860
UniRef50_UPI0004748059: hypothetical protein, partial|unclassified	511.2926804860
UniRef50_UPI0001BC965F: DNA repair protein RecN, partial	507.1756978359
UniRef50_UPI0001BC965F: DNA repair protein RecN, partial|unclassified	507.1756978359
UniRef50_UPI00046C2B50: PREDICTED: recombination repair protein 1-like	505.1102106054
UniRef50_UPI00046C2B50: PREDICTED: recombination repair protein 1-like|unclassified	505.1102106054
UniRef50_B0TZS5: DNA polymerase IV	497.9999904297
UniRef50_B0TZS5: DNA polymerase IV|unclassified	497.9999904297
UniRef50_UPI00016AFC11: A/G-specific adenine glycosylase, partial	494.8989327241
UniRef50_UPI00016AFC11: A/G-specific adenine glycosylase, partial|unclassified	494.8989327241
UniRef50_A9VIS8: UPF0758 protein BcerKBAB4_4299	494.0705078280
UniRef50_A9VIS8: UPF0758 protein BcerKBAB4_4299|unclassified	494.0705078280
UniRef50_U6IV49: DNA (Apurinic or apyrimidinic site) lyase	490.9977138706
UniRef50_U6IV49: DNA (Apurinic or apyrimidinic site) lyase|unclassified	490.9977138706
UniRef50_B1JSA8: Exodeoxyribonuclease 7 large subunit	489.9272158730
UniRef50_B1JSA8: Exodeoxyribonuclease 7 large subunit|unclassified	489.9272158730
UniRef50_Q8YC76: DNA polymerase IV	488.9967590263
UniRef50_Q8YC76: DNA polymerase IV|unclassified	488.9967590263
UniRef50_UPI000288548A: DNA repair exonuclease	478.3096642895
UniRef50_UPI000288548A: DNA repair exonuclease|unclassified	478.3096642895
UniRef50_UPI0002895C62: ADA regulatory protein	472.6089530993
UniRef50_UPI0002895C62: ADA regulatory protein|unclassified	472.6089530993
UniRef50_Q8UJK7: DNA polymerase IV 2	465.6380578186
UniRef50_Q8UJK7: DNA polymerase IV 2|unclassified	465.6380578186
UniRef50_Q9JRG1: DNA polymerase IV	465.3153948358
UniRef50_Q9JRG1: DNA polymerase IV|unclassified	465.3153948358
UniRef50_P11742: Methylated-DNA--protein-cysteine methyltransferase, constitutive	464.4607806685
UniRef50_P11742: Methylated-DNA--protein-cysteine methyltransferase, constitutive|unclassified	464.4607806685
UniRef50_W5X5R0	461.2794858527
UniRef50_W5X5R0|unclassified	461.2794858527
UniRef50_P27695: DNA-(apurinic or apyrimidinic site) lyase	459.7893356670
UniRef50_P27695: DNA-(apurinic or apyrimidinic site) lyase|unclassified	459.7893356670
UniRef50_C0AYW6	451.2425804990
UniRef50_C0AYW6|unclassified	451.2425804990
UniRef50_L8U090	436.0170643264
UniRef50_L8U090|unclassified	436.0170643264
UniRef50_UPI000473BF60: exodeoxyribonuclease III, partial	433.7281511357
UniRef50_UPI000473BF60: exodeoxyribonuclease III, partial|unclassified	433.7281511357
UniRef50_UPI0003811647: DNA glycosylase	432.5187604353
UniRef50_UPI0003811647: DNA glycosylase|unclassified	432.5187604353
UniRef50_Q2P7M9: DNA polymerase IV	425.1103122313
UniRef50_Q2P7M9: DNA polymerase IV|unclassified	425.1103122313
UniRef50_Q0A4X2: DNA polymerase IV	420.8174798718
UniRef50_Q0A4X2: DNA polymerase IV|unclassified	420.8174798718
UniRef50_UPI0003B43847: recombinase	418.4339758444
UniRef50_UPI0003B43847: recombinase|unclassified	418.4339758444
UniRef50_A0A023UPZ7: DNA recombination protein RmuC	417.7800760451
UniRef50_A0A023UPZ7: DNA recombination protein RmuC|unclassified	417.7800760451
UniRef50_A8ML82: Probable endonuclease 4	414.0355510388
UniRef50_A8ML82: Probable endonuclease 4|unclassified	414.0355510388
UniRef50_UPI00029CBF71: endonuclease IV, partial	413.6967073476
UniRef50_UPI00029CBF71: endonuclease IV, partial|unclassified	413.6967073476
UniRef50_Q5XB25: Exodeoxyribonuclease 7 large subunit	412.0781670116
UniRef50_Q5XB25: Exodeoxyribonuclease 7 large subunit|unclassified	412.0781670116
UniRef50_UPI00029B26E3: exodeoxyribonuclease III Xth	410.9636654374
UniRef50_UPI00029B26E3: exodeoxyribonuclease III Xth|unclassified	410.9636654374
UniRef50_Q98LV1: DNA polymerase IV 1	410.1213970023
UniRef50_Q98LV1: DNA polymerase IV 1|unclassified	410.1213970023
UniRef50_UPI00042356A9: exodeoxyribonuclease III	408.1837169137
UniRef50_UPI00042356A9: exodeoxyribonuclease III|unclassified	408.1837169137
UniRef50_X2MYB3	402.3743615866
UniRef50_X2MYB3|unclassified	402.3743615866
UniRef50_UPI00036E1323: DNA polymerase IV, partial	400.0015280783
UniRef50_UPI00036E1323: DNA polymerase IV, partial|unclassified	400.0015280783
UniRef50_Q18A91: DNA polymerase IV	396.9003570904
UniRef50_Q18A91: DNA polymerase IV|unclassified	396.9003570904
UniRef50_A0A036XCZ6: UPF0758 protein	396.8238165494
UniRef50_A0A036XCZ6: UPF0758 protein|unclassified	396.8238165494
UniRef50_P19220: Methylated-DNA--protein-cysteine methyltransferase, inducible	387.0108875214
UniRef50_P19220: Methylated-DNA--protein-cysteine methyltransferase, inducible|unclassified	387.0108875214
UniRef50_Q6D286: Exodeoxyribonuclease 7 large subunit	386.0403759284
UniRef50_Q6D286: Exodeoxyribonuclease 7 large subunit|unclassified	386.0403759284
UniRef50_Q189A4: Probable endonuclease 4	384.5924438032
UniRef50_Q189A4: Probable endonuclease 4|unclassified	384.5924438032
UniRef50_UPI0001DD0977: methylated DNA-protein cysteine methyltransferase	383.9782069483
UniRef50_UPI0001DD0977: methylated DNA-protein cysteine methyltransferase|unclassified	383.9782069483
UniRef50_W5X8B2: Methylated-DNA--protein-cysteine methyltransferase	381.3498660307
UniRef50_W5X8B2: Methylated-DNA--protein-cysteine methyltransferase|unclassified	381.3498660307
UniRef50_P63536: Probable endonuclease 4	380.9850767304
UniRef50_P63536: Probable endonuclease 4|unclassified	380.9850767304
UniRef50_UPI0003A070BD: exodeoxyribonuclease VII large subunit	379.5459559095
UniRef50_UPI0003A070BD: exodeoxyribonuclease VII large subunit|unclassified	379.5459559095
UniRef50_UPI00037F1D2C: hypothetical protein	377.0512888293
UniRef50_UPI00037F1D2C: hypothetical protein|unclassified	377.0512888293
UniRef50_UPI0002192FA7: dioxygenase	375.9439447173
UniRef50_UPI0002192FA7: dioxygenase|unclassified	375.9439447173
UniRef50_Q8PY44: Methylated-DNA--protein-cysteine methyltransferase	371.5751189270
UniRef50_Q8PY44: Methylated-DNA--protein-cysteine methyltransferase|unclassified	371.5751189270
UniRef50_UPI000190A2B2: putative DNA methylase	365.1223158475
UniRef50_UPI000190A2B2: putative DNA methylase|unclassified	365.1223158475
UniRef50_M4LYP9	364.6779578286
UniRef50_M4LYP9|unclassified	364.6779578286
UniRef50_UPI000478D068: adenine glycosylase	361.4620609784
UniRef50_UPI000478D068: adenine glycosylase|unclassified	361.4620609784
UniRef50_UPI000262965D: methylated-DNA--protein-cysteine methyltransferase	361.0971430416
UniRef50_UPI000262965D: methylated-DNA--protein-cysteine methyltransferase|unclassified	361.0971430416
UniRef50_Q5FSM8: DNA polymerase IV	355.6568909692
UniRef50_Q5FSM8: DNA polymerase IV|unclassified	355.6568909692
UniRef50_B5EXE3: UPF0758 protein YicR	352.4181762247
UniRef50_B5EXE3: UPF0758 protein YicR|unclassified	352.4181762247
UniRef50_Q73WH4: Exodeoxyribonuclease 7 large subunit	352.0176800605
UniRef50_Q73WH4: Exodeoxyribonuclease 7 large subunit|unclassified	352.0176800605
UniRef50_Q88V07: DNA polymerase IV	348.6069608507
UniRef50_Q88V07: DNA polymerase IV|unclassified	348.6069608507
UniRef50_W1XJV3: Nuclease sbcCD subunit C (Fragment)	347.5627569462
UniRef50_W1XJV3: Nuclease sbcCD subunit C (Fragment)|unclassified	347.5627569462
UniRef50_E1MA05: DNA repair protein RadC	344.9857377032
UniRef50_E1MA05: DNA repair protein RadC|unclassified	344.9857377032
UniRef50_UPI00047746B1: DNA glycosylase	341.0493439068
UniRef50_UPI00047746B1: DNA glycosylase|unclassified	341.0493439068
UniRef50_UPI0003747EBD: DNA repair protein RecN, partial	340.9545758315
UniRef50_UPI0003747EBD: DNA repair protein RecN, partial|unclassified	340.9545758315
UniRef50_P63986: DNA polymerase IV 1	338.8157165039
UniRef50_P63986: DNA polymerase IV 1|unclassified	338.8157165039
UniRef50_B5ZBT4: DNA polymerase IV	336.2350397526
UniRef50_B5ZBT4: DNA polymerase IV|unclassified	336.2350397526
UniRef50_UPI000374F47A: exodeoxyribonuclease III	335.0135573169
UniRef50_UPI000374F47A: exodeoxyribonuclease III|unclassified	335.0135573169
UniRef50_UPI0003B30F06: DNA glycosylase	334.5905547988
UniRef50_UPI0003B30F06: DNA glycosylase|unclassified	334.5905547988
UniRef50_UPI0003686C32: hypothetical protein	333.7701250942
UniRef50_UPI0003686C32: hypothetical protein|unclassified	333.7701250942
UniRef50_UPI0004636BA5: DNA repair protein	332.5754504654
UniRef50_UPI0004636BA5: DNA repair protein|unclassified	332.5754504654
UniRef50_UPI000255642F: DNA mismatch repair protein	332.3612336236
UniRef50_UPI000255642F: DNA mismatch repair protein|unclassified	332.3612336236
UniRef50_A4STD5: UPF0758 protein ASA_4229	330.0005279523
UniRef50_A4STD5: UPF0758 protein ASA_4229|unclassified	330.0005279523
UniRef50_Q3D4Z6	327.5072462331
UniRef50_Q3D4Z6|unclassified	327.5072462331
UniRef50_Q9PQI5: Probable endonuclease 4	327.3901835920
UniRef50_Q9PQI5: Probable endonuclease 4|unclassified	327.3901835920
UniRef50_UPI000470283A: hypothetical protein, partial	326.8605299792
UniRef50_UPI000470283A: hypothetical protein, partial|unclassified	326.8605299792
UniRef50_B2HSJ8: Probable endonuclease 4	326.4919713147
UniRef50_B2HSJ8: Probable endonuclease 4|unclassified	326.4919713147
UniRef50_B0A694	323.8209512496
UniRef50_B0A694|unclassified	323.8209512496
UniRef50_UPI0003755263: exodeoxyribonuclease III	321.0642210331
UniRef50_UPI0003755263: exodeoxyribonuclease III|unclassified	321.0642210331
UniRef50_Q8YCK1: Exodeoxyribonuclease 7 large subunit	318.2500717254
UniRef50_Q8YCK1: Exodeoxyribonuclease 7 large subunit|unclassified	318.2500717254
UniRef50_B5E361	316.5499370116
UniRef50_B5E361|unclassified	316.5499370116
UniRef50_Q2NFM3: Probable endonuclease 4	315.6997605336
UniRef50_Q2NFM3: Probable endonuclease 4|unclassified	315.6997605336
UniRef50_UPI000395C499: methylated-DNA--protein-cysteine methyltransferase	315.5230101294
UniRef50_UPI000395C499: methylated-DNA--protein-cysteine methyltransferase|unclassified	315.5230101294
UniRef50_I6CBW7: DNA repair RadC family protein	314.2816618391
UniRef50_I6CBW7: DNA repair RadC family protein|unclassified	314.2816618391
UniRef50_UPI00037B0BA4: hypothetical protein	312.7660559412
UniRef50_UPI00037B0BA4: hypothetical protein|unclassified	312.7660559412
UniRef50_V4QL82: 6-O-methylguanine DNA methyltransferase	311.9025594361
UniRef50_V4QL82: 6-O-methylguanine DNA methyltransferase|unclassified	311.9025594361
UniRef50_F8UC36: DNA recombination/repair protein (Fragment)	311.5105350857
UniRef50_F8UC36: DNA recombination/repair protein (Fragment)|unclassified	311.5105350857
UniRef50_UPI0003021BB3: hypothetical protein	311.1492652547
UniRef50_UPI0003021BB3: hypothetical protein|unclassified	311.1492652547
UniRef50_UPI000368B2CE: hypothetical protein, partial	309.3373722300
UniRef50_UPI000368B2CE: hypothetical protein, partial|unclassified	309.3373722300
UniRef50_V6UMW8	307.6437718420
UniRef50_V6UMW8|unclassified	307.6437718420
UniRef50_UPI0004664728: adenine glycosylase, partial	307.2900593848
UniRef50_UPI0004664728: adenine glycosylase, partial|unclassified	307.2900593848
UniRef50_C4TZV7: DNA repair protein radC	307.1612711296
UniRef50_C4TZV7: DNA repair protein radC|unclassified	307.1612711296
UniRef50_A7MHX0	307.1229680365
UniRef50_A7MHX0|unclassified	307.1229680365
UniRef50_UPI00037BA844: hypothetical protein	305.4818793380
UniRef50_UPI00037BA844: hypothetical protein|unclassified	305.4818793380
UniRef50_UPI000287D657: exodeoxyribonuclease III	304.7887430955
UniRef50_UPI000287D657: exodeoxyribonuclease III|unclassified	304.7887430955
UniRef50_UPI00021932A5: putative exodeoxyribonuclease, partial	303.0025930616
UniRef50_UPI00021932A5: putative exodeoxyribonuclease, partial|unclassified	303.0025930616
UniRef50_UPI0001A42917: exonuclease	291.0261314269
UniRef50_UPI0001A42917: exonuclease|unclassified	291.0261314269
UniRef50_C2SQR2: DNA repair protein radC	290.8252237291
UniRef50_C2SQR2: DNA repair protein radC|unclassified	290.8252237291
UniRef50_Q8XK37: DNA polymerase IV	289.7932208767
UniRef50_Q8XK37: DNA polymerase IV|unclassified	289.7932208767
UniRef50_UPI000463F591: recombinase RecT	288.9142416237
UniRef50_UPI000463F591: recombinase RecT|unclassified	288.9142416237
UniRef50_UPI0003829E4A: DNA polymerase IV, partial	287.4852128938
UniRef50_UPI0003829E4A: DNA polymerase IV, partial|unclassified	287.4852128938
UniRef50_B5E362	285.9582796638
UniRef50_B5E362|unclassified	285.9582796638
UniRef50_UPI00038FD0F9: hypothetical protein	285.9283005136
UniRef50_UPI00038FD0F9: hypothetical protein|unclassified	285.9283005136
UniRef50_UPI0003B5EB9E: AraC family transcriptional regulator	284.7639928441
UniRef50_UPI0003B5EB9E: AraC family transcriptional regulator|unclassified	284.7639928441
UniRef50_Q4L700: UPF0758 protein SH1266	280.8125846007
UniRef50_Q4L700: UPF0758 protein SH1266|unclassified	280.8125846007
UniRef50_UPI0003EF1D2C: hypothetical protein, partial	278.5444669145
UniRef50_UPI0003EF1D2C: hypothetical protein, partial|unclassified	278.5444669145
UniRef50_UPI000421A72E: alpha-ketoglutarate-dependent dioxygenase	276.6144102504
UniRef50_UPI000421A72E: alpha-ketoglutarate-dependent dioxygenase|unclassified	276.6144102504
UniRef50_S9MBR0	275.5750089698
UniRef50_S9MBR0|unclassified	275.5750089698
UniRef50_UPI000225FE01: alpha-ketoglutarate-dependent dioxygenase AlkB, partial	270.0484493788
UniRef50_UPI000225FE01: alpha-ketoglutarate-dependent dioxygenase AlkB, partial|unclassified	270.0484493788
UniRef50_B2TV22	269.8301367256
UniRef50_B2TV22|unclassified	269.8301367256
UniRef50_UPI0003769FA7: Fis family transcriptional regulator	269.6620910395
UniRef50_UPI0003769FA7: Fis family transcriptional regulator|unclassified	269.6620910395
UniRef50_P46230: A/G-specific adenine glycosylase (Fragment)	268.5174583735
UniRef50_P46230: A/G-specific adenine glycosylase (Fragment)|unclassified	268.5174583735
UniRef50_X4WAE8	267.5443676545
UniRef50_X4WAE8|unclassified	267.5443676545
UniRef50_UPI00029B17D0: DNA adenine methylase	267.4201011341
UniRef50_UPI00029B17D0: DNA adenine methylase|unclassified	267.4201011341
UniRef50_B9DNP9: Exodeoxyribonuclease 7 large subunit	267.3619071085
UniRef50_B9DNP9: Exodeoxyribonuclease 7 large subunit|unclassified	267.3619071085
UniRef50_UPI000478B6CC: AraC family transcriptional regulator	267.2183969911
UniRef50_UPI000478B6CC: AraC family transcriptional regulator|unclassified	267.2183969911
UniRef50_UPI00041B00FC: hypothetical protein	267.1751967330
UniRef50_UPI00041B00FC: hypothetical protein|unclassified	267.1751967330
UniRef50_Z1BGE3: Nuclease sbcCD subunit C	266.6703626558
UniRef50_Z1BGE3: Nuclease sbcCD subunit C|unclassified	266.6703626558
UniRef50_UPI0004202920: exonuclease	265.9679279642
UniRef50_UPI0004202920: exonuclease|unclassified	265.9679279642
UniRef50_UPI0004788DB2: cysteine methyltransferase	265.5963864073
UniRef50_UPI0004788DB2: cysteine methyltransferase|unclassified	265.5963864073
UniRef50_Q3JEI0: UPF0758 protein Noc_0236	265.1889756686
UniRef50_Q3JEI0: UPF0758 protein Noc_0236|unclassified	265.1889756686
UniRef50_UPI0003A51BFF: recombination and repair protein	261.1907255035
UniRef50_UPI0003A51BFF: recombination and repair protein|unclassified	261.1907255035
UniRef50_P44687: Methylated-DNA--protein-cysteine methyltransferase	260.8953745663
UniRef50_P44687: Methylated-DNA--protein-cysteine methyltransferase|unclassified	260.8953745663
UniRef50_UPI00041E45D2: dioxygenase	259.2668248623
UniRef50_UPI00041E45D2: dioxygenase|unclassified	259.2668248623
UniRef50_UPI00047A9DFE: cysteine methyltransferase	258.9478950975
UniRef50_UPI00047A9DFE: cysteine methyltransferase|unclassified	258.9478950975
UniRef50_Q72MY7: DNA polymerase IV	257.2413708861
UniRef50_Q72MY7: DNA polymerase IV|unclassified	257.2413708861
UniRef50_M1K514	256.3724537527
UniRef50_M1K514|unclassified	256.3724537527
UniRef50_Q8EQ56: DNA polymerase IV	255.6193942164
UniRef50_Q8EQ56: DNA polymerase IV|unclassified	255.6193942164
UniRef50_M8DJ10	255.4758752115
UniRef50_M8DJ10|unclassified	255.4758752115
UniRef50_Q741Z6	255.1090524899
UniRef50_Q741Z6|unclassified	255.1090524899
UniRef50_B0RQR6: Endonuclease V	253.6725828396
UniRef50_B0RQR6: Endonuclease V|unclassified	253.6725828396
UniRef50_UPI0003753D51: hypothetical protein	253.3303440873
UniRef50_UPI0003753D51: hypothetical protein|unclassified	253.3303440873
UniRef50_UPI00046D22A0: hypothetical protein	253.1439347662
UniRef50_UPI00046D22A0: hypothetical protein|unclassified	253.1439347662
UniRef50_UPI0002003A7E: exodeoxyribonuclease III, partial	252.7113057035
UniRef50_UPI0002003A7E: exodeoxyribonuclease III, partial|unclassified	252.7113057035
UniRef50_V4Q410	252.6870161663
UniRef50_V4Q410|unclassified	252.6870161663
UniRef50_UPI00036A298B: hypothetical protein	252.3819683030
UniRef50_UPI00036A298B: hypothetical protein|unclassified	252.3819683030
UniRef50_D6K5L9: Nuclease SbcCD, D subunit	252.0250165008
UniRef50_D6K5L9: Nuclease SbcCD, D subunit|unclassified	252.0250165008
UniRef50_UPI00046F1550: hypothetical protein	251.7982958659
UniRef50_UPI00046F1550: hypothetical protein|unclassified	251.7982958659
UniRef50_UPI0003655AF9: hypothetical protein	251.0632119467
UniRef50_UPI0003655AF9: hypothetical protein|unclassified	251.0632119467
UniRef50_UPI000440D083: AP endonuclease	250.6786196016
UniRef50_UPI000440D083: AP endonuclease|unclassified	250.6786196016
UniRef50_Q3JQ48	250.2215284199
UniRef50_Q3JQ48|unclassified	250.2215284199
UniRef50_UPI0003F796B5: DNA repair exonuclease	250.1446070918
UniRef50_UPI0003F796B5: DNA repair exonuclease|unclassified	250.1446070918
UniRef50_UPI00034708AA: DNA polymerase IV	248.9173326057
UniRef50_UPI00034708AA: DNA polymerase IV|unclassified	248.9173326057
UniRef50_Z2DZD6: AlkA N-terminal domain protein (Fragment)	248.5193339294
UniRef50_Z2DZD6: AlkA N-terminal domain protein (Fragment)|unclassified	248.5193339294
UniRef50_B7GRN1: Probable endonuclease 4	248.2210727246
