# Gene Family	SampleDNA_repair._bacterial_Abundance-CPM
UniRef50_UPI000190A2B2: putative DNA methylase	1196.11
UniRef50_UPI000190A2B2: putative DNA methylase|unclassified	1196.11
UniRef50_M4LYP9	1194.66
UniRef50_M4LYP9|unclassified	1194.66
UniRef50_UPI000478D068: adenine glycosylase	1184.12
UniRef50_UPI000478D068: adenine glycosylase|unclassified	1184.12
UniRef50_UPI000262965D: methylated-DNA--protein-cysteine methyltransferase	1182.93
UniRef50_UPI000262965D: methylated-DNA--protein-cysteine methyltransferase|unclassified	1182.93
UniRef50_Q5FSM8: DNA polymerase IV	1165.11
UniRef50_Q5FSM8: DNA polymerase IV|unclassified	1165.11
UniRef50_B5EXE3: UPF0758 protein YicR	1154.5
UniRef50_B5EXE3: UPF0758 protein YicR|unclassified	1154.5
UniRef50_Q73WH4: Exodeoxyribonuclease 7 large subunit	1153.18
UniRef50_Q73WH4: Exodeoxyribonuclease 7 large subunit|unclassified	1153.18
UniRef50_Q88V07: DNA polymerase IV	1142.01
UniRef50_Q88V07: DNA polymerase IV|unclassified	1142.01
UniRef50_W1XJV3: Nuclease sbcCD subunit C (Fragment)	1138.59
UniRef50_W1XJV3: Nuclease sbcCD subunit C (Fragment)|unclassified	1138.59
UniRef50_E1MA05: DNA repair protein RadC	1130.15
UniRef50_E1MA05: DNA repair protein RadC|unclassified	1130.15
UniRef50_UPI00047746B1: DNA glycosylase	1117.25
UniRef50_UPI00047746B1: DNA glycosylase|unclassified	1117.25
UniRef50_UPI0003747EBD: DNA repair protein RecN, partial	1116.94
UniRef50_UPI0003747EBD: DNA repair protein RecN, partial|unclassified	1116.94
UniRef50_P63986: DNA polymerase IV 1	1109.94
UniRef50_P63986: DNA polymerase IV 1|unclassified	1109.94
UniRef50_B5ZBT4: DNA polymerase IV	1101.48
UniRef50_B5ZBT4: DNA polymerase IV|unclassified	1101.48
UniRef50_UPI000374F47A: exodeoxyribonuclease III	1097.48
UniRef50_UPI000374F47A: exodeoxyribonuclease III|unclassified	1097.48
UniRef50_UPI0003B30F06: DNA glycosylase	1096.09
UniRef50_UPI0003B30F06: DNA glycosylase|unclassified	1096.09
UniRef50_UPI0003686C32: hypothetical protein	1093.41
UniRef50_UPI0003686C32: hypothetical protein|unclassified	1093.41
UniRef50_UPI0004636BA5: DNA repair protein	1089.49
UniRef50_UPI0004636BA5: DNA repair protein|unclassified	1089.49
UniRef50_UPI000255642F: DNA mismatch repair protein	1088.79
UniRef50_UPI000255642F: DNA mismatch repair protein|unclassified	1088.79
UniRef50_A4STD5: UPF0758 protein ASA_4229	1081.06
UniRef50_A4STD5: UPF0758 protein ASA_4229|unclassified	1081.06
UniRef50_Q3D4Z6	1072.89
UniRef50_Q3D4Z6|unclassified	1072.89
UniRef50_Q9PQI5: Probable endonuclease 4	1072.51
UniRef50_Q9PQI5: Probable endonuclease 4|unclassified	1072.51
UniRef50_UPI000470283A: hypothetical protein, partial	1070.77
UniRef50_UPI000470283A: hypothetical protein, partial|unclassified	1070.77
UniRef50_B2HSJ8: Probable endonuclease 4	1069.56
UniRef50_B2HSJ8: Probable endonuclease 4|unclassified	1069.56
UniRef50_B0A694	1060.81
UniRef50_B0A694|unclassified	1060.81
UniRef50_UPI0003755263: exodeoxyribonuclease III	1051.78
UniRef50_UPI0003755263: exodeoxyribonuclease III|unclassified	1051.78
UniRef50_Q8YCK1: Exodeoxyribonuclease 7 large subunit	1042.56
UniRef50_Q8YCK1: Exodeoxyribonuclease 7 large subunit|unclassified	1042.56
UniRef50_B5E361	1036.99
UniRef50_B5E361|unclassified	1036.99
UniRef50_Q2NFM3: Probable endonuclease 4	1034.21
UniRef50_Q2NFM3: Probable endonuclease 4|unclassified	1034.21
UniRef50_UPI000395C499: methylated-DNA--protein-cysteine methyltransferase	1033.63
UniRef50_UPI000395C499: methylated-DNA--protein-cysteine methyltransferase|unclassified	1033.63
UniRef50_I6CBW7: DNA repair RadC family protein	1029.56
UniRef50_I6CBW7: DNA repair RadC family protein|unclassified	1029.56
UniRef50_UPI00037B0BA4: hypothetical protein	1024.6
UniRef50_UPI00037B0BA4: hypothetical protein|unclassified	1024.6
UniRef50_V4QL82: 6-O-methylguanine DNA methyltransferase	1021.77
UniRef50_V4QL82: 6-O-methylguanine DNA methyltransferase|unclassified	1021.77
UniRef50_F8UC36: DNA recombination/repair protein (Fragment)	1020.49
UniRef50_F8UC36: DNA recombination/repair protein (Fragment)|unclassified	1020.49
UniRef50_UPI0003021BB3: hypothetical protein	1019.3
UniRef50_UPI0003021BB3: hypothetical protein|unclassified	1019.3
UniRef50_UPI000368B2CE: hypothetical protein, partial	1013.37
UniRef50_UPI000368B2CE: hypothetical protein, partial|unclassified	1013.37
UniRef50_V6UMW8	1007.82
UniRef50_V6UMW8|unclassified	1007.82
UniRef50_UPI0004664728: adenine glycosylase, partial	1006.66
UniRef50_UPI0004664728: adenine glycosylase, partial|unclassified	1006.66
UniRef50_C4TZV7: DNA repair protein radC	1006.24
UniRef50_C4TZV7: DNA repair protein radC|unclassified	1006.24
UniRef50_A7MHX0	1006.11
UniRef50_A7MHX0|unclassified	1006.11
UniRef50_UPI00037BA844: hypothetical protein	1000.74
UniRef50_UPI00037BA844: hypothetical protein|unclassified	1000.74
UniRef50_UPI000287D657: exodeoxyribonuclease III	998.466
UniRef50_UPI000287D657: exodeoxyribonuclease III|unclassified	998.466
UniRef50_UPI00021932A5: putative exodeoxyribonuclease, partial	992.614
UniRef50_UPI00021932A5: putative exodeoxyribonuclease, partial|unclassified	992.614
UniRef50_UPI0001A42917: exonuclease	953.38
UniRef50_UPI0001A42917: exonuclease|unclassified	953.38
UniRef50_C2SQR2: DNA repair protein radC	952.722
UniRef50_C2SQR2: DNA repair protein radC|unclassified	952.722
UniRef50_Q8XK37: DNA polymerase IV	949.341
UniRef50_Q8XK37: DNA polymerase IV|unclassified	949.341
UniRef50_UPI000463F591: recombinase RecT	946.462
UniRef50_UPI000463F591: recombinase RecT|unclassified	946.462
UniRef50_UPI0003829E4A: DNA polymerase IV, partial	941.781
UniRef50_UPI0003829E4A: DNA polymerase IV, partial|unclassified	941.781
UniRef50_B5E362	936.778
UniRef50_B5E362|unclassified	936.778
UniRef50_UPI00038FD0F9: hypothetical protein	936.68
UniRef50_UPI00038FD0F9: hypothetical protein|unclassified	936.68
UniRef50_UPI0003B5EB9E: AraC family transcriptional regulator	932.866
UniRef50_UPI0003B5EB9E: AraC family transcriptional regulator|unclassified	932.866
UniRef50_Q4L700: UPF0758 protein SH1266	919.922
UniRef50_Q4L700: UPF0758 protein SH1266|unclassified	919.922
UniRef50_UPI0003EF1D2C: hypothetical protein, partial	912.491
UniRef50_UPI0003EF1D2C: hypothetical protein, partial|unclassified	912.491
UniRef50_UPI000421A72E: alpha-ketoglutarate-dependent dioxygenase	906.169
UniRef50_UPI000421A72E: alpha-ketoglutarate-dependent dioxygenase|unclassified	906.169
UniRef50_S9MBR0	902.764
UniRef50_S9MBR0|unclassified	902.764
UniRef50_UPI000225FE01: alpha-ketoglutarate-dependent dioxygenase AlkB, partial	884.659
UniRef50_UPI000225FE01: alpha-ketoglutarate-dependent dioxygenase AlkB, partial|unclassified	884.659
UniRef50_B2TV22	883.944
UniRef50_B2TV22|unclassified	883.944
UniRef50_UPI0003769FA7: Fis family transcriptional regulator	883.393
UniRef50_UPI0003769FA7: Fis family transcriptional regulator|unclassified	883.393
UniRef50_P46230: A/G-specific adenine glycosylase (Fragment)	879.644
UniRef50_P46230: A/G-specific adenine glycosylase (Fragment)|unclassified	879.644
UniRef50_X4WAE8	876.456
UniRef50_X4WAE8|unclassified	876.456
UniRef50_UPI00029B17D0: DNA adenine methylase	876.049
UniRef50_UPI00029B17D0: DNA adenine methylase|unclassified	876.049
UniRef50_B9DNP9: Exodeoxyribonuclease 7 large subunit	875.858
UniRef50_B9DNP9: Exodeoxyribonuclease 7 large subunit|unclassified	875.858
UniRef50_UPI000478B6CC: AraC family transcriptional regulator	875.388
UniRef50_UPI000478B6CC: AraC family transcriptional regulator|unclassified	875.388
UniRef50_UPI00041B00FC: hypothetical protein	875.246
UniRef50_UPI00041B00FC: hypothetical protein|unclassified	875.246
UniRef50_Z1BGE3: Nuclease sbcCD subunit C	873.593
UniRef50_Z1BGE3: Nuclease sbcCD subunit C|unclassified	873.593
UniRef50_UPI0004202920: exonuclease	871.292
UniRef50_UPI0004202920: exonuclease|unclassified	871.292
UniRef50_UPI0004788DB2: cysteine methyltransferase	870.074
UniRef50_UPI0004788DB2: cysteine methyltransferase|unclassified	870.074
UniRef50_Q3JEI0: UPF0758 protein Noc_0236	868.74
UniRef50_Q3JEI0: UPF0758 protein Noc_0236|unclassified	868.74
UniRef50_UPI0003A51BFF: recombination and repair protein	855.642
UniRef50_UPI0003A51BFF: recombination and repair protein|unclassified	855.642
UniRef50_P44687: Methylated-DNA--protein-cysteine methyltransferase	854.674
UniRef50_P44687: Methylated-DNA--protein-cysteine methyltransferase|unclassified	854.674
UniRef50_UPI00041E45D2: dioxygenase	849.339
UniRef50_UPI00041E45D2: dioxygenase|unclassified	849.339
UniRef50_UPI00047A9DFE: cysteine methyltransferase	848.294
UniRef50_UPI00047A9DFE: cysteine methyltransferase|unclassified	848.294
UniRef50_Q72MY7: DNA polymerase IV	842.704
UniRef50_Q72MY7: DNA polymerase IV|unclassified	842.704
UniRef50_M1K514	839.857
UniRef50_M1K514|unclassified	839.857
UniRef50_Q8EQ56: DNA polymerase IV	837.39
UniRef50_Q8EQ56: DNA polymerase IV|unclassified	837.39
UniRef50_M8DJ10	836.92
UniRef50_M8DJ10|unclassified	836.92
UniRef50_Q741Z6	835.719
UniRef50_Q741Z6|unclassified	835.719
UniRef50_B0RQR6: Endonuclease V	831.013
UniRef50_B0RQR6: Endonuclease V|unclassified	831.013
UniRef50_UPI0003753D51: hypothetical protein	829.892
UniRef50_UPI0003753D51: hypothetical protein|unclassified	829.892
UniRef50_UPI00046D22A0: hypothetical protein	829.281
UniRef50_UPI00046D22A0: hypothetical protein|unclassified	829.281
UniRef50_UPI0002003A7E: exodeoxyribonuclease III, partial	827.864
UniRef50_UPI0002003A7E: exodeoxyribonuclease III, partial|unclassified	827.864
UniRef50_V4Q410	827.784
UniRef50_V4Q410|unclassified	827.784
UniRef50_UPI00036A298B: hypothetical protein	826.785
UniRef50_UPI00036A298B: hypothetical protein|unclassified	826.785
UniRef50_D6K5L9: Nuclease SbcCD, D subunit	825.616
UniRef50_D6K5L9: Nuclease SbcCD, D subunit|unclassified	825.616
UniRef50_UPI00046F1550: hypothetical protein	824.873
UniRef50_UPI00046F1550: hypothetical protein|unclassified	824.873
UniRef50_UPI0003655AF9: hypothetical protein	822.465
UniRef50_UPI0003655AF9: hypothetical protein|unclassified	822.465
UniRef50_UPI000440D083: AP endonuclease	821.205
UniRef50_UPI000440D083: AP endonuclease|unclassified	821.205
UniRef50_Q3JQ48	819.707
UniRef50_Q3JQ48|unclassified	819.707
UniRef50_UPI0003F796B5: DNA repair exonuclease	819.455
UniRef50_UPI0003F796B5: DNA repair exonuclease|unclassified	819.455
UniRef50_UPI00034708AA: DNA polymerase IV	815.435
UniRef50_UPI00034708AA: DNA polymerase IV|unclassified	815.435
UniRef50_Z2DZD6: AlkA N-terminal domain protein (Fragment)	814.131
UniRef50_Z2DZD6: AlkA N-terminal domain protein (Fragment)|unclassified	814.131
UniRef50_B7GRN1: Probable endonuclease 4	813.154
UniRef50_B7GRN1: Probable endonuclease 4|unclassified	813.154
UniRef50_UPI00047B0E80: AraC family transcriptional regulator	812.34
UniRef50_UPI00047B0E80: AraC family transcriptional regulator|unclassified	812.34
UniRef50_UPI00046D65C0: hypothetical protein	810.02
UniRef50_UPI00046D65C0: hypothetical protein|unclassified	810.02
UniRef50_Q9Z7H3: Probable endonuclease 4	806.667
UniRef50_Q9Z7H3: Probable endonuclease 4|unclassified	806.667
UniRef50_Q836W6: Exodeoxyribonuclease 7 large subunit	805.377
UniRef50_Q836W6: Exodeoxyribonuclease 7 large subunit|unclassified	805.377
UniRef50_UPI0003B768A4: recombinase	805.218
UniRef50_UPI0003B768A4: recombinase|unclassified	805.218
UniRef50_Q5F8V5: Exodeoxyribonuclease 7 large subunit	797.495
UniRef50_Q5F8V5: Exodeoxyribonuclease 7 large subunit|unclassified	797.495
UniRef50_UPI00037C8437: hypothetical protein	794.619
UniRef50_UPI00037C8437: hypothetical protein|unclassified	794.619
UniRef50_I3UDG1: Nuclease SbcCD subunit D	791.828
UniRef50_I3UDG1: Nuclease SbcCD subunit D|unclassified	791.828
UniRef50_UPI0003B50A34: DNA polymerase IV, partial	791.775
UniRef50_UPI0003B50A34: DNA polymerase IV, partial|unclassified	791.775
UniRef50_Q8EPN7: DNA repair protein (RadC family)	786.961
UniRef50_Q8EPN7: DNA repair protein (RadC family)|unclassified	786.961
UniRef50_UPI0003B387E8: hypothetical protein, partial	785.951
UniRef50_UPI0003B387E8: hypothetical protein, partial|unclassified	785.951
UniRef50_X3Z3L8	785.138
UniRef50_X3Z3L8|unclassified	785.138
UniRef50_UPI000225F386: methylated-DNA-protein-cysteine methyltransferase	782.101
UniRef50_UPI000225F386: methylated-DNA-protein-cysteine methyltransferase|unclassified	782.101
UniRef50_UPI0003FAFD5D: DNA repair exonuclease	778.84
