# Gene Family	SampleDNA-replication_Abundance-CPM
UniRef50_P52022: DNA polymerase III subunit alpha|unclassified	4607.16
UniRef50_B7VMI3: Holliday junction ATP-dependent DNA helicase RuvA	4597.3
UniRef50_B7VMI3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	4597.3
UniRef50_A2C638: Holliday junction ATP-dependent DNA helicase RuvB	4338.72
UniRef50_A2C638: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	4338.72
UniRef50_Q5HT48: Holliday junction ATP-dependent DNA helicase RuvB	4241.94
UniRef50_Q5HT48: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	4241.94
UniRef50_Q115Z7: Holliday junction ATP-dependent DNA helicase RuvB	4188.34
UniRef50_Q115Z7: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	4188.34
UniRef50_UPI00046E91F0: ATP-dependent DNA helicase RuvB	4136.28
UniRef50_UPI00046E91F0: ATP-dependent DNA helicase RuvB|unclassified	4136.28
UniRef50_P28631: DNA polymerase III subunit delta'	3869.51
UniRef50_P28631: DNA polymerase III subunit delta'|unclassified	3869.51
UniRef50_P43749: DNA polymerase III subunit chi	3584.93
UniRef50_P43749: DNA polymerase III subunit chi|unclassified	3584.93
UniRef50_UPI000463909B: DNA polymerase III subunit chi	3504.83
UniRef50_UPI000463909B: DNA polymerase III subunit chi|unclassified	3504.83
UniRef50_C0QKP4: Holliday junction ATP-dependent DNA helicase RuvB	3347.1
UniRef50_C0QKP4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	3347.1
UniRef50_UPI0002F8EAB4: hypothetical protein	3335.85
UniRef50_UPI0002F8EAB4: hypothetical protein|unclassified	3335.85
UniRef50_P45256: Replicative DNA helicase	3325.11
UniRef50_P45256: Replicative DNA helicase|unclassified	3325.11
UniRef50_UPI000472A22B: hypothetical protein	3275.83
UniRef50_UPI000472A22B: hypothetical protein|unclassified	3275.83
UniRef50_UPI0003EB3D8F: hypothetical protein	3246.51
UniRef50_UPI0003EB3D8F: hypothetical protein|unclassified	3246.51
UniRef50_A8F5R0: Holliday junction ATP-dependent DNA helicase RuvB	3189.9
UniRef50_A8F5R0: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	3189.9
UniRef50_H9UPB7: Primosomal replication protein N	3172.09
UniRef50_H9UPB7: Primosomal replication protein N|unclassified	3172.09
UniRef50_L8UD71	3045.7
UniRef50_L8UD71|unclassified	3045.7
UniRef50_A8ZUH7: Holliday junction ATP-dependent DNA helicase RuvB	2999.67
UniRef50_A8ZUH7: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	2999.67
UniRef50_UPI000373AEE1: hypothetical protein	2920.93
UniRef50_UPI000373AEE1: hypothetical protein|unclassified	2920.93
UniRef50_UPI0004708DCB: hypothetical protein	2870.72
UniRef50_UPI0004708DCB: hypothetical protein|unclassified	2870.72
UniRef50_UPI0003C1A633: PREDICTED: probable replicative DNA helicase-like	2852.47
UniRef50_UPI0003C1A633: PREDICTED: probable replicative DNA helicase-like|unclassified	2852.47
UniRef50_R6UH45: Na /proline symporter	2822.09
UniRef50_R6UH45: Na /proline symporter|unclassified	2822.09
UniRef50_G4B119: DNA polymerase III subunit alpha	2821.51
UniRef50_G4B119: DNA polymerase III subunit alpha|unclassified	2821.51
UniRef50_R5WZH7: Na /proline symporter	2768.17
UniRef50_R5WZH7: Na /proline symporter|unclassified	2768.17
UniRef50_A6VQA5: Crossover junction endodeoxyribonuclease RuvC	2738.86
UniRef50_A6VQA5: Crossover junction endodeoxyribonuclease RuvC|unclassified	2738.86
UniRef50_B2S1L1: Holliday junction ATP-dependent DNA helicase RuvB	2735.8
UniRef50_B2S1L1: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	2735.8
UniRef50_Q9HXZ1: DNA polymerase III subunit alpha	2673.41
UniRef50_Q9HXZ1: DNA polymerase III subunit alpha|unclassified	2673.41
UniRef50_W1YI63: Primosomal protein N (Fragment)	2635.51
UniRef50_W1YI63: Primosomal protein N (Fragment)|unclassified	2635.51
UniRef50_R6UY66: Na /proline symporter	2599.31
UniRef50_R6UY66: Na /proline symporter|unclassified	2599.31
UniRef50_Q7VNF5: Crossover junction endodeoxyribonuclease RuvC	2598.27
UniRef50_Q7VNF5: Crossover junction endodeoxyribonuclease RuvC|unclassified	2598.27
UniRef50_UPI00046EE5FD: hypothetical protein, partial	2564.77
UniRef50_UPI00046EE5FD: hypothetical protein, partial|unclassified	2564.77
UniRef50_J4SKL4: Primosome assembly protein PriA (Fragment)	2543.27
UniRef50_J4SKL4: Primosome assembly protein PriA (Fragment)|unclassified	2543.27
UniRef50_UPI00022CAD47: PREDICTED: replicative DNA helicase-like	2510.04
UniRef50_UPI00022CAD47: PREDICTED: replicative DNA helicase-like|unclassified	2510.04
UniRef50_G8LNJ1	2483.92
UniRef50_G8LNJ1|unclassified	2483.92
UniRef50_UPI0004709310: hypothetical protein	2423.28
UniRef50_UPI0004709310: hypothetical protein|unclassified	2423.28
UniRef50_UPI00025561B7: DNA polymerase III subunit epsilon	2416.21
UniRef50_UPI00025561B7: DNA polymerase III subunit epsilon|unclassified	2416.21
UniRef50_UPI0002D35E4D: DNA polymerase III subunit epsilon	2392.15
UniRef50_UPI0002D35E4D: DNA polymerase III subunit epsilon|unclassified	2392.15
UniRef50_UPI00047E9612: hypothetical protein	2371.2
UniRef50_UPI00047E9612: hypothetical protein|unclassified	2371.2
UniRef50_D4GIR7	2354.63
UniRef50_D4GIR7|unclassified	2354.63
UniRef50_Q92GL1: DNA polymerase III subunit epsilon	2289.91
UniRef50_Q92GL1: DNA polymerase III subunit epsilon|unclassified	2289.91
UniRef50_UPI0004697CA1: DNA replication protein DnaC	2238.43
UniRef50_UPI0004697CA1: DNA replication protein DnaC|unclassified	2238.43
UniRef50_Q2FG85: Holliday junction ATP-dependent DNA helicase RuvA	2207.08
UniRef50_Q2FG85: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	2207.08
UniRef50_UPI000470E62B: hypothetical protein, partial	2193.51
UniRef50_UPI000470E62B: hypothetical protein, partial|unclassified	2193.51
UniRef50_R8ALV8: Primosome assembly protein PriA (Fragment)	2192.84
UniRef50_R8ALV8: Primosome assembly protein PriA (Fragment)|unclassified	2192.84
UniRef50_W2UV30	2184.7
UniRef50_W2UV30|unclassified	2184.7
UniRef50_W0FV65: Primosomal protein DnaI (Fragment)	2140.44
UniRef50_W0FV65: Primosomal protein DnaI (Fragment)|unclassified	2140.44
UniRef50_H6NUA9: Primosomal replication protein N	2114.01
UniRef50_H6NUA9: Primosomal replication protein N|unclassified	2114.01
UniRef50_C2VXT5: Primosomal protein N	2099.62
UniRef50_C2VXT5: Primosomal protein N|unclassified	2099.62
UniRef50_A5MB41: DNA primase	2037.81
UniRef50_A5MB41: DNA primase|unclassified	2037.81
UniRef50_Q9JVX8: DNA polymerase III subunit alpha	2033.55
UniRef50_Q9JVX8: DNA polymerase III subunit alpha|unclassified	2033.55
UniRef50_UPI0003B5D84E: Holliday junction DNA helicase RuvB	2030.23
UniRef50_UPI0003B5D84E: Holliday junction DNA helicase RuvB|unclassified	2030.23
UniRef50_Q9F1K0: DNA polymerase III subunit alpha	2010.31
UniRef50_Q9F1K0: DNA polymerase III subunit alpha|unclassified	2010.31
UniRef50_Q5X9H7: Holliday junction ATP-dependent DNA helicase RuvA	1990.4
UniRef50_Q5X9H7: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1990.4
UniRef50_UPI0002BA0AD2: hypothetical protein	1985.41
UniRef50_UPI0002BA0AD2: hypothetical protein|unclassified	1985.41
UniRef50_Q7VH56: Crossover junction endodeoxyribonuclease RuvC	1927.11
UniRef50_Q7VH56: Crossover junction endodeoxyribonuclease RuvC|unclassified	1927.11
UniRef50_Q08880: DNA polymerase III subunit epsilon	1888.28
UniRef50_Q08880: DNA polymerase III subunit epsilon|unclassified	1888.28
UniRef50_UPI00028A0D05: DNA polymerase III subunit epsilon	1864.44
UniRef50_UPI00028A0D05: DNA polymerase III subunit epsilon|unclassified	1864.44
UniRef50_B9TNJ3	1803.96
UniRef50_B9TNJ3|unclassified	1803.96
UniRef50_Q6G904: DNA primase	1777.77
UniRef50_Q6G904: DNA primase|unclassified	1777.77
UniRef50_Q87Y33: Crossover junction endodeoxyribonuclease RuvC	1727.91
UniRef50_Q87Y33: Crossover junction endodeoxyribonuclease RuvC|unclassified	1727.91
UniRef50_H1QCI4: Primosomal protein N (Fragment)	1718.22
UniRef50_H1QCI4: Primosomal protein N (Fragment)|unclassified	1718.22
UniRef50_P0C0F3: DNA polymerase III subunit alpha	1712.95
UniRef50_P0C0F3: DNA polymerase III subunit alpha|unclassified	1712.95
UniRef50_A1ASF5: Crossover junction endodeoxyribonuclease RuvC	1702.71
UniRef50_A1ASF5: Crossover junction endodeoxyribonuclease RuvC|unclassified	1702.71
UniRef50_UPI00037AA370: DNA replication protein DnaC, partial	1701.22
UniRef50_UPI00037AA370: DNA replication protein DnaC, partial|unclassified	1701.22
UniRef50_Q839T6: Holliday junction ATP-dependent DNA helicase RuvA	1670.9
UniRef50_Q839T6: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1670.9
UniRef50_V7Z4F8	1663.19
UniRef50_V7Z4F8|unclassified	1663.19
UniRef50_UPI0004779942: hypothetical protein, partial	1660.98
UniRef50_UPI0004779942: hypothetical protein, partial|unclassified	1660.98
UniRef50_UPI000473A203: hypothetical protein, partial	1651.77
UniRef50_UPI000473A203: hypothetical protein, partial|unclassified	1651.77
UniRef50_UPI00047C5621: hypothetical protein	1642.9
UniRef50_UPI00047C5621: hypothetical protein|unclassified	1642.9
UniRef50_J2E9M6	1638.35
UniRef50_J2E9M6|unclassified	1638.35
UniRef50_UPI0003670F2C: hypothetical protein	1636.62
UniRef50_UPI0003670F2C: hypothetical protein|unclassified	1636.62
UniRef50_D0WAX6	1627.04
UniRef50_D0WAX6|unclassified	1627.04
UniRef50_A3MP74: Crossover junction endodeoxyribonuclease RuvC	1606.35
UniRef50_A3MP74: Crossover junction endodeoxyribonuclease RuvC|unclassified	1606.35
UniRef50_Q87D03: Crossover junction endodeoxyribonuclease RuvC	1598.19
UniRef50_Q87D03: Crossover junction endodeoxyribonuclease RuvC|unclassified	1598.19
UniRef50_W1Y6C3	1593.76
UniRef50_W1Y6C3|unclassified	1593.76
UniRef50_A0LXG7: Crossover junction endodeoxyribonuclease RuvC	1589.62
UniRef50_A0LXG7: Crossover junction endodeoxyribonuclease RuvC|unclassified	1589.62
UniRef50_Q5P3C5: Crossover junction endodeoxyribonuclease RuvC	1585.55
UniRef50_Q5P3C5: Crossover junction endodeoxyribonuclease RuvC|unclassified	1585.55
UniRef50_P43747: DNA polymerase III subunit delta	1578.83
UniRef50_P43747: DNA polymerase III subunit delta|unclassified	1578.83
UniRef50_E1M9M1: DNA polymerase III delta prime subunit	1566.97
UniRef50_E1M9M1: DNA polymerase III delta prime subunit|unclassified	1566.97
UniRef50_K8CJM1: Titin	1562.3
UniRef50_K8CJM1: Titin|unclassified	1562.3
UniRef50_O68823: DNA polymerase III subunit chi	1558.81
UniRef50_O68823: DNA polymerase III subunit chi|unclassified	1558.81
UniRef50_B4BJ95: Primosomal protein N	1529.1
UniRef50_B4BJ95: Primosomal protein N|unclassified	1529.1
UniRef50_E2LM52	1523.36
UniRef50_E2LM52|unclassified	1523.36
UniRef50_UPI0003EB47DC: hypothetical protein	1520.72
UniRef50_UPI0003EB47DC: hypothetical protein|unclassified	1520.72
UniRef50_Q7W4T9: Holliday junction ATP-dependent DNA helicase RuvA	1504.45
UniRef50_Q7W4T9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1504.45
UniRef50_W1Y6B7: Primosomal protein N (Fragment)	1488.4
UniRef50_W1Y6B7: Primosomal protein N (Fragment)|unclassified	1488.4
UniRef50_C2WGA2: DNA polymerase III, delta' subunit	1483.48
UniRef50_C2WGA2: DNA polymerase III, delta' subunit|unclassified	1483.48
UniRef50_UPI0002374D08: DNA polymerase III, epsilon subunit, partial	1468.68
UniRef50_UPI0002374D08: DNA polymerase III, epsilon subunit, partial|unclassified	1468.68
UniRef50_A8FFR3: Holliday junction ATP-dependent DNA helicase RuvA	1455.65
UniRef50_A8FFR3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1455.65
UniRef50_UPI0004743B91: ATP-dependent DNA helicase RuvB, partial	1455.03
UniRef50_UPI0004743B91: ATP-dependent DNA helicase RuvB, partial|unclassified	1455.03
UniRef50_P37540: DNA polymerase III subunit delta'	1453.11
UniRef50_P37540: DNA polymerase III subunit delta'|unclassified	1453.11
UniRef50_Q82XP5: Crossover junction endodeoxyribonuclease RuvC	1450.97
UniRef50_Q82XP5: Crossover junction endodeoxyribonuclease RuvC|unclassified	1450.97
UniRef50_P37469: Replicative DNA helicase	1444.02
UniRef50_P37469: Replicative DNA helicase|unclassified	1444.02
UniRef50_UPI000466391D: DNA polymerase III subunit alpha, partial	1428.4
UniRef50_UPI000466391D: DNA polymerase III subunit alpha, partial|unclassified	1428.4
UniRef50_UPI0000397F8C: COG0587: DNA polymerase III, alpha subunit, partial	1427.72
UniRef50_UPI0000397F8C: COG0587: DNA polymerase III, alpha subunit, partial|unclassified	1427.72
UniRef50_F7S678	1422.83
UniRef50_F7S678|unclassified	1422.83
UniRef50_A5WFD7: Crossover junction endodeoxyribonuclease RuvC	1413.39
UniRef50_A5WFD7: Crossover junction endodeoxyribonuclease RuvC|unclassified	1413.39
UniRef50_Q720A2: DNA polymerase III PolC-type	1384.58
UniRef50_Q720A2: DNA polymerase III PolC-type|unclassified	1384.58
UniRef50_UPI0002ED6601: hypothetical protein	1382.78
UniRef50_UPI0002ED6601: hypothetical protein|unclassified	1382.78
UniRef50_K8AXY2: Titin	1380.8
UniRef50_K8AXY2: Titin|unclassified	1380.8
UniRef50_R0LT06: Primosomal protein DnaI	1369.63
UniRef50_R0LT06: Primosomal protein DnaI|unclassified	1369.63
UniRef50_Q8K9S3: DNA polymerase III subunit alpha	1367.69
UniRef50_Q8K9S3: DNA polymerase III subunit alpha|unclassified	1367.69
UniRef50_UPI0003676335: hypothetical protein	1365.24
UniRef50_UPI0003676335: hypothetical protein|unclassified	1365.24
UniRef50_Q7UPG4: Holliday junction ATP-dependent DNA helicase RuvB	1351.67
UniRef50_Q7UPG4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1351.67
UniRef50_Q87EY0: DNA polymerase III subunit alpha	1350.33
UniRef50_Q87EY0: DNA polymerase III subunit alpha|unclassified	1350.33
UniRef50_U2FHA2	1350.17
UniRef50_U2FHA2|unclassified	1350.17
UniRef50_Q483C5: Holliday junction ATP-dependent DNA helicase RuvA	1341.52
UniRef50_Q483C5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1341.52
UniRef50_UPI0003B4BDD5: DNA polymerase III subunit chi	1339.33
UniRef50_UPI0003B4BDD5: DNA polymerase III subunit chi|unclassified	1339.33
UniRef50_UPI000382632C: hypothetical protein	1337
UniRef50_UPI000382632C: hypothetical protein|unclassified	1337
UniRef50_UPI000289499A: DNA polymerase III subunit alpha, partial	1329.18
UniRef50_UPI000289499A: DNA polymerase III subunit alpha, partial|unclassified	1329.18
UniRef50_UPI0004726CDF: DNA polymerase III subunit alpha, partial	1327.03
UniRef50_UPI0004726CDF: DNA polymerase III subunit alpha, partial|unclassified	1327.03
UniRef50_F9PBH6: DNA primase	1324.55
UniRef50_F9PBH6: DNA primase|unclassified	1324.55
UniRef50_UPI0001911399: hypothetical protein, partial	1323.14
UniRef50_UPI0001911399: hypothetical protein, partial|unclassified	1323.14
UniRef50_B8GWS6: DNA polymerase III subunit alpha	1321.05
UniRef50_B8GWS6: DNA polymerase III subunit alpha|unclassified	1321.05
UniRef50_UPI0004650D81: DNA polymerase III subunit alpha	1318.34
UniRef50_UPI0004650D81: DNA polymerase III subunit alpha|unclassified	1318.34
UniRef50_A1AJP3	1309.12
UniRef50_A1AJP3|unclassified	1309.12
UniRef50_UPI000426ED6A: primosomal protein DnaI	1298.72
UniRef50_UPI000426ED6A: primosomal protein DnaI|unclassified	1298.72
UniRef50_D0JFB2: DNA primase	1281.42
UniRef50_D0JFB2: DNA primase|unclassified	1281.42
UniRef50_UPI00046CE6AD: hypothetical protein	1265.88
UniRef50_UPI00046CE6AD: hypothetical protein|unclassified	1265.88
UniRef50_UPI000465DA4A: DNA polymerase III subunit delta'', partial	1265.69
UniRef50_UPI000465DA4A: DNA polymerase III subunit delta'', partial|unclassified	1265.69
UniRef50_UPI000371F124: primosome assembly protein PriA	1244.05
UniRef50_UPI000371F124: primosome assembly protein PriA|unclassified	1244.05
UniRef50_UPI00036CFDE4: hypothetical protein	1234.11
UniRef50_UPI00036CFDE4: hypothetical protein|unclassified	1234.11
UniRef50_UPI0003606BDF: hypothetical protein	1233.4
UniRef50_UPI0003606BDF: hypothetical protein|unclassified	1233.4
UniRef50_T0YXI9: DNA polymerase III holoenzyme alpha subunit (Fragment)	1232.7
UniRef50_T0YXI9: DNA polymerase III holoenzyme alpha subunit (Fragment)|unclassified	1232.7
UniRef50_UPI00004C2765: COG0587: DNA polymerase III, alpha subunit, partial	1232.21
UniRef50_UPI00004C2765: COG0587: DNA polymerase III, alpha subunit, partial|unclassified	1232.21
UniRef50_Q11T17: Crossover junction endodeoxyribonuclease RuvC	1226.28
UniRef50_Q11T17: Crossover junction endodeoxyribonuclease RuvC|unclassified	1226.28
UniRef50_UPI000315F4DB: DNA polymerase III subunit epsilon	1215.24
UniRef50_UPI000315F4DB: DNA polymerase III subunit epsilon|unclassified	1215.24
UniRef50_A3PFA5: Holliday junction ATP-dependent DNA helicase RuvB	1201.25
UniRef50_A3PFA5: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1201.25
UniRef50_UPI000464CB60: ATP-dependent DNA helicase RuvA	1191.04
UniRef50_UPI000464CB60: ATP-dependent DNA helicase RuvA|unclassified	1191.04
UniRef50_Q89AN3: DNA polymerase III subunit epsilon	1190.53
UniRef50_Q89AN3: DNA polymerase III subunit epsilon|unclassified	1190.53
UniRef50_L8DVW7: Primosomal protein DnaI	1187.85
UniRef50_L8DVW7: Primosomal protein DnaI|unclassified	1187.85
UniRef50_UPI00025565AA: DNA helicase	1179.9
UniRef50_UPI00025565AA: DNA helicase|unclassified	1179.9
UniRef50_UPI00024917CD: primosomal protein DnaI	1173.8
UniRef50_UPI00024917CD: primosomal protein DnaI|unclassified	1173.8
UniRef50_UPI0004744464: hypothetical protein	1173.4
UniRef50_UPI0004744464: hypothetical protein|unclassified	1173.4
UniRef50_Q5X5S0: Crossover junction endodeoxyribonuclease RuvC	1170.92
UniRef50_Q5X5S0: Crossover junction endodeoxyribonuclease RuvC|unclassified	1170.92
UniRef50_UPI00037CC256: hypothetical protein	1170.62
UniRef50_UPI00037CC256: hypothetical protein|unclassified	1170.62
UniRef50_UPI00047C0359: hypothetical protein	1167.73
UniRef50_UPI00047C0359: hypothetical protein|unclassified	1167.73
UniRef50_H4P217	1155.01
UniRef50_H4P217|unclassified	1155.01
UniRef50_R0FCI2: Primosome assembly protein PriA (Fragment)	1151.38
UniRef50_R0FCI2: Primosome assembly protein PriA (Fragment)|unclassified	1151.38
UniRef50_W7WVW4	1150.24
UniRef50_W7WVW4|unclassified	1150.24
UniRef50_UPI00036ACC50: DNA primase	1149.3
UniRef50_UPI00036ACC50: DNA primase|unclassified	1149.3
UniRef50_Q1RI04: Replicative DNA helicase	1147.45
UniRef50_Q1RI04: Replicative DNA helicase|unclassified	1147.45
UniRef50_UPI000474FA7E: hypothetical protein	1141.07
UniRef50_UPI000474FA7E: hypothetical protein|unclassified	1141.07
UniRef50_W7JFW8	1141.03
UniRef50_W7JFW8|unclassified	1141.03
UniRef50_R5KVP7	1140.31
UniRef50_R5KVP7|unclassified	1140.31
UniRef50_A6B9U0: Primosome assembly protein PriA	1138.76
UniRef50_A6B9U0: Primosome assembly protein PriA|unclassified	1138.76
UniRef50_UPI000468C74C: DNA polymerase III PolC	1138.26
UniRef50_UPI000468C74C: DNA polymerase III PolC|unclassified	1138.26
UniRef50_W1WAW8: Primosome assembly protein PriA (Fragment)	1137.5
UniRef50_W1WAW8: Primosome assembly protein PriA (Fragment)|unclassified	1137.5
UniRef50_A5M5W4: Primosomal protein DnaI	1135.06
UniRef50_A5M5W4: Primosomal protein DnaI|unclassified	1135.06
UniRef50_B1AI05: DNA polymerase III delta subunit	1131.53
UniRef50_B1AI05: DNA polymerase III delta subunit|unclassified	1131.53
UniRef50_UPI0004705BD7: primosomal protein DnaI	1130.09
UniRef50_UPI0004705BD7: primosomal protein DnaI|unclassified	1130.09
UniRef50_UPI00029A31C5: DNA polymerase III subunit delta, partial	1129.48
UniRef50_UPI00029A31C5: DNA polymerase III subunit delta, partial|unclassified	1129.48
UniRef50_B3E789: Crossover junction endodeoxyribonuclease RuvC	1126.13
UniRef50_B3E789: Crossover junction endodeoxyribonuclease RuvC|unclassified	1126.13
UniRef50_H4NLY1: Chromosome replication, initiation and chain elongation protein	1119.41
UniRef50_H4NLY1: Chromosome replication, initiation and chain elongation protein|unclassified	1119.41
UniRef50_D4ZAA1: Primosomal replication protein n, putative	1118.41
UniRef50_D4ZAA1: Primosomal replication protein n, putative|unclassified	1118.41
UniRef50_Q9PPZ6: DNA primase	1118.04
UniRef50_Q9PPZ6: DNA primase|unclassified	1118.04
UniRef50_UPI00036C2EFF: DNA helicase, partial	1110.1
UniRef50_UPI00036C2EFF: DNA helicase, partial|unclassified	1110.1
UniRef50_UPI000374DF31: hypothetical protein	1107.96
UniRef50_UPI000374DF31: hypothetical protein|unclassified	1107.96
UniRef50_Q1LTF2: Holliday junction ATP-dependent DNA helicase RuvA	1107.45
UniRef50_Q1LTF2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1107.45
UniRef50_B1AJ89: Holliday junction ATP-dependent DNA helicase RuvB	1100.45
UniRef50_B1AJ89: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1100.45
UniRef50_B1AJ90: Holliday junction ATP-dependent DNA helicase RuvA	1082.06
UniRef50_B1AJ90: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1082.06
UniRef50_X2ME08	1077.6
UniRef50_X2ME08|unclassified	1077.6
UniRef50_UPI00037BC365: hypothetical protein	1068.85
UniRef50_UPI00037BC365: hypothetical protein|unclassified	1068.85
UniRef50_Q609L1: Holliday junction ATP-dependent DNA helicase RuvA	1061.7
UniRef50_Q609L1: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1061.7
UniRef50_B8XXW0: DNA primase (Fragment)	1059.08
UniRef50_B8XXW0: DNA primase (Fragment)|unclassified	1059.08
UniRef50_UPI0003738A59: hypothetical protein	1057.11
UniRef50_UPI0003738A59: hypothetical protein|unclassified	1057.11
UniRef50_UPI000469D67A: primosomal protein DnaI	1055.32
UniRef50_UPI000469D67A: primosomal protein DnaI|unclassified	1055.32
UniRef50_UPI000370BDCF: hypothetical protein	1052.36
UniRef50_UPI000370BDCF: hypothetical protein|unclassified	1052.36
UniRef50_UPI000479A804: hypothetical protein, partial	1029.89
UniRef50_UPI000479A804: hypothetical protein, partial|unclassified	1029.89
UniRef50_UPI0003FD763F: hypothetical protein	1028.01
UniRef50_UPI0003FD763F: hypothetical protein|unclassified	1028.01
UniRef50_P27903: DNA polymerase III subunit beta	1013.76
UniRef50_P27903: DNA polymerase III subunit beta|unclassified	1013.76
UniRef50_UPI00046F0581: hypothetical protein	1013.23
UniRef50_UPI00046F0581: hypothetical protein|unclassified	1013.23
UniRef50_Q6ABX1: Replicative DNA helicase	1009.55
UniRef50_Q6ABX1: Replicative DNA helicase|unclassified	1009.55
UniRef50_B5ZBB5	1008.9
UniRef50_B5ZBB5|unclassified	1008.9
UniRef50_Q92M91: Holliday junction ATP-dependent DNA helicase RuvA	1001.65
UniRef50_Q92M91: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1001.65
UniRef50_UPI000463292C: DNA replication terminus site-binding protein	1000.76
UniRef50_UPI000463292C: DNA replication terminus site-binding protein|unclassified	1000.76
UniRef50_UPI00025561DD: DNA polymerase III subunit alpha	995.131
UniRef50_UPI00025561DD: DNA polymerase III subunit alpha|unclassified	995.131
UniRef50_Q8EPQ5: Holliday junction ATP-dependent DNA helicase RuvA	990.115
UniRef50_Q8EPQ5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	990.115
UniRef50_Q88V02: Holliday junction ATP-dependent DNA helicase RuvA	983.862
UniRef50_Q88V02: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	983.862
UniRef50_A1WZ63: Crossover junction endodeoxyribonuclease RuvC	978.5
UniRef50_A1WZ63: Crossover junction endodeoxyribonuclease RuvC|unclassified	978.5
UniRef50_X1NQ55: Marine sediment metagenome DNA, contig: S06H3_S01190 (Fragment)	973.357
UniRef50_X1NQ55: Marine sediment metagenome DNA, contig: S06H3_S01190 (Fragment)|unclassified	973.357
UniRef50_UPI00035FBFFF: hypothetical protein	970.731
UniRef50_UPI00035FBFFF: hypothetical protein|unclassified	970.731
UniRef50_F0P9K4: DNA polymerase III delta prime subunit	969.765
UniRef50_F0P9K4: DNA polymerase III delta prime subunit|unclassified	969.765
UniRef50_P43748: DNA polymerase III subunit delta'	965.217
UniRef50_P43748: DNA polymerase III subunit delta'|unclassified	965.217
UniRef50_O34623: DNA polymerase III subunit alpha	963.466
UniRef50_O34623: DNA polymerase III subunit alpha|unclassified	963.466
UniRef50_Q11DH5: Holliday junction ATP-dependent DNA helicase RuvA	962.828
UniRef50_Q11DH5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	962.828
