# Gene Family	SampleDNA-replication_Abundance-RPKs
UniRef50_A8ZUH7: Holliday junction ATP-dependent DNA helicase RuvB	798.1662956654
UniRef50_A8ZUH7: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	798.1662956654
UniRef50_UPI000373AEE1: hypothetical protein	777.2151506765
UniRef50_UPI000373AEE1: hypothetical protein|unclassified	777.2151506765
UniRef50_UPI0004708DCB: hypothetical protein	763.8537975145
UniRef50_UPI0004708DCB: hypothetical protein|unclassified	763.8537975145
UniRef50_UPI0003C1A633: PREDICTED: probable replicative DNA helicase-like	758.9978356618
UniRef50_UPI0003C1A633: PREDICTED: probable replicative DNA helicase-like|unclassified	758.9978356618
UniRef50_R6UH45: Na /proline symporter	750.9146947573
UniRef50_R6UH45: Na /proline symporter|unclassified	750.9146947573
UniRef50_G4B119: DNA polymerase III subunit alpha	750.7603982909
UniRef50_G4B119: DNA polymerase III subunit alpha|unclassified	750.7603982909
UniRef50_R5WZH7: Na /proline symporter	736.5672617475
UniRef50_R5WZH7: Na /proline symporter|unclassified	736.5672617475
UniRef50_A6VQA5: Crossover junction endodeoxyribonuclease RuvC	728.7672860633
UniRef50_A6VQA5: Crossover junction endodeoxyribonuclease RuvC|unclassified	728.7672860633
UniRef50_B2S1L1: Holliday junction ATP-dependent DNA helicase RuvB	727.9540680603
UniRef50_B2S1L1: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	727.9540680603
UniRef50_Q9HXZ1: DNA polymerase III subunit alpha	711.3525948014
UniRef50_Q9HXZ1: DNA polymerase III subunit alpha|unclassified	711.3525948014
UniRef50_W1YI63: Primosomal protein N (Fragment)	701.2688424687
UniRef50_W1YI63: Primosomal protein N (Fragment)|unclassified	701.2688424687
UniRef50_R6UY66: Na /proline symporter	691.6361119039
UniRef50_R6UY66: Na /proline symporter|unclassified	691.6361119039
UniRef50_Q7VNF5: Crossover junction endodeoxyribonuclease RuvC	691.3598719833
UniRef50_Q7VNF5: Crossover junction endodeoxyribonuclease RuvC|unclassified	691.3598719833
UniRef50_UPI00046EE5FD: hypothetical protein, partial	682.4462062662
UniRef50_UPI00046EE5FD: hypothetical protein, partial|unclassified	682.4462062662
UniRef50_J4SKL4: Primosome assembly protein PriA (Fragment)	676.7238278582
UniRef50_J4SKL4: Primosome assembly protein PriA (Fragment)|unclassified	676.7238278582
UniRef50_UPI00022CAD47: PREDICTED: replicative DNA helicase-like	667.8843649151
UniRef50_UPI00022CAD47: PREDICTED: replicative DNA helicase-like|unclassified	667.8843649151
UniRef50_G8LNJ1	660.9319058098
UniRef50_G8LNJ1|unclassified	660.9319058098
UniRef50_UPI0004709310: hypothetical protein	644.7979709446
UniRef50_UPI0004709310: hypothetical protein|unclassified	644.7979709446
UniRef50_UPI00025561B7: DNA polymerase III subunit epsilon	642.9158499752
UniRef50_UPI00025561B7: DNA polymerase III subunit epsilon|unclassified	642.9158499752
UniRef50_UPI0002D35E4D: DNA polymerase III subunit epsilon	636.5145362539
UniRef50_UPI0002D35E4D: DNA polymerase III subunit epsilon|unclassified	636.5145362539
UniRef50_UPI00047E9612: hypothetical protein	630.9412525959
UniRef50_UPI00047E9612: hypothetical protein|unclassified	630.9412525959
UniRef50_D4GIR7	626.5320767548
UniRef50_D4GIR7|unclassified	626.5320767548
UniRef50_Q92GL1: DNA polymerase III subunit epsilon	609.3095155658
UniRef50_Q92GL1: DNA polymerase III subunit epsilon|unclassified	609.3095155658
UniRef50_UPI0004697CA1: DNA replication protein DnaC	595.6108561823
UniRef50_UPI0004697CA1: DNA replication protein DnaC|unclassified	595.6108561823
UniRef50_Q2FG85: Holliday junction ATP-dependent DNA helicase RuvA	587.2690756720
UniRef50_Q2FG85: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	587.2690756720
UniRef50_UPI000470E62B: hypothetical protein, partial	583.6593756507
UniRef50_UPI000470E62B: hypothetical protein, partial|unclassified	583.6593756507
UniRef50_R8ALV8: Primosome assembly protein PriA (Fragment)	583.4803610399
UniRef50_R8ALV8: Primosome assembly protein PriA (Fragment)|unclassified	583.4803610399
UniRef50_W2UV30	581.3158262445
UniRef50_W2UV30|unclassified	581.3158262445
UniRef50_W0FV65: Primosomal protein DnaI (Fragment)	569.5388331478
UniRef50_W0FV65: Primosomal protein DnaI (Fragment)|unclassified	569.5388331478
UniRef50_H6NUA9: Primosomal replication protein N	562.5053272221
UniRef50_H6NUA9: Primosomal replication protein N|unclassified	562.5053272221
UniRef50_C2VXT5: Primosomal protein N	558.6769568760
UniRef50_C2VXT5: Primosomal protein N|unclassified	558.6769568760
UniRef50_A5MB41: DNA primase	542.2300303925
UniRef50_A5MB41: DNA primase|unclassified	542.2300303925
UniRef50_Q9JVX8: DNA polymerase III subunit alpha	541.0968015689
UniRef50_Q9JVX8: DNA polymerase III subunit alpha|unclassified	541.0968015689
UniRef50_UPI0003B5D84E: Holliday junction DNA helicase RuvB	540.2135612611
UniRef50_UPI0003B5D84E: Holliday junction DNA helicase RuvB|unclassified	540.2135612611
UniRef50_Q9F1K0: DNA polymerase III subunit alpha	534.9123347921
UniRef50_Q9F1K0: DNA polymerase III subunit alpha|unclassified	534.9123347921
UniRef50_Q5X9H7: Holliday junction ATP-dependent DNA helicase RuvA	529.6152683191
UniRef50_Q5X9H7: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	529.6152683191
UniRef50_UPI0002BA0AD2: hypothetical protein	528.2860007954
UniRef50_UPI0002BA0AD2: hypothetical protein|unclassified	528.2860007954
UniRef50_Q7VH56: Crossover junction endodeoxyribonuclease RuvC	512.7752555831
UniRef50_Q7VH56: Crossover junction endodeoxyribonuclease RuvC|unclassified	512.7752555831
UniRef50_Q08880: DNA polymerase III subunit epsilon	502.4417059776
UniRef50_Q08880: DNA polymerase III subunit epsilon|unclassified	502.4417059776
UniRef50_UPI00028A0D05: DNA polymerase III subunit epsilon	496.0978736881
UniRef50_UPI00028A0D05: DNA polymerase III subunit epsilon|unclassified	496.0978736881
UniRef50_B9TNJ3	480.0051511501
UniRef50_B9TNJ3|unclassified	480.0051511501
UniRef50_Q6G904: DNA primase	473.0372934744
UniRef50_Q6G904: DNA primase|unclassified	473.0372934744
UniRef50_Q87Y33: Crossover junction endodeoxyribonuclease RuvC	459.7710675700
UniRef50_Q87Y33: Crossover junction endodeoxyribonuclease RuvC|unclassified	459.7710675700
UniRef50_H1QCI4: Primosomal protein N (Fragment)	457.1906962110
UniRef50_H1QCI4: Primosomal protein N (Fragment)|unclassified	457.1906962110
UniRef50_P0C0F3: DNA polymerase III subunit alpha	455.7908666615
UniRef50_P0C0F3: DNA polymerase III subunit alpha|unclassified	455.7908666615
UniRef50_A1ASF5: Crossover junction endodeoxyribonuclease RuvC	453.0646132811
UniRef50_A1ASF5: Crossover junction endodeoxyribonuclease RuvC|unclassified	453.0646132811
UniRef50_UPI00037AA370: DNA replication protein DnaC, partial	452.6672755275
UniRef50_UPI00037AA370: DNA replication protein DnaC, partial|unclassified	452.6672755275
UniRef50_Q839T6: Holliday junction ATP-dependent DNA helicase RuvA	444.5999368048
UniRef50_Q839T6: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	444.5999368048
UniRef50_V7Z4F8	442.5499261984
UniRef50_V7Z4F8|unclassified	442.5499261984
UniRef50_UPI0004779942: hypothetical protein, partial	441.9613347115
UniRef50_UPI0004779942: hypothetical protein, partial|unclassified	441.9613347115
UniRef50_UPI000473A203: hypothetical protein, partial	439.5100166228
UniRef50_UPI000473A203: hypothetical protein, partial|unclassified	439.5100166228
UniRef50_UPI00047C5621: hypothetical protein	437.1503417031
UniRef50_UPI00047C5621: hypothetical protein|unclassified	437.1503417031
UniRef50_J2E9M6	435.9385540803
UniRef50_J2E9M6|unclassified	435.9385540803
UniRef50_UPI0003670F2C: hypothetical protein	435.4789085158
UniRef50_UPI0003670F2C: hypothetical protein|unclassified	435.4789085158
UniRef50_D0WAX6	432.9312590396
UniRef50_D0WAX6|unclassified	432.9312590396
UniRef50_A3MP74: Crossover junction endodeoxyribonuclease RuvC	427.4248121141
UniRef50_A3MP74: Crossover junction endodeoxyribonuclease RuvC|unclassified	427.4248121141
UniRef50_Q87D03: Crossover junction endodeoxyribonuclease RuvC	425.2543744306
UniRef50_Q87D03: Crossover junction endodeoxyribonuclease RuvC|unclassified	425.2543744306
UniRef50_W1Y6C3	424.0737932914
UniRef50_W1Y6C3|unclassified	424.0737932914
UniRef50_A0LXG7: Crossover junction endodeoxyribonuclease RuvC	422.9728084320
UniRef50_A0LXG7: Crossover junction endodeoxyribonuclease RuvC|unclassified	422.9728084320
UniRef50_Q5P3C5: Crossover junction endodeoxyribonuclease RuvC	421.8918269026
UniRef50_Q5P3C5: Crossover junction endodeoxyribonuclease RuvC|unclassified	421.8918269026
UniRef50_P43747: DNA polymerase III subunit delta	420.1023668376
UniRef50_P43747: DNA polymerase III subunit delta|unclassified	420.1023668376
UniRef50_E1M9M1: DNA polymerase III delta prime subunit	416.9462865984
UniRef50_E1M9M1: DNA polymerase III delta prime subunit|unclassified	416.9462865984
UniRef50_K8CJM1: Titin	415.7040226038
UniRef50_K8CJM1: Titin|unclassified	415.7040226038
UniRef50_O68823: DNA polymerase III subunit chi	414.7742542806
UniRef50_O68823: DNA polymerase III subunit chi|unclassified	414.7742542806
UniRef50_B4BJ95: Primosomal protein N	406.8709379342
UniRef50_B4BJ95: Primosomal protein N|unclassified	406.8709379342
UniRef50_E2LM52	405.3431162019
UniRef50_E2LM52|unclassified	405.3431162019
UniRef50_UPI0003EB47DC: hypothetical protein	404.6393869231
UniRef50_UPI0003EB47DC: hypothetical protein|unclassified	404.6393869231
UniRef50_Q7W4T9: Holliday junction ATP-dependent DNA helicase RuvA	400.3122444967
UniRef50_Q7W4T9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	400.3122444967
UniRef50_W1Y6B7: Primosomal protein N (Fragment)	396.0402716068
UniRef50_W1Y6B7: Primosomal protein N (Fragment)|unclassified	396.0402716068
UniRef50_C2WGA2: DNA polymerase III, delta' subunit	394.7325224635
UniRef50_C2WGA2: DNA polymerase III, delta' subunit|unclassified	394.7325224635
UniRef50_UPI0002374D08: DNA polymerase III, epsilon subunit, partial	390.7937732427
UniRef50_UPI0002374D08: DNA polymerase III, epsilon subunit, partial|unclassified	390.7937732427
UniRef50_A8FFR3: Holliday junction ATP-dependent DNA helicase RuvA	387.3268830299
UniRef50_A8FFR3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	387.3268830299
UniRef50_UPI0004743B91: ATP-dependent DNA helicase RuvB, partial	387.1621717663
UniRef50_UPI0004743B91: ATP-dependent DNA helicase RuvB, partial|unclassified	387.1621717663
UniRef50_P37540: DNA polymerase III subunit delta'	386.6491779772
UniRef50_P37540: DNA polymerase III subunit delta'|unclassified	386.6491779772
UniRef50_Q82XP5: Crossover junction endodeoxyribonuclease RuvC	386.0797876221
UniRef50_Q82XP5: Crossover junction endodeoxyribonuclease RuvC|unclassified	386.0797876221
UniRef50_P37469: Replicative DNA helicase	384.2318754657
UniRef50_P37469: Replicative DNA helicase|unclassified	384.2318754657
UniRef50_UPI000466391D: DNA polymerase III subunit alpha, partial	380.0754880424
UniRef50_UPI000466391D: DNA polymerase III subunit alpha, partial|unclassified	380.0754880424
UniRef50_UPI0000397F8C: COG0587: DNA polymerase III, alpha subunit, partial	379.8954185199
UniRef50_UPI0000397F8C: COG0587: DNA polymerase III, alpha subunit, partial|unclassified	379.8954185199
UniRef50_F7S678	378.5921884966
UniRef50_F7S678|unclassified	378.5921884966
UniRef50_A5WFD7: Crossover junction endodeoxyribonuclease RuvC	376.0801437173
UniRef50_A5WFD7: Crossover junction endodeoxyribonuclease RuvC|unclassified	376.0801437173
UniRef50_Q720A2: DNA polymerase III PolC-type	368.4146588639
UniRef50_Q720A2: DNA polymerase III PolC-type|unclassified	368.4146588639
UniRef50_UPI0002ED6601: hypothetical protein	367.9355754042
UniRef50_UPI0002ED6601: hypothetical protein|unclassified	367.9355754042
UniRef50_K8AXY2: Titin	367.4094882330
UniRef50_K8AXY2: Titin|unclassified	367.4094882330
UniRef50_R0LT06: Primosomal protein DnaI	364.4378186904
UniRef50_R0LT06: Primosomal protein DnaI|unclassified	364.4378186904
UniRef50_Q8K9S3: DNA polymerase III subunit alpha	363.9209168816
UniRef50_Q8K9S3: DNA polymerase III subunit alpha|unclassified	363.9209168816
UniRef50_UPI0003676335: hypothetical protein	363.2682891092
UniRef50_UPI0003676335: hypothetical protein|unclassified	363.2682891092
UniRef50_Q7UPG4: Holliday junction ATP-dependent DNA helicase RuvB	359.6595672359
UniRef50_Q7UPG4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	359.6595672359
UniRef50_Q87EY0: DNA polymerase III subunit alpha	359.3024315035
UniRef50_Q87EY0: DNA polymerase III subunit alpha|unclassified	359.3024315035
UniRef50_U2FHA2	359.2598988029
UniRef50_U2FHA2|unclassified	359.2598988029
UniRef50_Q483C5: Holliday junction ATP-dependent DNA helicase RuvA	356.9566998538
UniRef50_Q483C5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	356.9566998538
UniRef50_UPI0003B4BDD5: DNA polymerase III subunit chi	356.3748176267
UniRef50_UPI0003B4BDD5: DNA polymerase III subunit chi|unclassified	356.3748176267
UniRef50_UPI000382632C: hypothetical protein	355.7561172296
UniRef50_UPI000382632C: hypothetical protein|unclassified	355.7561172296
UniRef50_UPI000289499A: DNA polymerase III subunit alpha, partial	353.6748937974
UniRef50_UPI000289499A: DNA polymerase III subunit alpha, partial|unclassified	353.6748937974
UniRef50_UPI0004726CDF: DNA polymerase III subunit alpha, partial	353.1022071833
UniRef50_UPI0004726CDF: DNA polymerase III subunit alpha, partial|unclassified	353.1022071833
UniRef50_F9PBH6: DNA primase	352.4420614354
UniRef50_F9PBH6: DNA primase|unclassified	352.4420614354
UniRef50_UPI0001911399: hypothetical protein, partial	352.0677002490
UniRef50_UPI0001911399: hypothetical protein, partial|unclassified	352.0677002490
UniRef50_B8GWS6: DNA polymerase III subunit alpha	351.5104080699
UniRef50_B8GWS6: DNA polymerase III subunit alpha|unclassified	351.5104080699
UniRef50_UPI0004650D81: DNA polymerase III subunit alpha	350.7902016286
UniRef50_UPI0004650D81: DNA polymerase III subunit alpha|unclassified	350.7902016286
UniRef50_A1AJP3	348.3379887650
UniRef50_A1AJP3|unclassified	348.3379887650
UniRef50_UPI000426ED6A: primosomal protein DnaI	345.5706743523
UniRef50_UPI000426ED6A: primosomal protein DnaI|unclassified	345.5706743523
UniRef50_D0JFB2: DNA primase	340.9653249551
UniRef50_D0JFB2: DNA primase|unclassified	340.9653249551
UniRef50_UPI00046CE6AD: hypothetical protein	336.8299958603
UniRef50_UPI00046CE6AD: hypothetical protein|unclassified	336.8299958603
UniRef50_UPI000465DA4A: DNA polymerase III subunit delta'', partial	336.7810585843
UniRef50_UPI000465DA4A: DNA polymerase III subunit delta'', partial|unclassified	336.7810585843
UniRef50_UPI000371F124: primosome assembly protein PriA	331.0224734833
UniRef50_UPI000371F124: primosome assembly protein PriA|unclassified	331.0224734833
UniRef50_UPI00036CFDE4: hypothetical protein	328.3771827819
UniRef50_UPI00036CFDE4: hypothetical protein|unclassified	328.3771827819
UniRef50_UPI0003606BDF: hypothetical protein	328.1891270029
UniRef50_UPI0003606BDF: hypothetical protein|unclassified	328.1891270029
UniRef50_T0YXI9: DNA polymerase III holoenzyme alpha subunit (Fragment)	328.0028781418
UniRef50_T0YXI9: DNA polymerase III holoenzyme alpha subunit (Fragment)|unclassified	328.0028781418
UniRef50_UPI00004C2765: COG0587: DNA polymerase III, alpha subunit, partial	327.8708968765
UniRef50_UPI00004C2765: COG0587: DNA polymerase III, alpha subunit, partial|unclassified	327.8708968765
UniRef50_Q11T17: Crossover junction endodeoxyribonuclease RuvC	326.2949829345
UniRef50_Q11T17: Crossover junction endodeoxyribonuclease RuvC|unclassified	326.2949829345
UniRef50_UPI000315F4DB: DNA polymerase III subunit epsilon	323.3562586023
UniRef50_UPI000315F4DB: DNA polymerase III subunit epsilon|unclassified	323.3562586023
UniRef50_A3PFA5: Holliday junction ATP-dependent DNA helicase RuvB	319.6345756931
UniRef50_A3PFA5: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	319.6345756931
UniRef50_UPI000464CB60: ATP-dependent DNA helicase RuvA	316.9165302527
UniRef50_UPI000464CB60: ATP-dependent DNA helicase RuvA|unclassified	316.9165302527
UniRef50_Q89AN3: DNA polymerase III subunit epsilon	316.7826859732
UniRef50_Q89AN3: DNA polymerase III subunit epsilon|unclassified	316.7826859732
UniRef50_L8DVW7: Primosomal protein DnaI	316.0691585309
UniRef50_L8DVW7: Primosomal protein DnaI|unclassified	316.0691585309
UniRef50_UPI00025565AA: DNA helicase	313.9519560030
UniRef50_UPI00025565AA: DNA helicase|unclassified	313.9519560030
UniRef50_UPI00024917CD: primosomal protein DnaI	312.3307222283
UniRef50_UPI00024917CD: primosomal protein DnaI|unclassified	312.3307222283
UniRef50_UPI0004744464: hypothetical protein	312.2230764249
UniRef50_UPI0004744464: hypothetical protein|unclassified	312.2230764249
UniRef50_Q5X5S0: Crossover junction endodeoxyribonuclease RuvC	311.5646681349
UniRef50_Q5X5S0: Crossover junction endodeoxyribonuclease RuvC|unclassified	311.5646681349
UniRef50_UPI00037CC256: hypothetical protein	311.4841652903
UniRef50_UPI00037CC256: hypothetical protein|unclassified	311.4841652903
UniRef50_UPI00047C0359: hypothetical protein	310.7161445902
UniRef50_UPI00047C0359: hypothetical protein|unclassified	310.7161445902
UniRef50_H4P217	307.3297931302
UniRef50_H4P217|unclassified	307.3297931302
UniRef50_R0FCI2: Primosome assembly protein PriA (Fragment)	306.3658120173
UniRef50_R0FCI2: Primosome assembly protein PriA (Fragment)|unclassified	306.3658120173
UniRef50_W7WVW4	306.0616378960
UniRef50_W7WVW4|unclassified	306.0616378960
UniRef50_UPI00036ACC50: DNA primase	305.8118084039
UniRef50_UPI00036ACC50: DNA primase|unclassified	305.8118084039
UniRef50_Q1RI04: Replicative DNA helicase	305.3200416604
UniRef50_Q1RI04: Replicative DNA helicase|unclassified	305.3200416604
UniRef50_UPI000474FA7E: hypothetical protein	303.6201900694
UniRef50_UPI000474FA7E: hypothetical protein|unclassified	303.6201900694
UniRef50_W7JFW8	303.6106911183
UniRef50_W7JFW8|unclassified	303.6106911183
UniRef50_R5KVP7	303.4197437640
UniRef50_R5KVP7|unclassified	303.4197437640
UniRef50_A6B9U0: Primosome assembly protein PriA	303.0069464198
UniRef50_A6B9U0: Primosome assembly protein PriA|unclassified	303.0069464198
UniRef50_UPI000468C74C: DNA polymerase III PolC	302.8739654168
UniRef50_UPI000468C74C: DNA polymerase III PolC|unclassified	302.8739654168
UniRef50_W1WAW8: Primosome assembly protein PriA (Fragment)	302.6725001572
UniRef50_W1WAW8: Primosome assembly protein PriA (Fragment)|unclassified	302.6725001572
UniRef50_A5M5W4: Primosomal protein DnaI	302.0216762345
UniRef50_A5M5W4: Primosomal protein DnaI|unclassified	302.0216762345
UniRef50_B1AI05: DNA polymerase III delta subunit	301.0833095650
UniRef50_B1AI05: DNA polymerase III delta subunit|unclassified	301.0833095650
UniRef50_UPI0004705BD7: primosomal protein DnaI	300.6985236188
UniRef50_UPI0004705BD7: primosomal protein DnaI|unclassified	300.6985236188
UniRef50_UPI00029A31C5: DNA polymerase III subunit delta, partial	300.5384607155
UniRef50_UPI00029A31C5: DNA polymerase III subunit delta, partial|unclassified	300.5384607155
UniRef50_B3E789: Crossover junction endodeoxyribonuclease RuvC	299.6447797951
UniRef50_B3E789: Crossover junction endodeoxyribonuclease RuvC|unclassified	299.6447797951
UniRef50_H4NLY1: Chromosome replication, initiation and chain elongation protein	297.8565205290
UniRef50_H4NLY1: Chromosome replication, initiation and chain elongation protein|unclassified	297.8565205290
UniRef50_D4ZAA1: Primosomal replication protein n, putative	297.5912827078
UniRef50_D4ZAA1: Primosomal replication protein n, putative|unclassified	297.5912827078
UniRef50_Q9PPZ6: DNA primase	297.4940903837
UniRef50_Q9PPZ6: DNA primase|unclassified	297.4940903837
UniRef50_UPI00036C2EFF: DNA helicase, partial	295.3808626341
UniRef50_UPI00036C2EFF: DNA helicase, partial|unclassified	295.3808626341
UniRef50_UPI000374DF31: hypothetical protein	294.8098779293
UniRef50_UPI000374DF31: hypothetical protein|unclassified	294.8098779293
UniRef50_Q1LTF2: Holliday junction ATP-dependent DNA helicase RuvA	294.6755411611
UniRef50_Q1LTF2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	294.6755411611
UniRef50_B1AJ89: Holliday junction ATP-dependent DNA helicase RuvB	292.8140875178
UniRef50_B1AJ89: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	292.8140875178
UniRef50_B1AJ90: Holliday junction ATP-dependent DNA helicase RuvA	287.9182387624
UniRef50_B1AJ90: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	287.9182387624
UniRef50_X2ME08	286.7316961989
UniRef50_X2ME08|unclassified	286.7316961989
UniRef50_UPI00037BC365: hypothetical protein	284.4039957386
UniRef50_UPI00037BC365: hypothetical protein|unclassified	284.4039957386
UniRef50_Q609L1: Holliday junction ATP-dependent DNA helicase RuvA	282.5026288174
UniRef50_Q609L1: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	282.5026288174
UniRef50_B8XXW0: DNA primase (Fragment)	281.8047200798
UniRef50_B8XXW0: DNA primase (Fragment)|unclassified	281.8047200798
UniRef50_UPI0003738A59: hypothetical protein	281.2815224267
UniRef50_UPI0003738A59: hypothetical protein|unclassified	281.2815224267
UniRef50_UPI000469D67A: primosomal protein DnaI	280.8049267261
UniRef50_UPI000469D67A: primosomal protein DnaI|unclassified	280.8049267261
UniRef50_UPI000370BDCF: hypothetical protein	280.0165642114
UniRef50_UPI000370BDCF: hypothetical protein|unclassified	280.0165642114
UniRef50_UPI000479A804: hypothetical protein, partial	274.0375750859
UniRef50_UPI000479A804: hypothetical protein, partial|unclassified	274.0375750859
UniRef50_UPI0003FD763F: hypothetical protein	273.5387198365
UniRef50_UPI0003FD763F: hypothetical protein|unclassified	273.5387198365
UniRef50_P27903: DNA polymerase III subunit beta	269.7454590541
UniRef50_P27903: DNA polymerase III subunit beta|unclassified	269.7454590541
UniRef50_UPI00046F0581: hypothetical protein	269.6049805636
UniRef50_UPI00046F0581: hypothetical protein|unclassified	269.6049805636
UniRef50_Q6ABX1: Replicative DNA helicase	268.6261789528
UniRef50_Q6ABX1: Replicative DNA helicase|unclassified	268.6261789528
UniRef50_B5ZBB5	268.4532165358
UniRef50_B5ZBB5|unclassified	268.4532165358
UniRef50_Q92M91: Holliday junction ATP-dependent DNA helicase RuvA	266.5229853653
UniRef50_Q92M91: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	266.5229853653
UniRef50_UPI000463292C: DNA replication terminus site-binding protein	266.2872921754
