# Gene Family	SampleAmmonia_assimilation_Abundance-RPKs
UniRef50_N2RDZ5: Pyridine nucleotide-disulfide oxidoreductase family protein|unclassified	1236.8309614340
UniRef50_P9WN18: Glutamate synthase [NADPH] small chain	1232.7947995828
UniRef50_P9WN18: Glutamate synthase [NADPH] small chain|unclassified	1232.7947995828
UniRef50_K8AXC3	1209.2522704753
UniRef50_K8AXC3|unclassified	1209.2522704753
UniRef50_UPI000467A336: glutamate synthase, partial	1188.4994714050
UniRef50_UPI000467A336: glutamate synthase, partial|unclassified	1188.4994714050
UniRef50_L0ZZR3	1179.3863561162
UniRef50_L0ZZR3|unclassified	1179.3863561162
UniRef50_UPI0004660560: membrane protein, partial	1173.1108624324
UniRef50_UPI0004660560: membrane protein, partial|unclassified	1173.1108624324
UniRef50_UPI0003656724: hypothetical protein, partial	1131.5289669839
UniRef50_UPI0003656724: hypothetical protein, partial|unclassified	1131.5289669839
UniRef50_UPI00037CAA58: hypothetical protein	1124.6895434498
UniRef50_UPI00037CAA58: hypothetical protein|unclassified	1124.6895434498
UniRef50_O34399: Glutamate synthase [NADPH] small chain	1123.8929712690
UniRef50_O34399: Glutamate synthase [NADPH] small chain|unclassified	1123.8929712690
UniRef50_B6I424: Glutamate-ammonia-ligase adenylyltransferase	1102.4188596669
UniRef50_B6I424: Glutamate-ammonia-ligase adenylyltransferase|unclassified	1102.4188596669
UniRef50_UPI0003756D2D: hypothetical protein, partial	1099.5265861072
UniRef50_UPI0003756D2D: hypothetical protein, partial|unclassified	1099.5265861072
UniRef50_UPI00047168DF: hypothetical protein, partial	1050.8621608390
UniRef50_UPI00047168DF: hypothetical protein, partial|unclassified	1050.8621608390
UniRef50_UPI00016A626E: Rh-like protein/ammonium transporter, partial	1049.2411944613
UniRef50_UPI00016A626E: Rh-like protein/ammonium transporter, partial|unclassified	1049.2411944613
UniRef50_Z5XDL4: Glutamate synthase	992.2814780135
UniRef50_Z5XDL4: Glutamate synthase|unclassified	992.2814780135
UniRef50_W7WZX8	989.7430453091
UniRef50_W7WZX8|unclassified	989.7430453091
UniRef50_W7PXP7	953.2088255775
UniRef50_W7PXP7|unclassified	953.2088255775
UniRef50_O87390: Glutamine amidotransferase-like protein GlxB	917.6678356358
UniRef50_O87390: Glutamine amidotransferase-like protein GlxB|unclassified	917.6678356358
UniRef50_UPI0003791ACA: hypothetical protein, partial	908.8958785185
UniRef50_UPI0003791ACA: hypothetical protein, partial|unclassified	908.8958785185
UniRef50_UPI0003C154AA: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like	899.4432560167
UniRef50_UPI0003C154AA: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like|unclassified	899.4432560167
UniRef50_P55037: Ferredoxin-dependent glutamate synthase 1	897.0657934026
UniRef50_P55037: Ferredoxin-dependent glutamate synthase 1|unclassified	897.0657934026
UniRef50_UPI000288DACB: nitrogen regulatory protein P-II	880.3484681907
UniRef50_UPI000288DACB: nitrogen regulatory protein P-II|unclassified	880.3484681907
UniRef50_Q05756: Glutamate synthase [NADPH] small chain	860.8420636863
UniRef50_Q05756: Glutamate synthase [NADPH] small chain|unclassified	860.8420636863
UniRef50_W1E0B9	859.9404904408
UniRef50_W1E0B9|unclassified	859.9404904408
UniRef50_UPI00046F8172: hypothetical protein, partial	859.1357575672
UniRef50_UPI00046F8172: hypothetical protein, partial|unclassified	859.1357575672
UniRef50_UPI000348C76A: hypothetical protein	852.8257603719
UniRef50_UPI000348C76A: hypothetical protein|unclassified	852.8257603719
UniRef50_P39812: Glutamate synthase [NADPH] large chain	845.5244408136
UniRef50_P39812: Glutamate synthase [NADPH] large chain|unclassified	845.5244408136
UniRef50_UPI000466FB72: nitrogen regulation protein NR(I)	836.7428928187
UniRef50_UPI000466FB72: nitrogen regulation protein NR(I)|unclassified	836.7428928187
UniRef50_UPI0002628B6A: putative ammonium transporter, marine subtype, partial	836.1501906723
UniRef50_UPI0002628B6A: putative ammonium transporter, marine subtype, partial|unclassified	836.1501906723
UniRef50_UPI00016A3B06: nitrogen metabolism transcriptional regulator, NtrC, Fis Family, partial	820.5974029688
UniRef50_UPI00016A3B06: nitrogen metabolism transcriptional regulator, NtrC, Fis Family, partial|unclassified	820.5974029688
UniRef50_UPI000425D472: glutamate synthase	798.4094241565
UniRef50_UPI000425D472: glutamate synthase|unclassified	798.4094241565
UniRef50_I6ZBP2: Putative ammonia channel	782.1651125668
UniRef50_I6ZBP2: Putative ammonia channel|unclassified	782.1651125668
UniRef50_UPI00016C40E6: nitrogen regulatory protein P-II	775.8911109027
UniRef50_UPI00016C40E6: nitrogen regulatory protein P-II|unclassified	775.8911109027
UniRef50_X8CMT1: Putative glutamate synthase small subunit	760.0836084805
UniRef50_X8CMT1: Putative glutamate synthase small subunit|unclassified	760.0836084805
UniRef50_UPI0004702F53: hypothetical protein, partial	756.8033358459
UniRef50_UPI0004702F53: hypothetical protein, partial|unclassified	756.8033358459
UniRef50_W1EKI0	738.1368668970
UniRef50_W1EKI0|unclassified	738.1368668970
UniRef50_Q0ZRZ1: NtcA (Fragment)	709.8404965898
UniRef50_Q0ZRZ1: NtcA (Fragment)|unclassified	709.8404965898
UniRef50_UPI000362BC5D: hypothetical protein	708.2902435360
UniRef50_UPI000362BC5D: hypothetical protein|unclassified	708.2902435360
UniRef50_K1YBX6	702.5509667293
UniRef50_K1YBX6|unclassified	702.5509667293
UniRef50_R5W8L9	692.4162461738
UniRef50_R5W8L9|unclassified	692.4162461738
UniRef50_UPI0002556519: ammonium transporter, partial	692.1004558193
UniRef50_UPI0002556519: ammonium transporter, partial|unclassified	692.1004558193
UniRef50_R5PGB0	689.9154230832
UniRef50_R5PGB0|unclassified	689.9154230832
UniRef50_UPI00046F6433: hypothetical protein	688.0618807648
UniRef50_UPI00046F6433: hypothetical protein|unclassified	688.0618807648
UniRef50_UPI00046F7D21: hypothetical protein	686.6745281336
UniRef50_UPI00046F7D21: hypothetical protein|unclassified	686.6745281336
UniRef50_UPI0001911719: hypothetical protein, partial	680.7310678354
UniRef50_UPI0001911719: hypothetical protein, partial|unclassified	680.7310678354
UniRef50_UPI0003B4BDBC: ammonia channel protein, partial	675.9966844207
UniRef50_UPI0003B4BDBC: ammonia channel protein, partial|unclassified	675.9966844207
UniRef50_O29309: Archaeal glutamate synthase [NADPH]	647.5463877145
UniRef50_O29309: Archaeal glutamate synthase [NADPH]|unclassified	647.5463877145
UniRef50_UPI000471D4BC: hypothetical protein, partial	646.3432248298
UniRef50_UPI000471D4BC: hypothetical protein, partial|unclassified	646.3432248298
UniRef50_UPI00046FABE6: hypothetical protein	638.1318971451
UniRef50_UPI00046FABE6: hypothetical protein|unclassified	638.1318971451
UniRef50_UPI00037AB640: hypothetical protein	619.8943917765
UniRef50_UPI00037AB640: hypothetical protein|unclassified	619.8943917765
UniRef50_UPI0001B4466A: glutamate synthase (large subunit), partial	616.5979495849
UniRef50_UPI0001B4466A: glutamate synthase (large subunit), partial|unclassified	616.5979495849
UniRef50_P19906: Nitrogen regulation protein NtrB	603.4113652988
UniRef50_P19906: Nitrogen regulation protein NtrB|unclassified	603.4113652988
UniRef50_UPI00035FC660: hypothetical protein	593.5591552190
UniRef50_UPI00035FC660: hypothetical protein|unclassified	593.5591552190
UniRef50_A0A011QAJ1: Nitrogen assimilation regulatory protein	590.5414128114
UniRef50_A0A011QAJ1: Nitrogen assimilation regulatory protein|unclassified	590.5414128114
UniRef50_D4JCQ4	588.8153789091
UniRef50_D4JCQ4|unclassified	588.8153789091
UniRef50_UPI00046F9602: hypothetical protein	588.3426600847
UniRef50_UPI00046F9602: hypothetical protein|unclassified	588.3426600847
UniRef50_K2EJD3	579.3723231086
UniRef50_K2EJD3|unclassified	579.3723231086
UniRef50_UPI00036F1361: hypothetical protein, partial	578.2334457968
UniRef50_UPI00036F1361: hypothetical protein, partial|unclassified	578.2334457968
UniRef50_UPI000288AD03: glutamate synthase subunit alpha	576.7392231224
UniRef50_UPI000288AD03: glutamate synthase subunit alpha|unclassified	576.7392231224
UniRef50_K2AWN0	574.5243318340
UniRef50_K2AWN0|unclassified	574.5243318340
UniRef50_W1YQ62	564.2154786663
UniRef50_W1YQ62|unclassified	564.2154786663
UniRef50_UPI000309370C: hypothetical protein	557.3994363167
UniRef50_UPI000309370C: hypothetical protein|unclassified	557.3994363167
UniRef50_Q3JMX2	555.8134878751
UniRef50_Q3JMX2|unclassified	555.8134878751
UniRef50_X1ABS4: Marine sediment metagenome DNA, contig: S01H4_C04174 (Fragment)	555.5028689950
UniRef50_X1ABS4: Marine sediment metagenome DNA, contig: S01H4_C04174 (Fragment)|unclassified	555.5028689950
UniRef50_Q8FK99	543.1284069370
UniRef50_Q8FK99|unclassified	543.1284069370
UniRef50_UPI00047D3079: protein-PII uridylyltransferase, partial	539.0945116518
UniRef50_UPI00047D3079: protein-PII uridylyltransferase, partial|unclassified	539.0945116518
UniRef50_T0Y5Z3: Glutamate synthase subunit beta (Fragment)	536.6240659583
UniRef50_T0Y5Z3: Glutamate synthase subunit beta (Fragment)|unclassified	536.6240659583
UniRef50_Q05755: Glutamate synthase [NADPH] large chain	533.0915590248
UniRef50_Q05755: Glutamate synthase [NADPH] large chain|unclassified	533.0915590248
UniRef50_UPI00016A69C6: hypothetical protein	533.0303153092
UniRef50_UPI00016A69C6: hypothetical protein|unclassified	533.0303153092
UniRef50_G5MDT4	526.4107252943
UniRef50_G5MDT4|unclassified	526.4107252943
UniRef50_UPI00036AE92B: hypothetical protein	521.7053325257
UniRef50_UPI00036AE92B: hypothetical protein|unclassified	521.7053325257
UniRef50_R7HV20: Glutamate synthase NADH/NADPH small subunit	521.1081232890
UniRef50_R7HV20: Glutamate synthase NADH/NADPH small subunit|unclassified	521.1081232890
UniRef50_UPI0002F46275: hypothetical protein	520.9460816516
UniRef50_UPI0002F46275: hypothetical protein|unclassified	520.9460816516
UniRef50_Q7MNY4: Glutamate-ammonia-ligase adenylyltransferase	514.9327890387
UniRef50_Q7MNY4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	514.9327890387
UniRef50_UPI00046E67B2: hypothetical protein	513.7876670255
UniRef50_UPI00046E67B2: hypothetical protein|unclassified	513.7876670255
UniRef50_W1XKD2: Glutamate synthase [NADPH] large chain (Fragment)	504.4928495212
UniRef50_W1XKD2: Glutamate synthase [NADPH] large chain (Fragment)|unclassified	504.4928495212
UniRef50_X8BKF1: Putative glutamate synthase, small subunit	502.7028392137
UniRef50_X8BKF1: Putative glutamate synthase, small subunit|unclassified	502.7028392137
UniRef50_X8BIL7: Pyridine nucleotide-disulfide oxidoreductase family protein	494.9253478277
UniRef50_X8BIL7: Pyridine nucleotide-disulfide oxidoreductase family protein|unclassified	494.9253478277
UniRef50_B8F8A2	487.1653889413
UniRef50_B8F8A2|unclassified	487.1653889413
UniRef50_UPI000377B971: hypothetical protein	487.1364604073
UniRef50_UPI000377B971: hypothetical protein|unclassified	487.1364604073
UniRef50_UPI0004742FA0: ammonium transporter, partial	485.1776386845
UniRef50_UPI0004742FA0: ammonium transporter, partial|unclassified	485.1776386845
UniRef50_UPI00037C5BF9: hypothetical protein	484.2033494393
UniRef50_UPI00037C5BF9: hypothetical protein|unclassified	484.2033494393
UniRef50_UPI00036CBCB1: hypothetical protein, partial	483.9204417952
UniRef50_UPI00036CBCB1: hypothetical protein, partial|unclassified	483.9204417952
UniRef50_R5KV47	477.3256549444
UniRef50_R5KV47|unclassified	477.3256549444
UniRef50_UPI00046E5437: hypothetical protein	475.7185654298
UniRef50_UPI00046E5437: hypothetical protein|unclassified	475.7185654298
UniRef50_UPI000362D518: hypothetical protein	474.9841789480
UniRef50_UPI000362D518: hypothetical protein|unclassified	474.9841789480
UniRef50_A0A011MHR3: Glutamate synthase [NADPH] large chain	474.2059241483
UniRef50_A0A011MHR3: Glutamate synthase [NADPH] large chain|unclassified	474.2059241483
UniRef50_E7C7E2: NADPH-dependent glutamate synthase beta chain and related oxidoreductases	471.3179684035
UniRef50_E7C7E2: NADPH-dependent glutamate synthase beta chain and related oxidoreductases|unclassified	471.3179684035
UniRef50_UPI000367B65C: hypothetical protein	471.0950803691
UniRef50_UPI000367B65C: hypothetical protein|unclassified	471.0950803691
UniRef50_Q9LV03: Glutamate synthase 1 [NADH], chloroplastic	470.7666301442
UniRef50_Q9LV03: Glutamate synthase 1 [NADH], chloroplastic|unclassified	470.7666301442
UniRef50_UPI00047DA42E: glutamate synthase	466.3858593592
UniRef50_UPI00047DA42E: glutamate synthase|unclassified	466.3858593592
UniRef50_Q8EGH8: Bifunctional uridylyltransferase/uridylyl-removing enzyme	466.0966805465
UniRef50_Q8EGH8: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	466.0966805465
UniRef50_UPI000473521A: glutamate synthase, partial	463.5857350611
UniRef50_UPI000473521A: glutamate synthase, partial|unclassified	463.5857350611
UniRef50_Q0JKD0: Glutamate synthase 1 [NADH], chloroplastic	460.4389501390
UniRef50_Q0JKD0: Glutamate synthase 1 [NADH], chloroplastic|unclassified	460.4389501390
UniRef50_K2EE04	458.1039220712
UniRef50_K2EE04|unclassified	458.1039220712
UniRef50_Z5XEX7	455.1946764370
UniRef50_Z5XEX7|unclassified	455.1946764370
UniRef50_Q6LUZ6: Glutamate-ammonia-ligase adenylyltransferase	454.4688030623
UniRef50_Q6LUZ6: Glutamate-ammonia-ligase adenylyltransferase|unclassified	454.4688030623
UniRef50_Q5AAQ3	452.8275513695
UniRef50_Q5AAQ3|unclassified	452.8275513695
UniRef50_UPI00037365A3: hypothetical protein, partial	450.6006994974
UniRef50_UPI00037365A3: hypothetical protein, partial|unclassified	450.6006994974
UniRef50_T1ADY5: Glutamate synthase subunit beta (Fragment)	441.9429327187
UniRef50_T1ADY5: Glutamate synthase subunit beta (Fragment)|unclassified	441.9429327187
UniRef50_J5KC73: Glutamate synthase, small subunit	441.5384723089
UniRef50_J5KC73: Glutamate synthase, small subunit|unclassified	441.5384723089
UniRef50_UPI0004724D89: hypothetical protein	437.8745750591
UniRef50_UPI0004724D89: hypothetical protein|unclassified	437.8745750591
UniRef50_UPI000471ED09: hypothetical protein, partial	433.0233803484
UniRef50_UPI000471ED09: hypothetical protein, partial|unclassified	433.0233803484
UniRef50_UPI00036D9B8C: hypothetical protein, partial	429.2637850780
UniRef50_UPI00036D9B8C: hypothetical protein, partial|unclassified	429.2637850780
UniRef50_C0AUG4	428.2359479003
UniRef50_C0AUG4|unclassified	428.2359479003
UniRef50_A9MM08	425.5622450535
UniRef50_A9MM08|unclassified	425.5622450535
UniRef50_Q0DG35: Glutamate synthase 2 [NADH], chloroplastic	425.1514930797
UniRef50_Q0DG35: Glutamate synthase 2 [NADH], chloroplastic|unclassified	425.1514930797
UniRef50_UPI00036EB648: hypothetical protein	419.0115538930
UniRef50_UPI00036EB648: hypothetical protein|unclassified	419.0115538930
UniRef50_UPI000470949F: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase, partial	415.9095189302
UniRef50_UPI000470949F: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase, partial|unclassified	415.9095189302
UniRef50_UPI000262634A: dihydropyrimidine dehydrogenase subunit A	412.4248364871
UniRef50_UPI000262634A: dihydropyrimidine dehydrogenase subunit A|unclassified	412.4248364871
UniRef50_UPI0003B3647A: hypothetical protein	411.7786963840
UniRef50_UPI0003B3647A: hypothetical protein|unclassified	411.7786963840
UniRef50_UPI000474D650: hypothetical protein, partial	409.1516362849
UniRef50_UPI000474D650: hypothetical protein, partial|unclassified	409.1516362849
UniRef50_Q3JMX4	408.8839590864
UniRef50_Q3JMX4|unclassified	408.8839590864
UniRef50_Q470D5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	407.9536881852
UniRef50_Q470D5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	407.9536881852
UniRef50_UPI000469C1A7: glutamate synthase	405.8729217169
UniRef50_UPI000469C1A7: glutamate synthase|unclassified	405.8729217169
UniRef50_Q4MQM9	404.5181948741
UniRef50_Q4MQM9|unclassified	404.5181948741
UniRef50_R5IMN8	403.8620265823
UniRef50_R5IMN8|unclassified	403.8620265823
UniRef50_UPI000470D606: hypothetical protein	396.7925596426
UniRef50_UPI000470D606: hypothetical protein|unclassified	396.7925596426
UniRef50_E2NSK7	396.3254654494
UniRef50_E2NSK7|unclassified	396.3254654494
UniRef50_UPI00016B0688: hypothetical protein	396.0029390011
UniRef50_UPI00016B0688: hypothetical protein|unclassified	396.0029390011
UniRef50_UPI0002001A3D: hypothetical protein	390.2875879482
UniRef50_UPI0002001A3D: hypothetical protein|unclassified	390.2875879482
UniRef50_H9K0F1	388.5042590188
UniRef50_H9K0F1|unclassified	388.5042590188
UniRef50_A5U6S3: Bifunctional uridylyltransferase/uridylyl-removing enzyme	387.8662116721
UniRef50_A5U6S3: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	387.8662116721
UniRef50_W1XVP9: Glutamate synthase, homotetrameric (Fragment)	384.7791806662
UniRef50_W1XVP9: Glutamate synthase, homotetrameric (Fragment)|unclassified	384.7791806662
UniRef50_UPI0004718487: hypothetical protein	383.4622838542
UniRef50_UPI0004718487: hypothetical protein|unclassified	383.4622838542
UniRef50_UPI00047ADA77: hypothetical protein, partial	382.6472427193
UniRef50_UPI00047ADA77: hypothetical protein, partial|unclassified	382.6472427193
UniRef50_UPI00025560C0: dihydropyrimidine dehydrogenase subunit A	380.2625808866
UniRef50_UPI00025560C0: dihydropyrimidine dehydrogenase subunit A|unclassified	380.2625808866
UniRef50_X0VSD6: Marine sediment metagenome DNA, contig: S01H1_S23985 (Fragment)	379.5107416761
UniRef50_X0VSD6: Marine sediment metagenome DNA, contig: S01H1_S23985 (Fragment)|unclassified	379.5107416761
UniRef50_T1CMT1: Glutamate synthase subunit beta	377.0834493368
UniRef50_T1CMT1: Glutamate synthase subunit beta|unclassified	377.0834493368
UniRef50_UPI0001EA98AB: glutamate synthase	374.3172484439
UniRef50_UPI0001EA98AB: glutamate synthase|unclassified	374.3172484439
UniRef50_UPI0003713290: hypothetical protein, partial	373.5135902631
UniRef50_UPI0003713290: hypothetical protein, partial|unclassified	373.5135902631
UniRef50_Q9CBT4: Glutamate-ammonia-ligase adenylyltransferase	372.4814580249
UniRef50_Q9CBT4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	372.4814580249
UniRef50_UPI00047D5805: hypothetical protein	372.4186140916
UniRef50_UPI00047D5805: hypothetical protein|unclassified	372.4186140916
UniRef50_UPI00046E6FDB: hypothetical protein, partial	368.0446125287
UniRef50_UPI00046E6FDB: hypothetical protein, partial|unclassified	368.0446125287
UniRef50_UPI0004737177: hypothetical protein, partial	365.8497631426
UniRef50_UPI0004737177: hypothetical protein, partial|unclassified	365.8497631426
UniRef50_UPI0003B6FF73: hypothetical protein	365.0844898329
UniRef50_UPI0003B6FF73: hypothetical protein|unclassified	365.0844898329
UniRef50_E7C7E0	360.8806258223
UniRef50_E7C7E0|unclassified	360.8806258223
UniRef50_UPI000255651A: ammonium transporter, partial	357.5343237378
UniRef50_UPI000255651A: ammonium transporter, partial|unclassified	357.5343237378
UniRef50_N8TJS9	356.6924542426
UniRef50_N8TJS9|unclassified	356.6924542426
UniRef50_W7XAA3	349.5611717601
UniRef50_W7XAA3|unclassified	349.5611717601
UniRef50_W7X7S7	346.5037746093
UniRef50_W7X7S7|unclassified	346.5037746093
UniRef50_A6U5G1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	340.9531743466
UniRef50_A6U5G1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	340.9531743466
UniRef50_Q87VD5: Glutamate-ammonia-ligase adenylyltransferase	339.0241015372
UniRef50_Q87VD5: Glutamate-ammonia-ligase adenylyltransferase|unclassified	339.0241015372
UniRef50_Q12680: Glutamate synthase [NADH]	338.0297862174
UniRef50_Q12680: Glutamate synthase [NADH]|unclassified	338.0297862174
UniRef50_Q9T0P4: Ferredoxin-dependent glutamate synthase 2, chloroplastic	333.0473218252
UniRef50_Q9T0P4: Ferredoxin-dependent glutamate synthase 2, chloroplastic|unclassified	333.0473218252
UniRef50_R4MEH2	329.6786027007
UniRef50_R4MEH2|unclassified	329.6786027007
UniRef50_UPI000373DE43: MULTISPECIES: hypothetical protein	327.5323974057
UniRef50_UPI000373DE43: MULTISPECIES: hypothetical protein|unclassified	327.5323974057
UniRef50_UPI00037AD30F: hypothetical protein	326.0024023838
UniRef50_UPI00037AD30F: hypothetical protein|unclassified	326.0024023838
UniRef50_UPI0003700075: glutamine-synthetase adenylyltransferase	325.6010834236
UniRef50_UPI0003700075: glutamine-synthetase adenylyltransferase|unclassified	325.6010834236
UniRef50_UPI0003C1735E: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like	315.5697129939
UniRef50_UPI0003C1735E: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like|unclassified	315.5697129939
UniRef50_UPI0004779A57: hypothetical protein	315.2000729094
UniRef50_UPI0004779A57: hypothetical protein|unclassified	315.2000729094
UniRef50_UPI000427E2A8: MULTISPECIES: ATPase AAA	314.9868020488
UniRef50_UPI000427E2A8: MULTISPECIES: ATPase AAA|unclassified	314.9868020488
UniRef50_Q52977: Nitrogen regulation protein NtrB	314.4079142861
UniRef50_Q52977: Nitrogen regulation protein NtrB|unclassified	314.4079142861
UniRef50_Q89VX9: Bifunctional uridylyltransferase/uridylyl-removing enzyme	308.0901206501
UniRef50_Q89VX9: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	308.0901206501
UniRef50_UPI00031DCA0C: hypothetical protein	307.6239535045
UniRef50_UPI00031DCA0C: hypothetical protein|unclassified	307.6239535045
UniRef50_A0A024M7S5	307.5306145642
UniRef50_A0A024M7S5|unclassified	307.5306145642
UniRef50_K1RTB4: Glutamate synthase (NADPH), homotetrameric (Fragment)	305.1447460934
UniRef50_K1RTB4: Glutamate synthase (NADPH), homotetrameric (Fragment)|unclassified	305.1447460934
UniRef50_UPI0004707D65: hypothetical protein, partial	303.4405077016
UniRef50_UPI0004707D65: hypothetical protein, partial|unclassified	303.4405077016
UniRef50_UPI0003732932: hypothetical protein, partial	300.4730117554
UniRef50_UPI0003732932: hypothetical protein, partial|unclassified	300.4730117554
UniRef50_UPI00036C8D4E: hypothetical protein	297.0682264900
UniRef50_UPI00036C8D4E: hypothetical protein|unclassified	297.0682264900
UniRef50_A5D247	294.4124182971
UniRef50_A5D247|unclassified	294.4124182971
UniRef50_UPI0002E432AA: hypothetical protein	291.5026089799
UniRef50_UPI0002E432AA: hypothetical protein|unclassified	291.5026089799
UniRef50_UPI000464FF81: protein-PII uridylyltransferase	287.9042997155
UniRef50_UPI000464FF81: protein-PII uridylyltransferase|unclassified	287.9042997155
UniRef50_UPI0003058DAF: ammonium transporter	287.6479106316
UniRef50_UPI0003058DAF: ammonium transporter|unclassified	287.6479106316
UniRef50_K2AGL3	287.4930142692
UniRef50_K2AGL3|unclassified	287.4930142692
UniRef50_S9QQU4	285.9600842908
UniRef50_S9QQU4|unclassified	285.9600842908
UniRef50_UPI0003A24932: hypothetical protein	285.7534957726
UniRef50_UPI0003A24932: hypothetical protein|unclassified	285.7534957726
UniRef50_UPI00016C4489: ammonium transporter	284.8726620306
UniRef50_UPI00016C4489: ammonium transporter|unclassified	284.8726620306
UniRef50_Q3J5H6: Bifunctional uridylyltransferase/uridylyl-removing enzyme	284.5714334210
UniRef50_Q3J5H6: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	284.5714334210
UniRef50_UPI000468FB82: ATPase	283.6139907657
UniRef50_UPI000468FB82: ATPase|unclassified	283.6139907657
UniRef50_UPI00047656AD: hypothetical protein, partial	283.5509474953
UniRef50_UPI00047656AD: hypothetical protein, partial|unclassified	283.5509474953
UniRef50_UPI0004659959: hypothetical protein, partial	283.3147479074
UniRef50_UPI0004659959: hypothetical protein, partial|unclassified	283.3147479074
UniRef50_R4M3V6	282.6326749377
UniRef50_R4M3V6|unclassified	282.6326749377
UniRef50_UPI00047C314D: glutamate synthase	280.4534951941
UniRef50_UPI00047C314D: glutamate synthase|unclassified	280.4534951941
UniRef50_A3VHB4	274.7606162950
UniRef50_A3VHB4|unclassified	274.7606162950
UniRef50_UPI0002195761: ammonia permease	274.6692545308
UniRef50_UPI0002195761: ammonia permease|unclassified	274.6692545308
UniRef50_UPI00035F3528: hypothetical protein, partial	271.5164375257
UniRef50_UPI00035F3528: hypothetical protein, partial|unclassified	271.5164375257
UniRef50_Q886P5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	271.2199144970
UniRef50_Q886P5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	271.2199144970
UniRef50_T1BID2: Glutamate synthase, large subunit (Fragment)	269.5833631907
UniRef50_T1BID2: Glutamate synthase, large subunit (Fragment)|unclassified	269.5833631907
UniRef50_UPI00037EA2FB: hypothetical protein, partial	267.9960959288
UniRef50_UPI00037EA2FB: hypothetical protein, partial|unclassified	267.9960959288
