# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-CPM
UniRef50_Q71ZA3: Formamidopyrimidine-DNA glycosylase	2244.16
UniRef50_Q71ZA3: Formamidopyrimidine-DNA glycosylase|unclassified	2244.16
UniRef50_UPI00047260FA: hypothetical protein	2224.53
UniRef50_UPI00047260FA: hypothetical protein|unclassified	2224.53
UniRef50_UPI0002559C58: DNA polymerase II, partial	2216.27
UniRef50_UPI0002559C58: DNA polymerase II, partial|unclassified	2216.27
UniRef50_X4Z8E4: DHH family protein	2189
UniRef50_X4Z8E4: DHH family protein|unclassified	2189
UniRef50_UPI000365061B: hypothetical protein	2183.26
UniRef50_UPI000365061B: hypothetical protein|unclassified	2183.26
UniRef50_A8YTZ3: DNA ligase	2175.43
UniRef50_A8YTZ3: DNA ligase|unclassified	2175.43
UniRef50_UPI0004755214: hypothetical protein	2168.51
UniRef50_UPI0004755214: hypothetical protein|unclassified	2168.51
UniRef50_K0FBJ9: Ku protein	2166.63
UniRef50_K0FBJ9: Ku protein|unclassified	2166.63
UniRef50_A4VKN0: DNA ligase	2146.72
UniRef50_A4VKN0: DNA ligase|unclassified	2146.72
UniRef50_C4K4K4: DNA ligase	2128.87
UniRef50_C4K4K4: DNA ligase|unclassified	2128.87
UniRef50_G9Z1G6	2116.36
UniRef50_G9Z1G6|unclassified	2116.36
UniRef50_Q9WYK0: Endonuclease III	2104.62
UniRef50_Q9WYK0: Endonuclease III|unclassified	2104.62
UniRef50_UPI00036A0EC5: hypothetical protein, partial	2098.98
UniRef50_UPI00036A0EC5: hypothetical protein, partial|unclassified	2098.98
UniRef50_A0A011Q5C8: DNA polymerase I	2092.35
UniRef50_A0A011Q5C8: DNA polymerase I|unclassified	2092.35
UniRef50_Q833H5: Putative 3-methyladenine DNA glycosylase	2091.74
UniRef50_Q833H5: Putative 3-methyladenine DNA glycosylase|unclassified	2091.74
UniRef50_UPI0003EE06E2: hypothetical protein	2072.9
UniRef50_UPI0003EE06E2: hypothetical protein|unclassified	2072.9
UniRef50_UPI0003C1A3F3	2045.28
UniRef50_UPI0003C1A3F3|unclassified	2045.28
UniRef50_UPI00046FBB94: hypothetical protein, partial	2019.2
UniRef50_UPI00046FBB94: hypothetical protein, partial|unclassified	2019.2
UniRef50_UPI0003708F2A: hypothetical protein	1968.45
UniRef50_UPI0003708F2A: hypothetical protein|unclassified	1968.45
UniRef50_Q47FA0: DNA ligase	1954.6
UniRef50_Q47FA0: DNA ligase|unclassified	1954.6
UniRef50_X0YTC3: Marine sediment metagenome DNA, contig: S01H4_L03161 (Fragment)	1947.33
UniRef50_X0YTC3: Marine sediment metagenome DNA, contig: S01H4_L03161 (Fragment)|unclassified	1947.33
UniRef50_UPI0004689142: single-stranded DNA exonuclease	1916.53
UniRef50_UPI0004689142: single-stranded DNA exonuclease|unclassified	1916.53
UniRef50_UPI0003A20063: DNA-3-methyladenine glycosylase	1899.65
UniRef50_UPI0003A20063: DNA-3-methyladenine glycosylase|unclassified	1899.65
UniRef50_V6Z8L1: DNA polymerase LigD domain protein	1894.29
UniRef50_V6Z8L1: DNA polymerase LigD domain protein|unclassified	1894.29
UniRef50_W5XAQ0: Lrp family transcriptional regulator	1877.39
UniRef50_W5XAQ0: Lrp family transcriptional regulator|unclassified	1877.39
UniRef50_Q0VR01: DNA ligase	1874.9
UniRef50_Q0VR01: DNA ligase|unclassified	1874.9
UniRef50_C0Z7Z0: Formamidopyrimidine-DNA glycosylase	1872.12
UniRef50_C0Z7Z0: Formamidopyrimidine-DNA glycosylase|unclassified	1872.12
UniRef50_UPI0004679467: hypothetical protein, partial	1867.72
UniRef50_UPI0004679467: hypothetical protein, partial|unclassified	1867.72
UniRef50_Q3JAI1: DNA ligase	1839.89
UniRef50_Q3JAI1: DNA ligase|unclassified	1839.89
UniRef50_UPI00047CC49C: hypothetical protein	1818.1
UniRef50_UPI00047CC49C: hypothetical protein|unclassified	1818.1
UniRef50_A0A011QZB4: Formamidopyrimidine-DNA glycosylase	1813.13
UniRef50_A0A011QZB4: Formamidopyrimidine-DNA glycosylase|unclassified	1813.13
UniRef50_UPI0004633DEA: hypothetical protein, partial	1808.39
UniRef50_UPI0004633DEA: hypothetical protein, partial|unclassified	1808.39
UniRef50_UPI0002557B2C: exonuclease I	1797.74
UniRef50_UPI0002557B2C: exonuclease I|unclassified	1797.74
UniRef50_A8YWE6: Formamidopyrimidine-DNA glycosylase	1794.56
UniRef50_A8YWE6: Formamidopyrimidine-DNA glycosylase|unclassified	1794.56
UniRef50_UPI00029AF607: threonine dehydratase	1793.79
UniRef50_UPI00029AF607: threonine dehydratase|unclassified	1793.79
UniRef50_UPI000471ED9B: hypothetical protein	1791.28
UniRef50_UPI000471ED9B: hypothetical protein|unclassified	1791.28
UniRef50_UPI00036E6417: hypothetical protein	1789.95
UniRef50_UPI00036E6417: hypothetical protein|unclassified	1789.95
UniRef50_UPI000474EE11: hypothetical protein	1785.57
UniRef50_UPI000474EE11: hypothetical protein|unclassified	1785.57
UniRef50_UPI000466677F: single-stranded DNA exonuclease	1777.23
UniRef50_UPI000466677F: single-stranded DNA exonuclease|unclassified	1777.23
UniRef50_UPI0001B42677: hypothetical protein, partial	1760.61
UniRef50_UPI0001B42677: hypothetical protein, partial|unclassified	1760.61
UniRef50_UPI00047643D8: endonuclease III	1748.98
UniRef50_UPI00047643D8: endonuclease III|unclassified	1748.98
UniRef50_U1D474	1734.77
UniRef50_U1D474|unclassified	1734.77
UniRef50_UPI0003B51AD6: DNA-3-methyladenine glycosylase, partial	1673.21
UniRef50_UPI0003B51AD6: DNA-3-methyladenine glycosylase, partial|unclassified	1673.21
UniRef50_UPI0004770C2C: 3-methyladenine DNA glycosylase	1671.47
UniRef50_UPI0004770C2C: 3-methyladenine DNA glycosylase|unclassified	1671.47
UniRef50_A1IQR7: DNA ligase	1666.83
UniRef50_A1IQR7: DNA ligase|unclassified	1666.83
UniRef50_UPI0001851156: single-stranded-DNA-specific exonuclease	1656.42
UniRef50_UPI0001851156: single-stranded-DNA-specific exonuclease|unclassified	1656.42
UniRef50_B0VRV3: Formamidopyrimidine-DNA glycosylase	1652.85
UniRef50_B0VRV3: Formamidopyrimidine-DNA glycosylase|unclassified	1652.85
UniRef50_A1AW02: Formamidopyrimidine-DNA glycosylase	1651.44
UniRef50_A1AW02: Formamidopyrimidine-DNA glycosylase|unclassified	1651.44
UniRef50_O32044: Single-stranded-DNA-specific exonuclease RecJ	1643.21
UniRef50_O32044: Single-stranded-DNA-specific exonuclease RecJ|unclassified	1643.21
UniRef50_G2GJB9	1631.47
UniRef50_G2GJB9|unclassified	1631.47
UniRef50_X0UJ38: Marine sediment metagenome DNA, contig: S01H1_S06840 (Fragment)	1609.11
UniRef50_X0UJ38: Marine sediment metagenome DNA, contig: S01H1_S06840 (Fragment)|unclassified	1609.11
UniRef50_UPI00047ABF4F: 3-methyladenine DNA glycosylase	1608.45
UniRef50_UPI00047ABF4F: 3-methyladenine DNA glycosylase|unclassified	1608.45
UniRef50_UPI00029B29D5: exonuclease RecJ	1593.53
UniRef50_UPI00029B29D5: exonuclease RecJ|unclassified	1593.53
UniRef50_Q5NGY3: Formamidopyrimidine-DNA glycosylase	1579.49
UniRef50_Q5NGY3: Formamidopyrimidine-DNA glycosylase|unclassified	1579.49
UniRef50_UPI0004634557: hypothetical protein, partial	1558.6
UniRef50_UPI0004634557: hypothetical protein, partial|unclassified	1558.6
UniRef50_Q180F3: DNA ligase	1553.34
UniRef50_Q180F3: DNA ligase|unclassified	1553.34
UniRef50_UPI0003731CCA: hypothetical protein	1548.12
UniRef50_UPI0003731CCA: hypothetical protein|unclassified	1548.12
UniRef50_UPI0003723CE0: hypothetical protein	1542.08
UniRef50_UPI0003723CE0: hypothetical protein|unclassified	1542.08
UniRef50_A5CX90: Formamidopyrimidine-DNA glycosylase	1539.26
UniRef50_A5CX90: Formamidopyrimidine-DNA glycosylase|unclassified	1539.26
UniRef50_Q9KTK4: Flap endonuclease Xni	1534.58
UniRef50_Q9KTK4: Flap endonuclease Xni|unclassified	1534.58
UniRef50_UPI00022CA997: PREDICTED: single-stranded-DNA-specific exonuclease recJ-like	1528.07
UniRef50_UPI00022CA997: PREDICTED: single-stranded-DNA-specific exonuclease recJ-like|unclassified	1528.07
UniRef50_Q8EPE6: Formamidopyrimidine-DNA glycosylase	1524.82
UniRef50_Q8EPE6: Formamidopyrimidine-DNA glycosylase|unclassified	1524.82
UniRef50_B9DLR4: Putative 3-methyladenine DNA glycosylase	1493.83
UniRef50_B9DLR4: Putative 3-methyladenine DNA glycosylase|unclassified	1493.83
UniRef50_C3MCY7: Formamidopyrimidine-DNA glycosylase	1466.49
UniRef50_C3MCY7: Formamidopyrimidine-DNA glycosylase|unclassified	1466.49
UniRef50_UPI000308CA8C: hypothetical protein	1464.19
UniRef50_UPI000308CA8C: hypothetical protein|unclassified	1464.19
UniRef50_UPI00038241DA: hypothetical protein, partial	1461.18
UniRef50_UPI00038241DA: hypothetical protein, partial|unclassified	1461.18
UniRef50_Q88WV4: Formamidopyrimidine-DNA glycosylase	1450.35
UniRef50_Q88WV4: Formamidopyrimidine-DNA glycosylase|unclassified	1450.35
UniRef50_UPI0004721D44: hypothetical protein	1440.35
UniRef50_UPI0004721D44: hypothetical protein|unclassified	1440.35
UniRef50_UPI00040A0384: DNA polymerase I	1433.69
UniRef50_UPI00040A0384: DNA polymerase I|unclassified	1433.69
UniRef50_Q9PQ76: Formamidopyrimidine-DNA glycosylase	1410.32
UniRef50_Q9PQ76: Formamidopyrimidine-DNA glycosylase|unclassified	1410.32
UniRef50_UPI00036D9AF2: hypothetical protein, partial	1407.86
UniRef50_UPI00036D9AF2: hypothetical protein, partial|unclassified	1407.86
UniRef50_B1Y6D4: DNA ligase	1402.11
UniRef50_B1Y6D4: DNA ligase|unclassified	1402.11
UniRef50_UPI00030717BC: hypothetical protein	1401.48
UniRef50_UPI00030717BC: hypothetical protein|unclassified	1401.48
UniRef50_UPI00037C3586: hypothetical protein, partial	1399.04
UniRef50_UPI00037C3586: hypothetical protein, partial|unclassified	1399.04
UniRef50_UPI0004778518: ATP-dependent DNA ligase, partial	1394.19
UniRef50_UPI0004778518: ATP-dependent DNA ligase, partial|unclassified	1394.19
UniRef50_UPI00046EAAB5: hypothetical protein	1375.18
UniRef50_UPI00046EAAB5: hypothetical protein|unclassified	1375.18
UniRef50_L0TDE1: DNA ligase C	1374.78
UniRef50_L0TDE1: DNA ligase C|unclassified	1374.78
UniRef50_P42371: Formamidopyrimidine-DNA glycosylase	1364.5
UniRef50_P42371: Formamidopyrimidine-DNA glycosylase|unclassified	1364.5
UniRef50_UPI000407E66E: exonuclease I	1363.18
UniRef50_UPI000407E66E: exonuclease I|unclassified	1363.18
UniRef50_D2AK96	1362.71
UniRef50_D2AK96|unclassified	1362.71
UniRef50_UPI00030C67CC: hypothetical protein	1359.65
UniRef50_UPI00030C67CC: hypothetical protein|unclassified	1359.65
UniRef50_UPI0003B69B19: DNA polymerase I	1357.75
UniRef50_UPI0003B69B19: DNA polymerase I|unclassified	1357.75
UniRef50_Q0AHH6: DNA ligase	1356.4
UniRef50_Q0AHH6: DNA ligase|unclassified	1356.4
UniRef50_B7R6J1	1353.06
UniRef50_B7R6J1|unclassified	1353.06
UniRef50_UPI00036A68EF: hypothetical protein, partial	1344.37
UniRef50_UPI00036A68EF: hypothetical protein, partial|unclassified	1344.37
UniRef50_UPI0004647EB6: hypothetical protein, partial	1338.79
UniRef50_UPI0004647EB6: hypothetical protein, partial|unclassified	1338.79
UniRef50_UPI00037D3207: hypothetical protein, partial	1328.39
UniRef50_UPI00037D3207: hypothetical protein, partial|unclassified	1328.39
UniRef50_A6UB73: DNA ligase	1326.27
UniRef50_A6UB73: DNA ligase|unclassified	1326.27
UniRef50_X8ADW9	1309.98
UniRef50_X8ADW9|unclassified	1309.98
UniRef50_UPI000408D4F6: hypothetical protein	1308.12
UniRef50_UPI000408D4F6: hypothetical protein|unclassified	1308.12
UniRef50_UPI000474AA9A: hypothetical protein	1302.18
UniRef50_UPI000474AA9A: hypothetical protein|unclassified	1302.18
UniRef50_UPI000476940B: hypothetical protein	1298.26
UniRef50_UPI000476940B: hypothetical protein|unclassified	1298.26
UniRef50_X1U4U4: Marine sediment metagenome DNA, contig: S12H4_S19304 (Fragment)	1282.89
UniRef50_X1U4U4: Marine sediment metagenome DNA, contig: S12H4_S19304 (Fragment)|unclassified	1282.89
UniRef50_UPI0001D3151D: formamidopyrimidine-DNA glycosylase	1280.22
UniRef50_UPI0001D3151D: formamidopyrimidine-DNA glycosylase|unclassified	1280.22
UniRef50_Q7VG78: Probable GMP synthase [glutamine-hydrolyzing]	1279.75
UniRef50_Q7VG78: Probable GMP synthase [glutamine-hydrolyzing]|unclassified	1279.75
UniRef50_B9K734: DNA ligase	1275.48
UniRef50_B9K734: DNA ligase|unclassified	1275.48
UniRef50_V7YWA1	1274.29
UniRef50_V7YWA1|unclassified	1274.29
UniRef50_UPI000237F073: DNA-3-methyladenine glycosylase	1255.46
UniRef50_UPI000237F073: DNA-3-methyladenine glycosylase|unclassified	1255.46
UniRef50_UPI0003B3855E: DNA polymerase I	1239.37
UniRef50_UPI0003B3855E: DNA polymerase I|unclassified	1239.37
UniRef50_UPI00047E6AB5: hypothetical protein	1237.2
UniRef50_UPI00047E6AB5: hypothetical protein|unclassified	1237.2
UniRef50_O86820: Probable endonuclease 8 2	1236.01
UniRef50_O86820: Probable endonuclease 8 2|unclassified	1236.01
UniRef50_UPI0004796418: hypothetical protein	1235.35
UniRef50_UPI0004796418: hypothetical protein|unclassified	1235.35
UniRef50_UPI00003937D1: COG0258: 5''''-3'''' exonuclease (including N-terminal domain of PolI)	1234.5
UniRef50_UPI00003937D1: COG0258: 5''''-3'''' exonuclease (including N-terminal domain of PolI)|unclassified	1234.5
UniRef50_A6W7S6: Formamidopyrimidine-DNA glycosylase	1230.42
UniRef50_A6W7S6: Formamidopyrimidine-DNA glycosylase|unclassified	1230.42
UniRef50_UPI00025598F1: single-stranded-DNA-specific exonuclease RecJ, partial	1227.92
UniRef50_UPI00025598F1: single-stranded-DNA-specific exonuclease RecJ, partial|unclassified	1227.92
UniRef50_B3SFA4	1209.69
UniRef50_B3SFA4|unclassified	1209.69
UniRef50_UPI00024875A3: DNA polymerase I, partial	1209.15
UniRef50_UPI00024875A3: DNA polymerase I, partial|unclassified	1209.15
UniRef50_T0WBU1: DHH family protein	1201.69
UniRef50_T0WBU1: DHH family protein|unclassified	1201.69
UniRef50_UPI0004737E5A: hypothetical protein, partial	1199.55
UniRef50_UPI0004737E5A: hypothetical protein, partial|unclassified	1199.55
UniRef50_Q1LRP7: Formamidopyrimidine-DNA glycosylase	1196.77
UniRef50_Q1LRP7: Formamidopyrimidine-DNA glycosylase|unclassified	1196.77
UniRef50_Q2P334: DNA ligase	1194.6
UniRef50_Q2P334: DNA ligase|unclassified	1194.6
UniRef50_Q5FMR0: Putative 3-methyladenine DNA glycosylase	1193.77
UniRef50_Q5FMR0: Putative 3-methyladenine DNA glycosylase|unclassified	1193.77
UniRef50_UPI00036711ED: hypothetical protein, partial	1192.01
UniRef50_UPI00036711ED: hypothetical protein, partial|unclassified	1192.01
UniRef50_J8V147: Ku family containing protein	1191.49
UniRef50_J8V147: Ku family containing protein|unclassified	1191.49
UniRef50_A6CU43	1185.77
UniRef50_A6CU43|unclassified	1185.77
UniRef50_UPI000360CD14: 3-methyladenine DNA glycosylase	1167.66
UniRef50_UPI000360CD14: 3-methyladenine DNA glycosylase|unclassified	1167.66
UniRef50_UPI000190D3B7: hypothetical protein, partial	1167.07
UniRef50_UPI000190D3B7: hypothetical protein, partial|unclassified	1167.07
UniRef50_A6UFF8: Formamidopyrimidine-DNA glycosylase	1166.53
UniRef50_A6UFF8: Formamidopyrimidine-DNA glycosylase|unclassified	1166.53
UniRef50_UPI00037C4890: hypothetical protein	1156.99
UniRef50_UPI00037C4890: hypothetical protein|unclassified	1156.99
UniRef50_W1X1E9	1146.48
UniRef50_W1X1E9|unclassified	1146.48
UniRef50_UPI00046EC3E8: hypothetical protein, partial	1135.3
UniRef50_UPI00046EC3E8: hypothetical protein, partial|unclassified	1135.3
UniRef50_UPI000467CDD8: hypothetical protein	1107.29
UniRef50_UPI000467CDD8: hypothetical protein|unclassified	1107.29
UniRef50_A0R5T3: DNA ligase C2	1097.77
UniRef50_A0R5T3: DNA ligase C2|unclassified	1097.77
UniRef50_UPI0003B652D3: DNA polymerase I	1095.61
UniRef50_UPI0003B652D3: DNA polymerase I|unclassified	1095.61
UniRef50_UPI0001FFDA93: NAD-dependent DNA ligase LigA, partial	1089.42
UniRef50_UPI0001FFDA93: NAD-dependent DNA ligase LigA, partial|unclassified	1089.42
UniRef50_O51498: DNA polymerase I	1089.38
UniRef50_O51498: DNA polymerase I|unclassified	1089.38
UniRef50_UPI00016A478C: AlkA domain protein, partial	1088.66
UniRef50_UPI00016A478C: AlkA domain protein, partial|unclassified	1088.66
UniRef50_Q8UIH4: Formamidopyrimidine-DNA glycosylase	1087.74
UniRef50_Q8UIH4: Formamidopyrimidine-DNA glycosylase|unclassified	1087.74
UniRef50_P54161: 5'-3' exonuclease	1087.59
UniRef50_P54161: 5'-3' exonuclease|unclassified	1087.59
UniRef50_Q0ID97: Putative 3-methyladenine DNA glycosylase	1085.78
UniRef50_Q0ID97: Putative 3-methyladenine DNA glycosylase|unclassified	1085.78
UniRef50_UPI000378ACC2: hypothetical protein	1082.97
UniRef50_UPI000378ACC2: hypothetical protein|unclassified	1082.97
UniRef50_B5ZAV3: DNA ligase	1080.39
UniRef50_B5ZAV3: DNA ligase|unclassified	1080.39
UniRef50_Q14GL3: DNA ligase	1075.95
UniRef50_Q14GL3: DNA ligase|unclassified	1075.95
UniRef50_UPI0002D67C37: hypothetical protein	1075.79
UniRef50_UPI0002D67C37: hypothetical protein|unclassified	1075.79
UniRef50_UPI0003B30C4D: exonuclease I	1070.51
UniRef50_UPI0003B30C4D: exonuclease I|unclassified	1070.51
UniRef50_F7TG67	1068.71
UniRef50_F7TG67|unclassified	1068.71
UniRef50_A5EPJ2: DNA ligase	1067.04
UniRef50_A5EPJ2: DNA ligase|unclassified	1067.04
UniRef50_A5FE87: DNA ligase	1063.57
UniRef50_A5FE87: DNA ligase|unclassified	1063.57
UniRef50_B3E8F8: DNA ligase	1048.27
UniRef50_B3E8F8: DNA ligase|unclassified	1048.27
UniRef50_UPI0003656F47: hypothetical protein	1044.91
UniRef50_UPI0003656F47: hypothetical protein|unclassified	1044.91
UniRef50_UPI0002E66111: DNA repair protein	1041
UniRef50_UPI0002E66111: DNA repair protein|unclassified	1041
UniRef50_UPI0003B5A2EF: hypothetical protein	1035.12
UniRef50_UPI0003B5A2EF: hypothetical protein|unclassified	1035.12
UniRef50_V6ZAF7	1033.58
UniRef50_V6ZAF7|unclassified	1033.58
UniRef50_UPI0003692DA9: hypothetical protein	1032.63
