# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-RPKs
UniRef50_UPI00037A3B37: hypothetical protein	579.5799195953
UniRef50_UPI00037A3B37: hypothetical protein|unclassified	579.5799195953
UniRef50_Q5HLQ3: Putative 3-methyladenine DNA glycosylase	567.7953278804
UniRef50_Q5HLQ3: Putative 3-methyladenine DNA glycosylase|unclassified	567.7953278804
UniRef50_UPI000465B46D: endonuclease	561.2972146642
UniRef50_UPI000465B46D: endonuclease|unclassified	561.2972146642
UniRef50_Q7VUG7: Formamidopyrimidine-DNA glycosylase	553.2625889718
UniRef50_Q7VUG7: Formamidopyrimidine-DNA glycosylase|unclassified	553.2625889718
UniRef50_Q83Z33	551.2370772554
UniRef50_Q83Z33|unclassified	551.2370772554
UniRef50_UPI0001AF2D93: DNA-3-methyladenine glycosylase I protein	548.1908803078
UniRef50_UPI0001AF2D93: DNA-3-methyladenine glycosylase I protein|unclassified	548.1908803078
UniRef50_P9WNC2: Formamidopyrimidine-DNA glycosylase 1	544.8461242717
UniRef50_P9WNC2: Formamidopyrimidine-DNA glycosylase 1|unclassified	544.8461242717
UniRef50_A2RIF3: DNA ligase	541.5586461005
UniRef50_A2RIF3: DNA ligase|unclassified	541.5586461005
UniRef50_UPI00047AAC54: DNA polymerase I	538.3451322650
UniRef50_UPI00047AAC54: DNA polymerase I|unclassified	538.3451322650
UniRef50_V8ANW6	523.2109597479
UniRef50_V8ANW6|unclassified	523.2109597479
UniRef50_UPI000360A9AC: hypothetical protein	522.8976757358
UniRef50_UPI000360A9AC: hypothetical protein|unclassified	522.8976757358
UniRef50_Q71ZA3: Formamidopyrimidine-DNA glycosylase	519.3348376150
UniRef50_Q71ZA3: Formamidopyrimidine-DNA glycosylase|unclassified	519.3348376150
UniRef50_UPI00047260FA: hypothetical protein	514.7930657674
UniRef50_UPI00047260FA: hypothetical protein|unclassified	514.7930657674
UniRef50_UPI0002559C58: DNA polymerase II, partial	512.8814742617
UniRef50_UPI0002559C58: DNA polymerase II, partial|unclassified	512.8814742617
UniRef50_X4Z8E4: DHH family protein	506.5698945919
UniRef50_X4Z8E4: DHH family protein|unclassified	506.5698945919
UniRef50_UPI000365061B: hypothetical protein	505.2425081425
UniRef50_UPI000365061B: hypothetical protein|unclassified	505.2425081425
UniRef50_A8YTZ3: DNA ligase	503.4303778248
UniRef50_A8YTZ3: DNA ligase|unclassified	503.4303778248
UniRef50_UPI0004755214: hypothetical protein	501.8285863364
UniRef50_UPI0004755214: hypothetical protein|unclassified	501.8285863364
UniRef50_K0FBJ9: Ku protein	501.3928679537
UniRef50_K0FBJ9: Ku protein|unclassified	501.3928679537
UniRef50_A4VKN0: DNA ligase	496.7858703410
UniRef50_A4VKN0: DNA ligase|unclassified	496.7858703410
UniRef50_C4K4K4: DNA ligase	492.6541905215
UniRef50_C4K4K4: DNA ligase|unclassified	492.6541905215
UniRef50_G9Z1G6	489.7593901879
UniRef50_G9Z1G6|unclassified	489.7593901879
UniRef50_Q9WYK0: Endonuclease III	487.0437066922
UniRef50_Q9WYK0: Endonuclease III|unclassified	487.0437066922
UniRef50_UPI00036A0EC5: hypothetical protein, partial	485.7375981595
UniRef50_UPI00036A0EC5: hypothetical protein, partial|unclassified	485.7375981595
UniRef50_A0A011Q5C8: DNA polymerase I	484.2032454945
UniRef50_A0A011Q5C8: DNA polymerase I|unclassified	484.2032454945
UniRef50_Q833H5: Putative 3-methyladenine DNA glycosylase	484.0630801723
UniRef50_Q833H5: Putative 3-methyladenine DNA glycosylase|unclassified	484.0630801723
UniRef50_UPI0003EE06E2: hypothetical protein	479.7022304444
UniRef50_UPI0003EE06E2: hypothetical protein|unclassified	479.7022304444
UniRef50_UPI0003C1A3F3	473.3110866553
UniRef50_UPI0003C1A3F3|unclassified	473.3110866553
UniRef50_UPI00046FBB94: hypothetical protein, partial	467.2747791996
UniRef50_UPI00046FBB94: hypothetical protein, partial|unclassified	467.2747791996
UniRef50_UPI0003708F2A: hypothetical protein	455.5317283084
UniRef50_UPI0003708F2A: hypothetical protein|unclassified	455.5317283084
UniRef50_Q47FA0: DNA ligase	452.3259486317
UniRef50_Q47FA0: DNA ligase|unclassified	452.3259486317
UniRef50_X0YTC3: Marine sediment metagenome DNA, contig: S01H4_L03161 (Fragment)	450.6429787631
UniRef50_X0YTC3: Marine sediment metagenome DNA, contig: S01H4_L03161 (Fragment)|unclassified	450.6429787631
UniRef50_UPI0004689142: single-stranded DNA exonuclease	443.5162547506
UniRef50_UPI0004689142: single-stranded DNA exonuclease|unclassified	443.5162547506
UniRef50_UPI0003A20063: DNA-3-methyladenine glycosylase	439.6094851339
UniRef50_UPI0003A20063: DNA-3-methyladenine glycosylase|unclassified	439.6094851339
UniRef50_V6Z8L1: DNA polymerase LigD domain protein	438.3703641141
UniRef50_V6Z8L1: DNA polymerase LigD domain protein|unclassified	438.3703641141
UniRef50_W5XAQ0: Lrp family transcriptional regulator	434.4586208526
UniRef50_W5XAQ0: Lrp family transcriptional regulator|unclassified	434.4586208526
UniRef50_Q0VR01: DNA ligase	433.8824402253
UniRef50_Q0VR01: DNA ligase|unclassified	433.8824402253
UniRef50_C0Z7Z0: Formamidopyrimidine-DNA glycosylase	433.2382734052
UniRef50_C0Z7Z0: Formamidopyrimidine-DNA glycosylase|unclassified	433.2382734052
UniRef50_UPI0004679467: hypothetical protein, partial	432.2198042167
UniRef50_UPI0004679467: hypothetical protein, partial|unclassified	432.2198042167
UniRef50_Q3JAI1: DNA ligase	425.7805656696
UniRef50_Q3JAI1: DNA ligase|unclassified	425.7805656696
UniRef50_UPI00047CC49C: hypothetical protein	420.7376708422
UniRef50_UPI00047CC49C: hypothetical protein|unclassified	420.7376708422
UniRef50_A0A011QZB4: Formamidopyrimidine-DNA glycosylase	419.5876012490
UniRef50_A0A011QZB4: Formamidopyrimidine-DNA glycosylase|unclassified	419.5876012490
UniRef50_UPI0004633DEA: hypothetical protein, partial	418.4905024898
UniRef50_UPI0004633DEA: hypothetical protein, partial|unclassified	418.4905024898
UniRef50_UPI0002557B2C: exonuclease I	416.0250322696
UniRef50_UPI0002557B2C: exonuclease I|unclassified	416.0250322696
UniRef50_A8YWE6: Formamidopyrimidine-DNA glycosylase	415.2902407825
UniRef50_A8YWE6: Formamidopyrimidine-DNA glycosylase|unclassified	415.2902407825
UniRef50_UPI00029AF607: threonine dehydratase	415.1126904745
UniRef50_UPI00029AF607: threonine dehydratase|unclassified	415.1126904745
UniRef50_UPI000471ED9B: hypothetical protein	414.5305888024
UniRef50_UPI000471ED9B: hypothetical protein|unclassified	414.5305888024
UniRef50_UPI00036E6417: hypothetical protein	414.2238095952
UniRef50_UPI00036E6417: hypothetical protein|unclassified	414.2238095952
UniRef50_UPI000474EE11: hypothetical protein	413.2105803903
UniRef50_UPI000474EE11: hypothetical protein|unclassified	413.2105803903
UniRef50_UPI000466677F: single-stranded DNA exonuclease	411.2805056541
UniRef50_UPI000466677F: single-stranded DNA exonuclease|unclassified	411.2805056541
UniRef50_UPI0001B42677: hypothetical protein, partial	407.4337781608
UniRef50_UPI0001B42677: hypothetical protein, partial|unclassified	407.4337781608
UniRef50_UPI00047643D8: endonuclease III	404.7430030023
UniRef50_UPI00047643D8: endonuclease III|unclassified	404.7430030023
UniRef50_U1D474	401.4548186311
UniRef50_U1D474|unclassified	401.4548186311
UniRef50_UPI0003B51AD6: DNA-3-methyladenine glycosylase, partial	387.2079320615
UniRef50_UPI0003B51AD6: DNA-3-methyladenine glycosylase, partial|unclassified	387.2079320615
UniRef50_UPI0004770C2C: 3-methyladenine DNA glycosylase	386.8043498542
UniRef50_UPI0004770C2C: 3-methyladenine DNA glycosylase|unclassified	386.8043498542
UniRef50_A1IQR7: DNA ligase	385.7323439564
UniRef50_A1IQR7: DNA ligase|unclassified	385.7323439564
UniRef50_UPI0001851156: single-stranded-DNA-specific exonuclease	383.3214928519
UniRef50_UPI0001851156: single-stranded-DNA-specific exonuclease|unclassified	383.3214928519
UniRef50_B0VRV3: Formamidopyrimidine-DNA glycosylase	382.4963095279
UniRef50_B0VRV3: Formamidopyrimidine-DNA glycosylase|unclassified	382.4963095279
UniRef50_A1AW02: Formamidopyrimidine-DNA glycosylase	382.1704215173
UniRef50_A1AW02: Formamidopyrimidine-DNA glycosylase|unclassified	382.1704215173
UniRef50_O32044: Single-stranded-DNA-specific exonuclease RecJ	380.2655376346
UniRef50_O32044: Single-stranded-DNA-specific exonuclease RecJ|unclassified	380.2655376346
UniRef50_G2GJB9	377.5494974463
UniRef50_G2GJB9|unclassified	377.5494974463
UniRef50_X0UJ38: Marine sediment metagenome DNA, contig: S01H1_S06840 (Fragment)	372.3737449205
UniRef50_X0UJ38: Marine sediment metagenome DNA, contig: S01H1_S06840 (Fragment)|unclassified	372.3737449205
UniRef50_UPI00047ABF4F: 3-methyladenine DNA glycosylase	372.2214832016
UniRef50_UPI00047ABF4F: 3-methyladenine DNA glycosylase|unclassified	372.2214832016
UniRef50_UPI00029B29D5: exonuclease RecJ	368.7691310373
UniRef50_UPI00029B29D5: exonuclease RecJ|unclassified	368.7691310373
UniRef50_Q5NGY3: Formamidopyrimidine-DNA glycosylase	365.5204540026
UniRef50_Q5NGY3: Formamidopyrimidine-DNA glycosylase|unclassified	365.5204540026
UniRef50_UPI0004634557: hypothetical protein, partial	360.6846596045
UniRef50_UPI0004634557: hypothetical protein, partial|unclassified	360.6846596045
UniRef50_Q180F3: DNA ligase	359.4681159542
UniRef50_Q180F3: DNA ligase|unclassified	359.4681159542
UniRef50_UPI0003731CCA: hypothetical protein	358.2592123059
UniRef50_UPI0003731CCA: hypothetical protein|unclassified	358.2592123059
UniRef50_UPI0003723CE0: hypothetical protein	356.8626478394
UniRef50_UPI0003723CE0: hypothetical protein|unclassified	356.8626478394
UniRef50_A5CX90: Formamidopyrimidine-DNA glycosylase	356.2102724177
UniRef50_A5CX90: Formamidopyrimidine-DNA glycosylase|unclassified	356.2102724177
UniRef50_Q9KTK4: Flap endonuclease Xni	355.1272388616
UniRef50_Q9KTK4: Flap endonuclease Xni|unclassified	355.1272388616
UniRef50_UPI00022CA997: PREDICTED: single-stranded-DNA-specific exonuclease recJ-like	353.6209256109
UniRef50_UPI00022CA997: PREDICTED: single-stranded-DNA-specific exonuclease recJ-like|unclassified	353.6209256109
UniRef50_Q8EPE6: Formamidopyrimidine-DNA glycosylase	352.8682623098
UniRef50_Q8EPE6: Formamidopyrimidine-DNA glycosylase|unclassified	352.8682623098
UniRef50_B9DLR4: Putative 3-methyladenine DNA glycosylase	345.6957347395
UniRef50_B9DLR4: Putative 3-methyladenine DNA glycosylase|unclassified	345.6957347395
UniRef50_C3MCY7: Formamidopyrimidine-DNA glycosylase	339.3685814821
UniRef50_C3MCY7: Formamidopyrimidine-DNA glycosylase|unclassified	339.3685814821
UniRef50_UPI000308CA8C: hypothetical protein	338.8362015315
UniRef50_UPI000308CA8C: hypothetical protein|unclassified	338.8362015315
UniRef50_UPI00038241DA: hypothetical protein, partial	338.1415535710
UniRef50_UPI00038241DA: hypothetical protein, partial|unclassified	338.1415535710
UniRef50_Q88WV4: Formamidopyrimidine-DNA glycosylase	335.6333401038
UniRef50_Q88WV4: Formamidopyrimidine-DNA glycosylase|unclassified	335.6333401038
UniRef50_UPI0004721D44: hypothetical protein	333.3199549981
UniRef50_UPI0004721D44: hypothetical protein|unclassified	333.3199549981
UniRef50_UPI00040A0384: DNA polymerase I	331.7797497489
UniRef50_UPI00040A0384: DNA polymerase I|unclassified	331.7797497489
UniRef50_Q9PQ76: Formamidopyrimidine-DNA glycosylase	326.3700159685
UniRef50_Q9PQ76: Formamidopyrimidine-DNA glycosylase|unclassified	326.3700159685
UniRef50_UPI00036D9AF2: hypothetical protein, partial	325.8019647944
UniRef50_UPI00036D9AF2: hypothetical protein, partial|unclassified	325.8019647944
UniRef50_B1Y6D4: DNA ligase	324.4714208094
UniRef50_B1Y6D4: DNA ligase|unclassified	324.4714208094
UniRef50_UPI00030717BC: hypothetical protein	324.3255552439
UniRef50_UPI00030717BC: hypothetical protein|unclassified	324.3255552439
UniRef50_UPI00037C3586: hypothetical protein, partial	323.7594321553
UniRef50_UPI00037C3586: hypothetical protein, partial|unclassified	323.7594321553
UniRef50_UPI0004778518: ATP-dependent DNA ligase, partial	322.6373837027
UniRef50_UPI0004778518: ATP-dependent DNA ligase, partial|unclassified	322.6373837027
UniRef50_UPI00046EAAB5: hypothetical protein	318.2386980506
UniRef50_UPI00046EAAB5: hypothetical protein|unclassified	318.2386980506
UniRef50_L0TDE1: DNA ligase C	318.1471574490
UniRef50_L0TDE1: DNA ligase C|unclassified	318.1471574490
UniRef50_P42371: Formamidopyrimidine-DNA glycosylase	315.7665384224
UniRef50_P42371: Formamidopyrimidine-DNA glycosylase|unclassified	315.7665384224
UniRef50_UPI000407E66E: exonuclease I	315.4625959072
UniRef50_UPI000407E66E: exonuclease I|unclassified	315.4625959072
UniRef50_D2AK96	315.3526567034
UniRef50_D2AK96|unclassified	315.3526567034
UniRef50_UPI00030C67CC: hypothetical protein	314.6442160946
UniRef50_UPI00030C67CC: hypothetical protein|unclassified	314.6442160946
UniRef50_UPI0003B69B19: DNA polymerase I	314.2051856615
UniRef50_UPI0003B69B19: DNA polymerase I|unclassified	314.2051856615
UniRef50_Q0AHH6: DNA ligase	313.8936833477
UniRef50_Q0AHH6: DNA ligase|unclassified	313.8936833477
UniRef50_B7R6J1	313.1202180747
UniRef50_B7R6J1|unclassified	313.1202180747
UniRef50_UPI00036A68EF: hypothetical protein, partial	311.1093982412
UniRef50_UPI00036A68EF: hypothetical protein, partial|unclassified	311.1093982412
UniRef50_UPI0004647EB6: hypothetical protein, partial	309.8168656051
UniRef50_UPI0004647EB6: hypothetical protein, partial|unclassified	309.8168656051
UniRef50_UPI00037D3207: hypothetical protein, partial	307.4109923251
UniRef50_UPI00037D3207: hypothetical protein, partial|unclassified	307.4109923251
UniRef50_A6UB73: DNA ligase	306.9210177063
UniRef50_A6UB73: DNA ligase|unclassified	306.9210177063
UniRef50_X8ADW9	303.1502528296
UniRef50_X8ADW9|unclassified	303.1502528296
UniRef50_UPI000408D4F6: hypothetical protein	302.7198477543
UniRef50_UPI000408D4F6: hypothetical protein|unclassified	302.7198477543
UniRef50_UPI000474AA9A: hypothetical protein	301.3451407030
UniRef50_UPI000474AA9A: hypothetical protein|unclassified	301.3451407030
UniRef50_UPI000476940B: hypothetical protein	300.4373832508
UniRef50_UPI000476940B: hypothetical protein|unclassified	300.4373832508
UniRef50_X1U4U4: Marine sediment metagenome DNA, contig: S12H4_S19304 (Fragment)	296.8820110177
UniRef50_X1U4U4: Marine sediment metagenome DNA, contig: S12H4_S19304 (Fragment)|unclassified	296.8820110177
UniRef50_UPI0001D3151D: formamidopyrimidine-DNA glycosylase	296.2626666169
UniRef50_UPI0001D3151D: formamidopyrimidine-DNA glycosylase|unclassified	296.2626666169
UniRef50_Q7VG78: Probable GMP synthase [glutamine-hydrolyzing]	296.1545527154
UniRef50_Q7VG78: Probable GMP synthase [glutamine-hydrolyzing]|unclassified	296.1545527154
UniRef50_B9K734: DNA ligase	295.1665201148
UniRef50_B9K734: DNA ligase|unclassified	295.1665201148
UniRef50_V7YWA1	294.8906925286
UniRef50_V7YWA1|unclassified	294.8906925286
UniRef50_UPI000237F073: DNA-3-methyladenine glycosylase	290.5340744785
UniRef50_UPI000237F073: DNA-3-methyladenine glycosylase|unclassified	290.5340744785
UniRef50_UPI0003B3855E: DNA polymerase I	286.8107373915
UniRef50_UPI0003B3855E: DNA polymerase I|unclassified	286.8107373915
UniRef50_UPI00047E6AB5: hypothetical protein	286.3084406821
UniRef50_UPI00047E6AB5: hypothetical protein|unclassified	286.3084406821
UniRef50_O86820: Probable endonuclease 8 2	286.0326958415
UniRef50_O86820: Probable endonuclease 8 2|unclassified	286.0326958415
UniRef50_UPI0004796418: hypothetical protein	285.8795936431
UniRef50_UPI0004796418: hypothetical protein|unclassified	285.8795936431
UniRef50_UPI00003937D1: COG0258: 5''''-3'''' exonuclease (including N-terminal domain of PolI)	285.6837257687
UniRef50_UPI00003937D1: COG0258: 5''''-3'''' exonuclease (including N-terminal domain of PolI)|unclassified	285.6837257687
UniRef50_A6W7S6: Formamidopyrimidine-DNA glycosylase	284.7385222615
UniRef50_A6W7S6: Formamidopyrimidine-DNA glycosylase|unclassified	284.7385222615
UniRef50_UPI00025598F1: single-stranded-DNA-specific exonuclease RecJ, partial	284.1595534550
UniRef50_UPI00025598F1: single-stranded-DNA-specific exonuclease RecJ, partial|unclassified	284.1595534550
UniRef50_B3SFA4	279.9410794692
UniRef50_B3SFA4|unclassified	279.9410794692
UniRef50_UPI00024875A3: DNA polymerase I, partial	279.8164693169
UniRef50_UPI00024875A3: DNA polymerase I, partial|unclassified	279.8164693169
UniRef50_T0WBU1: DHH family protein	278.0898046106
UniRef50_T0WBU1: DHH family protein|unclassified	278.0898046106
UniRef50_UPI0004737E5A: hypothetical protein, partial	277.5958903257
UniRef50_UPI0004737E5A: hypothetical protein, partial|unclassified	277.5958903257
UniRef50_Q1LRP7: Formamidopyrimidine-DNA glycosylase	276.9526734074
UniRef50_Q1LRP7: Formamidopyrimidine-DNA glycosylase|unclassified	276.9526734074
UniRef50_Q2P334: DNA ligase	276.4492652346
UniRef50_Q2P334: DNA ligase|unclassified	276.4492652346
UniRef50_Q5FMR0: Putative 3-methyladenine DNA glycosylase	276.2569883655
UniRef50_Q5FMR0: Putative 3-methyladenine DNA glycosylase|unclassified	276.2569883655
UniRef50_UPI00036711ED: hypothetical protein, partial	275.8510791378
UniRef50_UPI00036711ED: hypothetical protein, partial|unclassified	275.8510791378
UniRef50_J8V147: Ku family containing protein	275.7306026327
UniRef50_J8V147: Ku family containing protein|unclassified	275.7306026327
UniRef50_A6CU43	274.4068125048
UniRef50_A6CU43|unclassified	274.4068125048
UniRef50_UPI000360CD14: 3-methyladenine DNA glycosylase	270.2156400435
UniRef50_UPI000360CD14: 3-methyladenine DNA glycosylase|unclassified	270.2156400435
UniRef50_UPI000190D3B7: hypothetical protein, partial	270.0779884157
UniRef50_UPI000190D3B7: hypothetical protein, partial|unclassified	270.0779884157
UniRef50_A6UFF8: Formamidopyrimidine-DNA glycosylase	269.9536840226
UniRef50_A6UFF8: Formamidopyrimidine-DNA glycosylase|unclassified	269.9536840226
UniRef50_UPI00037C4890: hypothetical protein	267.7457948022
UniRef50_UPI00037C4890: hypothetical protein|unclassified	267.7457948022
UniRef50_W1X1E9	265.3134014514
UniRef50_W1X1E9|unclassified	265.3134014514
UniRef50_UPI00046EC3E8: hypothetical protein, partial	262.7276962203
UniRef50_UPI00046EC3E8: hypothetical protein, partial|unclassified	262.7276962203
UniRef50_UPI000467CDD8: hypothetical protein	256.2438701506
UniRef50_UPI000467CDD8: hypothetical protein|unclassified	256.2438701506
UniRef50_A0R5T3: DNA ligase C2	254.0407992654
UniRef50_A0R5T3: DNA ligase C2|unclassified	254.0407992654
UniRef50_UPI0003B652D3: DNA polymerase I	253.5407258678
UniRef50_UPI0003B652D3: DNA polymerase I|unclassified	253.5407258678
UniRef50_UPI0001FFDA93: NAD-dependent DNA ligase LigA, partial	252.1098164601
UniRef50_UPI0001FFDA93: NAD-dependent DNA ligase LigA, partial|unclassified	252.1098164601
UniRef50_O51498: DNA polymerase I	252.1004771817
UniRef50_O51498: DNA polymerase I|unclassified	252.1004771817
UniRef50_UPI00016A478C: AlkA domain protein, partial	251.9336608799
UniRef50_UPI00016A478C: AlkA domain protein, partial|unclassified	251.9336608799
UniRef50_Q8UIH4: Formamidopyrimidine-DNA glycosylase	251.7199970061
UniRef50_Q8UIH4: Formamidopyrimidine-DNA glycosylase|unclassified	251.7199970061
UniRef50_P54161: 5'-3' exonuclease	251.6847217443
UniRef50_P54161: 5'-3' exonuclease|unclassified	251.6847217443
