# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-CPM
UniRef50_B9KEN0: Enolase	2732.94
UniRef50_B9KEN0: Enolase|unclassified	2732.94
UniRef50_UPI0003643D55: hypothetical protein, partial	2724.93
UniRef50_UPI0003643D55: hypothetical protein, partial|unclassified	2724.93
UniRef50_O34673: Altronate dehydratase	2677.91
UniRef50_O34673: Altronate dehydratase|unclassified	2677.91
UniRef50_B1JZ61: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	2639.2
UniRef50_B1JZ61: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	2639.2
UniRef50_A7FKP6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	2619.08
UniRef50_A7FKP6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	2619.08
UniRef50_Q47826	2613.82
UniRef50_Q47826|unclassified	2613.82
UniRef50_W7WSG3	2609.5
UniRef50_W7WSG3|unclassified	2609.5
UniRef50_R6B1W4: Glyceraldehyde-3-phosphate dehydrogenase	2591.86
UniRef50_R6B1W4: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	2591.86
UniRef50_UPI00029A3FDD: phosphoglyceromutase	2553.01
UniRef50_UPI00029A3FDD: phosphoglyceromutase|unclassified	2553.01
UniRef50_Q59931: NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	2551.6
UniRef50_Q59931: NADP-dependent glyceraldehyde-3-phosphate dehydrogenase|unclassified	2551.6
UniRef50_A8FNY3: Enolase	2550.19
UniRef50_A8FNY3: Enolase|unclassified	2550.19
UniRef50_S8L2L1	2493.44
UniRef50_S8L2L1|unclassified	2493.44
UniRef50_Q92263: Glyceraldehyde-3-phosphate dehydrogenase	2490.94
UniRef50_Q92263: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	2490.94
UniRef50_S8L050	2478.89
UniRef50_S8L050|unclassified	2478.89
UniRef50_P46796: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	2446.78
UniRef50_P46796: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	2446.78
UniRef50_UPI0003B396E9: pyruvate kinase, partial	2430.25
UniRef50_UPI0003B396E9: pyruvate kinase, partial|unclassified	2430.25
UniRef50_A0A022NN79: Putative transcriptional regulator	2417.54
UniRef50_A0A022NN79: Putative transcriptional regulator|unclassified	2417.54
UniRef50_C5BEL3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	2395.21
UniRef50_C5BEL3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	2395.21
UniRef50_UPI0003C13A7A: PREDICTED: enolase-like	2376.28
UniRef50_UPI0003C13A7A: PREDICTED: enolase-like|unclassified	2376.28
UniRef50_Q02499: Pyruvate kinase	2367.79
UniRef50_Q02499: Pyruvate kinase|unclassified	2367.79
UniRef50_UPI0001632402: hypothetical protein	2350.34
UniRef50_UPI0001632402: hypothetical protein|unclassified	2350.34
UniRef50_Q21YW0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	2322.54
UniRef50_Q21YW0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	2322.54
UniRef50_P80885: Pyruvate kinase	2296.88
UniRef50_P80885: Pyruvate kinase|unclassified	2296.88
UniRef50_P49433: Glyceraldehyde-3-phosphate dehydrogenase 1	2285.93
UniRef50_P49433: Glyceraldehyde-3-phosphate dehydrogenase 1|unclassified	2285.93
UniRef50_P40924: Phosphoglycerate kinase	2231.26
UniRef50_P40924: Phosphoglycerate kinase|unclassified	2231.26
UniRef50_P16858: Glyceraldehyde-3-phosphate dehydrogenase	2225.03
UniRef50_P16858: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	2225.03
UniRef50_Q7VQH3: Enolase	2197.56
UniRef50_Q7VQH3: Enolase|unclassified	2197.56
UniRef50_P39773: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2183.38
UniRef50_P39773: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	2183.38
UniRef50_Q8Y2I3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	2166.85
UniRef50_Q8Y2I3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	2166.85
UniRef50_P00358: Glyceraldehyde-3-phosphate dehydrogenase 2	2148.07
UniRef50_P00358: Glyceraldehyde-3-phosphate dehydrogenase 2|unclassified	2148.07
UniRef50_UPI000225F036: galactarate dehydratase	2133.29
UniRef50_UPI000225F036: galactarate dehydratase|unclassified	2133.29
UniRef50_UPI000373BE23: glyceraldehyde-3-phosphate dehydrogenase, partial	2129.65
UniRef50_UPI000373BE23: glyceraldehyde-3-phosphate dehydrogenase, partial|unclassified	2129.65
UniRef50_P70685: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	2098.23
UniRef50_P70685: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	2098.23
UniRef50_O57672: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	2094.39
UniRef50_O57672: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	2094.39
UniRef50_Q8FV09: Glucokinase	2084.54
UniRef50_Q8FV09: Glucokinase|unclassified	2084.54
UniRef50_UPI00029AFD70: pyruvate kinase, partial	2082.48
UniRef50_UPI00029AFD70: pyruvate kinase, partial|unclassified	2082.48
UniRef50_UPI0003699B67: aldehyde dehydrogenase, partial	2079.64
UniRef50_UPI0003699B67: aldehyde dehydrogenase, partial|unclassified	2079.64
UniRef50_B8H5V4: Uronate isomerase	2045.86
UniRef50_B8H5V4: Uronate isomerase|unclassified	2045.86
UniRef50_Q7NAY0: Enolase	1977.91
UniRef50_Q7NAY0: Enolase|unclassified	1977.91
UniRef50_UPI00041029A7: dioxygenase	1975.35
UniRef50_UPI00041029A7: dioxygenase|unclassified	1975.35
UniRef50_W7WRU0	1970.85
UniRef50_W7WRU0|unclassified	1970.85
UniRef50_UPI0003167F12: mannonate dehydratase	1964.13
UniRef50_UPI0003167F12: mannonate dehydratase|unclassified	1964.13
UniRef50_UPI00046B9AFC: PREDICTED: aldose 1-epimerase-like	1962.3
UniRef50_UPI00046B9AFC: PREDICTED: aldose 1-epimerase-like|unclassified	1962.3
UniRef50_UPI00039F1ADB: pyruvate kinase	1959.67
UniRef50_UPI00039F1ADB: pyruvate kinase|unclassified	1959.67
UniRef50_A9WJ95: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1956.71
UniRef50_A9WJ95: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	1956.71
UniRef50_Q9UVC0: Glyceraldehyde-3-phosphate dehydrogenase	1951.17
UniRef50_Q9UVC0: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1951.17
UniRef50_UPI0002890C90: pyruvate kinase	1943.15
UniRef50_UPI0002890C90: pyruvate kinase|unclassified	1943.15
UniRef50_F3R1P4	1941.99
UniRef50_F3R1P4|unclassified	1941.99
UniRef50_Q6CX23: Glyceraldehyde-3-phosphate dehydrogenase 2	1923.23
UniRef50_Q6CX23: Glyceraldehyde-3-phosphate dehydrogenase 2|unclassified	1923.23
UniRef50_Q9LPW0: Glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic	1916.02
UniRef50_Q9LPW0: Glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic|unclassified	1916.02
UniRef50_UPI00046591E2: D-mannonate oxidoreductase	1910.94
UniRef50_UPI00046591E2: D-mannonate oxidoreductase|unclassified	1910.94
UniRef50_A6L050: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1906.43
UniRef50_A6L050: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	1906.43
UniRef50_UPI00046D0423: mannonate dehydratase, partial	1893.69
UniRef50_UPI00046D0423: mannonate dehydratase, partial|unclassified	1893.69
UniRef50_O30885: Enolase (Fragment)	1884.86
UniRef50_O30885: Enolase (Fragment)|unclassified	1884.86
UniRef50_P17330: Glyceraldehyde-3-phosphate dehydrogenase 3	1881.3
UniRef50_P17330: Glyceraldehyde-3-phosphate dehydrogenase 3|unclassified	1881.3
UniRef50_Q9FX54: Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic	1880.29
UniRef50_Q9FX54: Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic|unclassified	1880.29
UniRef50_Q8PYF8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1879.46
UniRef50_Q8PYF8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	1879.46
UniRef50_Q2L0A6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1876.69
UniRef50_Q2L0A6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	1876.69
UniRef50_Q5FL50: Phosphoglycerate kinase	1870.8
UniRef50_Q5FL50: Phosphoglycerate kinase|unclassified	1870.8
UniRef50_UPI0003C175AF	1835.76
UniRef50_UPI0003C175AF|unclassified	1835.76
UniRef50_O05118: Pyruvate kinase	1833.79
UniRef50_O05118: Pyruvate kinase|unclassified	1833.79
UniRef50_UPI00037BB913: hypothetical protein	1827.97
UniRef50_UPI00037BB913: hypothetical protein|unclassified	1827.97
UniRef50_UPI00039F3F14: hypothetical protein	1826.5
UniRef50_UPI00039F3F14: hypothetical protein|unclassified	1826.5
UniRef50_UPI000370057F: hypothetical protein	1802.22
UniRef50_UPI000370057F: hypothetical protein|unclassified	1802.22
UniRef50_UPI00046BB579	1801.58
UniRef50_UPI00046BB579|unclassified	1801.58
UniRef50_P31765: Aldose 1-epimerase	1781.87
UniRef50_P31765: Aldose 1-epimerase|unclassified	1781.87
UniRef50_UPI0001BC8F53: aldehyde dehydrogenase family protein, partial	1769.04
UniRef50_UPI0001BC8F53: aldehyde dehydrogenase family protein, partial|unclassified	1769.04
UniRef50_P48812: Glyceraldehyde-3-phosphate dehydrogenase	1761.19
UniRef50_P48812: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1761.19
UniRef50_O08309: Pyruvate kinase	1756.57
UniRef50_O08309: Pyruvate kinase|unclassified	1756.57
UniRef50_UPI00046922A8: hypothetical protein	1753.74
UniRef50_UPI00046922A8: hypothetical protein|unclassified	1753.74
UniRef50_Q82ZC9: Mannonate dehydratase	1746.47
UniRef50_Q82ZC9: Mannonate dehydratase|unclassified	1746.47
UniRef50_P18669: Phosphoglycerate mutase 1	1733.32
UniRef50_P18669: Phosphoglycerate mutase 1|unclassified	1733.32
UniRef50_UPI0002376CDB: mannitol dehydrogenase domain-containing protein, partial	1725.69
UniRef50_UPI0002376CDB: mannitol dehydrogenase domain-containing protein, partial|unclassified	1725.69
UniRef50_Q88YH5: Phosphoglycerate kinase	1721.75
UniRef50_Q88YH5: Phosphoglycerate kinase|unclassified	1721.75
UniRef50_UPI00046B847F: PREDICTED: LOW QUALITY PROTEIN: glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic-like	1703.29
UniRef50_UPI00046B847F: PREDICTED: LOW QUALITY PROTEIN: glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic-like|unclassified	1703.29
UniRef50_Q9LD57: Phosphoglycerate kinase 1, chloroplastic	1691.03
UniRef50_Q9LD57: Phosphoglycerate kinase 1, chloroplastic|unclassified	1691.03
UniRef50_P12782: Phosphoglycerate kinase, chloroplastic	1683.15
UniRef50_P12782: Phosphoglycerate kinase, chloroplastic|unclassified	1683.15
UniRef50_UPI000463FB21: hypothetical protein, partial	1672.84
UniRef50_UPI000463FB21: hypothetical protein, partial|unclassified	1672.84
UniRef50_O34808: Uronate isomerase	1672.61
UniRef50_O34808: Uronate isomerase|unclassified	1672.61
UniRef50_P63336: 6-phosphogluconolactonase	1662.13
UniRef50_P63336: 6-phosphogluconolactonase|unclassified	1662.13
UniRef50_UPI00047A67C4: D-mannonate oxidoreductase	1643.8
UniRef50_UPI00047A67C4: D-mannonate oxidoreductase|unclassified	1643.8
UniRef50_P73534: Pyruvate kinase 2	1642.95
UniRef50_P73534: Pyruvate kinase 2|unclassified	1642.95
UniRef50_P15259: Phosphoglycerate mutase 2	1617.27
UniRef50_P15259: Phosphoglycerate mutase 2|unclassified	1617.27
UniRef50_Q03U06: Mannonate dehydratase	1597.88
UniRef50_Q03U06: Mannonate dehydratase|unclassified	1597.88
UniRef50_UPI0003777879: hypothetical protein, partial	1579.92
UniRef50_UPI0003777879: hypothetical protein, partial|unclassified	1579.92
UniRef50_J2DHG3	1574.99
UniRef50_J2DHG3|unclassified	1574.99
UniRef50_Q82GB8: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1574.76
UniRef50_Q82GB8: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	1574.76
UniRef50_B4U238: Mannonate dehydratase	1561.47
UniRef50_B4U238: Mannonate dehydratase|unclassified	1561.47
UniRef50_A4IP74: Mannonate dehydratase	1552.39
UniRef50_A4IP74: Mannonate dehydratase|unclassified	1552.39
UniRef50_C0RMJ1: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1534.31
UniRef50_C0RMJ1: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	1534.31
UniRef50_UPI00036D6A4E: hypothetical protein	1531.35
UniRef50_UPI00036D6A4E: hypothetical protein|unclassified	1531.35
UniRef50_Q89AK1: Glyceraldehyde-3-phosphate dehydrogenase	1527.74
UniRef50_Q89AK1: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1527.74
UniRef50_P74618: 6-phosphogluconolactonase	1515.01
UniRef50_P74618: 6-phosphogluconolactonase|unclassified	1515.01
UniRef50_Q1DCX8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1512.36
UniRef50_Q1DCX8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	1512.36
UniRef50_Q9SAJ6: Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic	1511.15
UniRef50_Q9SAJ6: Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic|unclassified	1511.15
UniRef50_UPI000329916F: PREDICTED: betaine aldehyde dehydrogenase-like	1505.1
UniRef50_UPI000329916F: PREDICTED: betaine aldehyde dehydrogenase-like|unclassified	1505.1
UniRef50_UPI00037CB5D1: hypothetical protein, partial	1501.53
UniRef50_UPI00037CB5D1: hypothetical protein, partial|unclassified	1501.53
UniRef50_UPI000203B972: PREDICTED: beta-enolase-like, partial	1499.64
UniRef50_UPI000203B972: PREDICTED: beta-enolase-like, partial|unclassified	1499.64
UniRef50_P57525: Phosphoglycerate kinase	1498.82
UniRef50_P57525: Phosphoglycerate kinase|unclassified	1498.82
UniRef50_Q46289: Pyruvate kinase	1475.5
UniRef50_Q46289: Pyruvate kinase|unclassified	1475.5
UniRef50_Q8G6D6: Phosphoglycerate kinase	1468.29
UniRef50_Q8G6D6: Phosphoglycerate kinase|unclassified	1468.29
UniRef50_Q8XP14: Uronate isomerase	1420.89
UniRef50_Q8XP14: Uronate isomerase|unclassified	1420.89
UniRef50_UPI0003C18E63: PREDICTED: aldehyde dehydrogenase family 2 member B7, mitochondrial-like, partial	1418.17
UniRef50_UPI0003C18E63: PREDICTED: aldehyde dehydrogenase family 2 member B7, mitochondrial-like, partial|unclassified	1418.17
UniRef50_UPI0001BF61FF: hypothetical protein SMAC_10357, partial	1417.97
UniRef50_UPI0001BF61FF: hypothetical protein SMAC_10357, partial|unclassified	1417.97
UniRef50_UPI00047359FA: hypothetical protein, partial	1415.93
UniRef50_UPI00047359FA: hypothetical protein, partial|unclassified	1415.93
UniRef50_W8VUA9: Carotenogenesis protein	1415.04
UniRef50_W8VUA9: Carotenogenesis protein|unclassified	1415.04
UniRef50_P25857: Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic	1405.53
UniRef50_P25857: Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic|unclassified	1405.53
UniRef50_Q3JY00: CarR	1402.71
UniRef50_Q3JY00: CarR|unclassified	1402.71
UniRef50_UPI00037AEB63: hypothetical protein	1386.31
UniRef50_UPI00037AEB63: hypothetical protein|unclassified	1386.31
UniRef50_UPI0002BB4E0B: hypothetical protein	1383.53
UniRef50_UPI0002BB4E0B: hypothetical protein|unclassified	1383.53
UniRef50_P9WKE4: Pyruvate kinase	1375.51
UniRef50_P9WKE4: Pyruvate kinase|unclassified	1375.51
UniRef50_UPI0003D3D76C: hypothetical protein, partial	1372.21
UniRef50_UPI0003D3D76C: hypothetical protein, partial|unclassified	1372.21
UniRef50_P36204: Bifunctional PGK/TIM	1370.71
UniRef50_P36204: Bifunctional PGK/TIM|unclassified	1370.71
UniRef50_UPI000376D240: hypothetical protein	1360.78
UniRef50_UPI000376D240: hypothetical protein|unclassified	1360.78
UniRef50_UPI0003C10787	1357.03
UniRef50_UPI0003C10787|unclassified	1357.03
UniRef50_U5TVZ7: GapA (Fragment)	1356.16
UniRef50_U5TVZ7: GapA (Fragment)|unclassified	1356.16
UniRef50_P23883: Aldehyde dehydrogenase PuuC	1354.84
UniRef50_P23883: Aldehyde dehydrogenase PuuC|unclassified	1354.84
UniRef50_W0TB16: DNA mismatch repair protein Msh6-1	1344.5
UniRef50_W0TB16: DNA mismatch repair protein Msh6-1|unclassified	1344.5
UniRef50_B1W0Z3: Phosphoglycerate kinase	1342.65
UniRef50_B1W0Z3: Phosphoglycerate kinase|unclassified	1342.65
UniRef50_UPI00021A5F88: PREDICTED: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like	1335.41
UniRef50_UPI00021A5F88: PREDICTED: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like|unclassified	1335.41
UniRef50_Q9PEG4: Glucokinase	1327.59
UniRef50_Q9PEG4: Glucokinase|unclassified	1327.59
UniRef50_Q0ALQ9: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1325.18
UniRef50_Q0ALQ9: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	1325.18
UniRef50_Q46078: Pyruvate kinase	1313.87
UniRef50_Q46078: Pyruvate kinase|unclassified	1313.87
UniRef50_Q1BYA7: Bifunctional protein glk	1306.14
UniRef50_Q1BYA7: Bifunctional protein glk|unclassified	1306.14
UniRef50_Q7MU77: Phosphoglycerate kinase	1303.26
UniRef50_Q7MU77: Phosphoglycerate kinase|unclassified	1303.26
UniRef50_UPI0004748B6D: hypothetical protein	1293.5
UniRef50_UPI0004748B6D: hypothetical protein|unclassified	1293.5
UniRef50_X1E6Z1: Marine sediment metagenome DNA, contig: S03H2_C01040 (Fragment)	1286.37
UniRef50_X1E6Z1: Marine sediment metagenome DNA, contig: S03H2_C01040 (Fragment)|unclassified	1286.37
UniRef50_UPI0004764B37: phosphoglyceromutase	1281.67
UniRef50_UPI0004764B37: phosphoglyceromutase|unclassified	1281.67
UniRef50_Q5FKM6: Enolase	1278.05
UniRef50_Q5FKM6: Enolase|unclassified	1278.05
UniRef50_UPI000377C454: hypothetical protein, partial	1273.92
UniRef50_UPI000377C454: hypothetical protein, partial|unclassified	1273.92
UniRef50_UPI0004696A5C: glyceraldehyde-3-phosphate dehydrogenase	1270.75
UniRef50_UPI0004696A5C: glyceraldehyde-3-phosphate dehydrogenase|unclassified	1270.75
UniRef50_Q52309: Glucose-1-phosphatase	1268.68
UniRef50_Q52309: Glucose-1-phosphatase|unclassified	1268.68
UniRef50_Q01VN6: Uronate isomerase	1258.6
UniRef50_Q01VN6: Uronate isomerase|unclassified	1258.6
UniRef50_K8C5B5	1257.9
