# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-RPKs
UniRef50_A8FNY3: Enolase	742.3533496825
UniRef50_A8FNY3: Enolase|unclassified	742.3533496825
UniRef50_S8L2L1	725.8343021866
UniRef50_S8L2L1|unclassified	725.8343021866
UniRef50_Q92263: Glyceraldehyde-3-phosphate dehydrogenase	725.1048955023
UniRef50_Q92263: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	725.1048955023
UniRef50_S8L050	721.5985912838
UniRef50_S8L050|unclassified	721.5985912838
UniRef50_P46796: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	712.2511400414
UniRef50_P46796: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	712.2511400414
UniRef50_UPI0003B396E9: pyruvate kinase, partial	707.4400518979
UniRef50_UPI0003B396E9: pyruvate kinase, partial|unclassified	707.4400518979
UniRef50_A0A022NN79: Putative transcriptional regulator	703.7383244915
UniRef50_A0A022NN79: Putative transcriptional regulator|unclassified	703.7383244915
UniRef50_C5BEL3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	697.2380626162
UniRef50_C5BEL3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	697.2380626162
UniRef50_UPI0003C13A7A: PREDICTED: enolase-like	691.7284230058
UniRef50_UPI0003C13A7A: PREDICTED: enolase-like|unclassified	691.7284230058
UniRef50_Q02499: Pyruvate kinase	689.2570541014
UniRef50_Q02499: Pyruvate kinase|unclassified	689.2570541014
UniRef50_UPI0001632402: hypothetical protein	684.1768922232
UniRef50_UPI0001632402: hypothetical protein|unclassified	684.1768922232
UniRef50_Q21YW0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	676.0841565279
UniRef50_Q21YW0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	676.0841565279
UniRef50_P80885: Pyruvate kinase	668.6147615850
UniRef50_P80885: Pyruvate kinase|unclassified	668.6147615850
UniRef50_P49433: Glyceraldehyde-3-phosphate dehydrogenase 1	665.4266988494
UniRef50_P49433: Glyceraldehyde-3-phosphate dehydrogenase 1|unclassified	665.4266988494
UniRef50_P40924: Phosphoglycerate kinase	649.5132665620
UniRef50_P40924: Phosphoglycerate kinase|unclassified	649.5132665620
UniRef50_P16858: Glyceraldehyde-3-phosphate dehydrogenase	647.7015635943
UniRef50_P16858: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	647.7015635943
UniRef50_Q7VQH3: Enolase	639.7033097529
UniRef50_Q7VQH3: Enolase|unclassified	639.7033097529
UniRef50_P39773: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	635.5773686580
UniRef50_P39773: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	635.5773686580
UniRef50_Q8Y2I3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	630.7642911943
UniRef50_Q8Y2I3: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	630.7642911943
UniRef50_P00358: Glyceraldehyde-3-phosphate dehydrogenase 2	625.2987610920
UniRef50_P00358: Glyceraldehyde-3-phosphate dehydrogenase 2|unclassified	625.2987610920
UniRef50_UPI000225F036: galactarate dehydratase	620.9961610583
UniRef50_UPI000225F036: galactarate dehydratase|unclassified	620.9961610583
UniRef50_UPI000373BE23: glyceraldehyde-3-phosphate dehydrogenase, partial	619.9342761943
UniRef50_UPI000373BE23: glyceraldehyde-3-phosphate dehydrogenase, partial|unclassified	619.9342761943
UniRef50_P70685: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	610.7878758502
UniRef50_P70685: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	610.7878758502
UniRef50_O57672: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)	609.6699387579
UniRef50_O57672: Glyceraldehyde-3-phosphate dehydrogenase (Fragment)|unclassified	609.6699387579
UniRef50_Q8FV09: Glucokinase	606.8037674160
UniRef50_Q8FV09: Glucokinase|unclassified	606.8037674160
UniRef50_UPI00029AFD70: pyruvate kinase, partial	606.2055803827
UniRef50_UPI00029AFD70: pyruvate kinase, partial|unclassified	606.2055803827
UniRef50_UPI0003699B67: aldehyde dehydrogenase, partial	605.3788267088
UniRef50_UPI0003699B67: aldehyde dehydrogenase, partial|unclassified	605.3788267088
UniRef50_B8H5V4: Uronate isomerase	595.5455342199
UniRef50_B8H5V4: Uronate isomerase|unclassified	595.5455342199
UniRef50_Q7NAY0: Enolase	575.7654286242
UniRef50_Q7NAY0: Enolase|unclassified	575.7654286242
UniRef50_UPI00041029A7: dioxygenase	575.0185496891
UniRef50_UPI00041029A7: dioxygenase|unclassified	575.0185496891
UniRef50_W7WRU0	573.7083697287
UniRef50_W7WRU0|unclassified	573.7083697287
UniRef50_UPI0003167F12: mannonate dehydratase	571.7517578393
UniRef50_UPI0003167F12: mannonate dehydratase|unclassified	571.7517578393
UniRef50_UPI00046B9AFC: PREDICTED: aldose 1-epimerase-like	571.2191508687
UniRef50_UPI00046B9AFC: PREDICTED: aldose 1-epimerase-like|unclassified	571.2191508687
UniRef50_UPI00039F1ADB: pyruvate kinase	570.4547283031
UniRef50_UPI00039F1ADB: pyruvate kinase|unclassified	570.4547283031
UniRef50_A9WJ95: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	569.5937825011
UniRef50_A9WJ95: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	569.5937825011
UniRef50_Q9UVC0: Glyceraldehyde-3-phosphate dehydrogenase	567.9817816893
UniRef50_Q9UVC0: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	567.9817816893
UniRef50_UPI0002890C90: pyruvate kinase	565.6457678994
UniRef50_UPI0002890C90: pyruvate kinase|unclassified	565.6457678994
UniRef50_F3R1P4	565.3079106628
UniRef50_F3R1P4|unclassified	565.3079106628
UniRef50_Q6CX23: Glyceraldehyde-3-phosphate dehydrogenase 2	559.8472336341
UniRef50_Q6CX23: Glyceraldehyde-3-phosphate dehydrogenase 2|unclassified	559.8472336341
UniRef50_Q9LPW0: Glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic	557.7474833302
UniRef50_Q9LPW0: Glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic|unclassified	557.7474833302
UniRef50_UPI00046591E2: D-mannonate oxidoreductase	556.2691145449
UniRef50_UPI00046591E2: D-mannonate oxidoreductase|unclassified	556.2691145449
UniRef50_A6L050: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	554.9572527325
UniRef50_A6L050: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	554.9572527325
UniRef50_UPI00046D0423: mannonate dehydratase, partial	551.2487437828
UniRef50_UPI00046D0423: mannonate dehydratase, partial|unclassified	551.2487437828
UniRef50_O30885: Enolase (Fragment)	548.6773263449
UniRef50_O30885: Enolase (Fragment)|unclassified	548.6773263449
UniRef50_P17330: Glyceraldehyde-3-phosphate dehydrogenase 3	547.6420607788
UniRef50_P17330: Glyceraldehyde-3-phosphate dehydrogenase 3|unclassified	547.6420607788
UniRef50_Q9FX54: Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic	547.3465943937
UniRef50_Q9FX54: Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic|unclassified	547.3465943937
UniRef50_Q8PYF8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	547.1054165265
UniRef50_Q8PYF8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	547.1054165265
UniRef50_Q2L0A6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	546.2992575797
UniRef50_Q2L0A6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	546.2992575797
UniRef50_Q5FL50: Phosphoglycerate kinase	544.5855378084
UniRef50_Q5FL50: Phosphoglycerate kinase|unclassified	544.5855378084
UniRef50_UPI0003C175AF	534.3843902038
UniRef50_UPI0003C175AF|unclassified	534.3843902038
UniRef50_O05118: Pyruvate kinase	533.8121565193
UniRef50_O05118: Pyruvate kinase|unclassified	533.8121565193
UniRef50_UPI00037BB913: hypothetical protein	532.1162076988
UniRef50_UPI00037BB913: hypothetical protein|unclassified	532.1162076988
UniRef50_UPI00039F3F14: hypothetical protein	531.6904059780
UniRef50_UPI00039F3F14: hypothetical protein|unclassified	531.6904059780
UniRef50_UPI000370057F: hypothetical protein	524.6206584811
UniRef50_UPI000370057F: hypothetical protein|unclassified	524.6206584811
UniRef50_UPI00046BB579	524.4338727390
UniRef50_UPI00046BB579|unclassified	524.4338727390
UniRef50_P31765: Aldose 1-epimerase	518.6974968878
UniRef50_P31765: Aldose 1-epimerase|unclassified	518.6974968878
UniRef50_UPI0001BC8F53: aldehyde dehydrogenase family protein, partial	514.9628848198
UniRef50_UPI0001BC8F53: aldehyde dehydrogenase family protein, partial|unclassified	514.9628848198
UniRef50_P48812: Glyceraldehyde-3-phosphate dehydrogenase	512.6777740577
UniRef50_P48812: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	512.6777740577
UniRef50_O08309: Pyruvate kinase	511.3314847646
UniRef50_O08309: Pyruvate kinase|unclassified	511.3314847646
UniRef50_UPI00046922A8: hypothetical protein	510.5090017036
UniRef50_UPI00046922A8: hypothetical protein|unclassified	510.5090017036
UniRef50_Q82ZC9: Mannonate dehydratase	508.3927861749
UniRef50_Q82ZC9: Mannonate dehydratase|unclassified	508.3927861749
UniRef50_P18669: Phosphoglycerate mutase 1	504.5650193204
UniRef50_P18669: Phosphoglycerate mutase 1|unclassified	504.5650193204
UniRef50_UPI0002376CDB: mannitol dehydrogenase domain-containing protein, partial	502.3429825995
UniRef50_UPI0002376CDB: mannitol dehydrogenase domain-containing protein, partial|unclassified	502.3429825995
UniRef50_Q88YH5: Phosphoglycerate kinase	501.1955335321
UniRef50_Q88YH5: Phosphoglycerate kinase|unclassified	501.1955335321
UniRef50_UPI00046B847F: PREDICTED: LOW QUALITY PROTEIN: glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic-like	495.8233781634
UniRef50_UPI00046B847F: PREDICTED: LOW QUALITY PROTEIN: glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic-like|unclassified	495.8233781634
UniRef50_Q9LD57: Phosphoglycerate kinase 1, chloroplastic	492.2545459845
UniRef50_Q9LD57: Phosphoglycerate kinase 1, chloroplastic|unclassified	492.2545459845
UniRef50_P12782: Phosphoglycerate kinase, chloroplastic	489.9616979153
UniRef50_P12782: Phosphoglycerate kinase, chloroplastic|unclassified	489.9616979153
UniRef50_UPI000463FB21: hypothetical protein, partial	486.9604896466
UniRef50_UPI000463FB21: hypothetical protein, partial|unclassified	486.9604896466
UniRef50_O34808: Uronate isomerase	486.8918409795
UniRef50_O34808: Uronate isomerase|unclassified	486.8918409795
UniRef50_P63336: 6-phosphogluconolactonase	483.8428805288
UniRef50_P63336: 6-phosphogluconolactonase|unclassified	483.8428805288
UniRef50_UPI00047A67C4: D-mannonate oxidoreductase	478.5046023571
UniRef50_UPI00047A67C4: D-mannonate oxidoreductase|unclassified	478.5046023571
UniRef50_P73534: Pyruvate kinase 2	478.2587756687
UniRef50_P73534: Pyruvate kinase 2|unclassified	478.2587756687
UniRef50_P15259: Phosphoglycerate mutase 2	470.7827952182
UniRef50_P15259: Phosphoglycerate mutase 2|unclassified	470.7827952182
UniRef50_Q03U06: Mannonate dehydratase	465.1396422994
UniRef50_Q03U06: Mannonate dehydratase|unclassified	465.1396422994
UniRef50_UPI0003777879: hypothetical protein, partial	459.9100060016
UniRef50_UPI0003777879: hypothetical protein, partial|unclassified	459.9100060016
UniRef50_J2DHG3	458.4746184000
UniRef50_J2DHG3|unclassified	458.4746184000
UniRef50_Q82GB8: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	458.4073926053
UniRef50_Q82GB8: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	458.4073926053
UniRef50_B4U238: Mannonate dehydratase	454.5408245166
UniRef50_B4U238: Mannonate dehydratase|unclassified	454.5408245166
UniRef50_A4IP74: Mannonate dehydratase	451.8979028528
UniRef50_A4IP74: Mannonate dehydratase|unclassified	451.8979028528
UniRef50_C0RMJ1: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	446.6329956888
UniRef50_C0RMJ1: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	446.6329956888
UniRef50_UPI00036D6A4E: hypothetical protein	445.7728516693
UniRef50_UPI00036D6A4E: hypothetical protein|unclassified	445.7728516693
UniRef50_Q89AK1: Glyceraldehyde-3-phosphate dehydrogenase	444.7214550477
UniRef50_Q89AK1: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	444.7214550477
UniRef50_P74618: 6-phosphogluconolactonase	441.0139697940
UniRef50_P74618: 6-phosphogluconolactonase|unclassified	441.0139697940
UniRef50_Q1DCX8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	440.2450626471
UniRef50_Q1DCX8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	440.2450626471
UniRef50_Q9SAJ6: Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic	439.8929141874
UniRef50_Q9SAJ6: Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic|unclassified	439.8929141874
UniRef50_UPI000329916F: PREDICTED: betaine aldehyde dehydrogenase-like	438.1310939345
UniRef50_UPI000329916F: PREDICTED: betaine aldehyde dehydrogenase-like|unclassified	438.1310939345
UniRef50_UPI00037CB5D1: hypothetical protein, partial	437.0919082352
UniRef50_UPI00037CB5D1: hypothetical protein, partial|unclassified	437.0919082352
UniRef50_UPI000203B972: PREDICTED: beta-enolase-like, partial	436.5400406023
UniRef50_UPI000203B972: PREDICTED: beta-enolase-like, partial|unclassified	436.5400406023
UniRef50_P57525: Phosphoglycerate kinase	436.3034787026
UniRef50_P57525: Phosphoglycerate kinase|unclassified	436.3034787026
UniRef50_Q46289: Pyruvate kinase	429.5145441335
UniRef50_Q46289: Pyruvate kinase|unclassified	429.5145441335
UniRef50_Q8G6D6: Phosphoglycerate kinase	427.4148203078
UniRef50_Q8G6D6: Phosphoglycerate kinase|unclassified	427.4148203078
UniRef50_Q8XP14: Uronate isomerase	413.6160016324
UniRef50_Q8XP14: Uronate isomerase|unclassified	413.6160016324
UniRef50_UPI0003C18E63: PREDICTED: aldehyde dehydrogenase family 2 member B7, mitochondrial-like, partial	412.8264611542
UniRef50_UPI0003C18E63: PREDICTED: aldehyde dehydrogenase family 2 member B7, mitochondrial-like, partial|unclassified	412.8264611542
UniRef50_UPI0001BF61FF: hypothetical protein SMAC_10357, partial	412.7667988448
UniRef50_UPI0001BF61FF: hypothetical protein SMAC_10357, partial|unclassified	412.7667988448
UniRef50_UPI00047359FA: hypothetical protein, partial	412.1735124028
UniRef50_UPI00047359FA: hypothetical protein, partial|unclassified	412.1735124028
UniRef50_W8VUA9: Carotenogenesis protein	411.9149323123
UniRef50_W8VUA9: Carotenogenesis protein|unclassified	411.9149323123
UniRef50_P25857: Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic	409.1474617611
UniRef50_P25857: Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic|unclassified	409.1474617611
UniRef50_Q3JY00: CarR	408.3251066199
UniRef50_Q3JY00: CarR|unclassified	408.3251066199
UniRef50_UPI00037AEB63: hypothetical protein	403.5501928545
UniRef50_UPI00037AEB63: hypothetical protein|unclassified	403.5501928545
UniRef50_UPI0002BB4E0B: hypothetical protein	402.7428068670
UniRef50_UPI0002BB4E0B: hypothetical protein|unclassified	402.7428068670
UniRef50_P9WKE4: Pyruvate kinase	400.4083032588
UniRef50_P9WKE4: Pyruvate kinase|unclassified	400.4083032588
UniRef50_UPI0003D3D76C: hypothetical protein, partial	399.4452562331
UniRef50_UPI0003D3D76C: hypothetical protein, partial|unclassified	399.4452562331
UniRef50_P36204: Bifunctional PGK/TIM	399.0109970535
UniRef50_P36204: Bifunctional PGK/TIM|unclassified	399.0109970535
UniRef50_UPI000376D240: hypothetical protein	396.1190634309
UniRef50_UPI000376D240: hypothetical protein|unclassified	396.1190634309
UniRef50_UPI0003C10787	395.0268163991
UniRef50_UPI0003C10787|unclassified	395.0268163991
UniRef50_U5TVZ7: GapA (Fragment)	394.7746244185
UniRef50_U5TVZ7: GapA (Fragment)|unclassified	394.7746244185
UniRef50_P23883: Aldehyde dehydrogenase PuuC	394.3897036837
UniRef50_P23883: Aldehyde dehydrogenase PuuC|unclassified	394.3897036837
UniRef50_W0TB16: DNA mismatch repair protein Msh6-1	391.3810285559
UniRef50_W0TB16: DNA mismatch repair protein Msh6-1|unclassified	391.3810285559
UniRef50_B1W0Z3: Phosphoglycerate kinase	390.8412280265
UniRef50_B1W0Z3: Phosphoglycerate kinase|unclassified	390.8412280265
UniRef50_UPI00021A5F88: PREDICTED: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like	388.7344236420
UniRef50_UPI00021A5F88: PREDICTED: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like|unclassified	388.7344236420
UniRef50_Q9PEG4: Glucokinase	386.4589128409
UniRef50_Q9PEG4: Glucokinase|unclassified	386.4589128409
UniRef50_Q0ALQ9: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	385.7560180519
