# Gene Family	SampleBacterial_Cytoskeleton_Abundance-RPKs
UniRef50_UPI00022CAA60: PREDICTED: septum site-determining protein minD-like	1306.7525444230
UniRef50_UPI00022CAA60: PREDICTED: septum site-determining protein minD-like|unclassified	1306.7525444230
UniRef50_UPI0003C1873C: PREDICTED: putative septum site-determining protein MinD-like	1202.3100226120
UniRef50_UPI0003C1873C: PREDICTED: putative septum site-determining protein MinD-like|unclassified	1202.3100226120
UniRef50_UPI0004782333: cell division protein FtsL	1085.7724284466
UniRef50_UPI0004782333: cell division protein FtsL|unclassified	1085.7724284466
UniRef50_UPI00044220EA: PREDICTED: putative septum site-determining protein MinD-like	1077.3449628287
UniRef50_UPI00044220EA: PREDICTED: putative septum site-determining protein MinD-like|unclassified	1077.3449628287
UniRef50_UPI0002192B8A: rod shape-determining protein MreB	1074.2454311323
UniRef50_UPI0002192B8A: rod shape-determining protein MreB|unclassified	1074.2454311323
UniRef50_UPI00029A86C1: cell division protein FtsZ, partial	1035.1303362827
UniRef50_UPI00029A86C1: cell division protein FtsZ, partial|unclassified	1035.1303362827
UniRef50_X1DXL5: Marine sediment metagenome DNA, contig: S03H2_C00028	1020.5657760382
UniRef50_X1DXL5: Marine sediment metagenome DNA, contig: S03H2_C00028|unclassified	1020.5657760382
UniRef50_UPI000369A6CD: hypothetical protein	1016.5975130373
UniRef50_UPI000369A6CD: hypothetical protein|unclassified	1016.5975130373
UniRef50_UPI000307E33C: hypothetical protein	966.8596067468
UniRef50_UPI000307E33C: hypothetical protein|unclassified	966.8596067468
UniRef50_L5MTD0: Septum site-determining protein MinD	964.3840458196
UniRef50_L5MTD0: Septum site-determining protein MinD|unclassified	964.3840458196
UniRef50_UPI0003706E72: hypothetical protein, partial	960.8975000628
UniRef50_UPI0003706E72: hypothetical protein, partial|unclassified	960.8975000628
UniRef50_R6D662	940.9461444675
UniRef50_R6D662|unclassified	940.9461444675
UniRef50_W5X9K0: Cell division protein FtsZ	938.1379900131
UniRef50_W5X9K0: Cell division protein FtsZ|unclassified	938.1379900131
UniRef50_UPI0003B5B7E6: cell division protein FtsB	934.1344014549
UniRef50_UPI0003B5B7E6: cell division protein FtsB|unclassified	934.1344014549
UniRef50_UPI0002483870: rod shape-determining protein MreB	909.0353361872
UniRef50_UPI0002483870: rod shape-determining protein MreB|unclassified	909.0353361872
UniRef50_G9QMJ3: Septum site-determining protein divIVA	900.5390216260
UniRef50_G9QMJ3: Septum site-determining protein divIVA|unclassified	900.5390216260
UniRef50_UPI0003673956: cell division protein FtsL	897.9219966109
UniRef50_UPI0003673956: cell division protein FtsL|unclassified	897.9219966109
UniRef50_UPI00047CC903: hypothetical protein	872.9478863076
UniRef50_UPI00047CC903: hypothetical protein|unclassified	872.9478863076
UniRef50_UPI0003637A82: hypothetical protein	868.0527214768
UniRef50_UPI0003637A82: hypothetical protein|unclassified	868.0527214768
UniRef50_UPI00026C726F: cell division protein FtsZ	835.8990835240
UniRef50_UPI00026C726F: cell division protein FtsZ|unclassified	835.8990835240
UniRef50_UPI0003C1128E	834.9104778591
UniRef50_UPI0003C1128E|unclassified	834.9104778591
UniRef50_UPI0003B4D897: rod shape-determining protein MreB	828.2085268526
UniRef50_UPI0003B4D897: rod shape-determining protein MreB|unclassified	828.2085268526
UniRef50_UPI000468BC8D: cell division protein FtsA	811.5117683457
UniRef50_UPI000468BC8D: cell division protein FtsA|unclassified	811.5117683457
UniRef50_N0EMT0: Septum site-determining protein minD	804.1148332559
UniRef50_N0EMT0: Septum site-determining protein minD|unclassified	804.1148332559
UniRef50_UPI000474A8F2: rod shape-determining protein MreC	803.2239318815
UniRef50_UPI000474A8F2: rod shape-determining protein MreC|unclassified	803.2239318815
UniRef50_K2FJL5	794.1741376396
UniRef50_K2FJL5|unclassified	794.1741376396
UniRef50_UPI0003B65FB6: MULTISPECIES: cell division protein FtsZ	785.5831433627
UniRef50_UPI0003B65FB6: MULTISPECIES: cell division protein FtsZ|unclassified	785.5831433627
UniRef50_UPI000299FB2E: cell division protein MraZ	784.4915142598
UniRef50_UPI000299FB2E: cell division protein MraZ|unclassified	784.4915142598
UniRef50_L5MR64: Septum site-determining protein MinD	783.2211709617
UniRef50_L5MR64: Septum site-determining protein MinD|unclassified	783.2211709617
UniRef50_M3UEH0	756.4299180649
UniRef50_M3UEH0|unclassified	756.4299180649
UniRef50_UPI000472066C: hypothetical protein	754.6512902752
UniRef50_UPI000472066C: hypothetical protein|unclassified	754.6512902752
UniRef50_UPI000464F5B2: hypothetical protein	738.0740456000
UniRef50_UPI000464F5B2: hypothetical protein|unclassified	738.0740456000
UniRef50_UPI00046E6362: hypothetical protein, partial	725.9356791120
UniRef50_UPI00046E6362: hypothetical protein, partial|unclassified	725.9356791120
UniRef50_X1TEP3: Marine sediment metagenome DNA, contig: S12H4_S17133 (Fragment)	724.8098772846
UniRef50_X1TEP3: Marine sediment metagenome DNA, contig: S12H4_S17133 (Fragment)|unclassified	724.8098772846
UniRef50_UPI000380E1DF: hypothetical protein	717.5261853795
UniRef50_UPI000380E1DF: hypothetical protein|unclassified	717.5261853795
UniRef50_UPI000474DD16: septum formation protein Maf	708.5897398212
UniRef50_UPI000474DD16: septum formation protein Maf|unclassified	708.5897398212
UniRef50_X1H2D4: Marine sediment metagenome DNA, contig: S03H2_S07797 (Fragment)	704.4528271898
UniRef50_X1H2D4: Marine sediment metagenome DNA, contig: S03H2_S07797 (Fragment)|unclassified	704.4528271898
UniRef50_UPI00047BBE8D: MraZ family transcriptional regulator	671.2168169284
UniRef50_UPI00047BBE8D: MraZ family transcriptional regulator|unclassified	671.2168169284
UniRef50_M1Z6J0	669.4703124682
UniRef50_M1Z6J0|unclassified	669.4703124682
UniRef50_A0A010HJU7: CobQ/CobB/MinD/ParA nucleotide binding domain protein	608.9172249147
UniRef50_A0A010HJU7: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	608.9172249147
UniRef50_UPI000476C43C: cell division protein FtsZ	595.9116493666
UniRef50_UPI000476C43C: cell division protein FtsZ|unclassified	595.9116493666
UniRef50_A0A011MRC3: DNA translocase FtsK	592.0455163991
UniRef50_A0A011MRC3: DNA translocase FtsK|unclassified	592.0455163991
UniRef50_UPI0003761E42: cell division protein FtsA	589.4013984423
UniRef50_UPI0003761E42: cell division protein FtsA|unclassified	589.4013984423
UniRef50_UPI00046E6F35: stage V sporulation protein E, partial	585.9156887594
UniRef50_UPI00046E6F35: stage V sporulation protein E, partial|unclassified	585.9156887594
UniRef50_UPI00047E57D8: hypothetical protein	579.1764534622
UniRef50_UPI00047E57D8: hypothetical protein|unclassified	579.1764534622
UniRef50_UPI0003B6E323: cell division protein FtsZ	548.5955368211
UniRef50_UPI0003B6E323: cell division protein FtsZ|unclassified	548.5955368211
UniRef50_UPI00047C1287: septum formation inhibitor Maf	544.4790545682
UniRef50_UPI00047C1287: septum formation inhibitor Maf|unclassified	544.4790545682
UniRef50_UPI00047413BD: septum site-determining protein MinD, partial	542.9830245107
UniRef50_UPI00047413BD: septum site-determining protein MinD, partial|unclassified	542.9830245107
UniRef50_UPI0003750954: hypothetical protein	536.6916145328
UniRef50_UPI0003750954: hypothetical protein|unclassified	536.6916145328
UniRef50_UPI00026276DF: cell division protein FtsZ	532.4974889259
UniRef50_UPI00026276DF: cell division protein FtsZ|unclassified	532.4974889259
UniRef50_UPI00037DB63E: hypothetical protein, partial	526.6269161607
UniRef50_UPI00037DB63E: hypothetical protein, partial|unclassified	526.6269161607
UniRef50_UPI0004772261: cell division protein FtsK	519.0537750548
UniRef50_UPI0004772261: cell division protein FtsK|unclassified	519.0537750548
UniRef50_UPI0004766D5F: cell division protein MraZ	518.1185627420
UniRef50_UPI0004766D5F: cell division protein MraZ|unclassified	518.1185627420
UniRef50_T1UAY5: CobQ/CobB/MinD/ParA nucleotide binding domain protein	505.7185759523
UniRef50_T1UAY5: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	505.7185759523
UniRef50_UPI00036A8D0A: hypothetical protein	503.7980356657
UniRef50_UPI00036A8D0A: hypothetical protein|unclassified	503.7980356657
UniRef50_UPI0003B33F05: cell division protein FtsW, partial	501.9278961150
UniRef50_UPI0003B33F05: cell division protein FtsW, partial|unclassified	501.9278961150
UniRef50_UPI0003114821: hypothetical protein	493.0424613984
UniRef50_UPI0003114821: hypothetical protein|unclassified	493.0424613984
UniRef50_W5X4C3: Aspartate carbamoyltransferase catalytic subunit	483.6611922602
UniRef50_W5X4C3: Aspartate carbamoyltransferase catalytic subunit|unclassified	483.6611922602
UniRef50_UPI0003B768FC: septum formation protein Maf	482.3796889582
UniRef50_UPI0003B768FC: septum formation protein Maf|unclassified	482.3796889582
UniRef50_UPI000190FD03: cell division protein FtsW, putative, partial	478.8971846256
UniRef50_UPI000190FD03: cell division protein FtsW, putative, partial|unclassified	478.8971846256
UniRef50_UPI000395A4C6: Z-ring-associated protein ZapA	477.3375276296
UniRef50_UPI000395A4C6: Z-ring-associated protein ZapA|unclassified	477.3375276296
UniRef50_UPI0003178DCE: hypothetical protein	473.1130509058
UniRef50_UPI0003178DCE: hypothetical protein|unclassified	473.1130509058
UniRef50_UPI0003B70C5F: cell division protein MraZ	472.0408452540
UniRef50_UPI0003B70C5F: cell division protein MraZ|unclassified	472.0408452540
UniRef50_UPI00037F2BD0: septum formation protein Maf, partial	467.6505314238
UniRef50_UPI00037F2BD0: septum formation protein Maf, partial|unclassified	467.6505314238
UniRef50_UPI0002B93680: hypothetical protein, partial	466.5946907059
UniRef50_UPI0002B93680: hypothetical protein, partial|unclassified	466.5946907059
UniRef50_C3GPJ1: Rod shape-determining protein MreC	462.2029841418
UniRef50_C3GPJ1: Rod shape-determining protein MreC|unclassified	462.2029841418
UniRef50_X0W4H5: Marine sediment metagenome DNA, contig: S01H1_S21311 (Fragment)	456.4133096726
UniRef50_X0W4H5: Marine sediment metagenome DNA, contig: S01H1_S21311 (Fragment)|unclassified	456.4133096726
UniRef50_UPI0003B55CF3: cell division protein MraZ	455.9825615080
UniRef50_UPI0003B55CF3: cell division protein MraZ|unclassified	455.9825615080
UniRef50_UPI00040EC037: cell division protein FtsA	454.1506789773
UniRef50_UPI00040EC037: cell division protein FtsA|unclassified	454.1506789773
UniRef50_UPI00035FE90B: hypothetical protein	450.8029318136
UniRef50_UPI00035FE90B: hypothetical protein|unclassified	450.8029318136
UniRef50_UPI00047190EE: cell division protein ZipA, partial	447.3397714897
UniRef50_UPI00047190EE: cell division protein ZipA, partial|unclassified	447.3397714897
UniRef50_K0UP39: ParB-like partition protein (Fragment)	444.9936864248
UniRef50_K0UP39: ParB-like partition protein (Fragment)|unclassified	444.9936864248
UniRef50_UPI00037003C0: hypothetical protein	440.8169102987
UniRef50_UPI00037003C0: hypothetical protein|unclassified	440.8169102987
UniRef50_UPI0003B60FA3: cell division protein FtsK	435.8188198279
UniRef50_UPI0003B60FA3: cell division protein FtsK|unclassified	435.8188198279
UniRef50_UPI0003785F11: hypothetical protein	413.5331086268
UniRef50_UPI0003785F11: hypothetical protein|unclassified	413.5331086268
UniRef50_K2DR15: Septum site-determining protein MinD	413.4802612513
UniRef50_K2DR15: Septum site-determining protein MinD|unclassified	413.4802612513
UniRef50_UPI00035CF64D: hypothetical protein	413.0559354311
UniRef50_UPI00035CF64D: hypothetical protein|unclassified	413.0559354311
UniRef50_UPI0003B69380: cell division protein FtsW	410.9948661970
UniRef50_UPI0003B69380: cell division protein FtsW|unclassified	410.9948661970
UniRef50_UPI0001CC064C: cell division protein, partial	410.9642778258
UniRef50_UPI0001CC064C: cell division protein, partial|unclassified	410.9642778258
UniRef50_UPI00029A5F9E: DNA segregation ATPase FtsK/SpoIIIE	406.7104465696
UniRef50_UPI00029A5F9E: DNA segregation ATPase FtsK/SpoIIIE|unclassified	406.7104465696
UniRef50_UPI0004708A3A: rod shape-determining protein MreC	401.2933269208
UniRef50_UPI0004708A3A: rod shape-determining protein MreC|unclassified	401.2933269208
UniRef50_UPI00047D7963: cell division protein FtsK	393.3675946714
UniRef50_UPI00047D7963: cell division protein FtsK|unclassified	393.3675946714
UniRef50_UPI00046F69B4: hypothetical protein	388.7431210708
UniRef50_UPI00046F69B4: hypothetical protein|unclassified	388.7431210708
UniRef50_UPI00047CD94E: cell cycle protein	386.2151937094
UniRef50_UPI00047CD94E: cell cycle protein|unclassified	386.2151937094
UniRef50_UPI000471CCC2: hypothetical protein	384.6015739645
UniRef50_UPI000471CCC2: hypothetical protein|unclassified	384.6015739645
UniRef50_UPI00046FEB49: septum site-determining protein MinD	381.4907816694
UniRef50_UPI00046FEB49: septum site-determining protein MinD|unclassified	381.4907816694
UniRef50_UPI00046775AB: rod shape-determining protein MreC	378.4284559202
UniRef50_UPI00046775AB: rod shape-determining protein MreC|unclassified	378.4284559202
UniRef50_UPI00046484FD: cell division protein FtsN	377.8215649855
UniRef50_UPI00046484FD: cell division protein FtsN|unclassified	377.8215649855
UniRef50_UPI000468717B: cell division inhibitor MinD	374.0377293076
UniRef50_UPI000468717B: cell division inhibitor MinD|unclassified	374.0377293076
UniRef50_UPI00046858B5: hypothetical protein	361.1904684016
UniRef50_UPI00046858B5: hypothetical protein|unclassified	361.1904684016
UniRef50_UPI000381DC49: hypothetical protein, partial	361.1773637657
UniRef50_UPI000381DC49: hypothetical protein, partial|unclassified	361.1773637657
UniRef50_UPI00020D9856: cell division protein MraZ	360.6476776589
UniRef50_UPI00020D9856: cell division protein MraZ|unclassified	360.6476776589
UniRef50_B1FRG0	359.4438676612
UniRef50_B1FRG0|unclassified	359.4438676612
UniRef50_UPI00046434D4: cell division protein FtsW, partial	356.6796271184
UniRef50_UPI00046434D4: cell division protein FtsW, partial|unclassified	356.6796271184
UniRef50_UPI0004738849: hypothetical protein	350.3087300693
UniRef50_UPI0004738849: hypothetical protein|unclassified	350.3087300693
UniRef50_UPI0004662556: hypothetical protein	348.4270476249
UniRef50_UPI0004662556: hypothetical protein|unclassified	348.4270476249
UniRef50_UPI000468B521: cell division protein DivIVA	347.4305137807
UniRef50_UPI000468B521: cell division protein DivIVA|unclassified	347.4305137807
UniRef50_F3Z9J3: Putative cell shape-determining protein MreB	346.2682465571
UniRef50_F3Z9J3: Putative cell shape-determining protein MreB|unclassified	346.2682465571
UniRef50_UPI00047DF512: cell division protein FtsK, partial	343.7019332311
UniRef50_UPI00047DF512: cell division protein FtsK, partial|unclassified	343.7019332311
UniRef50_UPI000470CD83: cell division protein FtsZ	336.2694597761
UniRef50_UPI000470CD83: cell division protein FtsZ|unclassified	336.2694597761
UniRef50_UPI000190BF88: DNA translocase FtsK, partial	336.1320937123
UniRef50_UPI000190BF88: DNA translocase FtsK, partial|unclassified	336.1320937123
UniRef50_X2ND35	334.3582529827
UniRef50_X2ND35|unclassified	334.3582529827
UniRef50_UPI0003B6C806: Maf	333.5652758708
UniRef50_UPI0003B6C806: Maf|unclassified	333.5652758708
UniRef50_UPI00035DF050: hypothetical protein, partial	332.3773443977
UniRef50_UPI00035DF050: hypothetical protein, partial|unclassified	332.3773443977
UniRef50_UPI00037B6D80: hypothetical protein	331.0219493483
UniRef50_UPI00037B6D80: hypothetical protein|unclassified	331.0219493483
UniRef50_UPI0004679606: cell division protein FtsQ	328.4958389742
UniRef50_UPI0004679606: cell division protein FtsQ|unclassified	328.4958389742
UniRef50_UPI00036EF299: hypothetical protein, partial	327.5602849266
UniRef50_UPI00036EF299: hypothetical protein, partial|unclassified	327.5602849266
UniRef50_W5XGU9: Cell division protein ftsA	323.7024669428
UniRef50_W5XGU9: Cell division protein ftsA|unclassified	323.7024669428
UniRef50_S6F554	323.2584056854
UniRef50_S6F554|unclassified	323.2584056854
UniRef50_H3ZZS6	322.0351140967
UniRef50_H3ZZS6|unclassified	322.0351140967
UniRef50_UPI000382037D: hypothetical protein, partial	321.8426416976
UniRef50_UPI000382037D: hypothetical protein, partial|unclassified	321.8426416976
UniRef50_UPI00016A31BA: cell shape determining protein, MreB/Mrl family, partial	320.3716760085
UniRef50_UPI00016A31BA: cell shape determining protein, MreB/Mrl family, partial|unclassified	320.3716760085
UniRef50_H3Z1X8: POTRA domain protein, FtsQ-type protein	319.5630367861
UniRef50_H3Z1X8: POTRA domain protein, FtsQ-type protein|unclassified	319.5630367861
UniRef50_UPI00036042FB: hypothetical protein	318.9705116871
UniRef50_UPI00036042FB: hypothetical protein|unclassified	318.9705116871
UniRef50_UPI0003665FD3: hypothetical protein	318.1293816736
UniRef50_UPI0003665FD3: hypothetical protein|unclassified	318.1293816736
UniRef50_UPI00046F9B3D: hypothetical protein, partial	315.3859733739
UniRef50_UPI00046F9B3D: hypothetical protein, partial|unclassified	315.3859733739
UniRef50_X1VGU5: Marine sediment metagenome DNA, contig: S12H4_S20048	314.5389858675
UniRef50_X1VGU5: Marine sediment metagenome DNA, contig: S12H4_S20048|unclassified	314.5389858675
UniRef50_UPI000464E008: septum formation inhibitor, partial	307.5241681887
UniRef50_UPI000464E008: septum formation inhibitor, partial|unclassified	307.5241681887
UniRef50_UPI0002F2F447: hypothetical protein	305.0706362004
UniRef50_UPI0002F2F447: hypothetical protein|unclassified	305.0706362004
UniRef50_UPI0003709D76: hypothetical protein, partial	301.9269690235
UniRef50_UPI0003709D76: hypothetical protein, partial|unclassified	301.9269690235
UniRef50_A5M700: SpoE family protein	298.8024323024
UniRef50_A5M700: SpoE family protein|unclassified	298.8024323024
UniRef50_UPI0003B47009: cell division protein MraZ	298.3922558102
UniRef50_UPI0003B47009: cell division protein MraZ|unclassified	298.3922558102
UniRef50_UPI0003B496B6: cell division protein FtsA	296.8775260515
UniRef50_UPI0003B496B6: cell division protein FtsA|unclassified	296.8775260515
UniRef50_UPI000262CCE7: cell division protein FtsW	296.5518523765
UniRef50_UPI000262CCE7: cell division protein FtsW|unclassified	296.5518523765
UniRef50_UPI0003704866: hypothetical protein	296.4922442282
UniRef50_UPI0003704866: hypothetical protein|unclassified	296.4922442282
UniRef50_UPI00046F1886: hypothetical protein, partial	295.2405090353
UniRef50_UPI00046F1886: hypothetical protein, partial|unclassified	295.2405090353
UniRef50_W4PBI0: Septum site-determining protein MinD	288.8222508511
UniRef50_W4PBI0: Septum site-determining protein MinD|unclassified	288.8222508511
UniRef50_UPI00042B224B: Tubulin/FtsZ family protein, putative isoform 4	287.1466781041
UniRef50_UPI00042B224B: Tubulin/FtsZ family protein, putative isoform 4|unclassified	287.1466781041
UniRef50_X1XS13	278.1638831350
UniRef50_X1XS13|unclassified	278.1638831350
UniRef50_X0VK74: Marine sediment metagenome DNA, contig: S01H1_S18033 (Fragment)	277.7141501375
UniRef50_X0VK74: Marine sediment metagenome DNA, contig: S01H1_S18033 (Fragment)|unclassified	277.7141501375
UniRef50_D0AY48: Predicted protein	274.7422964393
UniRef50_D0AY48: Predicted protein|unclassified	274.7422964393
UniRef50_UPI00036C1834: MULTISPECIES: hypothetical protein	274.1310556667
UniRef50_UPI00036C1834: MULTISPECIES: hypothetical protein|unclassified	274.1310556667
UniRef50_F9Q0T5: Rod shape-determining protein MreC family protein	272.8260610606
UniRef50_F9Q0T5: Rod shape-determining protein MreC family protein|unclassified	272.8260610606
UniRef50_UPI00016B0783: septum formation inhibitor, partial	269.4466787284
UniRef50_UPI00016B0783: septum formation inhibitor, partial|unclassified	269.4466787284
UniRef50_UPI0004783407: septum formation inhibitor	269.2359566581
UniRef50_UPI0004783407: septum formation inhibitor|unclassified	269.2359566581
UniRef50_UPI0003B34435: MULTISPECIES: cell division protein FtsA	269.1424473540
UniRef50_UPI0003B34435: MULTISPECIES: cell division protein FtsA|unclassified	269.1424473540
UniRef50_H3VTD6: Septum site-determining protein divIVA family protein	268.1092849956
UniRef50_H3VTD6: Septum site-determining protein divIVA family protein|unclassified	268.1092849956
UniRef50_UPI0003955E08: cell division protein FtsQ	264.9561890096
UniRef50_UPI0003955E08: cell division protein FtsQ|unclassified	264.9561890096
UniRef50_UPI000289B3D0: cell division protein FtsK	264.7649861945
UniRef50_UPI000289B3D0: cell division protein FtsK|unclassified	264.7649861945
UniRef50_S2QYM4: Septum site-determining protein MinD	264.6273044695
UniRef50_S2QYM4: Septum site-determining protein MinD|unclassified	264.6273044695
UniRef50_UPI000475BE04: septum formation inhibitor, partial	262.7189677526
UniRef50_UPI000475BE04: septum formation inhibitor, partial|unclassified	262.7189677526
UniRef50_UPI0003B43349: cell division protein FtsZ	262.1601106337
UniRef50_UPI0003B43349: cell division protein FtsZ|unclassified	262.1601106337
UniRef50_UPI0001911722: DNA translocase FtsK, partial	257.4843653390
UniRef50_UPI0001911722: DNA translocase FtsK, partial|unclassified	257.4843653390
UniRef50_X1H4N6: Marine sediment metagenome DNA, contig: S03H2_S02643	256.8407332871
UniRef50_X1H4N6: Marine sediment metagenome DNA, contig: S03H2_S02643|unclassified	256.8407332871
UniRef50_UPI00046817FE: cell division protein FtsB	254.2283083737
UniRef50_UPI00046817FE: cell division protein FtsB|unclassified	254.2283083737
UniRef50_F2N1G2	252.8791435654
UniRef50_F2N1G2|unclassified	252.8791435654
UniRef50_C0AMV6: POTRA domain, FtsQ-type	251.3892503598
UniRef50_C0AMV6: POTRA domain, FtsQ-type|unclassified	251.3892503598
UniRef50_U9X8D4	246.1175765746
UniRef50_U9X8D4|unclassified	246.1175765746
UniRef50_UPI00047C96F1: stage V sporulation protein E	245.7750713964
UniRef50_UPI00047C96F1: stage V sporulation protein E|unclassified	245.7750713964
UniRef50_O84586: ParA family protein CT_582	240.8514342996
UniRef50_O84586: ParA family protein CT_582|unclassified	240.8514342996
UniRef50_UPI00035C3F26: hypothetical protein	240.6322572906
UniRef50_UPI00035C3F26: hypothetical protein|unclassified	240.6322572906
UniRef50_UPI0003A4112D: cell division protein FtsZ	239.5303978133
UniRef50_UPI0003A4112D: cell division protein FtsZ|unclassified	239.5303978133
UniRef50_E3YI12: ABC-type amino acid transport system, permease component (Fragment)	236.6460628335
UniRef50_E3YI12: ABC-type amino acid transport system, permease component (Fragment)|unclassified	236.6460628335
UniRef50_UPI0004784379: cell division protein FtsK	236.2499313625
UniRef50_UPI0004784379: cell division protein FtsK|unclassified	236.2499313625
UniRef50_W2UVA5	233.0670825964
UniRef50_W2UVA5|unclassified	233.0670825964
UniRef50_UPI0003B56684: cell division protein FtsK	231.3317602038
UniRef50_UPI0003B56684: cell division protein FtsK|unclassified	231.3317602038
UniRef50_UPI00036FC676: hypothetical protein	230.1174727201
UniRef50_UPI00036FC676: hypothetical protein|unclassified	230.1174727201
UniRef50_UPI0003781309: hypothetical protein	228.2897405605
UniRef50_UPI0003781309: hypothetical protein|unclassified	228.2897405605
UniRef50_A0A011PMD7: DNA translocase FtsK	227.7187369793
UniRef50_A0A011PMD7: DNA translocase FtsK|unclassified	227.7187369793
UniRef50_S9QZA8	227.4009063047
UniRef50_S9QZA8|unclassified	227.4009063047
UniRef50_UPI0004680237: hypothetical protein	226.5433286751
UniRef50_UPI0004680237: hypothetical protein|unclassified	226.5433286751
UniRef50_UPI00041732E0: cell division protein FtsK	223.1891472451
UniRef50_UPI00041732E0: cell division protein FtsK|unclassified	223.1891472451
UniRef50_UPI0003629795: hypothetical protein	222.3239236746
UniRef50_UPI0003629795: hypothetical protein|unclassified	222.3239236746
UniRef50_UPI00023761C3: rod shape-determining protein MreC	221.2578965664
UniRef50_UPI00023761C3: rod shape-determining protein MreC|unclassified	221.2578965664
UniRef50_UPI0003775AA9: septum formation protein Maf, partial	221.2466570090
UniRef50_UPI0003775AA9: septum formation protein Maf, partial|unclassified	221.2466570090
UniRef50_F5WJA0	221.1689878786
UniRef50_F5WJA0|unclassified	221.1689878786
UniRef50_J1JV74	220.1634854392
UniRef50_J1JV74|unclassified	220.1634854392
UniRef50_UPI0002FEF59A: hypothetical protein	219.8445199912
UniRef50_UPI0002FEF59A: hypothetical protein|unclassified	219.8445199912
UniRef50_UPI000473F8FF: septum site-determining protein MinD, partial	219.5952687308
UniRef50_UPI000473F8FF: septum site-determining protein MinD, partial|unclassified	219.5952687308
UniRef50_UPI0002491344: cell division protein FtsK	218.9405064809
UniRef50_UPI0002491344: cell division protein FtsK|unclassified	218.9405064809
UniRef50_Q3JUJ9	218.7584563510
UniRef50_Q3JUJ9|unclassified	218.7584563510
UniRef50_E3PRK6: ATPase activator of MinC	218.5442317726
UniRef50_E3PRK6: ATPase activator of MinC|unclassified	218.5442317726
UniRef50_UPI00036FF9CE: hypothetical protein	217.9994495715
UniRef50_UPI00036FF9CE: hypothetical protein|unclassified	217.9994495715
UniRef50_UPI000370C797: hypothetical protein	217.9806922158
UniRef50_UPI000370C797: hypothetical protein|unclassified	217.9806922158
UniRef50_UPI000375AED4: hypothetical protein	217.1246034011
UniRef50_UPI000375AED4: hypothetical protein|unclassified	217.1246034011
UniRef50_UPI0000E0F4A6: cell division protein FtsQ	216.8247185884
UniRef50_UPI0000E0F4A6: cell division protein FtsQ|unclassified	216.8247185884
UniRef50_UPI000255A1DA: Maf-like protein	214.9778752137
UniRef50_UPI000255A1DA: Maf-like protein|unclassified	214.9778752137
UniRef50_UPI0002555E34: rod shape-determining protein MreC	214.2891838397
UniRef50_UPI0002555E34: rod shape-determining protein MreC|unclassified	214.2891838397
UniRef50_UPI0003B5369F: rod shape-determining protein MreC	214.2659609080
UniRef50_UPI0003B5369F: rod shape-determining protein MreC|unclassified	214.2659609080
UniRef50_UPI000468FDF0: cell division protein FtsK	214.0051231907
UniRef50_UPI000468FDF0: cell division protein FtsK|unclassified	214.0051231907
UniRef50_UPI0003B47482: septum formation protein Maf, partial	213.5169032720
UniRef50_UPI0003B47482: septum formation protein Maf, partial|unclassified	213.5169032720
UniRef50_UPI0003F75CDC: rod shape-determining protein MreC	213.2560586261
