# Gene Family	SampleBacterial_Cytoskeleton_Abundance-CPM
UniRef50_UPI00035CF64D: hypothetical protein|unclassified	1463.62
UniRef50_UPI0003B69380: cell division protein FtsW	1456.32
UniRef50_UPI0003B69380: cell division protein FtsW|unclassified	1456.32
UniRef50_UPI0001CC064C: cell division protein, partial	1456.21
UniRef50_UPI0001CC064C: cell division protein, partial|unclassified	1456.21
UniRef50_UPI00029A5F9E: DNA segregation ATPase FtsK/SpoIIIE	1441.14
UniRef50_UPI00029A5F9E: DNA segregation ATPase FtsK/SpoIIIE|unclassified	1441.14
UniRef50_UPI0004708A3A: rod shape-determining protein MreC	1421.94
UniRef50_UPI0004708A3A: rod shape-determining protein MreC|unclassified	1421.94
UniRef50_UPI00047D7963: cell division protein FtsK	1393.86
UniRef50_UPI00047D7963: cell division protein FtsK|unclassified	1393.86
UniRef50_UPI00046F69B4: hypothetical protein	1377.47
UniRef50_UPI00046F69B4: hypothetical protein|unclassified	1377.47
UniRef50_UPI00047CD94E: cell cycle protein	1368.51
UniRef50_UPI00047CD94E: cell cycle protein|unclassified	1368.51
UniRef50_UPI000471CCC2: hypothetical protein	1362.8
UniRef50_UPI000471CCC2: hypothetical protein|unclassified	1362.8
UniRef50_UPI00046FEB49: septum site-determining protein MinD	1351.77
UniRef50_UPI00046FEB49: septum site-determining protein MinD|unclassified	1351.77
UniRef50_UPI00046775AB: rod shape-determining protein MreC	1340.92
UniRef50_UPI00046775AB: rod shape-determining protein MreC|unclassified	1340.92
UniRef50_UPI00046484FD: cell division protein FtsN	1338.77
UniRef50_UPI00046484FD: cell division protein FtsN|unclassified	1338.77
UniRef50_UPI000468717B: cell division inhibitor MinD	1325.36
UniRef50_UPI000468717B: cell division inhibitor MinD|unclassified	1325.36
UniRef50_UPI00046858B5: hypothetical protein	1279.84
UniRef50_UPI00046858B5: hypothetical protein|unclassified	1279.84
UniRef50_UPI000381DC49: hypothetical protein, partial	1279.79
UniRef50_UPI000381DC49: hypothetical protein, partial|unclassified	1279.79
UniRef50_UPI00020D9856: cell division protein MraZ	1277.92
UniRef50_UPI00020D9856: cell division protein MraZ|unclassified	1277.92
UniRef50_B1FRG0	1273.65
UniRef50_B1FRG0|unclassified	1273.65
UniRef50_UPI00046434D4: cell division protein FtsW, partial	1263.86
UniRef50_UPI00046434D4: cell division protein FtsW, partial|unclassified	1263.86
UniRef50_UPI0004738849: hypothetical protein	1241.28
UniRef50_UPI0004738849: hypothetical protein|unclassified	1241.28
UniRef50_UPI0004662556: hypothetical protein	1234.61
UniRef50_UPI0004662556: hypothetical protein|unclassified	1234.61
UniRef50_UPI000468B521: cell division protein DivIVA	1231.08
UniRef50_UPI000468B521: cell division protein DivIVA|unclassified	1231.08
UniRef50_F3Z9J3: Putative cell shape-determining protein MreB	1226.97
UniRef50_F3Z9J3: Putative cell shape-determining protein MreB|unclassified	1226.97
UniRef50_UPI00047DF512: cell division protein FtsK, partial	1217.87
UniRef50_UPI00047DF512: cell division protein FtsK, partial|unclassified	1217.87
UniRef50_UPI000470CD83: cell division protein FtsZ	1191.54
UniRef50_UPI000470CD83: cell division protein FtsZ|unclassified	1191.54
UniRef50_UPI000190BF88: DNA translocase FtsK, partial	1191.05
UniRef50_UPI000190BF88: DNA translocase FtsK, partial|unclassified	1191.05
UniRef50_X2ND35	1184.76
UniRef50_X2ND35|unclassified	1184.76
UniRef50_UPI0003B6C806: Maf	1181.95
UniRef50_UPI0003B6C806: Maf|unclassified	1181.95
UniRef50_UPI00035DF050: hypothetical protein, partial	1177.74
UniRef50_UPI00035DF050: hypothetical protein, partial|unclassified	1177.74
UniRef50_UPI00037B6D80: hypothetical protein	1172.94
UniRef50_UPI00037B6D80: hypothetical protein|unclassified	1172.94
UniRef50_UPI0004679606: cell division protein FtsQ	1163.99
UniRef50_UPI0004679606: cell division protein FtsQ|unclassified	1163.99
UniRef50_UPI00036EF299: hypothetical protein, partial	1160.68
UniRef50_UPI00036EF299: hypothetical protein, partial|unclassified	1160.68
UniRef50_W5XGU9: Cell division protein ftsA	1147.01
UniRef50_W5XGU9: Cell division protein ftsA|unclassified	1147.01
UniRef50_S6F554	1145.43
UniRef50_S6F554|unclassified	1145.43
UniRef50_H3ZZS6	1141.1
UniRef50_H3ZZS6|unclassified	1141.1
UniRef50_UPI000382037D: hypothetical protein, partial	1140.42
UniRef50_UPI000382037D: hypothetical protein, partial|unclassified	1140.42
UniRef50_UPI00016A31BA: cell shape determining protein, MreB/Mrl family, partial	1135.2
UniRef50_UPI00016A31BA: cell shape determining protein, MreB/Mrl family, partial|unclassified	1135.2
UniRef50_H3Z1X8: POTRA domain protein, FtsQ-type protein	1132.34
UniRef50_H3Z1X8: POTRA domain protein, FtsQ-type protein|unclassified	1132.34
UniRef50_UPI00036042FB: hypothetical protein	1130.24
UniRef50_UPI00036042FB: hypothetical protein|unclassified	1130.24
UniRef50_UPI0003665FD3: hypothetical protein	1127.26
UniRef50_UPI0003665FD3: hypothetical protein|unclassified	1127.26
UniRef50_UPI00046F9B3D: hypothetical protein, partial	1117.54
UniRef50_UPI00046F9B3D: hypothetical protein, partial|unclassified	1117.54
UniRef50_X1VGU5: Marine sediment metagenome DNA, contig: S12H4_S20048	1114.54
UniRef50_X1VGU5: Marine sediment metagenome DNA, contig: S12H4_S20048|unclassified	1114.54
UniRef50_UPI000464E008: septum formation inhibitor, partial	1089.68
UniRef50_UPI000464E008: septum formation inhibitor, partial|unclassified	1089.68
UniRef50_UPI0002F2F447: hypothetical protein	1080.99
UniRef50_UPI0002F2F447: hypothetical protein|unclassified	1080.99
UniRef50_UPI0003709D76: hypothetical protein, partial	1069.85
UniRef50_UPI0003709D76: hypothetical protein, partial|unclassified	1069.85
UniRef50_A5M700: SpoE family protein	1058.78
UniRef50_A5M700: SpoE family protein|unclassified	1058.78
UniRef50_UPI0003B47009: cell division protein MraZ	1057.32
UniRef50_UPI0003B47009: cell division protein MraZ|unclassified	1057.32
UniRef50_UPI0003B496B6: cell division protein FtsA	1051.95
UniRef50_UPI0003B496B6: cell division protein FtsA|unclassified	1051.95
UniRef50_UPI000262CCE7: cell division protein FtsW	1050.8
UniRef50_UPI000262CCE7: cell division protein FtsW|unclassified	1050.8
UniRef50_UPI0003704866: hypothetical protein	1050.59
UniRef50_UPI0003704866: hypothetical protein|unclassified	1050.59
UniRef50_UPI00046F1886: hypothetical protein, partial	1046.15
UniRef50_UPI00046F1886: hypothetical protein, partial|unclassified	1046.15
UniRef50_W4PBI0: Septum site-determining protein MinD	1023.41
UniRef50_W4PBI0: Septum site-determining protein MinD|unclassified	1023.41
UniRef50_UPI00042B224B: Tubulin/FtsZ family protein, putative isoform 4	1017.47
UniRef50_UPI00042B224B: Tubulin/FtsZ family protein, putative isoform 4|unclassified	1017.47
UniRef50_X1XS13	985.645
UniRef50_X1XS13|unclassified	985.645
UniRef50_X0VK74: Marine sediment metagenome DNA, contig: S01H1_S18033 (Fragment)	984.051
UniRef50_X0VK74: Marine sediment metagenome DNA, contig: S01H1_S18033 (Fragment)|unclassified	984.051
UniRef50_D0AY48: Predicted protein	973.521
UniRef50_D0AY48: Predicted protein|unclassified	973.521
UniRef50_UPI00036C1834: MULTISPECIES: hypothetical protein	971.355
UniRef50_UPI00036C1834: MULTISPECIES: hypothetical protein|unclassified	971.355
UniRef50_F9Q0T5: Rod shape-determining protein MreC family protein	966.731
UniRef50_F9Q0T5: Rod shape-determining protein MreC family protein|unclassified	966.731
UniRef50_UPI00016B0783: septum formation inhibitor, partial	954.756
UniRef50_UPI00016B0783: septum formation inhibitor, partial|unclassified	954.756
UniRef50_UPI0004783407: septum formation inhibitor	954.009
UniRef50_UPI0004783407: septum formation inhibitor|unclassified	954.009
UniRef50_UPI0003B34435: MULTISPECIES: cell division protein FtsA	953.678
UniRef50_UPI0003B34435: MULTISPECIES: cell division protein FtsA|unclassified	953.678
UniRef50_H3VTD6: Septum site-determining protein divIVA family protein	950.017
UniRef50_H3VTD6: Septum site-determining protein divIVA family protein|unclassified	950.017
UniRef50_UPI0003955E08: cell division protein FtsQ	938.844
UniRef50_UPI0003955E08: cell division protein FtsQ|unclassified	938.844
UniRef50_UPI000289B3D0: cell division protein FtsK	938.167
UniRef50_UPI000289B3D0: cell division protein FtsK|unclassified	938.167
UniRef50_S2QYM4: Septum site-determining protein MinD	937.679
UniRef50_S2QYM4: Septum site-determining protein MinD|unclassified	937.679
UniRef50_UPI000475BE04: septum formation inhibitor, partial	930.917
UniRef50_UPI000475BE04: septum formation inhibitor, partial|unclassified	930.917
UniRef50_UPI0003B43349: cell division protein FtsZ	928.937
UniRef50_UPI0003B43349: cell division protein FtsZ|unclassified	928.937
UniRef50_UPI0001911722: DNA translocase FtsK, partial	912.369
UniRef50_UPI0001911722: DNA translocase FtsK, partial|unclassified	912.369
UniRef50_X1H4N6: Marine sediment metagenome DNA, contig: S03H2_S02643	910.088
UniRef50_X1H4N6: Marine sediment metagenome DNA, contig: S03H2_S02643|unclassified	910.088
UniRef50_UPI00046817FE: cell division protein FtsB	900.831
UniRef50_UPI00046817FE: cell division protein FtsB|unclassified	900.831
UniRef50_F2N1G2	896.051
UniRef50_F2N1G2|unclassified	896.051
UniRef50_C0AMV6: POTRA domain, FtsQ-type	890.771
UniRef50_C0AMV6: POTRA domain, FtsQ-type|unclassified	890.771
UniRef50_U9X8D4	872.092
UniRef50_U9X8D4|unclassified	872.092
UniRef50_UPI00047C96F1: stage V sporulation protein E	870.878
UniRef50_UPI00047C96F1: stage V sporulation protein E|unclassified	870.878
UniRef50_O84586: ParA family protein CT_582	853.432
UniRef50_O84586: ParA family protein CT_582|unclassified	853.432
UniRef50_UPI00035C3F26: hypothetical protein	852.655
UniRef50_UPI00035C3F26: hypothetical protein|unclassified	852.655
UniRef50_UPI0003A4112D: cell division protein FtsZ	848.751
UniRef50_UPI0003A4112D: cell division protein FtsZ|unclassified	848.751
UniRef50_E3YI12: ABC-type amino acid transport system, permease component (Fragment)	838.531
UniRef50_E3YI12: ABC-type amino acid transport system, permease component (Fragment)|unclassified	838.531
UniRef50_UPI0004784379: cell division protein FtsK	837.127
UniRef50_UPI0004784379: cell division protein FtsK|unclassified	837.127
UniRef50_W2UVA5	825.849
UniRef50_W2UVA5|unclassified	825.849
UniRef50_UPI0003B56684: cell division protein FtsK	819.7
UniRef50_UPI0003B56684: cell division protein FtsK|unclassified	819.7
UniRef50_UPI00036FC676: hypothetical protein	815.397
UniRef50_UPI00036FC676: hypothetical protein|unclassified	815.397
UniRef50_UPI0003781309: hypothetical protein	808.921
UniRef50_UPI0003781309: hypothetical protein|unclassified	808.921
UniRef50_A0A011PMD7: DNA translocase FtsK	806.897
UniRef50_A0A011PMD7: DNA translocase FtsK|unclassified	806.897
UniRef50_S9QZA8	805.771
UniRef50_S9QZA8|unclassified	805.771
UniRef50_UPI0004680237: hypothetical protein	802.733
UniRef50_UPI0004680237: hypothetical protein|unclassified	802.733
UniRef50_UPI00041732E0: cell division protein FtsK	790.847
UniRef50_UPI00041732E0: cell division protein FtsK|unclassified	790.847
UniRef50_UPI0003629795: hypothetical protein	787.782
UniRef50_UPI0003629795: hypothetical protein|unclassified	787.782
UniRef50_UPI00023761C3: rod shape-determining protein MreC	784.004
UniRef50_UPI00023761C3: rod shape-determining protein MreC|unclassified	784.004
UniRef50_UPI0003775AA9: septum formation protein Maf, partial	783.964
UniRef50_UPI0003775AA9: septum formation protein Maf, partial|unclassified	783.964
UniRef50_F5WJA0	783.689
UniRef50_F5WJA0|unclassified	783.689
UniRef50_J1JV74	780.126
UniRef50_J1JV74|unclassified	780.126
UniRef50_UPI0002FEF59A: hypothetical protein	778.996
UniRef50_UPI0002FEF59A: hypothetical protein|unclassified	778.996
UniRef50_UPI000473F8FF: septum site-determining protein MinD, partial	778.113
UniRef50_UPI000473F8FF: septum site-determining protein MinD, partial|unclassified	778.113
UniRef50_UPI0002491344: cell division protein FtsK	775.793
UniRef50_UPI0002491344: cell division protein FtsK|unclassified	775.793
UniRef50_Q3JUJ9	775.148
UniRef50_Q3JUJ9|unclassified	775.148
UniRef50_E3PRK6: ATPase activator of MinC	774.389
UniRef50_E3PRK6: ATPase activator of MinC|unclassified	774.389
UniRef50_UPI00036FF9CE: hypothetical protein	772.458
UniRef50_UPI00036FF9CE: hypothetical protein|unclassified	772.458
UniRef50_UPI000370C797: hypothetical protein	772.392
UniRef50_UPI000370C797: hypothetical protein|unclassified	772.392
UniRef50_UPI000375AED4: hypothetical protein	769.358
UniRef50_UPI000375AED4: hypothetical protein|unclassified	769.358
UniRef50_UPI0000E0F4A6: cell division protein FtsQ	768.296
UniRef50_UPI0000E0F4A6: cell division protein FtsQ|unclassified	768.296
UniRef50_UPI000255A1DA: Maf-like protein	761.752
UniRef50_UPI000255A1DA: Maf-like protein|unclassified	761.752
UniRef50_UPI0002555E34: rod shape-determining protein MreC	759.311
UniRef50_UPI0002555E34: rod shape-determining protein MreC|unclassified	759.311
UniRef50_UPI0003B5369F: rod shape-determining protein MreC	759.229
UniRef50_UPI0003B5369F: rod shape-determining protein MreC|unclassified	759.229
UniRef50_UPI000468FDF0: cell division protein FtsK	758.305
UniRef50_UPI000468FDF0: cell division protein FtsK|unclassified	758.305
UniRef50_UPI0003B47482: septum formation protein Maf, partial	756.575
UniRef50_UPI0003B47482: septum formation protein Maf, partial|unclassified	756.575
UniRef50_UPI0003F75CDC: rod shape-determining protein MreC	755.65
UniRef50_UPI0003F75CDC: rod shape-determining protein MreC|unclassified	755.65
UniRef50_UPI0004653410: cell division protein FtsQ	753.265
UniRef50_UPI0004653410: cell division protein FtsQ|unclassified	753.265
UniRef50_F9LF64: Conserved domain protein	749.876
UniRef50_F9LF64: Conserved domain protein|unclassified	749.876
UniRef50_UPI0003A0B379: MULTISPECIES: cell division protein FtsZ	749.737
UniRef50_UPI0003A0B379: MULTISPECIES: cell division protein FtsZ|unclassified	749.737
UniRef50_UPI000428058C: rod shape-determining protein MreD	749.025
UniRef50_UPI000428058C: rod shape-determining protein MreD|unclassified	749.025
UniRef50_UPI0004792E13: chromosomal partitioning protein ParB, partial	743.777
UniRef50_UPI0004792E13: chromosomal partitioning protein ParB, partial|unclassified	743.777
UniRef50_UPI0003B75659: septation inhibitor protein	737.905
UniRef50_UPI0003B75659: septation inhibitor protein|unclassified	737.905
UniRef50_X1P1A8: Marine sediment metagenome DNA, contig: S06H3_S17681 (Fragment)	729.64
UniRef50_X1P1A8: Marine sediment metagenome DNA, contig: S06H3_S17681 (Fragment)|unclassified	729.64
UniRef50_UPI0003734D42: hypothetical protein	729.517
UniRef50_UPI0003734D42: hypothetical protein|unclassified	729.517
UniRef50_UPI000400C575: cell division protein FtsW	728.575
UniRef50_UPI000400C575: cell division protein FtsW|unclassified	728.575
UniRef50_UPI0003660480: hypothetical protein	725.613
UniRef50_UPI0003660480: hypothetical protein|unclassified	725.613
UniRef50_UPI000409E1BE: hypothetical protein	724.199
UniRef50_UPI000409E1BE: hypothetical protein|unclassified	724.199
UniRef50_UPI00036711CE: hypothetical protein	721.744
UniRef50_UPI00036711CE: hypothetical protein|unclassified	721.744
UniRef50_UPI0003B72513: septum formation protein Maf	716.605
UniRef50_UPI0003B72513: septum formation protein Maf|unclassified	716.605
UniRef50_T2S9V1	715.218
UniRef50_T2S9V1|unclassified	715.218
UniRef50_UPI000255C00C: spore DNA translocase, partial	711.357
