# Gene Family	SampleDe_Novo_Pyrimidine_Synthesis_Abundance-RPKs
UniRef50_UPI0001913039: uracil permease|unclassified	1227.9573710291
UniRef50_C1KWD9: Bifunctional protein PyrR	1150.1395245811
UniRef50_C1KWD9: Bifunctional protein PyrR|unclassified	1150.1395245811
UniRef50_Q6LUK6: Carbamoyl-phosphate synthase small chain	1142.6014465382
UniRef50_Q6LUK6: Carbamoyl-phosphate synthase small chain|unclassified	1142.6014465382
UniRef50_B7MUC3: Orotidine 5'-phosphate decarboxylase	1142.0479806431
UniRef50_B7MUC3: Orotidine 5'-phosphate decarboxylase|unclassified	1142.0479806431
UniRef50_B4T6V0: Orotidine 5'-phosphate decarboxylase	1139.1232876763
UniRef50_B4T6V0: Orotidine 5'-phosphate decarboxylase|unclassified	1139.1232876763
UniRef50_Q8ZIL5: Carbamoyl-phosphate synthase small chain	1117.6897453529
UniRef50_Q8ZIL5: Carbamoyl-phosphate synthase small chain|unclassified	1117.6897453529
UniRef50_Q98I87: Carbamoyl-phosphate synthase large chain	1117.2552415453
UniRef50_Q98I87: Carbamoyl-phosphate synthase large chain|unclassified	1117.2552415453
UniRef50_W7WUG1	1087.3441412813
UniRef50_W7WUG1|unclassified	1087.3441412813
UniRef50_UPI000470E5B8: hypothetical protein, partial	1077.9383399810
UniRef50_UPI000470E5B8: hypothetical protein, partial|unclassified	1077.9383399810
UniRef50_Q8VMB8: Carbamoylphosphate synthetase small subunit (Fragment)	1062.4154118259
UniRef50_Q8VMB8: Carbamoylphosphate synthetase small subunit (Fragment)|unclassified	1062.4154118259
UniRef50_Q57IA0: Orotate phosphoribosyltransferase	1061.9686132182
UniRef50_Q57IA0: Orotate phosphoribosyltransferase|unclassified	1061.9686132182
UniRef50_O67869: Carbamoyl-phosphate synthase large chain, N-terminal section	1056.4348481416
UniRef50_O67869: Carbamoyl-phosphate synthase large chain, N-terminal section|unclassified	1056.4348481416
UniRef50_Q81WF1: Carbamoyl-phosphate synthase small chain	1055.5419177038
UniRef50_Q81WF1: Carbamoyl-phosphate synthase small chain|unclassified	1055.5419177038
UniRef50_A4XS41: Dihydroorotase	1048.9605752542
UniRef50_A4XS41: Dihydroorotase|unclassified	1048.9605752542
UniRef50_B7UVV3: Dihydroorotase	1036.2786197101
UniRef50_B7UVV3: Dihydroorotase|unclassified	1036.2786197101
UniRef50_P0DH75: Orotate phosphoribosyltransferase	1033.4808229694
UniRef50_P0DH75: Orotate phosphoribosyltransferase|unclassified	1033.4808229694
UniRef50_B5F446: Aspartate carbamoyltransferase	1016.8335068170
UniRef50_B5F446: Aspartate carbamoyltransferase|unclassified	1016.8335068170
UniRef50_O50236: Carbamoyl-phosphate synthase large chain	1002.6391853453
UniRef50_O50236: Carbamoyl-phosphate synthase large chain|unclassified	1002.6391853453
UniRef50_Q39J02: Aspartate carbamoyltransferase	992.1925681342
UniRef50_Q39J02: Aspartate carbamoyltransferase|unclassified	992.1925681342
UniRef50_A3QDX8: Dihydroorotate dehydrogenase (quinone)	989.1779199993
UniRef50_A3QDX8: Dihydroorotate dehydrogenase (quinone)|unclassified	989.1779199993
UniRef50_A4QHG9: Orotate phosphoribosyltransferase	984.5104762922
UniRef50_A4QHG9: Orotate phosphoribosyltransferase|unclassified	984.5104762922
UniRef50_UPI0004651F70: hypothetical protein, partial	969.9648920427
UniRef50_UPI0004651F70: hypothetical protein, partial|unclassified	969.9648920427
UniRef50_O67233: Carbamoyl-phosphate synthase large chain, C-terminal section	964.5239210447
UniRef50_O67233: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	964.5239210447
UniRef50_P06204: Dihydroorotase	959.2512631589
UniRef50_P06204: Dihydroorotase|unclassified	959.2512631589
UniRef50_A7FCT0: Orotate phosphoribosyltransferase	954.8423602828
UniRef50_A7FCT0: Orotate phosphoribosyltransferase|unclassified	954.8423602828
UniRef50_A3CN89: Orotidine 5'-phosphate decarboxylase	949.7608369255
UniRef50_A3CN89: Orotidine 5'-phosphate decarboxylase|unclassified	949.7608369255
UniRef50_Q98M86: Aspartate carbamoyltransferase	948.6560919592
UniRef50_Q98M86: Aspartate carbamoyltransferase|unclassified	948.6560919592
UniRef50_K1GXE4: Carbamoyl-phosphate synthase small chain	947.5593192711
UniRef50_K1GXE4: Carbamoyl-phosphate synthase small chain|unclassified	947.5593192711
UniRef50_UPI0003B6FDF8: carbamoyl phosphate synthase large subunit, partial	939.0766666615
UniRef50_UPI0003B6FDF8: carbamoyl phosphate synthase large subunit, partial|unclassified	939.0766666615
UniRef50_G5PHU3: Carbamoyl-phosphate synthase small chain	931.2427889945
UniRef50_G5PHU3: Carbamoyl-phosphate synthase small chain|unclassified	931.2427889945
UniRef50_A5D508: Carbamoyl-phosphate synthase large chain	917.8329500551
UniRef50_A5D508: Carbamoyl-phosphate synthase large chain|unclassified	917.8329500551
UniRef50_P39149: Uracil phosphoribosyltransferase	912.8580370591
UniRef50_P39149: Uracil phosphoribosyltransferase|unclassified	912.8580370591
UniRef50_A9GZR7: Aspartate carbamoyltransferase	910.8133218967
UniRef50_A9GZR7: Aspartate carbamoyltransferase|unclassified	910.8133218967
UniRef50_X1D6X8: Marine sediment metagenome DNA, contig: S01H4_S17787 (Fragment)	910.7665900325
UniRef50_X1D6X8: Marine sediment metagenome DNA, contig: S01H4_S17787 (Fragment)|unclassified	910.7665900325
UniRef50_Q71YH9: Dihydroorotase	907.2229662336
UniRef50_Q71YH9: Dihydroorotase|unclassified	907.2229662336
UniRef50_A5F5C9: Aspartate carbamoyltransferase	906.0221915513
UniRef50_A5F5C9: Aspartate carbamoyltransferase|unclassified	906.0221915513
UniRef50_C6DJL3: Aspartate carbamoyltransferase	905.6586601197
UniRef50_C6DJL3: Aspartate carbamoyltransferase|unclassified	905.6586601197
UniRef50_T1D010: Carbamoyl phosphate synthase large subunit (Fragment)	900.9606047012
UniRef50_T1D010: Carbamoyl phosphate synthase large subunit (Fragment)|unclassified	900.9606047012
UniRef50_UPI00037382D8: ABC transporter permease	900.5289057355
UniRef50_UPI00037382D8: ABC transporter permease|unclassified	900.5289057355
UniRef50_A1U241: Uracil phosphoribosyltransferase	895.3348555144
UniRef50_A1U241: Uracil phosphoribosyltransferase|unclassified	895.3348555144
UniRef50_Q5M0X3: Bifunctional protein PyrR	894.7036689007
UniRef50_Q5M0X3: Bifunctional protein PyrR|unclassified	894.7036689007
UniRef50_Q3SR25: Aspartate carbamoyltransferase	894.5439338821
UniRef50_Q3SR25: Aspartate carbamoyltransferase|unclassified	894.5439338821
UniRef50_Q2P2V7: Uracil phosphoribosyltransferase	894.3161413838
UniRef50_Q2P2V7: Uracil phosphoribosyltransferase|unclassified	894.3161413838
UniRef50_Q58776: Carbamoyl-phosphate synthase large chain, C-terminal section	880.2182480861
UniRef50_Q58776: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	880.2182480861
UniRef50_A4IM35: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	854.3950096317
UniRef50_A4IM35: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	854.3950096317
UniRef50_Q03S48: Bifunctional protein PyrR	849.2122499602
UniRef50_Q03S48: Bifunctional protein PyrR|unclassified	849.2122499602
UniRef50_Q7N5W0: Dihydroorotase	843.9295287158
UniRef50_Q7N5W0: Dihydroorotase|unclassified	843.9295287158
UniRef50_P58939: Carbamoyl-phosphate synthase large chain	838.8844428461
UniRef50_P58939: Carbamoyl-phosphate synthase large chain|unclassified	838.8844428461
UniRef50_B0TGQ8: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	832.1862377875
UniRef50_B0TGQ8: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	832.1862377875
UniRef50_F2MMN9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	828.7940341976
UniRef50_F2MMN9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	828.7940341976
UniRef50_A9VTC9: Aspartate carbamoyltransferase	826.8797499350
UniRef50_A9VTC9: Aspartate carbamoyltransferase|unclassified	826.8797499350
UniRef50_A9WSA8: Carbamoyl-phosphate synthase large chain	826.8303061491
UniRef50_A9WSA8: Carbamoyl-phosphate synthase large chain|unclassified	826.8303061491
UniRef50_Q9K005: Orotidine 5'-phosphate decarboxylase	819.6593683847
UniRef50_Q9K005: Orotidine 5'-phosphate decarboxylase|unclassified	819.6593683847
UniRef50_Q5HGN0: Carbamoyl-phosphate synthase small chain	812.5459093569
UniRef50_Q5HGN0: Carbamoyl-phosphate synthase small chain|unclassified	812.5459093569
UniRef50_Q4QKB5: Dihydroorotate dehydrogenase (quinone)	808.6697419553
UniRef50_Q4QKB5: Dihydroorotate dehydrogenase (quinone)|unclassified	808.6697419553
UniRef50_Q1AVY9: Carbamoyl-phosphate synthase large chain	803.8764026276
UniRef50_Q1AVY9: Carbamoyl-phosphate synthase large chain|unclassified	803.8764026276
UniRef50_B7GX48: Dihydroorotase	802.6696234442
UniRef50_B7GX48: Dihydroorotase|unclassified	802.6696234442
UniRef50_Q8TWX0: Carbamoyl-phosphate synthase large chain, N-terminal section	800.7867719914
UniRef50_Q8TWX0: Carbamoyl-phosphate synthase large chain, N-terminal section|unclassified	800.7867719914
UniRef50_Q42601: Carbamoyl-phosphate synthase large chain, chloroplastic	793.2625650595
UniRef50_Q42601: Carbamoyl-phosphate synthase large chain, chloroplastic|unclassified	793.2625650595
UniRef50_A9WSB2: Aspartate carbamoyltransferase	792.6862751054
UniRef50_A9WSB2: Aspartate carbamoyltransferase|unclassified	792.6862751054
UniRef50_H9KC51	789.0132312715
UniRef50_H9KC51|unclassified	789.0132312715
UniRef50_Q48JY0: Dihydroorotate dehydrogenase (quinone)	787.1321465316
UniRef50_Q48JY0: Dihydroorotate dehydrogenase (quinone)|unclassified	787.1321465316
UniRef50_B7UWL8: Dihydroorotate dehydrogenase (quinone)	778.8060733750
UniRef50_B7UWL8: Dihydroorotate dehydrogenase (quinone)|unclassified	778.8060733750
UniRef50_F1ASP0: PyrC (Fragment)	760.6891359339
UniRef50_F1ASP0: PyrC (Fragment)|unclassified	760.6891359339
UniRef50_P46534: Orotate phosphoribosyltransferase	752.1650854896
UniRef50_P46534: Orotate phosphoribosyltransferase|unclassified	752.1650854896
UniRef50_Q8TUT7: Carbamoyl-phosphate synthase large chain, C-terminal section	749.2238717600
UniRef50_Q8TUT7: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	749.2238717600
UniRef50_B7IUP5: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	748.1804995670
UniRef50_B7IUP5: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	748.1804995670
UniRef50_P58894: Carbamoyl-phosphate synthase small chain	738.9549646838
UniRef50_P58894: Carbamoyl-phosphate synthase small chain|unclassified	738.9549646838
UniRef50_O04904: Dihydroorotase, mitochondrial	736.3960097136
UniRef50_O04904: Dihydroorotase, mitochondrial|unclassified	736.3960097136
UniRef50_P13258: Carbamoyl-phosphate synthase large chain (Fragment)	736.0301066663
UniRef50_P13258: Carbamoyl-phosphate synthase large chain (Fragment)|unclassified	736.0301066663
UniRef50_Q92SC7: Dihydroorotase	735.3427818868
UniRef50_Q92SC7: Dihydroorotase|unclassified	735.3427818868
UniRef50_A7X1E9: Aspartate carbamoyltransferase	735.2780269440
UniRef50_A7X1E9: Aspartate carbamoyltransferase|unclassified	735.2780269440
UniRef50_UPI00021A5DF1: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial	734.7840239672
UniRef50_UPI00021A5DF1: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial|unclassified	734.7840239672
UniRef50_B8DTW3: Carbamoyl-phosphate synthase large chain	734.6415639851
UniRef50_B8DTW3: Carbamoyl-phosphate synthase large chain|unclassified	734.6415639851
UniRef50_K1H2M5: Carbamoyl-phosphate synthase small chain	725.8496906443
UniRef50_K1H2M5: Carbamoyl-phosphate synthase small chain|unclassified	725.8496906443
UniRef50_W4VE58: Carbamoyl-phosphate synthase large chain	722.2347424847
UniRef50_W4VE58: Carbamoyl-phosphate synthase large chain|unclassified	722.2347424847
UniRef50_B9J8H5: Dihydroorotase	719.7733035910
UniRef50_B9J8H5: Dihydroorotase|unclassified	719.7733035910
UniRef50_Q9JX66: Dihydroorotate dehydrogenase (quinone)	715.2688081969
UniRef50_Q9JX66: Dihydroorotate dehydrogenase (quinone)|unclassified	715.2688081969
UniRef50_B2A170: Carbamoyl-phosphate synthase large chain	713.7003894688
UniRef50_B2A170: Carbamoyl-phosphate synthase large chain|unclassified	713.7003894688
UniRef50_Q182T5: Bifunctional protein PyrR	710.3710990686
UniRef50_Q182T5: Bifunctional protein PyrR|unclassified	710.3710990686
UniRef50_Q9CGM7: Dihydroorotase	710.2071476613
UniRef50_Q9CGM7: Dihydroorotase|unclassified	710.2071476613
UniRef50_UPI00047734E4: hypothetical protein, partial	705.4466277428
UniRef50_UPI00047734E4: hypothetical protein, partial|unclassified	705.4466277428
UniRef50_UPI000252C84E: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial	705.0825642377
UniRef50_UPI000252C84E: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial|unclassified	705.0825642377
UniRef50_W7X2U0	700.1380650804
UniRef50_W7X2U0|unclassified	700.1380650804
UniRef50_Q3J8N5: Orotidine 5'-phosphate decarboxylase	697.6786509350
UniRef50_Q3J8N5: Orotidine 5'-phosphate decarboxylase|unclassified	697.6786509350
UniRef50_UPI0002889804: carbamoyl phosphate synthase small subunit	690.6771336224
UniRef50_UPI0002889804: carbamoyl phosphate synthase small subunit|unclassified	690.6771336224
UniRef50_UPI0004752A74: hypothetical protein, partial	680.4635171039
UniRef50_UPI0004752A74: hypothetical protein, partial|unclassified	680.4635171039
UniRef50_G8LJH3	678.8854758173
UniRef50_G8LJH3|unclassified	678.8854758173
UniRef50_Q5X5E0: Orotidine 5'-phosphate decarboxylase	671.9935252849
UniRef50_Q5X5E0: Orotidine 5'-phosphate decarboxylase|unclassified	671.9935252849
UniRef50_Q97R65: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	669.0920955189
UniRef50_Q97R65: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	669.0920955189
UniRef50_Q9CF79: Aspartate carbamoyltransferase	663.6300078805
UniRef50_Q9CF79: Aspartate carbamoyltransferase|unclassified	663.6300078805
UniRef50_X1VLH5: Marine sediment metagenome DNA, contig: S12H4_S24465 (Fragment)	652.5358887126
UniRef50_X1VLH5: Marine sediment metagenome DNA, contig: S12H4_S24465 (Fragment)|unclassified	652.5358887126
UniRef50_UPI00022CAA8B: PREDICTED: hypothetical protein LOC100750060	649.8284813901
UniRef50_UPI00022CAA8B: PREDICTED: hypothetical protein LOC100750060|unclassified	649.8284813901
UniRef50_UPI000467D94D: dihydroorotase, partial	647.1652887279
UniRef50_UPI000467D94D: dihydroorotase, partial|unclassified	647.1652887279
UniRef50_UPI0003C1696D: PREDICTED: carbamoyl-phosphate synthase large chain, chloroplastic-like	646.3007610115
UniRef50_UPI0003C1696D: PREDICTED: carbamoyl-phosphate synthase large chain, chloroplastic-like|unclassified	646.3007610115
UniRef50_UPI0003620CA6: hypothetical protein, partial	643.7277217220
UniRef50_UPI0003620CA6: hypothetical protein, partial|unclassified	643.7277217220
UniRef50_C4K3W9: Orotate phosphoribosyltransferase	641.9476554357
UniRef50_C4K3W9: Orotate phosphoribosyltransferase|unclassified	641.9476554357
UniRef50_U0F5X7	641.2909373342
UniRef50_U0F5X7|unclassified	641.2909373342
UniRef50_B2S6U9: Carbamoyl-phosphate synthase small chain	635.3976077615
UniRef50_B2S6U9: Carbamoyl-phosphate synthase small chain|unclassified	635.3976077615
UniRef50_A4XKS9: Bifunctional protein PyrR	634.6415760842
UniRef50_A4XKS9: Bifunctional protein PyrR|unclassified	634.6415760842
UniRef50_UPI00035EDFDB: hypothetical protein, partial	634.5826163000
UniRef50_UPI00035EDFDB: hypothetical protein, partial|unclassified	634.5826163000
UniRef50_A6LDS0: Orotidine 5'-phosphate decarboxylase	626.3636525555
UniRef50_A6LDS0: Orotidine 5'-phosphate decarboxylase|unclassified	626.3636525555
UniRef50_UPI00047273B9: hypothetical protein	615.6432184312
UniRef50_UPI00047273B9: hypothetical protein|unclassified	615.6432184312
UniRef50_C1CX80: Bifunctional protein PyrR	613.9216868572
UniRef50_C1CX80: Bifunctional protein PyrR|unclassified	613.9216868572
UniRef50_UPI000473DD55: carbamoyl phosphate synthase large subunit, partial	607.4044699854
UniRef50_UPI000473DD55: carbamoyl phosphate synthase large subunit, partial|unclassified	607.4044699854
UniRef50_Q8A9S3: Aspartate carbamoyltransferase	595.9786922650
UniRef50_Q8A9S3: Aspartate carbamoyltransferase|unclassified	595.9786922650
UniRef50_Q7MAD7: Orotate phosphoribosyltransferase	594.3161367123
UniRef50_Q7MAD7: Orotate phosphoribosyltransferase|unclassified	594.3161367123
UniRef50_Q1WVB2: Aspartate carbamoyltransferase	590.5862849930
UniRef50_Q1WVB2: Aspartate carbamoyltransferase|unclassified	590.5862849930
UniRef50_Q2YCI8: Orotate phosphoribosyltransferase	587.6384308283
UniRef50_Q2YCI8: Orotate phosphoribosyltransferase|unclassified	587.6384308283
UniRef50_T0XTJ8: Dihydroorotase, homodimeric type (Fragment)	585.8949014182
UniRef50_T0XTJ8: Dihydroorotase, homodimeric type (Fragment)|unclassified	585.8949014182
UniRef50_A9I0G7: Orotate phosphoribosyltransferase	574.2982121787
UniRef50_A9I0G7: Orotate phosphoribosyltransferase|unclassified	574.2982121787
UniRef50_UPI0004741335: hypothetical protein, partial	572.3701417882
UniRef50_UPI0004741335: hypothetical protein, partial|unclassified	572.3701417882
UniRef50_Q8RG83: Orotidine 5'-phosphate decarboxylase	564.2015262800
UniRef50_Q8RG83: Orotidine 5'-phosphate decarboxylase|unclassified	564.2015262800
UniRef50_UPI0003639ED0: hypothetical protein	556.9843682062
UniRef50_UPI0003639ED0: hypothetical protein|unclassified	556.9843682062
UniRef50_B7GV69: Orotate phosphoribosyltransferase	553.8032031049
UniRef50_B7GV69: Orotate phosphoribosyltransferase|unclassified	553.8032031049
UniRef50_UPI0003C1439A: PREDICTED: dihydropyrimidinase-related protein 5-like	553.2278195146
UniRef50_UPI0003C1439A: PREDICTED: dihydropyrimidinase-related protein 5-like|unclassified	553.2278195146
UniRef50_Q8CWG1: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	551.6417545187
UniRef50_Q8CWG1: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	551.6417545187
UniRef50_A8F453: Carbamoyl-phosphate synthase large chain	547.0424797227
UniRef50_A8F453: Carbamoyl-phosphate synthase large chain|unclassified	547.0424797227
UniRef50_A9IRL8: Orotate phosphoribosyltransferase	546.4066536666
UniRef50_A9IRL8: Orotate phosphoribosyltransferase|unclassified	546.4066536666
UniRef50_UPI0003775D99: hypothetical protein, partial	546.3881539957
UniRef50_UPI0003775D99: hypothetical protein, partial|unclassified	546.3881539957
UniRef50_UPI00047539FF: orotate phosphoribosyltransferase	543.9383201462
UniRef50_UPI00047539FF: orotate phosphoribosyltransferase|unclassified	543.9383201462
UniRef50_B6YRL9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	541.7792545129
UniRef50_B6YRL9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	541.7792545129
UniRef50_C6BW21: Orotate phosphoribosyltransferase	541.2372098602
UniRef50_C6BW21: Orotate phosphoribosyltransferase|unclassified	541.2372098602
UniRef50_UPI0004735D54: carbamoyl phosphate synthase large subunit	538.7724028912
UniRef50_UPI0004735D54: carbamoyl phosphate synthase large subunit|unclassified	538.7724028912
UniRef50_UPI00046626E3: hypothetical protein	528.4757866150
UniRef50_UPI00046626E3: hypothetical protein|unclassified	528.4757866150
UniRef50_S8KKR5: Carbamoyl phosphate synthase small subunit	527.6036190486
UniRef50_S8KKR5: Carbamoyl phosphate synthase small subunit|unclassified	527.6036190486
UniRef50_M5RMZ2: Carbamoyl-phosphate synthase small subunit	522.4806843694
UniRef50_M5RMZ2: Carbamoyl-phosphate synthase small subunit|unclassified	522.4806843694
UniRef50_W5XA80: Vacuolar iron transporter	520.1594620164
UniRef50_W5XA80: Vacuolar iron transporter|unclassified	520.1594620164
UniRef50_UPI00047230A9: carbamoyl phosphate synthase large subunit	518.9468340501
UniRef50_UPI00047230A9: carbamoyl phosphate synthase large subunit|unclassified	518.9468340501
UniRef50_Q9KXR1: Bifunctional protein PyrR	516.9802786000
UniRef50_Q9KXR1: Bifunctional protein PyrR|unclassified	516.9802786000
UniRef50_Q5LND3: Orotidine 5'-phosphate decarboxylase	515.5034229679
UniRef50_Q5LND3: Orotidine 5'-phosphate decarboxylase|unclassified	515.5034229679
UniRef50_UPI000471D662: hypothetical protein, partial	514.2921939640
UniRef50_UPI000471D662: hypothetical protein, partial|unclassified	514.2921939640
UniRef50_X1RRN3: Marine sediment metagenome DNA, contig: S12H4_C05059 (Fragment)	513.7157535997
UniRef50_X1RRN3: Marine sediment metagenome DNA, contig: S12H4_C05059 (Fragment)|unclassified	513.7157535997
UniRef50_P57245: Carbamoyl-phosphate synthase small chain	507.8608490119
UniRef50_P57245: Carbamoyl-phosphate synthase small chain|unclassified	507.8608490119
UniRef50_A4WPB6: Orotate phosphoribosyltransferase	506.4958323430
UniRef50_A4WPB6: Orotate phosphoribosyltransferase|unclassified	506.4958323430
UniRef50_Q8UDF7: Carbamoyl-phosphate synthase small chain	506.4724839537
UniRef50_Q8UDF7: Carbamoyl-phosphate synthase small chain|unclassified	506.4724839537
UniRef50_Q1LTG7: Orotidine 5'-phosphate decarboxylase	505.2666830483
UniRef50_Q1LTG7: Orotidine 5'-phosphate decarboxylase|unclassified	505.2666830483
UniRef50_A9BJH4: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	502.4117633967
UniRef50_A9BJH4: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	502.4117633967
UniRef50_X0R696: Carbamoyl-phosphate synthase large chain	501.8833402021
UniRef50_X0R696: Carbamoyl-phosphate synthase large chain|unclassified	501.8833402021
UniRef50_B2S9C4: Orotidine 5'-phosphate decarboxylase	499.5048842930
UniRef50_B2S9C4: Orotidine 5'-phosphate decarboxylase|unclassified	499.5048842930
UniRef50_UPI0003B68D1C: dihydroorotase	494.3191878459
UniRef50_UPI0003B68D1C: dihydroorotase|unclassified	494.3191878459
UniRef50_Q5LI12: Orotate phosphoribosyltransferase	493.7880022887
UniRef50_Q5LI12: Orotate phosphoribosyltransferase|unclassified	493.7880022887
UniRef50_UPI0002558916: dihydroorotate dehydrogenase 2	493.5204745750
UniRef50_UPI0002558916: dihydroorotate dehydrogenase 2|unclassified	493.5204745750
UniRef50_W7ZQD1: Carbamoyl-phosphate synthase large chain	492.5568166843
UniRef50_W7ZQD1: Carbamoyl-phosphate synthase large chain|unclassified	492.5568166843
UniRef50_N6U5H1: Carbamoyl-phosphate synthase small chain	488.7697206819
UniRef50_N6U5H1: Carbamoyl-phosphate synthase small chain|unclassified	488.7697206819
UniRef50_UPI000473024F: hypothetical protein, partial	487.6107274018
UniRef50_UPI000473024F: hypothetical protein, partial|unclassified	487.6107274018
UniRef50_R1ZLC7: Carbamoyl-phosphate synthase small chain	487.4517220519
UniRef50_R1ZLC7: Carbamoyl-phosphate synthase small chain|unclassified	487.4517220519
UniRef50_Q6AS40: Aspartate carbamoyltransferase	485.7860836161
UniRef50_Q6AS40: Aspartate carbamoyltransferase|unclassified	485.7860836161
UniRef50_UPI000371ACD9: hypothetical protein	483.5603962660
UniRef50_UPI000371ACD9: hypothetical protein|unclassified	483.5603962660
UniRef50_P59626: Probable dihydroorotate dehydrogenase A (fumarate)	480.3624550030
UniRef50_P59626: Probable dihydroorotate dehydrogenase A (fumarate)|unclassified	480.3624550030
UniRef50_A2RJT9: Dihydroorotate dehydrogenase A (fumarate)	480.3126384523
UniRef50_A2RJT9: Dihydroorotate dehydrogenase A (fumarate)|unclassified	480.3126384523
UniRef50_Q47750: PyrA protein (Fragment)	472.2966237560
UniRef50_Q47750: PyrA protein (Fragment)|unclassified	472.2966237560
UniRef50_B2V726: Putative dihydroorotate dehydrogenase A (fumarate)	469.8243430470
UniRef50_B2V726: Putative dihydroorotate dehydrogenase A (fumarate)|unclassified	469.8243430470
UniRef50_Q8Y1L3: Bifunctional protein PyrR	467.9747052120
UniRef50_Q8Y1L3: Bifunctional protein PyrR|unclassified	467.9747052120
UniRef50_B2HNE5: Bifunctional protein PyrR	467.4103384067
