# Gene Family	SampleDe_Novo_Pyrimidine_Synthesis_Abundance-CPM
UniRef50_UPI0004651F70: hypothetical protein, partial	3108.39
UniRef50_UPI0004651F70: hypothetical protein, partial|unclassified	3108.39
UniRef50_O67233: Carbamoyl-phosphate synthase large chain, C-terminal section	3090.95
UniRef50_O67233: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	3090.95
UniRef50_P06204: Dihydroorotase	3074.06
UniRef50_P06204: Dihydroorotase|unclassified	3074.06
UniRef50_A7FCT0: Orotate phosphoribosyltransferase	3059.93
UniRef50_A7FCT0: Orotate phosphoribosyltransferase|unclassified	3059.93
UniRef50_A3CN89: Orotidine 5'-phosphate decarboxylase	3043.64
UniRef50_A3CN89: Orotidine 5'-phosphate decarboxylase|unclassified	3043.64
UniRef50_Q98M86: Aspartate carbamoyltransferase	3040.1
UniRef50_Q98M86: Aspartate carbamoyltransferase|unclassified	3040.1
UniRef50_K1GXE4: Carbamoyl-phosphate synthase small chain	3036.59
UniRef50_K1GXE4: Carbamoyl-phosphate synthase small chain|unclassified	3036.59
UniRef50_UPI0003B6FDF8: carbamoyl phosphate synthase large subunit, partial	3009.41
UniRef50_UPI0003B6FDF8: carbamoyl phosphate synthase large subunit, partial|unclassified	3009.41
UniRef50_G5PHU3: Carbamoyl-phosphate synthase small chain	2984.3
UniRef50_G5PHU3: Carbamoyl-phosphate synthase small chain|unclassified	2984.3
UniRef50_A5D508: Carbamoyl-phosphate synthase large chain	2941.33
UniRef50_A5D508: Carbamoyl-phosphate synthase large chain|unclassified	2941.33
UniRef50_P39149: Uracil phosphoribosyltransferase	2925.38
UniRef50_P39149: Uracil phosphoribosyltransferase|unclassified	2925.38
UniRef50_A9GZR7: Aspartate carbamoyltransferase	2918.83
UniRef50_A9GZR7: Aspartate carbamoyltransferase|unclassified	2918.83
UniRef50_X1D6X8: Marine sediment metagenome DNA, contig: S01H4_S17787 (Fragment)	2918.68
UniRef50_X1D6X8: Marine sediment metagenome DNA, contig: S01H4_S17787 (Fragment)|unclassified	2918.68
UniRef50_Q71YH9: Dihydroorotase	2907.33
UniRef50_Q71YH9: Dihydroorotase|unclassified	2907.33
UniRef50_A5F5C9: Aspartate carbamoyltransferase	2903.48
UniRef50_A5F5C9: Aspartate carbamoyltransferase|unclassified	2903.48
UniRef50_C6DJL3: Aspartate carbamoyltransferase	2902.31
UniRef50_C6DJL3: Aspartate carbamoyltransferase|unclassified	2902.31
UniRef50_T1D010: Carbamoyl phosphate synthase large subunit (Fragment)	2887.26
UniRef50_T1D010: Carbamoyl phosphate synthase large subunit (Fragment)|unclassified	2887.26
UniRef50_UPI00037382D8: ABC transporter permease	2885.87
UniRef50_UPI00037382D8: ABC transporter permease|unclassified	2885.87
UniRef50_A1U241: Uracil phosphoribosyltransferase	2869.23
UniRef50_A1U241: Uracil phosphoribosyltransferase|unclassified	2869.23
UniRef50_Q5M0X3: Bifunctional protein PyrR	2867.21
UniRef50_Q5M0X3: Bifunctional protein PyrR|unclassified	2867.21
UniRef50_Q3SR25: Aspartate carbamoyltransferase	2866.69
UniRef50_Q3SR25: Aspartate carbamoyltransferase|unclassified	2866.69
UniRef50_Q2P2V7: Uracil phosphoribosyltransferase	2865.96
UniRef50_Q2P2V7: Uracil phosphoribosyltransferase|unclassified	2865.96
UniRef50_Q58776: Carbamoyl-phosphate synthase large chain, C-terminal section	2820.78
UniRef50_Q58776: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	2820.78
UniRef50_A4IM35: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	2738.03
UniRef50_A4IM35: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	2738.03
UniRef50_Q03S48: Bifunctional protein PyrR	2721.42
UniRef50_Q03S48: Bifunctional protein PyrR|unclassified	2721.42
UniRef50_Q7N5W0: Dihydroorotase	2704.49
UniRef50_Q7N5W0: Dihydroorotase|unclassified	2704.49
UniRef50_P58939: Carbamoyl-phosphate synthase large chain	2688.32
UniRef50_P58939: Carbamoyl-phosphate synthase large chain|unclassified	2688.32
UniRef50_B0TGQ8: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	2666.86
UniRef50_B0TGQ8: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	2666.86
UniRef50_F2MMN9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	2655.99
UniRef50_F2MMN9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	2655.99
UniRef50_A9VTC9: Aspartate carbamoyltransferase	2649.85
UniRef50_A9VTC9: Aspartate carbamoyltransferase|unclassified	2649.85
UniRef50_A9WSA8: Carbamoyl-phosphate synthase large chain	2649.7
UniRef50_A9WSA8: Carbamoyl-phosphate synthase large chain|unclassified	2649.7
UniRef50_Q9K005: Orotidine 5'-phosphate decarboxylase	2626.72
UniRef50_Q9K005: Orotidine 5'-phosphate decarboxylase|unclassified	2626.72
UniRef50_Q5HGN0: Carbamoyl-phosphate synthase small chain	2603.92
UniRef50_Q5HGN0: Carbamoyl-phosphate synthase small chain|unclassified	2603.92
UniRef50_Q4QKB5: Dihydroorotate dehydrogenase (quinone)	2591.5
UniRef50_Q4QKB5: Dihydroorotate dehydrogenase (quinone)|unclassified	2591.5
UniRef50_Q1AVY9: Carbamoyl-phosphate synthase large chain	2576.14
UniRef50_Q1AVY9: Carbamoyl-phosphate synthase large chain|unclassified	2576.14
UniRef50_B7GX48: Dihydroorotase	2572.27
UniRef50_B7GX48: Dihydroorotase|unclassified	2572.27
UniRef50_Q8TWX0: Carbamoyl-phosphate synthase large chain, N-terminal section	2566.24
UniRef50_Q8TWX0: Carbamoyl-phosphate synthase large chain, N-terminal section|unclassified	2566.24
UniRef50_Q42601: Carbamoyl-phosphate synthase large chain, chloroplastic	2542.12
UniRef50_Q42601: Carbamoyl-phosphate synthase large chain, chloroplastic|unclassified	2542.12
UniRef50_A9WSB2: Aspartate carbamoyltransferase	2540.28
UniRef50_A9WSB2: Aspartate carbamoyltransferase|unclassified	2540.28
UniRef50_H9KC51	2528.51
UniRef50_H9KC51|unclassified	2528.51
UniRef50_Q48JY0: Dihydroorotate dehydrogenase (quinone)	2522.48
UniRef50_Q48JY0: Dihydroorotate dehydrogenase (quinone)|unclassified	2522.48
UniRef50_B7UWL8: Dihydroorotate dehydrogenase (quinone)	2495.8
UniRef50_B7UWL8: Dihydroorotate dehydrogenase (quinone)|unclassified	2495.8
UniRef50_F1ASP0: PyrC (Fragment)	2437.74
UniRef50_F1ASP0: PyrC (Fragment)|unclassified	2437.74
UniRef50_P46534: Orotate phosphoribosyltransferase	2410.42
UniRef50_P46534: Orotate phosphoribosyltransferase|unclassified	2410.42
UniRef50_Q8TUT7: Carbamoyl-phosphate synthase large chain, C-terminal section	2400.99
UniRef50_Q8TUT7: Carbamoyl-phosphate synthase large chain, C-terminal section|unclassified	2400.99
UniRef50_B7IUP5: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	2397.65
UniRef50_B7IUP5: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	2397.65
UniRef50_P58894: Carbamoyl-phosphate synthase small chain	2368.09
UniRef50_P58894: Carbamoyl-phosphate synthase small chain|unclassified	2368.09
UniRef50_O04904: Dihydroorotase, mitochondrial	2359.89
UniRef50_O04904: Dihydroorotase, mitochondrial|unclassified	2359.89
UniRef50_P13258: Carbamoyl-phosphate synthase large chain (Fragment)	2358.71
UniRef50_P13258: Carbamoyl-phosphate synthase large chain (Fragment)|unclassified	2358.71
UniRef50_Q92SC7: Dihydroorotase	2356.51
UniRef50_Q92SC7: Dihydroorotase|unclassified	2356.51
UniRef50_A7X1E9: Aspartate carbamoyltransferase	2356.3
UniRef50_A7X1E9: Aspartate carbamoyltransferase|unclassified	2356.3
UniRef50_UPI00021A5DF1: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial	2354.72
UniRef50_UPI00021A5DF1: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial|unclassified	2354.72
UniRef50_B8DTW3: Carbamoyl-phosphate synthase large chain	2354.26
UniRef50_B8DTW3: Carbamoyl-phosphate synthase large chain|unclassified	2354.26
UniRef50_K1H2M5: Carbamoyl-phosphate synthase small chain	2326.09
UniRef50_K1H2M5: Carbamoyl-phosphate synthase small chain|unclassified	2326.09
UniRef50_W4VE58: Carbamoyl-phosphate synthase large chain	2314.5
UniRef50_W4VE58: Carbamoyl-phosphate synthase large chain|unclassified	2314.5
UniRef50_B9J8H5: Dihydroorotase	2306.62
UniRef50_B9J8H5: Dihydroorotase|unclassified	2306.62
UniRef50_Q9JX66: Dihydroorotate dehydrogenase (quinone)	2292.18
UniRef50_Q9JX66: Dihydroorotate dehydrogenase (quinone)|unclassified	2292.18
UniRef50_B2A170: Carbamoyl-phosphate synthase large chain	2287.15
UniRef50_B2A170: Carbamoyl-phosphate synthase large chain|unclassified	2287.15
UniRef50_Q182T5: Bifunctional protein PyrR	2276.49
UniRef50_Q182T5: Bifunctional protein PyrR|unclassified	2276.49
UniRef50_Q9CGM7: Dihydroorotase	2275.96
UniRef50_Q9CGM7: Dihydroorotase|unclassified	2275.96
UniRef50_UPI00047734E4: hypothetical protein, partial	2260.7
UniRef50_UPI00047734E4: hypothetical protein, partial|unclassified	2260.7
UniRef50_UPI000252C84E: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial	2259.54
UniRef50_UPI000252C84E: PREDICTED: carbamoyl-phosphate synthase large chain-like, partial|unclassified	2259.54
UniRef50_W7X2U0	2243.69
UniRef50_W7X2U0|unclassified	2243.69
UniRef50_Q3J8N5: Orotidine 5'-phosphate decarboxylase	2235.81
UniRef50_Q3J8N5: Orotidine 5'-phosphate decarboxylase|unclassified	2235.81
UniRef50_UPI0002889804: carbamoyl phosphate synthase small subunit	2213.37
UniRef50_UPI0002889804: carbamoyl phosphate synthase small subunit|unclassified	2213.37
UniRef50_UPI0004752A74: hypothetical protein, partial	2180.64
UniRef50_UPI0004752A74: hypothetical protein, partial|unclassified	2180.64
UniRef50_G8LJH3	2175.59
UniRef50_G8LJH3|unclassified	2175.59
UniRef50_Q5X5E0: Orotidine 5'-phosphate decarboxylase	2153.5
UniRef50_Q5X5E0: Orotidine 5'-phosphate decarboxylase|unclassified	2153.5
UniRef50_Q97R65: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	2144.2
UniRef50_Q97R65: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	2144.2
UniRef50_Q9CF79: Aspartate carbamoyltransferase	2126.7
UniRef50_Q9CF79: Aspartate carbamoyltransferase|unclassified	2126.7
UniRef50_X1VLH5: Marine sediment metagenome DNA, contig: S12H4_S24465 (Fragment)	2091.14
UniRef50_X1VLH5: Marine sediment metagenome DNA, contig: S12H4_S24465 (Fragment)|unclassified	2091.14
UniRef50_UPI00022CAA8B: PREDICTED: hypothetical protein LOC100750060	2082.47
UniRef50_UPI00022CAA8B: PREDICTED: hypothetical protein LOC100750060|unclassified	2082.47
UniRef50_UPI000467D94D: dihydroorotase, partial	2073.93
UniRef50_UPI000467D94D: dihydroorotase, partial|unclassified	2073.93
UniRef50_UPI0003C1696D: PREDICTED: carbamoyl-phosphate synthase large chain, chloroplastic-like	2071.16
UniRef50_UPI0003C1696D: PREDICTED: carbamoyl-phosphate synthase large chain, chloroplastic-like|unclassified	2071.16
UniRef50_UPI0003620CA6: hypothetical protein, partial	2062.92
UniRef50_UPI0003620CA6: hypothetical protein, partial|unclassified	2062.92
UniRef50_C4K3W9: Orotate phosphoribosyltransferase	2057.21
UniRef50_C4K3W9: Orotate phosphoribosyltransferase|unclassified	2057.21
UniRef50_U0F5X7	2055.11
UniRef50_U0F5X7|unclassified	2055.11
UniRef50_B2S6U9: Carbamoyl-phosphate synthase small chain	2036.22
UniRef50_B2S6U9: Carbamoyl-phosphate synthase small chain|unclassified	2036.22
UniRef50_A4XKS9: Bifunctional protein PyrR	2033.8
UniRef50_A4XKS9: Bifunctional protein PyrR|unclassified	2033.8
UniRef50_UPI00035EDFDB: hypothetical protein, partial	2033.61
UniRef50_UPI00035EDFDB: hypothetical protein, partial|unclassified	2033.61
UniRef50_A6LDS0: Orotidine 5'-phosphate decarboxylase	2007.27
UniRef50_A6LDS0: Orotidine 5'-phosphate decarboxylase|unclassified	2007.27
UniRef50_UPI00047273B9: hypothetical protein	1972.92
UniRef50_UPI00047273B9: hypothetical protein|unclassified	1972.92
UniRef50_C1CX80: Bifunctional protein PyrR	1967.4
UniRef50_C1CX80: Bifunctional protein PyrR|unclassified	1967.4
UniRef50_UPI000473DD55: carbamoyl phosphate synthase large subunit, partial	1946.51
UniRef50_UPI000473DD55: carbamoyl phosphate synthase large subunit, partial|unclassified	1946.51
UniRef50_Q8A9S3: Aspartate carbamoyltransferase	1909.9
UniRef50_Q8A9S3: Aspartate carbamoyltransferase|unclassified	1909.9
UniRef50_Q7MAD7: Orotate phosphoribosyltransferase	1904.57
UniRef50_Q7MAD7: Orotate phosphoribosyltransferase|unclassified	1904.57
UniRef50_Q1WVB2: Aspartate carbamoyltransferase	1892.62
UniRef50_Q1WVB2: Aspartate carbamoyltransferase|unclassified	1892.62
UniRef50_Q2YCI8: Orotate phosphoribosyltransferase	1883.17
UniRef50_Q2YCI8: Orotate phosphoribosyltransferase|unclassified	1883.17
UniRef50_T0XTJ8: Dihydroorotase, homodimeric type (Fragment)	1877.58
UniRef50_T0XTJ8: Dihydroorotase, homodimeric type (Fragment)|unclassified	1877.58
UniRef50_A9I0G7: Orotate phosphoribosyltransferase	1840.42
UniRef50_A9I0G7: Orotate phosphoribosyltransferase|unclassified	1840.42
UniRef50_UPI0004741335: hypothetical protein, partial	1834.24
UniRef50_UPI0004741335: hypothetical protein, partial|unclassified	1834.24
UniRef50_Q8RG83: Orotidine 5'-phosphate decarboxylase	1808.06
UniRef50_Q8RG83: Orotidine 5'-phosphate decarboxylase|unclassified	1808.06
UniRef50_UPI0003639ED0: hypothetical protein	1784.94
UniRef50_UPI0003639ED0: hypothetical protein|unclassified	1784.94
UniRef50_B7GV69: Orotate phosphoribosyltransferase	1774.74
UniRef50_B7GV69: Orotate phosphoribosyltransferase|unclassified	1774.74
UniRef50_UPI0003C1439A: PREDICTED: dihydropyrimidinase-related protein 5-like	1772.9
UniRef50_UPI0003C1439A: PREDICTED: dihydropyrimidinase-related protein 5-like|unclassified	1772.9
UniRef50_Q8CWG1: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	1767.81
UniRef50_Q8CWG1: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	1767.81
UniRef50_A8F453: Carbamoyl-phosphate synthase large chain	1753.08
UniRef50_A8F453: Carbamoyl-phosphate synthase large chain|unclassified	1753.08
UniRef50_A9IRL8: Orotate phosphoribosyltransferase	1751.04
UniRef50_A9IRL8: Orotate phosphoribosyltransferase|unclassified	1751.04
UniRef50_UPI0003775D99: hypothetical protein, partial	1750.98
UniRef50_UPI0003775D99: hypothetical protein, partial|unclassified	1750.98
UniRef50_UPI00047539FF: orotate phosphoribosyltransferase	1743.13
UniRef50_UPI00047539FF: orotate phosphoribosyltransferase|unclassified	1743.13
UniRef50_B6YRL9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	1736.21
UniRef50_B6YRL9: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	1736.21
UniRef50_C6BW21: Orotate phosphoribosyltransferase	1734.47
UniRef50_C6BW21: Orotate phosphoribosyltransferase|unclassified	1734.47
UniRef50_UPI0004735D54: carbamoyl phosphate synthase large subunit	1726.57
UniRef50_UPI0004735D54: carbamoyl phosphate synthase large subunit|unclassified	1726.57
UniRef50_UPI00046626E3: hypothetical protein	1693.58
UniRef50_UPI00046626E3: hypothetical protein|unclassified	1693.58
UniRef50_S8KKR5: Carbamoyl phosphate synthase small subunit	1690.78
UniRef50_S8KKR5: Carbamoyl phosphate synthase small subunit|unclassified	1690.78
UniRef50_M5RMZ2: Carbamoyl-phosphate synthase small subunit	1674.36
UniRef50_M5RMZ2: Carbamoyl-phosphate synthase small subunit|unclassified	1674.36
UniRef50_W5XA80: Vacuolar iron transporter	1666.93
UniRef50_W5XA80: Vacuolar iron transporter|unclassified	1666.93
UniRef50_UPI00047230A9: carbamoyl phosphate synthase large subunit	1663.04
UniRef50_UPI00047230A9: carbamoyl phosphate synthase large subunit|unclassified	1663.04
UniRef50_Q9KXR1: Bifunctional protein PyrR	1656.74
UniRef50_Q9KXR1: Bifunctional protein PyrR|unclassified	1656.74
UniRef50_Q5LND3: Orotidine 5'-phosphate decarboxylase	1652
UniRef50_Q5LND3: Orotidine 5'-phosphate decarboxylase|unclassified	1652
UniRef50_UPI000471D662: hypothetical protein, partial	1648.12
UniRef50_UPI000471D662: hypothetical protein, partial|unclassified	1648.12
UniRef50_X1RRN3: Marine sediment metagenome DNA, contig: S12H4_C05059 (Fragment)	1646.28
UniRef50_X1RRN3: Marine sediment metagenome DNA, contig: S12H4_C05059 (Fragment)|unclassified	1646.28
UniRef50_P57245: Carbamoyl-phosphate synthase small chain	1627.51
UniRef50_P57245: Carbamoyl-phosphate synthase small chain|unclassified	1627.51
UniRef50_A4WPB6: Orotate phosphoribosyltransferase	1623.14
UniRef50_A4WPB6: Orotate phosphoribosyltransferase|unclassified	1623.14
UniRef50_Q8UDF7: Carbamoyl-phosphate synthase small chain	1623.06
UniRef50_Q8UDF7: Carbamoyl-phosphate synthase small chain|unclassified	1623.06
UniRef50_Q1LTG7: Orotidine 5'-phosphate decarboxylase	1619.2
UniRef50_Q1LTG7: Orotidine 5'-phosphate decarboxylase|unclassified	1619.2
UniRef50_A9BJH4: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	1610.05
UniRef50_A9BJH4: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	1610.05
UniRef50_X0R696: Carbamoyl-phosphate synthase large chain	1608.36
UniRef50_X0R696: Carbamoyl-phosphate synthase large chain|unclassified	1608.36
UniRef50_B2S9C4: Orotidine 5'-phosphate decarboxylase	1600.73
UniRef50_B2S9C4: Orotidine 5'-phosphate decarboxylase|unclassified	1600.73
UniRef50_UPI0003B68D1C: dihydroorotase	1584.12
UniRef50_UPI0003B68D1C: dihydroorotase|unclassified	1584.12
UniRef50_Q5LI12: Orotate phosphoribosyltransferase	1582.41
UniRef50_Q5LI12: Orotate phosphoribosyltransferase|unclassified	1582.41
UniRef50_UPI0002558916: dihydroorotate dehydrogenase 2	1581.56
UniRef50_UPI0002558916: dihydroorotate dehydrogenase 2|unclassified	1581.56
UniRef50_W7ZQD1: Carbamoyl-phosphate synthase large chain	1578.47
UniRef50_W7ZQD1: Carbamoyl-phosphate synthase large chain|unclassified	1578.47
UniRef50_N6U5H1: Carbamoyl-phosphate synthase small chain	1566.33
UniRef50_N6U5H1: Carbamoyl-phosphate synthase small chain|unclassified	1566.33
UniRef50_UPI000473024F: hypothetical protein, partial	1562.62
UniRef50_UPI000473024F: hypothetical protein, partial|unclassified	1562.62
UniRef50_R1ZLC7: Carbamoyl-phosphate synthase small chain	1562.11
UniRef50_R1ZLC7: Carbamoyl-phosphate synthase small chain|unclassified	1562.11
UniRef50_Q6AS40: Aspartate carbamoyltransferase	1556.77
UniRef50_Q6AS40: Aspartate carbamoyltransferase|unclassified	1556.77
UniRef50_UPI000371ACD9: hypothetical protein	1549.64
UniRef50_UPI000371ACD9: hypothetical protein|unclassified	1549.64
UniRef50_P59626: Probable dihydroorotate dehydrogenase A (fumarate)	1539.39
UniRef50_P59626: Probable dihydroorotate dehydrogenase A (fumarate)|unclassified	1539.39
UniRef50_A2RJT9: Dihydroorotate dehydrogenase A (fumarate)	1539.23
UniRef50_A2RJT9: Dihydroorotate dehydrogenase A (fumarate)|unclassified	1539.23
UniRef50_Q47750: PyrA protein (Fragment)	1513.54
UniRef50_Q47750: PyrA protein (Fragment)|unclassified	1513.54
UniRef50_B2V726: Putative dihydroorotate dehydrogenase A (fumarate)	1505.62
UniRef50_B2V726: Putative dihydroorotate dehydrogenase A (fumarate)|unclassified	1505.62
UniRef50_Q8Y1L3: Bifunctional protein PyrR	1499.69
UniRef50_Q8Y1L3: Bifunctional protein PyrR|unclassified	1499.69
UniRef50_B2HNE5: Bifunctional protein PyrR	1497.88
UniRef50_B2HNE5: Bifunctional protein PyrR|unclassified	1497.88
UniRef50_Q83H88: Orotate phosphoribosyltransferase	1493.86
UniRef50_Q83H88: Orotate phosphoribosyltransferase|unclassified	1493.86
UniRef50_P18185: Carbamoyl-phosphate synthase arginine-specific large chain	1493.2
UniRef50_P18185: Carbamoyl-phosphate synthase arginine-specific large chain|unclassified	1493.2
UniRef50_Q2RK39: Orotidine 5'-phosphate decarboxylase	1490.73
UniRef50_Q2RK39: Orotidine 5'-phosphate decarboxylase|unclassified	1490.73
UniRef50_Q6A910: Orotate phosphoribosyltransferase	1489.31
UniRef50_Q6A910: Orotate phosphoribosyltransferase|unclassified	1489.31
UniRef50_A5CVN5: Orotate phosphoribosyltransferase	1487.78
UniRef50_A5CVN5: Orotate phosphoribosyltransferase|unclassified	1487.78
UniRef50_UPI0003761928: hypothetical protein, partial	1478.69
UniRef50_UPI0003761928: hypothetical protein, partial|unclassified	1478.69
UniRef50_Q2P898: Orotate phosphoribosyltransferase	1477.73
UniRef50_Q2P898: Orotate phosphoribosyltransferase|unclassified	1477.73
UniRef50_A0A011Q619	1469.99
UniRef50_A0A011Q619|unclassified	1469.99
UniRef50_Q74J27: Orotate phosphoribosyltransferase	1464.42
UniRef50_Q74J27: Orotate phosphoribosyltransferase|unclassified	1464.42
UniRef50_A5WGK5: Aspartate carbamoyltransferase	1462.93
UniRef50_A5WGK5: Aspartate carbamoyltransferase|unclassified	1462.93
UniRef50_L8FTT7	1456.77
UniRef50_L8FTT7|unclassified	1456.77
UniRef50_Q043A9: Aspartate carbamoyltransferase	1446.12
