# Gene Family	SampleBiotin_biosynthesis_Abundance-RPKs
UniRef50_UPI00019122A3: 3-ketoacyl-CoA thiolase, partial|unclassified	845.3365032492
UniRef50_K8CWY2	839.7020411847
UniRef50_K8CWY2|unclassified	839.7020411847
UniRef50_UPI0003A055C4: 8-amino-7-oxononanoate synthase	835.9176078273
UniRef50_UPI0003A055C4: 8-amino-7-oxononanoate synthase|unclassified	835.9176078273
UniRef50_UPI0003C192F6: PREDICTED: 4-coumarate--CoA ligase 1-like	820.7009328620
UniRef50_UPI0003C192F6: PREDICTED: 4-coumarate--CoA ligase 1-like|unclassified	820.7009328620
UniRef50_A8GBC5: Biotin synthase	808.5986403679
UniRef50_A8GBC5: Biotin synthase|unclassified	808.5986403679
UniRef50_Q8A7T2: Biotin biosynthesis bifunctional protein BioAB	781.8094955176
UniRef50_Q8A7T2: Biotin biosynthesis bifunctional protein BioAB|unclassified	781.8094955176
UniRef50_Q5HKF0: ATP-dependent dethiobiotin synthetase BioD	772.2913255182
UniRef50_Q5HKF0: ATP-dependent dethiobiotin synthetase BioD|unclassified	772.2913255182
UniRef50_V4QXI1: AMP-binding protein	766.7557920644
UniRef50_V4QXI1: AMP-binding protein|unclassified	766.7557920644
UniRef50_UPI000262869E: acetyl-CoA acetyltransferase	741.3672481326
UniRef50_UPI000262869E: acetyl-CoA acetyltransferase|unclassified	741.3672481326
UniRef50_UPI0002BCADE8: PREDICTED: long-chain-fatty-acid--CoA ligase-like	732.6496417971
UniRef50_UPI0002BCADE8: PREDICTED: long-chain-fatty-acid--CoA ligase-like|unclassified	732.6496417971
UniRef50_UPI0004419405: PREDICTED: gamma aminobutyrate transaminase 3, chloroplastic-like	725.0005258980
UniRef50_UPI0004419405: PREDICTED: gamma aminobutyrate transaminase 3, chloroplastic-like|unclassified	725.0005258980
UniRef50_UPI0003781F42: hypothetical protein	719.4282069822
UniRef50_UPI0003781F42: hypothetical protein|unclassified	719.4282069822
UniRef50_Q6GE10: 6-carboxyhexanoate--CoA ligase	711.9954123037
UniRef50_Q6GE10: 6-carboxyhexanoate--CoA ligase|unclassified	711.9954123037
UniRef50_Q4K4T2: Biotin synthase	704.0513986778
UniRef50_Q4K4T2: Biotin synthase|unclassified	704.0513986778
UniRef50_D5TSQ6	697.2538367665
UniRef50_D5TSQ6|unclassified	697.2538367665
UniRef50_P44446: Putative long-chain-fatty-acid--CoA ligase	689.9002950944
UniRef50_P44446: Putative long-chain-fatty-acid--CoA ligase|unclassified	689.9002950944
UniRef50_UPI00047A3E3C: hypothetical protein	689.0315453555
UniRef50_UPI00047A3E3C: hypothetical protein|unclassified	689.0315453555
UniRef50_Q6GCB8: Probable acetyl-CoA acyltransferase	680.2342359537
UniRef50_Q6GCB8: Probable acetyl-CoA acyltransferase|unclassified	680.2342359537
UniRef50_P0C7L3: Beta-ketoadipyl-CoA thiolase	678.1286663341
UniRef50_P0C7L3: Beta-ketoadipyl-CoA thiolase|unclassified	678.1286663341
UniRef50_UPI0002D3774A: hypothetical protein	665.0484032243
UniRef50_UPI0002D3774A: hypothetical protein|unclassified	665.0484032243
UniRef50_UPI0003EE7EAE: acetyl-CoA acetyltransferase	657.2758209237
UniRef50_UPI0003EE7EAE: acetyl-CoA acetyltransferase|unclassified	657.2758209237
UniRef50_Q8K9P0: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	646.5673511587
UniRef50_Q8K9P0: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	646.5673511587
UniRef50_B2SBF0: Biotin synthase	633.3893266235
UniRef50_B2SBF0: Biotin synthase|unclassified	633.3893266235
UniRef50_B7IWN2: ATP-dependent dethiobiotin synthetase BioD	633.0696397817
UniRef50_B7IWN2: ATP-dependent dethiobiotin synthetase BioD|unclassified	633.0696397817
UniRef50_A7FNV8: Pimeloyl-[acyl-carrier protein] methyl ester esterase	630.5030267810
UniRef50_A7FNV8: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	630.5030267810
UniRef50_Q8ZGW9: ATP-dependent dethiobiotin synthetase BioD 1	626.7577291137
UniRef50_Q8ZGW9: ATP-dependent dethiobiotin synthetase BioD 1|unclassified	626.7577291137
UniRef50_Q0VMD0: Biotin synthase	619.6392147053
UniRef50_Q0VMD0: Biotin synthase|unclassified	619.6392147053
UniRef50_P69953: ATP-dependent dethiobiotin synthetase BioD 2	603.6207385043
UniRef50_P69953: ATP-dependent dethiobiotin synthetase BioD 2|unclassified	603.6207385043
UniRef50_UPI00046704E3: acetyl-CoA acetyltransferase, partial	603.3651584131
UniRef50_UPI00046704E3: acetyl-CoA acetyltransferase, partial|unclassified	603.3651584131
UniRef50_UPI000462E991: adenosylmethionine-8-amino-7-oxononanoate aminotransferase, partial	597.2794752610
UniRef50_UPI000462E991: adenosylmethionine-8-amino-7-oxononanoate aminotransferase, partial|unclassified	597.2794752610
UniRef50_UPI0003C13328: PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal-like	591.1670608702
UniRef50_UPI0003C13328: PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal-like|unclassified	591.1670608702
UniRef50_B7GHM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	590.8410097654
UniRef50_B7GHM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	590.8410097654
UniRef50_P46395: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	587.9135342813
UniRef50_P46395: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	587.9135342813
UniRef50_Q8D2A1: Biotin synthase	584.9702555816
UniRef50_Q8D2A1: Biotin synthase|unclassified	584.9702555816
UniRef50_UPI00035C4939: hypothetical protein	574.4343157126
UniRef50_UPI00035C4939: hypothetical protein|unclassified	574.4343157126
UniRef50_UPI0001850AF8: acyl-CoA synthase	571.5057755679
UniRef50_UPI0001850AF8: acyl-CoA synthase|unclassified	571.5057755679
UniRef50_P22805: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	564.8018014600
UniRef50_P22805: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	564.8018014600
UniRef50_UPI000373AFE3: hypothetical protein, partial	562.9661134024
UniRef50_UPI000373AFE3: hypothetical protein, partial|unclassified	562.9661134024
UniRef50_UPI00016A2E24: AMP-dependent synthetase and ligase, partial	561.2878366199
UniRef50_UPI00016A2E24: AMP-dependent synthetase and ligase, partial|unclassified	561.2878366199
UniRef50_V4APX9: Carboxylesterase BioH	557.7180164167
UniRef50_V4APX9: Carboxylesterase BioH|unclassified	557.7180164167
UniRef50_Q2NUJ6: 8-amino-7-oxononanoate synthase	545.1751937090
UniRef50_Q2NUJ6: 8-amino-7-oxononanoate synthase|unclassified	545.1751937090
UniRef50_B9MJH4: Biotin synthase	536.2731659371
UniRef50_B9MJH4: Biotin synthase|unclassified	536.2731659371
UniRef50_A1TQ53: Biotin synthase	534.9793446867
UniRef50_A1TQ53: Biotin synthase|unclassified	534.9793446867
UniRef50_P46707: Probable acetyl-CoA acetyltransferase	534.0722344512
UniRef50_P46707: Probable acetyl-CoA acetyltransferase|unclassified	534.0722344512
UniRef50_P12999: Malonyl-[acyl-carrier protein] O-methyltransferase	531.8824956432
UniRef50_P12999: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	531.8824956432
UniRef50_Q9KSZ1: ATP-dependent dethiobiotin synthetase BioD	527.5837352256
UniRef50_Q9KSZ1: ATP-dependent dethiobiotin synthetase BioD|unclassified	527.5837352256
UniRef50_B8F6C9: Biotin synthase	526.8830028542
UniRef50_B8F6C9: Biotin synthase|unclassified	526.8830028542
UniRef50_UPI00046CFD0F: acetyl-CoA acetyltransferase	525.8836310965
UniRef50_UPI00046CFD0F: acetyl-CoA acetyltransferase|unclassified	525.8836310965
UniRef50_Q6GJ94: Putative long chain fatty acid-CoA ligase VraA	525.1167879531
UniRef50_Q6GJ94: Putative long chain fatty acid-CoA ligase VraA|unclassified	525.1167879531
UniRef50_Q9JRW7: Biotin synthase	516.7445052959
UniRef50_Q9JRW7: Biotin synthase|unclassified	516.7445052959
UniRef50_Q7VL09: 8-amino-7-oxononanoate synthase	515.2573718565
UniRef50_Q7VL09: 8-amino-7-oxononanoate synthase|unclassified	515.2573718565
UniRef50_Q11S94: Biotin synthase	510.8646132778
UniRef50_Q11S94: Biotin synthase|unclassified	510.8646132778
UniRef50_UPI000345C0EA: acetyl-CoA acetyltransferase	507.4883845043
UniRef50_UPI000345C0EA: acetyl-CoA acetyltransferase|unclassified	507.4883845043
UniRef50_Q5F8G2: Biotin synthase	504.0144722825
UniRef50_Q5F8G2: Biotin synthase|unclassified	504.0144722825
UniRef50_K2G4G8	502.3056556810
UniRef50_K2G4G8|unclassified	502.3056556810
UniRef50_J9G9V2	499.3176023880
UniRef50_J9G9V2|unclassified	499.3176023880
UniRef50_C4UFF4: Dethiobiotin synthase	498.2594154599
UniRef50_C4UFF4: Dethiobiotin synthase|unclassified	498.2594154599
UniRef50_UPI00046CBBEB: biotin synthase	495.0191516745
UniRef50_UPI00046CBBEB: biotin synthase|unclassified	495.0191516745
UniRef50_UPI0004648EC6: beta-ketoadipyl CoA thiolase, partial	494.2500666902
UniRef50_UPI0004648EC6: beta-ketoadipyl CoA thiolase, partial|unclassified	494.2500666902
UniRef50_UPI0003FB549E: hypothetical protein	491.2301822789
UniRef50_UPI0003FB549E: hypothetical protein|unclassified	491.2301822789
UniRef50_UPI00036ACF31: hypothetical protein	478.9868768301
UniRef50_UPI00036ACF31: hypothetical protein|unclassified	478.9868768301
UniRef50_A0A011NBJ2: 3-ketoacyl-CoA thiolase	470.9409166628
UniRef50_A0A011NBJ2: 3-ketoacyl-CoA thiolase|unclassified	470.9409166628
UniRef50_UPI00023792B1: putative acyltransferase	464.5031979935
UniRef50_UPI00023792B1: putative acyltransferase|unclassified	464.5031979935
UniRef50_UPI000371C269: hypothetical protein	462.4474571389
UniRef50_UPI000371C269: hypothetical protein|unclassified	462.4474571389
UniRef50_UPI0003EB2201: 3-ketoacyl-CoA thiolase	462.0314379058
UniRef50_UPI0003EB2201: 3-ketoacyl-CoA thiolase|unclassified	462.0314379058
UniRef50_W7W8V5	457.8447432251
UniRef50_W7W8V5|unclassified	457.8447432251
UniRef50_UPI000370AB82: hypothetical protein	457.6471952530
UniRef50_UPI000370AB82: hypothetical protein|unclassified	457.6471952530
UniRef50_UPI0003B45174: fatty acid--CoA ligase, partial	456.9300755391
UniRef50_UPI0003B45174: fatty acid--CoA ligase, partial|unclassified	456.9300755391
UniRef50_UPI0003B7860B: hypothetical protein	455.1825255257
UniRef50_UPI0003B7860B: hypothetical protein|unclassified	455.1825255257
UniRef50_UPI000329E1F0: PREDICTED: biotin biosynthesis bifunctional protein BioCD-like	454.8249727376
UniRef50_UPI000329E1F0: PREDICTED: biotin biosynthesis bifunctional protein BioCD-like|unclassified	454.8249727376
UniRef50_O07610: Long-chain-fatty-acid--CoA ligase	453.8928148477
UniRef50_O07610: Long-chain-fatty-acid--CoA ligase|unclassified	453.8928148477
UniRef50_UPI0003C19081: PREDICTED: biotin synthase-like	452.4441509927
UniRef50_UPI0003C19081: PREDICTED: biotin synthase-like|unclassified	452.4441509927
UniRef50_B8ZR86: Biotin synthase	451.1368619036
UniRef50_B8ZR86: Biotin synthase|unclassified	451.1368619036
UniRef50_Q7MPY0: Pimeloyl-[acyl-carrier protein] methyl ester esterase	449.4633114443
UniRef50_Q7MPY0: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	449.4633114443
UniRef50_B7VH15: 8-amino-7-oxononanoate synthase	449.2509240359
UniRef50_B7VH15: 8-amino-7-oxononanoate synthase|unclassified	449.2509240359
UniRef50_Q9ZKM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	445.1975017046
UniRef50_Q9ZKM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	445.1975017046
UniRef50_A3MNG2: ATP-dependent dethiobiotin synthetase BioD	445.0755462585
UniRef50_A3MNG2: ATP-dependent dethiobiotin synthetase BioD|unclassified	445.0755462585
UniRef50_P94547: Long-chain-fatty-acid--CoA ligase	443.6573310243
UniRef50_P94547: Long-chain-fatty-acid--CoA ligase|unclassified	443.6573310243
UniRef50_UPI00037E08BF: hypothetical protein	443.3612032204
UniRef50_UPI00037E08BF: hypothetical protein|unclassified	443.3612032204
UniRef50_UPI0003B60D96: hypothetical protein, partial	442.8100855934
UniRef50_UPI0003B60D96: hypothetical protein, partial|unclassified	442.8100855934
UniRef50_UPI00036AACC6: long-chain fatty acid--CoA ligase, partial	441.8626380465
UniRef50_UPI00036AACC6: long-chain fatty acid--CoA ligase, partial|unclassified	441.8626380465
UniRef50_Z5XA58	438.0057126670
UniRef50_Z5XA58|unclassified	438.0057126670
UniRef50_UPI000474892A: acetyl-CoA acetyltransferase	432.8348894062
UniRef50_UPI000474892A: acetyl-CoA acetyltransferase|unclassified	432.8348894062
UniRef50_Q8CAY6: Acetyl-CoA acetyltransferase, cytosolic	432.8136881476
UniRef50_Q8CAY6: Acetyl-CoA acetyltransferase, cytosolic|unclassified	432.8136881476
UniRef50_UPI0002BB4872: 8-amino-7-oxononanoate synthase, partial	427.9879898337
UniRef50_UPI0002BB4872: 8-amino-7-oxononanoate synthase, partial|unclassified	427.9879898337
UniRef50_A7GSD9: Malonyl-[acyl-carrier protein] O-methyltransferase	427.1034265967
UniRef50_A7GSD9: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	427.1034265967
UniRef50_B8K5F9: Biotin synthesis protein BioC	425.1548788614
UniRef50_B8K5F9: Biotin synthesis protein BioC|unclassified	425.1548788614
UniRef50_B9DKN5: Biotin synthase	420.8823296416
UniRef50_B9DKN5: Biotin synthase|unclassified	420.8823296416
UniRef50_P42765: 3-ketoacyl-CoA thiolase, mitochondrial	420.0473810990
UniRef50_P42765: 3-ketoacyl-CoA thiolase, mitochondrial|unclassified	420.0473810990
UniRef50_UPI0002F93C88: hypothetical protein	409.4949896762
UniRef50_UPI0002F93C88: hypothetical protein|unclassified	409.4949896762
UniRef50_UPI00016A696C: acyl-CoA synthetase	404.0548390636
UniRef50_UPI00016A696C: acyl-CoA synthetase|unclassified	404.0548390636
UniRef50_UPI00035E146B: acetyl-CoA acetyltransferase	403.5487146150
UniRef50_UPI00035E146B: acetyl-CoA acetyltransferase|unclassified	403.5487146150
UniRef50_UPI000421FD3A: acetyl-CoA acetyltransferase	402.3488307845
UniRef50_UPI000421FD3A: acetyl-CoA acetyltransferase|unclassified	402.3488307845
UniRef50_G8SRQ2: Transcriptional regulator	400.5457294195
UniRef50_G8SRQ2: Transcriptional regulator|unclassified	400.5457294195
UniRef50_Q0BBD6: 8-amino-7-oxononanoate synthase	400.0329250400
UniRef50_Q0BBD6: 8-amino-7-oxononanoate synthase|unclassified	400.0329250400
UniRef50_UPI000467F421: long-chain fatty acid--CoA ligase	399.3863550693
UniRef50_UPI000467F421: long-chain fatty acid--CoA ligase|unclassified	399.3863550693
UniRef50_UPI000466C093: MULTISPECIES: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	398.3085580048
UniRef50_UPI000466C093: MULTISPECIES: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	398.3085580048
UniRef50_A3GKM1: BioH protein	397.7452998975
UniRef50_A3GKM1: BioH protein|unclassified	397.7452998975
UniRef50_UPI0003B556E0: long-chain fatty acid--CoA ligase	397.4595236490
UniRef50_UPI0003B556E0: long-chain fatty acid--CoA ligase|unclassified	397.4595236490
UniRef50_Q9BWD1: Acetyl-CoA acetyltransferase, cytosolic	390.5506133860
UniRef50_Q9BWD1: Acetyl-CoA acetyltransferase, cytosolic|unclassified	390.5506133860
UniRef50_UPI0004653936: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	387.8636824213
UniRef50_UPI0004653936: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	387.8636824213
UniRef50_X3WYP8	387.5931966021
UniRef50_X3WYP8|unclassified	387.5931966021
UniRef50_Q1LTL5: ATP-dependent dethiobiotin synthetase BioD	386.5771062540
UniRef50_Q1LTL5: ATP-dependent dethiobiotin synthetase BioD|unclassified	386.5771062540
UniRef50_Q9KM65: CAI-1 autoinducer synthase	386.2628808004
UniRef50_Q9KM65: CAI-1 autoinducer synthase|unclassified	386.2628808004
UniRef50_UPI0004666727: long-chain fatty acid--CoA ligase, partial	384.6351562250
UniRef50_UPI0004666727: long-chain fatty acid--CoA ligase, partial|unclassified	384.6351562250
UniRef50_A2BX80: Biotin synthase	384.3948636547
UniRef50_A2BX80: Biotin synthase|unclassified	384.3948636547
UniRef50_Q9K085: ATP-dependent dethiobiotin synthetase BioD	383.3416569471
UniRef50_Q9K085: ATP-dependent dethiobiotin synthetase BioD|unclassified	383.3416569471
UniRef50_Q9JV95: ATP-dependent dethiobiotin synthetase BioD	381.8027870668
UniRef50_Q9JV95: ATP-dependent dethiobiotin synthetase BioD|unclassified	381.8027870668
UniRef50_UPI0003824EF6: acetyl-CoA acetyltransferase	380.7177043009
UniRef50_UPI0003824EF6: acetyl-CoA acetyltransferase|unclassified	380.7177043009
UniRef50_UPI00036668D7: hypothetical protein, partial	376.5339253462
UniRef50_UPI00036668D7: hypothetical protein, partial|unclassified	376.5339253462
UniRef50_Q9KC26: Biotin synthase	375.3416052326
UniRef50_Q9KC26: Biotin synthase|unclassified	375.3416052326
UniRef50_Q921H8: 3-ketoacyl-CoA thiolase A, peroxisomal	372.0851249142
UniRef50_Q921H8: 3-ketoacyl-CoA thiolase A, peroxisomal|unclassified	372.0851249142
UniRef50_A0M7A9: Biotin synthase	371.3941975248
UniRef50_A0M7A9: Biotin synthase|unclassified	371.3941975248
UniRef50_A8L2N0: Biotin synthase	370.9149931776
UniRef50_A8L2N0: Biotin synthase|unclassified	370.9149931776
UniRef50_UPI00040D96DE: biotin synthase	366.7210797356
UniRef50_UPI00040D96DE: biotin synthase|unclassified	366.7210797356
UniRef50_UPI000380B055: hypothetical protein	362.7878840630
UniRef50_UPI000380B055: hypothetical protein|unclassified	362.7878840630
UniRef50_UPI0001F85CA4: biotin synthase-like protein	360.3570384830
UniRef50_UPI0001F85CA4: biotin synthase-like protein|unclassified	360.3570384830
UniRef50_UPI0003617D73: hypothetical protein	357.0161921423
UniRef50_UPI0003617D73: hypothetical protein|unclassified	357.0161921423
UniRef50_UPI0003FD21A9: acetyl-CoA acetyltransferase	355.3908266061
UniRef50_UPI0003FD21A9: acetyl-CoA acetyltransferase|unclassified	355.3908266061
UniRef50_UPI0003FDF28D: AMP-dependent synthetase	354.7465237431
UniRef50_UPI0003FDF28D: AMP-dependent synthetase|unclassified	354.7465237431
UniRef50_UPI00036CAE9C: hypothetical protein	349.6848988902
UniRef50_UPI00036CAE9C: hypothetical protein|unclassified	349.6848988902
UniRef50_P46363: Bifunctional ligase/repressor BirA	345.7550813308
UniRef50_P46363: Bifunctional ligase/repressor BirA|unclassified	345.7550813308
UniRef50_A6UYW1: 8-amino-7-oxononanoate synthase	345.6052083599
UniRef50_A6UYW1: 8-amino-7-oxononanoate synthase|unclassified	345.6052083599
UniRef50_Q4FQJ9: Biotin synthase	343.6901093772
UniRef50_Q4FQJ9: Biotin synthase|unclassified	343.6901093772
UniRef50_P45249: Malonyl-[acyl-carrier protein] O-methyltransferase	343.5150615285
UniRef50_P45249: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	343.5150615285
UniRef50_P09110: 3-ketoacyl-CoA thiolase, peroxisomal	341.7701414768
UniRef50_P09110: 3-ketoacyl-CoA thiolase, peroxisomal|unclassified	341.7701414768
UniRef50_UPI00047AA041: hypothetical protein	341.4953041032
UniRef50_UPI00047AA041: hypothetical protein|unclassified	341.4953041032
UniRef50_Q728P4: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	340.5055027118
UniRef50_Q728P4: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	340.5055027118
UniRef50_UPI00023757E2: malonyl-CoA synthase, partial	340.1819666009
UniRef50_UPI00023757E2: malonyl-CoA synthase, partial|unclassified	340.1819666009
UniRef50_UPI00031141F2: hypothetical protein	339.6450013610
UniRef50_UPI00031141F2: hypothetical protein|unclassified	339.6450013610
UniRef50_A0A011QW74: Long-chain-fatty-acid--CoA ligase	338.6819812153
UniRef50_A0A011QW74: Long-chain-fatty-acid--CoA ligase|unclassified	338.6819812153
UniRef50_H3WX52: HTH domain protein (Fragment)	338.3710312434
UniRef50_H3WX52: HTH domain protein (Fragment)|unclassified	338.3710312434
UniRef50_UPI0002DB3B5F: hypothetical protein	335.4197135552
UniRef50_UPI0002DB3B5F: hypothetical protein|unclassified	335.4197135552
UniRef50_UPI00046E74A6: hypothetical protein, partial	333.7353021150
UniRef50_UPI00046E74A6: hypothetical protein, partial|unclassified	333.7353021150
UniRef50_P54967: Biotin synthase	331.3879804225
UniRef50_P54967: Biotin synthase|unclassified	331.3879804225
UniRef50_B1FS90	330.3449418376
UniRef50_B1FS90|unclassified	330.3449418376
UniRef50_UPI000468D15B: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	329.9948953007
UniRef50_UPI000468D15B: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	329.9948953007
UniRef50_UPI00037896C8: hypothetical protein, partial	329.8759083070
UniRef50_UPI00037896C8: hypothetical protein, partial|unclassified	329.8759083070
UniRef50_K8C3V9	329.2021312780
UniRef50_K8C3V9|unclassified	329.2021312780
UniRef50_A6GW77: Biotin synthase	322.9418258973
UniRef50_A6GW77: Biotin synthase|unclassified	322.9418258973
UniRef50_UPI00047108BB: hypothetical protein	321.0081718609
UniRef50_UPI00047108BB: hypothetical protein|unclassified	321.0081718609
UniRef50_UPI00039595D5: dithiobiotin synthetase	319.5185593775
UniRef50_UPI00039595D5: dithiobiotin synthetase|unclassified	319.5185593775
UniRef50_Q3JXW2	318.8898841388
UniRef50_Q3JXW2|unclassified	318.8898841388
UniRef50_UPI0003758F81: hypothetical protein, partial	314.4074114397
UniRef50_UPI0003758F81: hypothetical protein, partial|unclassified	314.4074114397
UniRef50_UPI0002375CBC: biotin biosynthesis protein BioH, partial	308.1037609891
UniRef50_UPI0002375CBC: biotin biosynthesis protein BioH, partial|unclassified	308.1037609891
UniRef50_UPI00016ABEFF: AMP-binding domain protein, partial	307.3516238987
UniRef50_UPI00016ABEFF: AMP-binding domain protein, partial|unclassified	307.3516238987
UniRef50_Q58696: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	306.7309280381
UniRef50_Q58696: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	306.7309280381
UniRef50_B3QLR6: 8-amino-7-oxononanoate synthase	305.5605714658
UniRef50_B3QLR6: 8-amino-7-oxononanoate synthase|unclassified	305.5605714658
UniRef50_UPI00047B1BF4: biotin--protein ligase	304.7658210980
UniRef50_UPI00047B1BF4: biotin--protein ligase|unclassified	304.7658210980
UniRef50_UPI00029B3AD3: adenosylmethionine--8-amino-7-oxononanoate transaminase, partial	301.9815457745
UniRef50_UPI00029B3AD3: adenosylmethionine--8-amino-7-oxononanoate transaminase, partial|unclassified	301.9815457745
UniRef50_UPI00016A4791: Methyltransferase type 11, partial	300.8424746733
UniRef50_UPI00016A4791: Methyltransferase type 11, partial|unclassified	300.8424746733
UniRef50_I8S9Y3: Aminotransferase class-III (Fragment)	300.2045308838
UniRef50_I8S9Y3: Aminotransferase class-III (Fragment)|unclassified	300.2045308838
UniRef50_UPI000363B7BC: hypothetical protein, partial	296.0676922220
UniRef50_UPI000363B7BC: hypothetical protein, partial|unclassified	296.0676922220
UniRef50_UPI00037BE2E5: hypothetical protein, partial	294.6892164414
UniRef50_UPI00037BE2E5: hypothetical protein, partial|unclassified	294.6892164414
UniRef50_UPI0003A0EB32: 3-ketoacyl-CoA thiolase	293.2068956843
UniRef50_UPI0003A0EB32: 3-ketoacyl-CoA thiolase|unclassified	293.2068956843
UniRef50_UPI00046FB97B: hypothetical protein	292.5865399638
UniRef50_UPI00046FB97B: hypothetical protein|unclassified	292.5865399638
UniRef50_G4B115	292.4213548529
UniRef50_G4B115|unclassified	292.4213548529
UniRef50_B2SGE1: Biotin synthesis protein BioC	291.1687690809
UniRef50_B2SGE1: Biotin synthesis protein BioC|unclassified	291.1687690809
UniRef50_UPI00037F0D3E: acetyl-CoA acetyltransferase	285.5813491455
UniRef50_UPI00037F0D3E: acetyl-CoA acetyltransferase|unclassified	285.5813491455
UniRef50_C3AQ74: Biotin biosynthesis protein BioC	283.6389737413
UniRef50_C3AQ74: Biotin biosynthesis protein BioC|unclassified	283.6389737413
UniRef50_R7DQ09: AMP-binding enzyme	278.0816537798
UniRef50_R7DQ09: AMP-binding enzyme|unclassified	278.0816537798
UniRef50_UPI000325A3F6: hypothetical protein	277.6468483387
UniRef50_UPI000325A3F6: hypothetical protein|unclassified	277.6468483387
UniRef50_A0A050U188	276.7390337813
UniRef50_A0A050U188|unclassified	276.7390337813
UniRef50_UPI00042135D8: AMP-dependent synthetase	273.4301954549
UniRef50_UPI00042135D8: AMP-dependent synthetase|unclassified	273.4301954549
