# Gene Family	SampleBiotin_biosynthesis_Abundance-CPM
UniRef50_UPI0004657735: AMP-binding protein, partial|unclassified	3518.91
UniRef50_V5MG06: BioH protein	3383.92
UniRef50_V5MG06: BioH protein|unclassified	3383.92
UniRef50_UPI00019122A3: 3-ketoacyl-CoA thiolase, partial	3368.38
UniRef50_UPI00019122A3: 3-ketoacyl-CoA thiolase, partial|unclassified	3368.38
UniRef50_K8CWY2	3345.93
UniRef50_K8CWY2|unclassified	3345.93
UniRef50_UPI0003A055C4: 8-amino-7-oxononanoate synthase	3330.85
UniRef50_UPI0003A055C4: 8-amino-7-oxononanoate synthase|unclassified	3330.85
UniRef50_UPI0003C192F6: PREDICTED: 4-coumarate--CoA ligase 1-like	3270.22
UniRef50_UPI0003C192F6: PREDICTED: 4-coumarate--CoA ligase 1-like|unclassified	3270.22
UniRef50_A8GBC5: Biotin synthase	3221.99
UniRef50_A8GBC5: Biotin synthase|unclassified	3221.99
UniRef50_Q8A7T2: Biotin biosynthesis bifunctional protein BioAB	3115.25
UniRef50_Q8A7T2: Biotin biosynthesis bifunctional protein BioAB|unclassified	3115.25
UniRef50_Q5HKF0: ATP-dependent dethiobiotin synthetase BioD	3077.32
UniRef50_Q5HKF0: ATP-dependent dethiobiotin synthetase BioD|unclassified	3077.32
UniRef50_V4QXI1: AMP-binding protein	3055.26
UniRef50_V4QXI1: AMP-binding protein|unclassified	3055.26
UniRef50_UPI000262869E: acetyl-CoA acetyltransferase	2954.1
UniRef50_UPI000262869E: acetyl-CoA acetyltransferase|unclassified	2954.1
UniRef50_UPI0002BCADE8: PREDICTED: long-chain-fatty-acid--CoA ligase-like	2919.36
UniRef50_UPI0002BCADE8: PREDICTED: long-chain-fatty-acid--CoA ligase-like|unclassified	2919.36
UniRef50_UPI0004419405: PREDICTED: gamma aminobutyrate transaminase 3, chloroplastic-like	2888.88
UniRef50_UPI0004419405: PREDICTED: gamma aminobutyrate transaminase 3, chloroplastic-like|unclassified	2888.88
UniRef50_UPI0003781F42: hypothetical protein	2866.68
UniRef50_UPI0003781F42: hypothetical protein|unclassified	2866.68
UniRef50_Q6GE10: 6-carboxyhexanoate--CoA ligase	2837.06
UniRef50_Q6GE10: 6-carboxyhexanoate--CoA ligase|unclassified	2837.06
UniRef50_Q4K4T2: Biotin synthase	2805.41
UniRef50_Q4K4T2: Biotin synthase|unclassified	2805.41
UniRef50_D5TSQ6	2778.32
UniRef50_D5TSQ6|unclassified	2778.32
UniRef50_P44446: Putative long-chain-fatty-acid--CoA ligase	2749.02
UniRef50_P44446: Putative long-chain-fatty-acid--CoA ligase|unclassified	2749.02
UniRef50_UPI00047A3E3C: hypothetical protein	2745.56
UniRef50_UPI00047A3E3C: hypothetical protein|unclassified	2745.56
UniRef50_Q6GCB8: Probable acetyl-CoA acyltransferase	2710.5
UniRef50_Q6GCB8: Probable acetyl-CoA acyltransferase|unclassified	2710.5
UniRef50_P0C7L3: Beta-ketoadipyl-CoA thiolase	2702.11
UniRef50_P0C7L3: Beta-ketoadipyl-CoA thiolase|unclassified	2702.11
UniRef50_UPI0002D3774A: hypothetical protein	2649.99
UniRef50_UPI0002D3774A: hypothetical protein|unclassified	2649.99
UniRef50_UPI0003EE7EAE: acetyl-CoA acetyltransferase	2619.02
UniRef50_UPI0003EE7EAE: acetyl-CoA acetyltransferase|unclassified	2619.02
UniRef50_Q8K9P0: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	2576.35
UniRef50_Q8K9P0: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	2576.35
UniRef50_B2SBF0: Biotin synthase	2523.84
UniRef50_B2SBF0: Biotin synthase|unclassified	2523.84
UniRef50_B7IWN2: ATP-dependent dethiobiotin synthetase BioD	2522.57
UniRef50_B7IWN2: ATP-dependent dethiobiotin synthetase BioD|unclassified	2522.57
UniRef50_A7FNV8: Pimeloyl-[acyl-carrier protein] methyl ester esterase	2512.34
UniRef50_A7FNV8: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	2512.34
UniRef50_Q8ZGW9: ATP-dependent dethiobiotin synthetase BioD 1	2497.42
UniRef50_Q8ZGW9: ATP-dependent dethiobiotin synthetase BioD 1|unclassified	2497.42
UniRef50_Q0VMD0: Biotin synthase	2469.05
UniRef50_Q0VMD0: Biotin synthase|unclassified	2469.05
UniRef50_P69953: ATP-dependent dethiobiotin synthetase BioD 2	2405.22
UniRef50_P69953: ATP-dependent dethiobiotin synthetase BioD 2|unclassified	2405.22
UniRef50_UPI00046704E3: acetyl-CoA acetyltransferase, partial	2404.21
UniRef50_UPI00046704E3: acetyl-CoA acetyltransferase, partial|unclassified	2404.21
UniRef50_UPI000462E991: adenosylmethionine-8-amino-7-oxononanoate aminotransferase, partial	2379.96
UniRef50_UPI000462E991: adenosylmethionine-8-amino-7-oxononanoate aminotransferase, partial|unclassified	2379.96
UniRef50_UPI0003C13328: PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal-like	2355.6
UniRef50_UPI0003C13328: PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal-like|unclassified	2355.6
UniRef50_B7GHM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	2354.3
UniRef50_B7GHM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	2354.3
UniRef50_P46395: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	2342.64
UniRef50_P46395: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	2342.64
UniRef50_Q8D2A1: Biotin synthase	2330.91
UniRef50_Q8D2A1: Biotin synthase|unclassified	2330.91
UniRef50_UPI00035C4939: hypothetical protein	2288.93
UniRef50_UPI00035C4939: hypothetical protein|unclassified	2288.93
UniRef50_UPI0001850AF8: acyl-CoA synthase	2277.26
UniRef50_UPI0001850AF8: acyl-CoA synthase|unclassified	2277.26
UniRef50_P22805: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	2250.54
UniRef50_P22805: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	2250.54
UniRef50_UPI000373AFE3: hypothetical protein, partial	2243.23
UniRef50_UPI000373AFE3: hypothetical protein, partial|unclassified	2243.23
UniRef50_UPI00016A2E24: AMP-dependent synthetase and ligase, partial	2236.54
UniRef50_UPI00016A2E24: AMP-dependent synthetase and ligase, partial|unclassified	2236.54
UniRef50_V4APX9: Carboxylesterase BioH	2222.32
UniRef50_V4APX9: Carboxylesterase BioH|unclassified	2222.32
UniRef50_Q2NUJ6: 8-amino-7-oxononanoate synthase	2172.34
UniRef50_Q2NUJ6: 8-amino-7-oxononanoate synthase|unclassified	2172.34
UniRef50_B9MJH4: Biotin synthase	2136.87
UniRef50_B9MJH4: Biotin synthase|unclassified	2136.87
UniRef50_A1TQ53: Biotin synthase	2131.71
UniRef50_A1TQ53: Biotin synthase|unclassified	2131.71
UniRef50_P46707: Probable acetyl-CoA acetyltransferase	2128.1
UniRef50_P46707: Probable acetyl-CoA acetyltransferase|unclassified	2128.1
UniRef50_P12999: Malonyl-[acyl-carrier protein] O-methyltransferase	2119.37
UniRef50_P12999: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	2119.37
UniRef50_Q9KSZ1: ATP-dependent dethiobiotin synthetase BioD	2102.24
UniRef50_Q9KSZ1: ATP-dependent dethiobiotin synthetase BioD|unclassified	2102.24
UniRef50_B8F6C9: Biotin synthase	2099.45
UniRef50_B8F6C9: Biotin synthase|unclassified	2099.45
UniRef50_UPI00046CFD0F: acetyl-CoA acetyltransferase	2095.47
UniRef50_UPI00046CFD0F: acetyl-CoA acetyltransferase|unclassified	2095.47
UniRef50_Q6GJ94: Putative long chain fatty acid-CoA ligase VraA	2092.41
UniRef50_Q6GJ94: Putative long chain fatty acid-CoA ligase VraA|unclassified	2092.41
UniRef50_Q9JRW7: Biotin synthase	2059.05
UniRef50_Q9JRW7: Biotin synthase|unclassified	2059.05
UniRef50_Q7VL09: 8-amino-7-oxononanoate synthase	2053.13
UniRef50_Q7VL09: 8-amino-7-oxononanoate synthase|unclassified	2053.13
UniRef50_Q11S94: Biotin synthase	2035.62
UniRef50_Q11S94: Biotin synthase|unclassified	2035.62
UniRef50_UPI000345C0EA: acetyl-CoA acetyltransferase	2022.17
UniRef50_UPI000345C0EA: acetyl-CoA acetyltransferase|unclassified	2022.17
UniRef50_Q5F8G2: Biotin synthase	2008.33
UniRef50_Q5F8G2: Biotin synthase|unclassified	2008.33
UniRef50_K2G4G8	2001.52
UniRef50_K2G4G8|unclassified	2001.52
UniRef50_J9G9V2	1989.61
UniRef50_J9G9V2|unclassified	1989.61
UniRef50_C4UFF4: Dethiobiotin synthase	1985.4
UniRef50_C4UFF4: Dethiobiotin synthase|unclassified	1985.4
UniRef50_UPI00046CBBEB: biotin synthase	1972.48
UniRef50_UPI00046CBBEB: biotin synthase|unclassified	1972.48
UniRef50_UPI0004648EC6: beta-ketoadipyl CoA thiolase, partial	1969.42
UniRef50_UPI0004648EC6: beta-ketoadipyl CoA thiolase, partial|unclassified	1969.42
UniRef50_UPI0003FB549E: hypothetical protein	1957.39
UniRef50_UPI0003FB549E: hypothetical protein|unclassified	1957.39
UniRef50_UPI00036ACF31: hypothetical protein	1908.6
UniRef50_UPI00036ACF31: hypothetical protein|unclassified	1908.6
UniRef50_A0A011NBJ2: 3-ketoacyl-CoA thiolase	1876.54
UniRef50_A0A011NBJ2: 3-ketoacyl-CoA thiolase|unclassified	1876.54
UniRef50_UPI00023792B1: putative acyltransferase	1850.89
UniRef50_UPI00023792B1: putative acyltransferase|unclassified	1850.89
UniRef50_UPI000371C269: hypothetical protein	1842.7
UniRef50_UPI000371C269: hypothetical protein|unclassified	1842.7
UniRef50_UPI0003EB2201: 3-ketoacyl-CoA thiolase	1841.04
UniRef50_UPI0003EB2201: 3-ketoacyl-CoA thiolase|unclassified	1841.04
UniRef50_W7W8V5	1824.36
UniRef50_W7W8V5|unclassified	1824.36
UniRef50_UPI000370AB82: hypothetical protein	1823.57
UniRef50_UPI000370AB82: hypothetical protein|unclassified	1823.57
UniRef50_UPI0003B45174: fatty acid--CoA ligase, partial	1820.71
UniRef50_UPI0003B45174: fatty acid--CoA ligase, partial|unclassified	1820.71
UniRef50_UPI0003B7860B: hypothetical protein	1813.75
UniRef50_UPI0003B7860B: hypothetical protein|unclassified	1813.75
UniRef50_UPI000329E1F0: PREDICTED: biotin biosynthesis bifunctional protein BioCD-like	1812.32
UniRef50_UPI000329E1F0: PREDICTED: biotin biosynthesis bifunctional protein BioCD-like|unclassified	1812.32
UniRef50_O07610: Long-chain-fatty-acid--CoA ligase	1808.61
UniRef50_O07610: Long-chain-fatty-acid--CoA ligase|unclassified	1808.61
UniRef50_UPI0003C19081: PREDICTED: biotin synthase-like	1802.84
UniRef50_UPI0003C19081: PREDICTED: biotin synthase-like|unclassified	1802.84
UniRef50_B8ZR86: Biotin synthase	1797.63
UniRef50_B8ZR86: Biotin synthase|unclassified	1797.63
UniRef50_Q7MPY0: Pimeloyl-[acyl-carrier protein] methyl ester esterase	1790.96
UniRef50_Q7MPY0: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	1790.96
UniRef50_B7VH15: 8-amino-7-oxononanoate synthase	1790.11
UniRef50_B7VH15: 8-amino-7-oxononanoate synthase|unclassified	1790.11
UniRef50_Q9ZKM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1773.96
UniRef50_Q9ZKM5: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1773.96
UniRef50_A3MNG2: ATP-dependent dethiobiotin synthetase BioD	1773.48
UniRef50_A3MNG2: ATP-dependent dethiobiotin synthetase BioD|unclassified	1773.48
UniRef50_P94547: Long-chain-fatty-acid--CoA ligase	1767.82
UniRef50_P94547: Long-chain-fatty-acid--CoA ligase|unclassified	1767.82
UniRef50_UPI00037E08BF: hypothetical protein	1766.64
UniRef50_UPI00037E08BF: hypothetical protein|unclassified	1766.64
UniRef50_UPI0003B60D96: hypothetical protein, partial	1764.45
UniRef50_UPI0003B60D96: hypothetical protein, partial|unclassified	1764.45
UniRef50_UPI00036AACC6: long-chain fatty acid--CoA ligase, partial	1760.67
UniRef50_UPI00036AACC6: long-chain fatty acid--CoA ligase, partial|unclassified	1760.67
UniRef50_Z5XA58	1745.3
UniRef50_Z5XA58|unclassified	1745.3
UniRef50_UPI000474892A: acetyl-CoA acetyltransferase	1724.7
UniRef50_UPI000474892A: acetyl-CoA acetyltransferase|unclassified	1724.7
UniRef50_Q8CAY6: Acetyl-CoA acetyltransferase, cytosolic	1724.62
UniRef50_Q8CAY6: Acetyl-CoA acetyltransferase, cytosolic|unclassified	1724.62
UniRef50_UPI0002BB4872: 8-amino-7-oxononanoate synthase, partial	1705.39
UniRef50_UPI0002BB4872: 8-amino-7-oxononanoate synthase, partial|unclassified	1705.39
UniRef50_A7GSD9: Malonyl-[acyl-carrier protein] O-methyltransferase	1701.86
UniRef50_A7GSD9: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	1701.86
UniRef50_B8K5F9: Biotin synthesis protein BioC	1694.1
UniRef50_B8K5F9: Biotin synthesis protein BioC|unclassified	1694.1
UniRef50_B9DKN5: Biotin synthase	1677.07
UniRef50_B9DKN5: Biotin synthase|unclassified	1677.07
UniRef50_P42765: 3-ketoacyl-CoA thiolase, mitochondrial	1673.75
UniRef50_P42765: 3-ketoacyl-CoA thiolase, mitochondrial|unclassified	1673.75
UniRef50_UPI0002F93C88: hypothetical protein	1631.7
UniRef50_UPI0002F93C88: hypothetical protein|unclassified	1631.7
UniRef50_UPI00016A696C: acyl-CoA synthetase	1610.02
UniRef50_UPI00016A696C: acyl-CoA synthetase|unclassified	1610.02
UniRef50_UPI00035E146B: acetyl-CoA acetyltransferase	1608.01
UniRef50_UPI00035E146B: acetyl-CoA acetyltransferase|unclassified	1608.01
UniRef50_UPI000421FD3A: acetyl-CoA acetyltransferase	1603.22
UniRef50_UPI000421FD3A: acetyl-CoA acetyltransferase|unclassified	1603.22
UniRef50_G8SRQ2: Transcriptional regulator	1596.04
UniRef50_G8SRQ2: Transcriptional regulator|unclassified	1596.04
UniRef50_Q0BBD6: 8-amino-7-oxononanoate synthase	1594
UniRef50_Q0BBD6: 8-amino-7-oxononanoate synthase|unclassified	1594
UniRef50_UPI000467F421: long-chain fatty acid--CoA ligase	1591.42
UniRef50_UPI000467F421: long-chain fatty acid--CoA ligase|unclassified	1591.42
UniRef50_UPI000466C093: MULTISPECIES: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1587.13
UniRef50_UPI000466C093: MULTISPECIES: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1587.13
UniRef50_A3GKM1: BioH protein	1584.88
UniRef50_A3GKM1: BioH protein|unclassified	1584.88
UniRef50_UPI0003B556E0: long-chain fatty acid--CoA ligase	1583.74
UniRef50_UPI0003B556E0: long-chain fatty acid--CoA ligase|unclassified	1583.74
UniRef50_Q9BWD1: Acetyl-CoA acetyltransferase, cytosolic	1556.21
UniRef50_Q9BWD1: Acetyl-CoA acetyltransferase, cytosolic|unclassified	1556.21
UniRef50_UPI0004653936: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1545.51
UniRef50_UPI0004653936: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1545.51
UniRef50_X3WYP8	1544.43
UniRef50_X3WYP8|unclassified	1544.43
UniRef50_Q1LTL5: ATP-dependent dethiobiotin synthetase BioD	1540.38
UniRef50_Q1LTL5: ATP-dependent dethiobiotin synthetase BioD|unclassified	1540.38
UniRef50_Q9KM65: CAI-1 autoinducer synthase	1539.13
UniRef50_Q9KM65: CAI-1 autoinducer synthase|unclassified	1539.13
UniRef50_UPI0004666727: long-chain fatty acid--CoA ligase, partial	1532.64
UniRef50_UPI0004666727: long-chain fatty acid--CoA ligase, partial|unclassified	1532.64
UniRef50_A2BX80: Biotin synthase	1531.68
UniRef50_A2BX80: Biotin synthase|unclassified	1531.68
UniRef50_Q9K085: ATP-dependent dethiobiotin synthetase BioD	1527.49
UniRef50_Q9K085: ATP-dependent dethiobiotin synthetase BioD|unclassified	1527.49
UniRef50_Q9JV95: ATP-dependent dethiobiotin synthetase BioD	1521.36
UniRef50_Q9JV95: ATP-dependent dethiobiotin synthetase BioD|unclassified	1521.36
UniRef50_UPI0003824EF6: acetyl-CoA acetyltransferase	1517.03
UniRef50_UPI0003824EF6: acetyl-CoA acetyltransferase|unclassified	1517.03
UniRef50_UPI00036668D7: hypothetical protein, partial	1500.36
UniRef50_UPI00036668D7: hypothetical protein, partial|unclassified	1500.36
UniRef50_Q9KC26: Biotin synthase	1495.61
UniRef50_Q9KC26: Biotin synthase|unclassified	1495.61
UniRef50_Q921H8: 3-ketoacyl-CoA thiolase A, peroxisomal	1482.63
UniRef50_Q921H8: 3-ketoacyl-CoA thiolase A, peroxisomal|unclassified	1482.63
UniRef50_A0M7A9: Biotin synthase	1479.88
UniRef50_A0M7A9: Biotin synthase|unclassified	1479.88
UniRef50_A8L2N0: Biotin synthase	1477.97
UniRef50_A8L2N0: Biotin synthase|unclassified	1477.97
UniRef50_UPI00040D96DE: biotin synthase	1461.26
UniRef50_UPI00040D96DE: biotin synthase|unclassified	1461.26
UniRef50_UPI000380B055: hypothetical protein	1445.59
UniRef50_UPI000380B055: hypothetical protein|unclassified	1445.59
UniRef50_UPI0001F85CA4: biotin synthase-like protein	1435.9
UniRef50_UPI0001F85CA4: biotin synthase-like protein|unclassified	1435.9
UniRef50_UPI0003617D73: hypothetical protein	1422.59
UniRef50_UPI0003617D73: hypothetical protein|unclassified	1422.59
UniRef50_UPI0003FD21A9: acetyl-CoA acetyltransferase	1416.11
UniRef50_UPI0003FD21A9: acetyl-CoA acetyltransferase|unclassified	1416.11
UniRef50_UPI0003FDF28D: AMP-dependent synthetase	1413.55
UniRef50_UPI0003FDF28D: AMP-dependent synthetase|unclassified	1413.55
UniRef50_UPI00036CAE9C: hypothetical protein	1393.38
UniRef50_UPI00036CAE9C: hypothetical protein|unclassified	1393.38
UniRef50_P46363: Bifunctional ligase/repressor BirA	1377.72
UniRef50_P46363: Bifunctional ligase/repressor BirA|unclassified	1377.72
UniRef50_A6UYW1: 8-amino-7-oxononanoate synthase	1377.12
UniRef50_A6UYW1: 8-amino-7-oxononanoate synthase|unclassified	1377.12
UniRef50_Q4FQJ9: Biotin synthase	1369.49
UniRef50_Q4FQJ9: Biotin synthase|unclassified	1369.49
UniRef50_P45249: Malonyl-[acyl-carrier protein] O-methyltransferase	1368.79
UniRef50_P45249: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	1368.79
UniRef50_P09110: 3-ketoacyl-CoA thiolase, peroxisomal	1361.84
UniRef50_P09110: 3-ketoacyl-CoA thiolase, peroxisomal|unclassified	1361.84
UniRef50_UPI00047AA041: hypothetical protein	1360.74
UniRef50_UPI00047AA041: hypothetical protein|unclassified	1360.74
UniRef50_Q728P4: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1356.8
UniRef50_Q728P4: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1356.8
UniRef50_UPI00023757E2: malonyl-CoA synthase, partial	1355.51
UniRef50_UPI00023757E2: malonyl-CoA synthase, partial|unclassified	1355.51
UniRef50_UPI00031141F2: hypothetical protein	1353.37
UniRef50_UPI00031141F2: hypothetical protein|unclassified	1353.37
UniRef50_A0A011QW74: Long-chain-fatty-acid--CoA ligase	1349.53
UniRef50_A0A011QW74: Long-chain-fatty-acid--CoA ligase|unclassified	1349.53
UniRef50_H3WX52: HTH domain protein (Fragment)	1348.29
UniRef50_H3WX52: HTH domain protein (Fragment)|unclassified	1348.29
UniRef50_UPI0002DB3B5F: hypothetical protein	1336.53
UniRef50_UPI0002DB3B5F: hypothetical protein|unclassified	1336.53
UniRef50_UPI00046E74A6: hypothetical protein, partial	1329.82
UniRef50_UPI00046E74A6: hypothetical protein, partial|unclassified	1329.82
UniRef50_P54967: Biotin synthase	1320.47
UniRef50_P54967: Biotin synthase|unclassified	1320.47
UniRef50_B1FS90	1316.31
UniRef50_B1FS90|unclassified	1316.31
UniRef50_UPI000468D15B: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1314.92
UniRef50_UPI000468D15B: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1314.92
UniRef50_UPI00037896C8: hypothetical protein, partial	1314.44
UniRef50_UPI00037896C8: hypothetical protein, partial|unclassified	1314.44
UniRef50_K8C3V9	1311.76
UniRef50_K8C3V9|unclassified	1311.76
UniRef50_A6GW77: Biotin synthase	1286.81
UniRef50_A6GW77: Biotin synthase|unclassified	1286.81
UniRef50_UPI00047108BB: hypothetical protein	1279.11
UniRef50_UPI00047108BB: hypothetical protein|unclassified	1279.11
UniRef50_UPI00039595D5: dithiobiotin synthetase	1273.17
UniRef50_UPI00039595D5: dithiobiotin synthetase|unclassified	1273.17
UniRef50_Q3JXW2	1270.67
UniRef50_Q3JXW2|unclassified	1270.67
UniRef50_UPI0003758F81: hypothetical protein, partial	1252.81
UniRef50_UPI0003758F81: hypothetical protein, partial|unclassified	1252.81
UniRef50_UPI0002375CBC: biotin biosynthesis protein BioH, partial	1227.69
UniRef50_UPI0002375CBC: biotin biosynthesis protein BioH, partial|unclassified	1227.69
UniRef50_UPI00016ABEFF: AMP-binding domain protein, partial	1224.69
UniRef50_UPI00016ABEFF: AMP-binding domain protein, partial|unclassified	1224.69
UniRef50_Q58696: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1222.22
UniRef50_Q58696: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1222.22
UniRef50_B3QLR6: 8-amino-7-oxononanoate synthase	1217.56
UniRef50_B3QLR6: 8-amino-7-oxononanoate synthase|unclassified	1217.56
UniRef50_UPI00047B1BF4: biotin--protein ligase	1214.39
UniRef50_UPI00047B1BF4: biotin--protein ligase|unclassified	1214.39
UniRef50_UPI00029B3AD3: adenosylmethionine--8-amino-7-oxononanoate transaminase, partial	1203.29
UniRef50_UPI00029B3AD3: adenosylmethionine--8-amino-7-oxononanoate transaminase, partial|unclassified	1203.29
UniRef50_UPI00016A4791: Methyltransferase type 11, partial	1198.76
UniRef50_UPI00016A4791: Methyltransferase type 11, partial|unclassified	1198.76
UniRef50_I8S9Y3: Aminotransferase class-III (Fragment)	1196.21
UniRef50_I8S9Y3: Aminotransferase class-III (Fragment)|unclassified	1196.21
UniRef50_UPI000363B7BC: hypothetical protein, partial	1179.73
UniRef50_UPI000363B7BC: hypothetical protein, partial|unclassified	1179.73
UniRef50_UPI00037BE2E5: hypothetical protein, partial	1174.24
UniRef50_UPI00037BE2E5: hypothetical protein, partial|unclassified	1174.24
UniRef50_UPI0003A0EB32: 3-ketoacyl-CoA thiolase	1168.33
UniRef50_UPI0003A0EB32: 3-ketoacyl-CoA thiolase|unclassified	1168.33
UniRef50_UPI00046FB97B: hypothetical protein	1165.86
UniRef50_UPI00046FB97B: hypothetical protein|unclassified	1165.86
UniRef50_G4B115	1165.2
UniRef50_G4B115|unclassified	1165.2
UniRef50_B2SGE1: Biotin synthesis protein BioC	1160.21
UniRef50_B2SGE1: Biotin synthesis protein BioC|unclassified	1160.21
UniRef50_UPI00037F0D3E: acetyl-CoA acetyltransferase	1137.95
UniRef50_UPI00037F0D3E: acetyl-CoA acetyltransferase|unclassified	1137.95
UniRef50_C3AQ74: Biotin biosynthesis protein BioC	1130.21
UniRef50_C3AQ74: Biotin biosynthesis protein BioC|unclassified	1130.21
UniRef50_R7DQ09: AMP-binding enzyme	1108.06
UniRef50_R7DQ09: AMP-binding enzyme|unclassified	1108.06
UniRef50_UPI000325A3F6: hypothetical protein	1106.33
UniRef50_UPI000325A3F6: hypothetical protein|unclassified	1106.33
UniRef50_A0A050U188	1102.71
UniRef50_A0A050U188|unclassified	1102.71
UniRef50_UPI00042135D8: AMP-dependent synthetase	1089.53
UniRef50_UPI00042135D8: AMP-dependent synthetase|unclassified	1089.53
UniRef50_Q3JWR9	1082.18
UniRef50_Q3JWR9|unclassified	1082.18
UniRef50_Q7CH67: Malonyl-[acyl-carrier protein] O-methyltransferase	1079.87
UniRef50_Q7CH67: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	1079.87
UniRef50_R8RUL9	1063.6
UniRef50_R8RUL9|unclassified	1063.6
UniRef50_Q9K625: Putative 8-amino-7-oxononanoate synthase	1063.18
UniRef50_Q9K625: Putative 8-amino-7-oxononanoate synthase|unclassified	1063.18
UniRef50_UPI000361E4D8: hypothetical protein	1061.7
UniRef50_UPI000361E4D8: hypothetical protein|unclassified	1061.7
UniRef50_UPI00047C5E04: hypothetical protein	1059.97
UniRef50_UPI00047C5E04: hypothetical protein|unclassified	1059.97
UniRef50_UPI00047EEF38: biotin--acetyl-CoA-carboxylase ligase	1050.02
UniRef50_UPI00047EEF38: biotin--acetyl-CoA-carboxylase ligase|unclassified	1050.02
UniRef50_UPI0003738976: hypothetical protein, partial	1042.81
UniRef50_UPI0003738976: hypothetical protein, partial|unclassified	1042.81
UniRef50_A8FK97: ATP-dependent dethiobiotin synthetase BioD	1042.78
UniRef50_A8FK97: ATP-dependent dethiobiotin synthetase BioD|unclassified	1042.78
UniRef50_A0RME8: Biotin synthase	1040.92
UniRef50_A0RME8: Biotin synthase|unclassified	1040.92
UniRef50_Q5F5C8: Bifunctional enzyme BirA/CoaX	1034.25
UniRef50_Q5F5C8: Bifunctional enzyme BirA/CoaX|unclassified	1034.25
